sequence,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFlcBGeB?ymB5nB/oBzrB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Jex7IvhFTeBUhB?FiBGoBXnBSxB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFmcB5jB?1mBziBCsB3sB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Jel7IvhFUdBajB?5jBThBGsBXsB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFmdB5jB?lmB3nB6rBTsB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Jex7IvhFUhBFiB?XjB6oBTnBWxB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFzdB5jB?umBihBXsBlsB
TLZOSJI,O,X,O,X,X,X,X
TLOIJSZ,X,X,O,O,X,X,X
TLOIJZS,X,X,O,O,X,X,X
TLOISJZ,O,X,O,X,X,X,X
TLOISZJ,O,X,O,O,X,X,X
TLOIZJS,X,X,O,O,X,X,X
TLOIZSJ,O,X,O,O,X,X,X
TLOJISZ,X,X,O,O,X,X,X
TLOJIZS,X,X,O,O,X,X,X
TLOJSIZ,X,X,O,O,X,X,X
TLOJSZI,X,X,O,O,X,X,X
TLOJZIS,X,X,O,O,X,X,X
TLOJZSI,X,X,O,O,X,X,X
TLOSIJZ,O,X,O,X,X,X,X
TLOSIZJ,O,X,O,O,X,X,X
TLOSJIZ,X,X,O,X,X,X,X
TLOSJZI,O,X,O,X,X,X,X
TLOSZIJ,O,X,O,O,X,X,X
TLOSZJI,O,X,O,X,X,X,X
TLOZIJS,X,X,O,O,X,X,X
TLOZISJ,O,X,O,O,X,X,X
TLOZJIS,X,X,O,O,X,X,X
TLOZJSI,X,X,O,X,X,X,X
TLOZSIJ,O,X,O,O,X,X,X
TLOZSJI,O,X,O,X,X,X,X
TJILSZO,X,X,O,O,X,X,X
TJILSOZ,X,X,O,O,X,X,X
TJILZSO,X,O,O,O,X,X,X
TJILZOS,X,O,O,O,X,X,X
TJILOSZ,X,X,O,O,X,X,X
TJILOZS,X,O,O,O,X,X,X
TJISLZO,X,X,X,O,O,X,X
TJISLOZ,X,X,X,O,O,X,X
TJISZLO,X,X,X,O,O,O,X
TJISZOL,X,X,O,O,O,O,X
TJISOLZ,X,X,X,O,O,X,X
TJISOZL,X,X,O,O,O,X,X
TJIZLSO,X,O,O,O,X,O,X
TJIZLOS,X,O,O,O,X,X,X
TJIZSLO,X,X,X,O,O,O,X
TJIZSOL,X,O,O,O,O,O,X
TJIZOLS,X,O,O,O,X,X,X
TJIZOSL,X,O,O,O,X,O,X
TJIOLSZ,X,X,O,O,X,X,X
TJIOLZS,X,O,O,O,X,X,X
TJIOSLZ,X,X,X,O,X,X,X
TJIOSZL,X,X,O,O,X,X,X
TJIOZLS,X,O,O,O,X,X,X
TJIOZSL,X,O,O,O,X,X,X
TJLISZO,X,X,O,O,X,X,X
TJLISOZ,X,X,O,O,X,X,X
TJLIZSO,X,O,O,O,X,X,X
TJLIZOS,X,O,O,O,X,X,X
TJLIOSZ,X,X,O,O,X,X,X
TJLIOZS,X,O,O,O,X,X,X
TJLSIZO,X,X,O,O,X,X,X
TJLSIOZ,X,X,O,O,X,X,X
TJLSZIO,X,O,O,X,X,X,X
TJLSZOI,X,O,O,X,X,X,X
TJLSOIZ,X,X,O,O,X,X,X
TJLSOZI,X,O,O,O,X,X,X
TJLZISO,X,O,O,O,X,X,X
TJLZIOS,X,O,O,O,X,X,X
TJLZSIO,X,O,O,X,X,X,X
TJLZSOI,X,O,O,X,X,X,X
TJLZOIS,X,O,O,O,X,X,X
TJLZOSI,X,O,O,O,X,X,X
TJLOISZ,X,X,O,O,X,X,X
TJLOIZS,X,O,O,O,X,X,X
TJLOSIZ,X,X,O,O,X,X,X
TJLOSZI,X,O,O,O,X,X,X
TJLOZIS,X,O,O,O,X,X,X
TJLOZSI,X,O,O,O,X,X,X
TJSILZO,X,X,X,O,O,X,X
TJSILOZ,X,X,X,O,O,X,X
TJSIZLO,X,X,X,O,O,O,X
TJSIZOL,X,X,O,O,O,O,X
TJSIOLZ,X,X,X,O,O,X,X
TJSIOZL,X,X,O,O,O,X,X
TJSLIZO,X,X,X,O,O,X,X
TJSLIOZ,X,X,X,O,O,X,X
TJSLZIO,X,X,X,X,O,O,X
TJSLZOI,X,X,X,X,X,O,X
TJSLOIZ,X,X,X,O,X,X,X
TJSLOZI,X,X,X,O,X,X,X
TJSZILO,X,X,X,X,O,O,X
TJSZIOL,X,O,O,X,O,O,X
TJSZLIO,X,X,X,X,O,O,X
TJSZLOI,X,X,X,X,X,O,X
TJSZOIL,X,O,O,X,O,O,X
TJSZOLI,X,O,X,X,X,O,X
TJSOILZ,X,X,X,O,O,X,X
TJSOIZL,X,X,O,O,O,X,X
TJSOLIZ,X,X,X,O,X,X,X
TJSOLZI,X,X,X,O,X,X,X
TJSOZIL,X,O,O,O,O,O,X
TJSOZLI,X,O,X,O,X,O,X
TJZILSO,X,O,O,O,X,O,X
TJZILOS,X,O,O,O,X,X,X
TJZISLO,X,X,X,O,O,O,X
TJZISOL,X,O,O,O,O,O,X
TJZIOLS,X,O,O,O,X,X,X
TJZIOSL,X,O,O,O,X,O,X
TJZLISO,X,O,O,O,X,O,X
TJZLIOS,X,O,O,O,X,X,X
TJZLSIO,X,O,O,X,X,O,X
TJZLSOI,X,O,O,X,X,O,X
TJZLOIS,X,O,O,O,X,X,X
TJZLOSI,X,O,O,O,X,X,X
TJZSILO,X,X,X,X,O,O,X
TJZSIOL,X,O,O,X,O,O,X
TJZSLIO,X,X,X,X,O,O,X
TJZSLOI,X,X,X,X,X,O,X
TJZSOIL,X,O,O,X,O,O,X
TJZSOLI,X,O,X,X,X,O,X
TJZOILS,X,O,O,O,X,X,X
TJZOISL,X,O,O,O,X,O,X
TJZOLIS,X,O,O,O,X,X,X
TJZOLSI,X,O,X,O,X,X,X
TJZOSIL,X,O,O,O,X,O,X
TJZOSLI,X,O,X,O,X,O,X
TJOILSZ,X,X,O,O,X,X,X
TJOILZS,X,O,O,O,X,X,X
TJOISLZ,X,X,X,O,X,X,X
TJOISZL,X,X,O,O,X,X,X
TJOIZLS,X,O,O,O,X,X,X
TJOIZSL,X,O,O,O,X,X,X
TJOLISZ,X,X,X,O,X,X,X
TJOLIZS,X,O,O,O,X,X,X
TJOLSIZ,X,X,X,O,X,X,X
TJOLSZI,X,O,X,O,X,X,X
TJOLZIS,X,O,O,O,X,X,X
TJOLZSI,X,O,X,O,X,X,X
TJOSILZ,X,X,X,O,X,X,X
TJOSIZL,X,X,O,O,X,X,X
TJOSLIZ,X,X,X,O,X,X,X
TJOSLZI,X,X,X,O,X,X,X
TJOSZIL,X,O,O,O,X,X,X
TJOSZLI,X,O,X,O,X,X,X
TJOZILS,X,O,O,O,X,X,X
TJOZISL,X,O,O,O,X,X,X
TJOZLIS,X,O,O,O,X,X,X
TJOZLSI,X,O,X,O,X,X,X
TJOZSIL,X,O,O,O,X,X,X
TJOZSLI,X,O,X,O,X,X,X
TSILJZO,O,X,O,O,O,X,X
TSILJOZ,O,X,O,O,O,X,X
TSILZJO,O,X,O,X,O,X,X
TSILZOJ,O,X,O,X,O,X,X
TSILOJZ,O,X,O,X,O,X,X
TSILOZJ,O,X,O,O,O,X,X
TSIJLZO,O,X,X,O,O,X,O
TSIJLOZ,O,X,X,O,O,X,O
TSIJZLO,O,X,X,O,O,O,O
TSIJZOL,O,X,O,O,O,O,O
TSIJOLZ,O,X,X,O,O,X,O
TSIJOZL,O,X,O,O,O,X,O
TSIZLJO,O,X,O,X,O,O,X
TSIZLOJ,O,X,O,X,O,O,X
TSIZJLO,O,X,X,X,O,O,O
TSIZJOL,O,X,O,X,O,O,O
TSIZOLJ,O,X,O,X,O,O,X
TSIZOJL,O,X,O,X,O,X,X
TSIOLJZ,O,X,O,X,O,X,X
TSIOLZJ,O,X,O,O,O,X,X
TSIOJLZ,O,X,X,O,O,X,X
TSIOJZL,O,X,O,O,O,X,X
TSIOZLJ,O,X,O,O,O,X,X
TSIOZJL,O,X,O,X,O,X,X
TSLIJZO,O,X,O,O,O,X,X
TSLIJOZ,O,X,O,O,O,X,X
TSLIZJO,O,X,O,X,O,X,X
TSLIZOJ,O,X,O,X,O,X,X
TSLIOJZ,O,X,O,X,O,X,X
TSLIOZJ,O,X,O,O,O,X,X
TSLJIZO,O,X,O,O,O,X,X
TSLJIOZ,O,X,O,O,O,X,X
TSLJZIO,O,X,O,X,O,X,X
TSLJZOI,O,X,O,X,X,X,X
TSLJOIZ,X,X,O,O,X,X,X
TSLJOZI,O,X,O,O,X,X,X
TSLZIJO,O,X,O,X,O,O,X
TSLZIOJ,O,X,O,X,O,O,X
TSLZJIO,O,X,O,X,O,O,X
TSLZJOI,O,X,O,X,X,O,X
TSLZOIJ,O,X,O,X,X,O,X
TSLZOJI,O,X,O,X,X,O,X
TSLOIJZ,O,X,O,X,X,X,X
TSLOIZJ,O,X,O,O,X,X,X
TSLOJIZ,X,X,O,X,X,X,X
TSLOJZI,O,X,O,X,X,X,X
TSLOZIJ,O,X,O,O,X,X,X
TSLOZJI,O,X,O,X,X,X,X
TSJILZO,O,X,X,O,O,X,O
TSJILOZ,O,X,X,O,O,X,O
TSJIZLO,O,X,X,O,O,O,O
TSJIZOL,O,X,O,O,O,O,O
TSJIOLZ,O,X,X,O,O,X,O
TSJIOZL,O,X,O,O,O,X,O
TSJLIZO,O,X,X,O,O,X,X
TSJLIOZ,X,X,X,O,O,X,X
TSJLZIO,O,X,X,X,O,O,X
TSJLZOI,O,X,X,X,X,O,X
TSJLOIZ,X,X,X,O,X,X,X
TSJLOZI,O,X,X,O,X,X,X
TSJZILO,O,X,X,X,O,O,O
TSJZIOL,O,X,O,X,O,O,O
TSJZLIO,O,X,X,X,O,O,X
TSJZLOI,O,X,X,X,X,O,X
TSJZOIL,O,X,O,X,O,O,X
TSJZOLI,O,X,X,X,X,O,X
TSJOILZ,O,X,X,O,O,X,X
TSJOIZL,O,X,O,O,O,X,X
TSJOLIZ,O,X,X,O,X,X,X
TSJOLZI,O,X,X,O,X,X,X
TSJOZIL,O,X,O,O,O,O,X
TSJOZLI,O,X,X,O,X,O,X
TSZILJO,O,X,O,X,O,O,X
TSZILOJ,O,X,O,X,O,O,X
TSZIJLO,O,X,X,X,O,O,O
TSZIJOL,O,X,O,X,O,O,O
TSZIOLJ,O,X,O,X,O,O,X
TSZIOJL,O,X,O,X,O,X,X
TSZLIJO,O,X,O,X,O,O,X
TSZLIOJ,O,X,O,X,O,O,X
TSZLJIO,O,X,O,X,O,O,X
TSZLJOI,O,X,O,X,X,O,X
TSZLOIJ,O,X,O,X,X,O,X
TSZLOJI,O,X,O,X,X,O,X
TSZJILO,O,X,X,X,O,O,O
TSZJIOL,O,X,O,X,O,O,O
TSZJLIO,O,X,X,X,O,O,X
TSZJLOI,O,X,X,X,X,O,X
TSZJOIL,O,X,O,X,O,O,X
TSZJOLI,O,X,X,X,X,O,X
TSZOILJ,O,X,O,X,O,O,X
TSZOIJL,O,X,O,X,O,X,X
TSZOLIJ,O,X,X,X,X,O,X
TSZOLJI,O,X,X,X,X,O,X
TSZOJIL,O,X,O,X,O,X,X
TSZOJLI,O,X,X,X,X,X,X
TSOILJZ,O,X,O,X,O,X,X
TSOILZJ,O,X,O,O,O,X,X
TSOIJLZ,O,X,X,O,O,X,X
TSOIJZL,O,X,O,O,O,X,X
TSOIZLJ,O,X,O,O,O,X,X
TSOIZJL,O,X,O,X,O,X,X
TSOLIJZ,O,X,X,X,X,X,X
TSOLIZJ,O,X,X,O,X,X,X
TSOLJIZ,O,X,X,X,X,X,X
TSOLJZI,O,X,X,X,X,X,X
TSOLZIJ,O,X,X,O,X,X,X
TSOLZJI,O,X,X,X,X,X,X
TSOJILZ,O,X,X,O,O,X,X
TSOJIZL,O,X,O,O,O,X,X
TSOJLIZ,O,X,X,O,X,X,X
TSOJLZI,O,X,X,O,X,X,X
TSOJZIL,O,X,O,O,O,X,X
TSOJZLI,O,X,X,O,X,X,X
TSOZILJ,O,X,O,O,O,O,X
TSOZIJL,O,X,O,X,O,X,X
TSOZLIJ,O,X,X,O,X,O,X
TSOZLJI,O,X,X,X,X,O,X
TSOZJIL,O,X,O,X,O,X,X
TSOZJLI,O,X,X,X,X,X,X
TZILJSO,O,O,O,O,X,X,X
TZILJOS,X,O,O,O,X,X,X
TZILSJO,O,O,O,X,O,O,X
TZILSOJ,O,X,O,X,O,O,X
TZILOJS,X,O,O,O,X,X,X
TZILOSJ,O,X,O,O,X,X,X
TZIJLSO,X,O,O,O,X,O,X
TZIJLOS,X,O,O,O,X,X,X
TZIJSLO,O,X,X,O,O,O,X
TZIJSOL,O,O,O,O,O,O,X
TZIJOLS,X,O,O,O,X,X,X
TZIJOSL,X,O,O,O,X,O,X
TZISLJO,O,X,O,X,O,O,X
TZISLOJ,O,X,O,X,O,O,X
TZISJLO,O,X,X,X,O,O,O
TZISJOL,O,O,O,X,O,O,O
TZISOLJ,O,X,O,X,O,O,X
TZISOJL,O,X,O,X,O,X,X
TZIOLJS,O,X,O,O,X,X,X
TZIOLSJ,O,X,O,O,X,X,X
TZIOJLS,X,O,O,O,X,X,X
TZIOJSL,O,O,O,O,X,X,X
TZIOSLJ,O,X,O,O,O,O,X
TZIOSJL,O,X,O,X,O,X,X
TZLIJSO,O,O,O,O,X,X,X
TZLIJOS,X,O,O,O,X,X,X
TZLISJO,O,O,O,X,O,O,X
TZLISOJ,O,X,O,X,O,O,X
TZLIOJS,X,O,O,O,X,X,X
TZLIOSJ,O,X,O,O,X,X,X
TZLJISO,O,O,O,O,X,X,X
TZLJIOS,X,O,O,O,X,X,X
TZLJSIO,O,O,O,X,X,X,X
TZLJSOI,O,O,O,X,X,X,X
TZLJOIS,X,O,O,O,X,X,X
TZLJOSI,X,O,O,O,X,X,X
TZLSIJO,O,O,O,X,O,O,X
TZLSIOJ,O,X,O,X,O,O,X
TZLSJIO,O,O,O,X,O,O,X
TZLSJOI,O,O,O,X,X,O,X
TZLSOIJ,O,X,O,X,X,O,X
TZLSOJI,O,X,O,X,X,O,X
TZLOIJS,O,O,O,O,X,X,X
TZLOISJ,O,X,O,O,X,X,X
TZLOJIS,O,O,O,O,X,X,X
TZLOJSI,O,O,O,X,X,X,X
TZLOSIJ,O,X,O,O,X,X,X
TZLOSJI,O,X,O,X,X,X,X
TZJILSO,X,O,O,O,X,O,X
TZJILOS,X,O,O,O,X,X,X
TZJISLO,O,X,X,O,O,O,X
TZJISOL,O,O,O,O,O,O,X
TZJIOLS,X,O,O,O,X,X,X
TZJIOSL,X,O,O,O,X,O,X
TZJLISO,O,O,O,O,X,O,X
TZJLIOS,X,O,O,O,X,X,X
TZJLSIO,O,O,O,X,X,O,X
TZJLSOI,O,O,O,X,X,O,X
TZJLOIS,X,O,O,O,X,X,X
TZJLOSI,X,O,O,O,X,X,X
TZJSILO,O,X,X,X,O,O,X
TZJSIOL,O,O,O,X,O,O,X
TZJSLIO,O,X,X,X,O,O,X
TZJSLOI,O,X,X,X,X,O,X
TZJSOIL,O,O,O,X,O,O,X
TZJSOLI,O,O,X,X,X,O,X
TZJOILS,X,O,O,O,X,X,X
TZJOISL,O,O,O,O,X,O,X
TZJOLIS,O,O,O,O,X,X,X
TZJOLSI,O,O,X,O,X,X,X
TZJOSIL,O,O,O,O,X,O,X
TZJOSLI,O,O,X,O,X,O,X
TZSILJO,O,X,O,X,O,O,X
TZSILOJ,O,X,O,X,O,O,X
TZSIJLO,O,X,X,X,O,O,O
TZSIJOL,O,O,O,X,O,O,O
TZSIOLJ,O,X,O,X,O,O,X
TZSIOJL,O,X,O,X,O,X,X
TZSLIJO,O,X,O,X,O,O,X
TZSLIOJ,O,X,O,X,O,O,X
TZSLJIO,O,X,O,X,O,O,X
TZSLJOI,O,X,O,X,X,O,X
TZSLOIJ,O,X,O,X,X,O,X
TZSLOJI,O,X,O,X,X,O,X
TZSJILO,O,X,X,X,O,O,O
TZSJIOL,O,O,O,X,O,O,O
TZSJLIO,O,X,X,X,O,O,X
TZSJLOI,O,X,X,X,X,O,X
TZSJOIL,O,O,O,X,O,O,X
TZSJOLI,O,O,X,X,X,O,X
TZSOILJ,O,X,O,X,O,O,X
TZSOIJL,O,X,O,X,O,X,X
TZSOLIJ,O,X,X,X,X,O,X
TZSOLJI,O,X,X,X,X,O,X
TZSOJIL,O,X,O,X,O,X,X
TZSOJLI,O,X,X,X,X,X,X
TZOILJS,O,X,O,O,X,X,X
TZOILSJ,O,X,O,O,X,X,X
TZOIJLS,X,O,O,O,X,X,X
TZOIJSL,O,O,O,O,X,X,X
TZOISLJ,O,X,O,O,O,O,X
TZOISJL,O,X,O,X,O,X,X
TZOLIJS,O,X,O,O,X,X,X
TZOLISJ,O,X,O,O,X,X,X
TZOLJIS,O,X,O,O,X,X,X
TZOLJSI,O,X,O,X,X,X,X
TZOLSIJ,O,X,O,O,X,X,X
TZOLSJI,O,X,O,X,X,X,X
TZOJILS,X,O,O,O,X,X,X
TZOJISL,O,O,O,O,X,X,X
TZOJLIS,O,O,O,O,X,X,X
TZOJLSI,O,O,X,O,X,X,X
TZOJSIL,O,O,O,O,X,X,X
TZOJSLI,O,O,X,O,X,X,X
TZOSILJ,O,X,O,O,O,O,X
TZOSIJL,O,X,O,X,O,X,X
TZOSLIJ,O,X,X,O,X,O,X
