sequence,v115@zgB8FeE8EeD8GeC8FeF8DeB8Je07IvhFxcBSmB2qBl?nB3rBTsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFclBemBCiBl?nB3rBTsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFclBThB2nBF?rBXsB6sB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFUhBFiBTlBu?sBirBXsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Je07IvhFTdBqmBXhB2?qBlnBxwB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jel7IvhFWiBZmB0iBT?lBqrB/sB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFqiB3gBlmBm?qBTsB8rB,v115@zgB8FeE8EeD8GeC8FeF8DeB8JeX8IvhFTdBqmB0gB2?qBlnBxwB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFUhBTlBlnBi?rBGsBXsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jel7IvhFSiBZmBTlBu?rB3nBUsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFUhBTlBlnBm?rB6sB3rB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jem7IvhFqhBTdBclBV?rB3nBxwB,v115@zgB8FeE8EeD8GeC8FeF8DeB8JeT9IvhF3gByqBlnBU?sB5mBmqB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Je07IvhFxcBTlBKrBf?sBlnBGsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhF3gB0mBlnBm?qBCsBTsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jel7IvhFuhBciBZmBT?lBCsB3sB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFTdB2qBlnBU?sBfrB6rB,v115@zgB8FeE8EeD8GeC8FeF8DeB8JeqBJvhFTdBclBZmB3?nBllBWxB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Je07IvhFWiBxlBlnBy?qB3rBTsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFzgBCiB0iB2?qB/sB1wB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFTdBGhBilBV?sBUrB3sB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhFTdBclBSrBX?sBOrBlsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jem7IvhFclBlnBRrBT?rBfsB6sB,v115@zgB8FeE8EeD8GeC8FeF8DeB8JeC9IvhFclBlnBRrB/?rBTsBmqB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jex7IvhF3hBTlBlnBm?rB6sBUrB,v115@zgB8FeE8EeD8GeC8FeF8DeB8JeRBJvhF1nB0gB2qBf?sB6sBTrB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jez7IvhFSiBxlBlnB2?qB3rBUsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Je07IvhF5hBTdBylBm?qBXsBlsB,v115@zgB8FeE8EeD8GeC8FeF8DeB8Jez7IvhFSiBxlBlnB2?qBUsB3rB
TIJLSZO,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIJLSOZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSLZO,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
TIJSLOZ,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJSZLO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
TIJSZOL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
TIJSOLZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X
TIJZLSO,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIJZSOL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X
TIJZOLS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TIJZOSL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIJOZLS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISLJZO,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TISLJOZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISLZJO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLOJZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
TISJLOZ,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TISJZLO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
TISJZOL,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
TISJOLZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TISJOZL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X
TISZLJO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TISZJLO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
TISZJOL,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X
TISZOLJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
TISZOJL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TISOLJZ,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TISOZLJ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,X,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLSJO,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TIZLSOJ,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TIZLOJS,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TIZLOSJ,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZJLSO,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZJSLO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TIZJSOL,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
TIZJOLS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
TIZJOSL,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
TIZSLJO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
TIZSJLO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIZSJOL,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
TIZSOLJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X
TIZSOJL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X
TIZOLJS,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIZOLSJ,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZOJLS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIZOJSL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIZOSLJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
TIZOSJL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X
TIOLJSZ,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIOJSZL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
TIOJZLS,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOJZSL,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSJZL,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOSZLJ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIOZLSJ,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOZJLS,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIOZJSL,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIOZSLJ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIOZSJL,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
TLIJSZO,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLIJSOZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLISJZO,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLISJOZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIZSJO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLIZOJS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJISOZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSIZO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLJSIOZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSZIO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSOZI,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZISO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZSIO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZSOI,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJZOSI,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
