sequence,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hF/iBajB5jB0fBFqBzsB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je//Iv?hFagBmdB5jB0iBFqBzsB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hFxdB0fB6nBTjBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je2/Iv?hFxiBzfB0iBStBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hFegB/iB5jB8sBFqBatB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hFegBxdB0iBStBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hF/iB6oBWqB8sBZlBFtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je2/Iv?hFxiBzfBXjBStBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hF0fBxiB6nBTjBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hF/iBFeBWqBCtBZlBctB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hFxdB0fB6nBToBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je2/Iv?hFxiBzfBXjBctB6sBFqB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hFegBxdBXjBStBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je//Iv?hFagBxdBTjBWtBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je//Iv?hFagBxiBTjBWtBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jei6Iv?hFzfBxiBGoBXoBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jex9Iv?hF6nBUlBToBlkBXtBmpB
TIJLZOS,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
TIJLOSZ,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
TIJLOZS,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
TIJSLZO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJSLOZ,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TIJSZLO,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TIJSZOL,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TIJSOLZ,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X
TIJSOZL,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TIJZLSO,O,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
TIJZLOS,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
TIJZSLO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X
TIJZSOL,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TIJZOLS,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,O,X
TIJZOSL,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TIJOLSZ,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,O,X
TIJOLZS,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
TIJOSLZ,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X
TIJOSZL,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TIJOZLS,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
TIJOZSL,O,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X
TISLJZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TISLJOZ,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
TISLZJO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TISLZOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOJZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TISLOZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TISJLOZ,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TISJZLO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X
TISJZOL,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TISJOLZ,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TISJOZL,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TISZLJO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TISZLOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJLO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TISZJOL,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TISZOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOJL,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TISOLJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TISOLZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLJSO,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X
TIZLJOS,O,X,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X
TIZLSJO,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TIZLSOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZJLSO,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TIZJLOS,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TIZJSLO,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TIZJSOL,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TIZJOLS,O,X,X,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TIZJOSL,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TIZSLJO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TIZSLOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJLO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TIZSJOL,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TIZSOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZOLJS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZOLSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZOJLS,O,O,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X
TIZOJSL,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TIZOSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOLJZS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIOLSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOLSZJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOLZJS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIOLZSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJLSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOJLZS,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X
TIOJSLZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOJSZL,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOJZLS,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X
TIOJZSL,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOSLJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TIOSLZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIOZLSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOZJLS,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIOZJSL,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIOZSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TLIJSOZ,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TLIJZSO,X,X,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X
TLIJZOS,X,X,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X
TLIJOSZ,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TLIJOZS,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
TLISJZO,O,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TLISJOZ,X,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TLISZJO,O,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X
TLISZOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLISOZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X
TLIZJOS,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X
TLIZSJO,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLIZSOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIOJSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TLIOJZS,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X
TLIOSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIOSZJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIOZJS,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLIOZSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJISZO,X,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TLJISOZ,X,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TLJIZSO,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TLJIZOS,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TLJIOSZ,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,O,X
TLJIOZS,X,X,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
TLJSIZO,X,X,O,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TLJSIOZ,X,X,X,O,X,X,X,O,X,O,X,X,O,O,O,X,X
TLJSZIO,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X
TLJSZOI,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TLJSOIZ,X,X,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X
TLJSOZI,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TLJZISO,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TLJZIOS,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TLJZSIO,X,X,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TLJZSOI,X,X,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TLJZOIS,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TLJZOSI,X,X,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TLJOISZ,X,X,X,O,X,X,X,O,X,O,X,X,O,O,X,O,X
TLJOIZS,X,X,X,O,O,O,X,O,X,O,O,X,X,X,X,O,X
TLJOSIZ,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X
TLJOSZI,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TLJOZIS,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,O,X
TLJOZSI,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TLSIJZO,O,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TLSIJOZ,X,O,X,O,X,X,X,O,X,X,X,X,O,O,O,X,X
TLSIZJO,O,O,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X
TLSIZOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLSIOZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,O,O,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TLSJIOZ,X,O,X,O,X,X,X,O,X,O,X,X,O,O,O,X,X
TLSJZIO,O,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X
TLSJZOI,O,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TLSJOIZ,X,O,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X
TLSJOZI,X,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TLSZIJO,O,O,O,X,O,O,X,X,O,X,O,X,O,X,O,X,X
TLSZIOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,O,O,X,O,O,X,X,O,X,O,X,O,X,O,X,X
TLSZJOI,O,O,O,X,O,O,X,X,X,X,O,X,O,O,X,X,X
TLSZOIJ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSZOJI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSOIJZ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLSOIZJ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSOJIZ,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X
TLSOJZI,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TLSOZIJ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSOZJI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZIJSO,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TLZIJOS,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TLZISJO,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLZISOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZJISO,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TLZJIOS,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TLZJSIO,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X
TLZJSOI,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
TLZJOIS,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLZJOSI,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
TLZSIJO,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X
TLZSIOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X
TLZSJOI,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
TLZSOIJ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZSOJI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZOIJS,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLZOISJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLZOJIS,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLZOJSI,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TLZOSIJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLZOSJI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLOIJSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TLOIJZS,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X
TLOISJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOISZJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOIZJS,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLOIZSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOJISZ,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
TLOJIZS,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X
TLOJSIZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TLOJSZI,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLOJZIS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
TLOJZSI,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
TLOSIJZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TLOSIZJ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOSJIZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TLOSJZI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOSZIJ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOSZJI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOZIJS,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X
TLOZISJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLOZJIS,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X
TLOZJSI,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TLOZSIJ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLOZSJI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TJILSZO,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TJILSOZ,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TJILZSO,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
TJILZOS,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
TJILOSZ,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
TJILOZS,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
TJISLZO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TJISLOZ,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TJISZLO,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TJISZOL,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TJISOLZ,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X
TJISOZL,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TJIZLSO,O,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
TJIZLOS,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
TJIZSLO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X
TJIZSOL,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TJIZOLS,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,O,X
TJIZOSL,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TJIOLSZ,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,O,X
TJIOLZS,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
TJIOSLZ,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X
TJIOSZL,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TJIOZLS,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
TJIOZSL,O,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X
TJLISZO,X,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TJLISOZ,X,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TJLIZSO,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TJLIZOS,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TJLIOSZ,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,O,X
TJLIOZS,X,X,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
TJLSIZO,X,X,O,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TJLSIOZ,X,X,X,O,X,X,X,O,X,O,X,X,O,O,O,X,X
TJLSZIO,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X
TJLSZOI,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TJLSOIZ,X,X,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X
TJLSOZI,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TJLZISO,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TJLZIOS,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
