sequence,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeO/IvhFVgBUcBRdBy?mBziBXsB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFXcBldBifB8?nBmmBzrB,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeO/IvhFVgBRcBzdBy?mB3nB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFeiBifBFhBz?iB3nB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeO/IvhFXbBzdBFhBR?nBKnB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFzdBifBFhB3?nB8rBmrB,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeO/IvhFXbByiBFhBR?nBTnB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFlcBzdBifBU?hB3nBesB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFeiBzdBifBF?hB3nB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFejBifBFhBX?iBTnB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeT9IvhFejBxfB0hBi?fBFhBXsB
TSIJLZO,O,X,O,X,O,X,O,X,X,X,X
TSIJLOZ,O,X,O,X,O,X,O,X,X,X,X
TSIJZLO,O,O,O,X,O,X,O,X,X,X,X
TSIJZOL,O,O,O,X,O,X,X,X,X,X,O
TSIJOLZ,O,X,O,X,O,X,O,X,X,X,X
TSIJOZL,O,X,O,X,O,X,X,X,X,X,O
TSIZLJO,O,O,O,X,X,X,O,X,X,X,X
TSIZLOJ,O,O,O,X,X,X,X,X,X,X,X
TSIZJLO,O,O,O,X,O,X,O,X,X,X,X
TSIZJOL,O,O,O,X,O,X,X,X,X,X,O
TSIZOLJ,O,O,X,X,X,X,X,X,X,X,X
TSIZOJL,O,O,O,X,O,X,X,X,X,X,X
TSIOLJZ,O,X,O,X,O,X,O,X,X,X,X
TSIOLZJ,O,X,O,X,X,X,X,X,X,X,X
TSIOJLZ,O,X,O,X,O,X,O,X,X,X,X
TSIOJZL,O,X,O,X,O,X,X,X,X,X,X
TSIOZLJ,O,X,X,X,X,X,X,X,X,X,X
TSIOZJL,O,X,O,X,O,X,X,X,X,X,X
TSLIJZO,O,O,O,X,O,X,O,O,O,O,X
TSLIJOZ,O,X,O,O,O,X,O,O,O,O,X
TSLIZJO,O,O,O,X,X,O,O,O,X,X,X
TSLIZOJ,O,O,O,X,X,O,X,X,X,X,X
TSLIOJZ,O,X,O,O,O,X,O,O,X,X,X
TSLIOZJ,O,X,O,X,X,O,X,X,X,X,X
TSLJIZO,O,O,O,X,O,X,O,O,O,O,X
TSLJIOZ,O,X,O,O,O,X,O,O,O,O,X
TSLJZIO,O,O,O,X,X,X,X,O,O,O,X
TSLJZOI,O,O,O,X,X,X,X,O,O,O,X
TSLJOIZ,O,X,O,O,X,X,X,O,O,O,X
TSLJOZI,O,X,O,O,X,X,X,O,O,O,X
TSLZIJO,O,O,O,X,X,O,X,O,X,X,X
TSLZIOJ,O,O,O,X,X,O,X,X,X,X,X
TSLZJIO,O,O,O,X,X,O,X,O,X,X,X
TSLZJOI,O,O,O,X,X,O,X,O,X,X,X
TSLZOIJ,O,O,O,X,X,O,X,X,X,X,X
TSLZOJI,O,X,O,X,X,O,X,X,X,X,X
TSLOIJZ,O,X,O,O,X,X,X,O,X,X,X
TSLOIZJ,O,X,O,X,X,O,X,X,X,X,X
TSLOJIZ,O,X,O,O,X,X,X,O,X,X,X
