sequence,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFufBcgB9iBTeBXo?BSyB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbB9jBXgB0iBus?BTtB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbB9iBTeBXgB8s?B+tB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFufBcgB9iB/oBzs?B6tB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFGbB3dBcjBzfBqs?B9tB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFqfBTbB3dBcjBts?B+tB,v115@3gC8GeB8GeD8DeF8CeG8Mex6IvhF9iBOkBXgB6oB8s?BTtB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFqfBTbB3dB9jBUo?BWyB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbB9jBXgB0iBGt?BzsB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbBTeBXgBGoBUt?B9sB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFWgB9iB6oBXgB8s?BTtB
TLOZJSI,O,X,X,O,O,X,X,X,X,X,X
TLOZSIJ,O,X,X,O,O,X,X,X,X,X,X
TLOZSJI,O,X,X,O,O,X,X,X,X,X,X
TJILSZO,O,X,X,X,O,O,X,X,O,X,X
TJILSOZ,O,X,X,X,X,O,X,X,O,X,X
TJILZSO,O,X,X,X,O,O,X,O,O,X,O
TJILZOS,O,X,X,X,O,O,X,O,X,X,O
TJILOSZ,X,X,X,X,X,O,X,X,X,X,X
TJILOZS,X,X,X,X,O,O,X,O,X,X,X
TJISLZO,X,X,O,X,X,O,O,X,O,X,X
TJISLOZ,X,X,X,X,X,O,X,X,O,X,X
TJISZLO,X,X,O,X,X,O,O,X,O,X,O
TJISZOL,X,X,O,X,X,O,O,X,O,X,X
TJISOLZ,X,X,X,X,X,X,X,X,O,X,X
TJISOZL,X,X,X,X,X,X,O,X,O,X,X
TJIZLSO,O,X,O,X,X,O,O,O,O,X,O
TJIZLOS,O,X,O,O,X,O,X,O,X,X,O
TJIZSLO,O,X,O,X,X,O,O,O,O,X,O
TJIZSOL,X,X,O,O,X,O,O,O,O,X,X
TJIZOLS,O,X,O,O,X,O,X,O,X,X,O
TJIZOSL,X,X,O,O,X,O,X,O,O,X,X
TJIOLSZ,X,X,X,X,X,O,X,X,X,X,X
TJIOLZS,X,X,X,X,X,O,X,X,X,X,X
TJIOSLZ,X,X,X,X,X,X,X,X,O,X,X
TJIOSZL,X,X,X,O,X,X,X,X,O,X,X
TJIOZLS,X,X,X,O,X,O,X,X,X,X,O
TJIOZSL,X,X,X,O,X,O,X,X,O,X,X
TJLISZO,O,X,X,X,O,O,X,X,O,X,X
TJLISOZ,O,X,X,X,X,O,X,X,O,X,X
TJLIZSO,O,X,X,X,O,O,X,O,O,X,O
TJLIZOS,O,X,X,X,O,O,X,O,X,X,O
TJLIOSZ,X,X,X,X,X,O,X,X,X,X,X
TJLIOZS,X,X,X,X,O,O,X,O,X,X,X
TJLSIZO,O,X,X,X,O,O,O,X,O,X,X
TJLSIOZ,O,X,X,X,X,O,X,X,O,X,X
TJLSZIO,O,X,X,X,O,O,O,X,O,X,X
TJLSZOI,O,X,X,X,O,O,O,X,O,X,X
TJLSOIZ,O,X,X,X,X,O,X,X,O,X,X
TJLSOZI,O,X,X,X,X,O,X,X,O,X,X
TJLZISO,O,X,X,X,O,O,O,O,O,X,O
TJLZIOS,O,X,X,X,O,O,X,O,X,X,O
TJLZSIO,O,X,X,X,O,O,O,O,O,X,O
TJLZSOI,O,X,X,X,O,O,O,O,O,X,X
TJLZOIS,O,X,X,X,O,O,X,O,X,X,O
TJLZOSI,O,X,X,X,O,O,O,O,X,X,X
TJLOISZ,X,X,X,X,X,O,X,X,X,X,X
TJLOIZS,X,X,X,X,O,O,X,O,X,X,X
TJLOSIZ,X,X,X,X,X,O,X,X,X,X,X
TJLOSZI,X,X,X,X,X,O,X,X,X,X,X
TJLOZIS,X,X,X,X,O,O,X,O,X,X,X
TJLOZSI,X,X,X,X,O,O,X,O,X,X,X
TJSILZO,X,X,O,X,X,O,O,X,O,X,X
TJSILOZ,X,X,X,X,X,O,X,X,O,X,X
TJSIZLO,X,X,O,X,X,O,O,X,O,X,O
TJSIZOL,X,X,O,X,X,O,O,X,O,X,X
TJSIOLZ,X,X,X,X,X,X,X,X,O,X,X
TJSIOZL,X,X,X,X,X,X,O,X,O,X,X
TJSLIZO,X,X,O,X,X,O,O,X,O,X,X
TJSLIOZ,X,X,X,X,X,O,X,X,O,X,X
TJSLZIO,X,X,O,X,X,O,O,X,O,X,X
TJSLZOI,X,X,O,X,X,O,O,X,O,X,X
TJSLOIZ,X,X,X,X,X,O,X,X,O,X,X
TJSLOZI,X,X,X,X,X,O,X,X,O,X,X
TJSZILO,X,X,O,X,X,O,O,X,O,X,O
TJSZIOL,X,X,O,X,X,O,O,X,O,X,X
TJSZLIO,X,X,O,X,X,O,O,X,O,X,O
TJSZLOI,X,X,O,X,X,O,O,X,O,X,X
TJSZOIL,X,X,O,X,X,O,O,X,O,X,X
TJSZOLI,X,X,O,X,X,O,O,X,O,X,X
TJSOILZ,X,X,X,X,X,X,X,X,O,X,X
TJSOIZL,X,X,X,X,X,X,O,X,O,X,X
TJSOLIZ,X,X,X,X,X,O,X,X,O,X,X
TJSOLZI,X,X,X,X,X,O,X,X,O,X,X
TJSOZIL,X,X,X,X,X,O,O,X,O,X,X
TJSOZLI,X,X,X,X,X,O,O,X,O,X,X
TJZILSO,O,X,O,X,X,O,O,O,O,X,O
TJZILOS,O,X,O,O,X,O,X,O,X,X,O
TJZISLO,O,X,O,X,X,O,O,O,O,X,O
TJZISOL,X,X,O,O,X,O,O,O,O,X,X
TJZIOLS,O,X,O,O,X,O,X,O,X,X,O
TJZIOSL,X,X,O,O,X,O,X,O,O,X,X
TJZLISO,O,X,O,X,X,O,O,O,O,X,O
TJZLIOS,O,X,O,O,X,O,X,O,X,X,O
TJZLSIO,O,X,O,X,X,O,O,O,O,X,O
TJZLSOI,O,X,O,X,X,O,O,O,O,X,X
TJZLOIS,O,X,O,O,X,O,X,O,X,X,O
TJZLOSI,O,X,O,O,X,O,O,O,X,X,X
TJZSILO,O,X,O,X,X,O,O,O,O,X,O
TJZSIOL,X,X,O,O,X,O,O,O,O,X,X
TJZSLIO,O,X,O,X,X,O,O,O,O,X,O
TJZSLOI,O,X,O,X,X,O,O,O,O,X,X
TJZSOIL,X,X,O,O,X,O,O,O,O,X,X
TJZSOLI,X,X,O,O,X,O,O,O,O,X,X
TJZOILS,O,X,O,O,X,O,X,O,X,X,O
TJZOISL,X,X,O,O,X,O,X,O,O,X,X
TJZOLIS,O,X,O,O,X,O,X,O,X,X,O
TJZOLSI,O,X,O,O,X,O,O,O,X,X,X
TJZOSIL,X,X,O,O,X,O,O,O,O,X,X
TJZOSLI,X,X,O,O,X,O,O,O,O,X,X
TJOILSZ,X,X,X,X,X,O,X,X,X,X,X
TJOILZS,X,X,X,X,X,O,X,X,X,X,X
TJOISLZ,X,X,X,X,X,X,X,X,O,X,X
TJOISZL,X,X,X,O,X,X,X,X,O,X,X
TJOIZLS,X,X,X,O,X,O,X,X,X,X,O
TJOIZSL,X,X,X,O,X,O,X,X,O,X,X
TJOLISZ,X,X,X,X,X,O,X,X,X,X,X
TJOLIZS,X,X,X,X,X,O,X,O,X,X,X
TJOLSIZ,X,X,X,X,X,O,X,X,X,X,X
TJOLSZI,X,X,X,X,X,O,X,X,X,X,X
TJOLZIS,X,X,X,X,X,O,X,O,X,X,X
TJOLZSI,X,X,X,X,X,O,X,O,X,X,X
TJOSILZ,X,X,X,X,X,X,X,X,O,X,X
TJOSIZL,X,X,X,O,X,X,O,X,O,X,X
TJOSLIZ,X,X,X,X,X,O,X,X,O,X,X
TJOSLZI,X,X,X,X,X,O,X,X,O,X,X
TJOSZIL,X,X,X,O,X,O,O,X,O,X,X
TJOSZLI,X,X,X,O,X,O,O,X,O,X,X
TJOZILS,X,X,X,O,X,O,X,O,X,X,O
TJOZISL,X,X,X,O,X,O,X,O,O,X,X
TJOZLIS,X,X,X,O,X,O,X,O,X,X,O
TJOZLSI,X,X,X,O,X,O,O,O,X,X,X
TJOZSIL,X,X,X,O,X,O,O,O,O,X,X
TJOZSLI,X,X,X,O,X,O,O,O,O,X,X
TSILJZO,O,X,O,X,X,X,X,X,O,X,X
TSILJOZ,O,X,X,X,X,X,X,X,O,X,X
TSILZJO,O,O,X,X,X,X,X,X,O,O,X
TSILZOJ,O,O,X,X,X,X,X,X,O,X,X
TSILOJZ,O,O,X,X,X,X,X,X,X,X,X
TSILOZJ,O,O,X,X,X,X,X,X,X,X,X
TSIJLZO,X,X,O,X,X,X,O,X,O,X,X
TSIJLOZ,X,X,X,X,X,X,X,X,O,X,X
TSIJZLO,X,X,O,X,X,X,O,X,O,X,O
TSIJZOL,X,X,O,X,X,X,O,X,O,X,X
TSIJOLZ,X,X,X,X,X,X,X,X,O,X,X
TSIJOZL,X,X,X,X,X,X,O,X,O,X,X
TSIZLJO,O,O,X,X,X,X,O,X,O,O,O
TSIZLOJ,O,O,X,X,X,X,X,X,O,X,X
TSIZJLO,O,O,X,X,X,X,O,X,O,O,O
TSIZJOL,X,X,X,O,X,X,O,X,X,O,X
TSIZOLJ,X,O,X,O,X,X,X,X,O,X,X
TSIZOJL,X,X,X,O,X,X,X,X,X,X,X
TSIOLJZ,X,O,X,X,X,X,X,X,X,X,X
TSIOLZJ,X,O,X,O,X,X,X,X,X,X,X
TSIOJLZ,X,O,X,X,X,X,X,X,X,X,X
TSIOJZL,X,O,X,O,X,X,X,X,X,X,X
TSIOZLJ,X,O,X,O,X,X,X,X,X,X,X
TSIOZJL,X,O,X,O,X,X,X,X,X,X,X
TSLIJZO,O,X,O,X,X,X,X,X,O,X,X
TSLIJOZ,O,X,X,X,X,X,X,X,O,X,X
TSLIZJO,O,O,X,X,X,X,X,X,O,O,X
TSLIZOJ,O,O,X,X,X,X,X,X,O,X,X
TSLIOJZ,O,O,X,X,X,X,X,X,X,X,X
TSLIOZJ,O,O,X,X,X,X,X,X,X,X,X
TSLJIZO,O,X,O,X,X,X,O,X,O,X,X
TSLJIOZ,O,X,X,X,X,X,X,X,O,X,X
TSLJZIO,O,X,O,X,X,X,O,X,O,X,X
TSLJZOI,O,X,O,X,X,X,O,X,O,X,X
TSLJOIZ,O,X,X,X,X,X,X,X,O,X,X
TSLJOZI,O,X,X,X,X,X,X,X,O,X,X
TSLZIJO,O,O,X,X,X,X,O,X,O,O,X
TSLZIOJ,O,O,X,X,X,X,X,X,O,X,X
TSLZJIO,O,O,X,X,X,X,O,X,O,O,X
TSLZJOI,O,X,X,X,X,X,O,X,X,X,X
TSLZOIJ,O,O,X,X,X,X,X,X,O,X,X
TSLZOJI,O,X,X,X,X,X,O,X,X,X,X
TSLOIJZ,O,O,X,X,X,X,X,X,X,X,X
TSLOIZJ,O,O,X,X,X,X,X,X,X,X,X
TSLOJIZ,O,O,X,X,X,X,X,X,X,X,X
TSLOJZI,O,O,X,X,X,X,X,X,X,X,X
TSLOZIJ,O,O,X,X,X,X,X,X,X,X,X
TSLOZJI,O,O,X,X,X,X,X,X,X,X,X
TSJILZO,X,X,O,X,X,X,O,X,O,X,X
TSJILOZ,X,X,X,X,X,X,X,X,O,X,X
TSJIZLO,X,X,O,X,X,X,O,X,O,X,O
TSJIZOL,X,X,O,X,X,X,O,X,O,X,X
TSJIOLZ,X,X,X,X,X,X,X,X,O,X,X
TSJIOZL,X,X,X,X,X,X,O,X,O,X,X
TSJLIZO,X,X,O,X,X,X,O,X,O,X,X
TSJLIOZ,X,X,X,X,X,X,X,X,O,X,X
TSJLZIO,X,X,O,X,X,X,O,X,O,X,X
TSJLZOI,X,X,O,X,X,X,O,X,O,X,X
TSJLOIZ,X,X,X,X,X,X,X,X,O,X,X
TSJLOZI,X,X,X,X,X,X,X,X,O,X,X
TSJZILO,X,X,O,X,X,X,O,X,O,X,O
TSJZIOL,X,X,O,X,X,X,O,X,O,X,X
TSJZLIO,X,X,O,X,X,X,O,X,O,X,O
TSJZLOI,X,X,O,X,X,X,O,X,O,X,X
TSJZOIL,X,X,O,X,X,X,O,X,O,X,X
TSJZOLI,X,X,O,X,X,X,O,X,O,X,X
TSJOILZ,X,X,X,X,X,X,X,X,O,X,X
