sequence,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhF0d?B6jBzfB2nBFsBXtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFKi?BGeBzfBUjBFsBXtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFOi?BXeBzfBSoBUsBFtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je6/IvhFOg?BxdB/nBToBUsBFtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je06IvhFyi?B5jBXgBTiBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8JeX7IvhFyi?B5jB0fBTiBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je06IvhFxd?BTiB6oBXgBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhF0d?B6jBzfBenBFtB3sB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFld?BcjBzfBXnBStB2xB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8JeX7IvhFxd?BTiB6oB0fBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFOi?BzfBFjB6oBftBUsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je6/IvhFOg?BxiB/nBToBUsBFtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFGe?BzfBynBctBFsB/sB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFzf?B0iB6oBenB3sBFtB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je06IvhFxi?BXgBCjBVsBToB2xB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Je06IvhFxi?BXgBTiB6oBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8JeX7IvhFxi?B0fBTiB6oBetBFsB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhFzf?B1nBStBenBctB3sB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8JeX7IvhF5j?BenBziB0fBlnByxB,v115@3gB8DeA8BeC8DeA8BeC8DeE8EeF8CeA8Jex6IvhF0d?B6jBzfBXnBVtB2xB
TIJLZSO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJLZOS,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJLOSZ,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TIJLOZS,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJSLZO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJSLOZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
TIJSZLO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TIJSZOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TIJSOLZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TIJSOZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJZLSO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJZLOS,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJZSLO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TIJZSOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
TIJZOLS,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
TIJZOSL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
TIJOLSZ,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJOLZS,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TIJOSZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJOZLS,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJOZSL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TISLJZO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TISLJOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISLZJO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TISLZOJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TISLOJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TISJLZO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TISJLOZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
TISJZLO,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TISJZOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISJOLZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TISJOZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISZLJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TISZLOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TISZJLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TISZJOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISZOLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TISZOJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISOLJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TISOJLZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TISOZJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZLOJS,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIZLOSJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIZJLSO,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZJLOS,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZJSLO,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZJSOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TIZJOLS,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
TIZJOSL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TIZSLJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSJLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSOJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZOLJS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIZOLSJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIZOJLS,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TIZOJSL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZOSLJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIZOSJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOLJSZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TIOLZSJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIOJLSZ,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TIOJZSL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOSLJZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIOSZJL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOZLJS,X,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TIOZLSJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIOZJLS,O,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TIOZJSL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOZSLJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIOZSJL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIJSZO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIJZSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLIJOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLISZJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLIZOJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIZOSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIOJSZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLIOJZS,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLIOSJZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLIOSZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLIOZSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJISOZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
TLJIZSO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJIZOS,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJIOSZ,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TLJIOZS,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJSIZO,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJSIOZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
TLJSZIO,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TLJSOZI,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJZIOS,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJZSIO,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJZOSI,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X
TLJOIZS,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TLJOSIZ,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X
TLJOSZI,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
TLJOZIS,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TLJOZSI,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
TLSIJZO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSIZJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLSJIOZ,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X
TLSJZIO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TLSJOZI,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSZOJI,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSOIJZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLSOIZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSOJIZ,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLSOJZI,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLSOZIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSOZJI,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZIJSO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJOS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZISJO,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLZIOJS,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TLZIOSJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TLZJISO,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLZJIOS,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLZJSIO,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,O,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TLZJOSI,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLZSIJO,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZSOJI,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZOIJS,X,O,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,X,X
TLZOISJ,X,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TLZOJIS,X,O,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,O,X,X
TLZOJSI,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TLZOSIJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZOSJI,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLOIJSZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLOIJZS,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TLOISJZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLOISZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOIZJS,X,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X
TLOIZSJ,X,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TLOJISZ,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
TLOJIZS,O,O,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TLOJSIZ,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
TLOJSZI,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
TLOJZIS,O,O,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TLOJZSI,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
TLOSIJZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLOSIZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOSJIZ,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLOSJZI,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLOSZIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOSZJI,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOZIJS,X,O,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,X,X
TLOZISJ,X,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TLOZJIS,X,O,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,O,X,X
TLOZJSI,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TLOZSIJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
