sequence,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhF6gBTcB/iBG?eBZoBlrB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Jex6IvhFTcB/iBcjBG?gBlmBatB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhFxbBXdBzgBF?jBCnBOtB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhF6gBlcBGeB/?mBTiBZoB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhFxbBTdBChBX?jBlmBOtB
TOSILZJ,O,X,X,O,O
TOSIJLZ,O,O,X,O,X
TOSIJZL,O,O,X,O,X
TOSIZLJ,O,X,O,O,O
TOSIZJL,O,O,X,O,X
TOSLIJZ,O,X,O,O,O
TOSLIZJ,O,X,O,O,O
TOSLJIZ,O,O,O,O,O
TOSLJZI,O,O,O,O,O
TOSLZIJ,O,X,O,O,O
TOSLZJI,O,O,O,O,O
TOSJILZ,O,O,X,O,X
TOSJIZL,O,O,X,O,X
TOSJLIZ,O,O,X,O,O
TOSJLZI,O,O,X,O,O
TOSJZIL,O,O,X,O,X
TOSJZLI,O,O,O,O,O
TOSZILJ,O,X,O,O,O
TOSZIJL,O,O,X,O,X
TOSZLIJ,O,X,O,O,O
TOSZLJI,O,O,O,O,O
TOSZJIL,O,O,X,O,X
TOSZJLI,O,O,O,O,O
TOZILJS,O,X,O,O,O
TOZILSJ,O,X,O,O,O
TOZIJLS,O,O,X,O,X
TOZIJSL,O,O,X,O,X
TOZISLJ,O,X,O,O,O
TOZISJL,O,O,X,O,X
TOZLIJS,O,X,O,O,O
TOZLISJ,O,X,O,O,O
TOZLJIS,O,O,O,X,O
TOZLJSI,O,O,O,O,O
TOZLSIJ,O,X,O,O,O
TOZLSJI,O,O,O,O,O
TOZJILS,O,O,X,X,X
TOZJISL,O,O,X,X,X
TOZJLIS,O,O,O,X,O
TOZJLSI,O,O,O,O,O
TOZJSIL,O,O,X,O,X
TOZJSLI,O,O,O,O,O
TOZSILJ,O,X,O,O,O
TOZSIJL,O,O,X,O,X
TOZSLIJ,O,X,O,O,O
TOZSLJI,O,O,O,O,O
TOZSJIL,O,O,X,O,X
TOZSJLI,O,O,O,O,O
ITLJSZO,O,X,X,O,O
ITLJSOZ,O,X,X,O,O
ITLJZSO,O,X,X,O,O
ITLJZOS,O,X,X,O,O
ITLJOSZ,O,X,X,O,O
ITLJOZS,O,X,X,O,O
ITLSJZO,O,X,X,O,O
ITLSJOZ,O,X,X,O,O
ITLSZJO,O,X,X,O,O
