sequence,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je37IvhFchB6iBTeBd?nBWrBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFSiBTeBxmBe?mBUsB3rB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFSiBTeBxmBe?mB3rBUsB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFyhB+iBTeBX?mB0mBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFxcBTeBcnBX?mBWxBirB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFOhBXdBTeBc?nBSrBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFTcBSjBxmBe?nBUrB3sB,v115@zgC8GeB8HeC8EeE8DeG8DeB8JeR8IvhF9iBTeB0gB+?rBKsBXrB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFicBGeBxmBz?mBUrB3sB,v115@zgC8GeB8HeC8EeE8DeG8DeB8JeR8IvhF9iBTeBXhB+?rBKsB0qB,v115@zgC8GeB8HeC8EeE8DeG8DeB8JeR8IvhF9iBTeB6lBO?mB3rBUsB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFTeB3hBcnBe?mBCnBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhF6iBTeBmhBX?mB0mBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je37IvhF5hBTeB8lBN?nB2wB6sB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je38IvhF9iBTeB6lBm?mBUmBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFxdBmhBCjBX?mBUsBTrB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFyhB+iBTeB0?mBXmBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8JeR8IvhFTeB6lBOrBX?nB9sB0rB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je37IvhFuhB9iBTeB8?lByrBxwB,v115@zgC8GeB8HeC8EeE8DeG8DeB8JeR8IvhFTeB6lBcmBX?nB9sB2wB,v115@zgC8GeB8HeC8EeE8DeG8DeB8JeuBJvhFTeB0gBRrBX?sBarB9sB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFTeBXmB8rB5?nBmrBirB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFicBGeBUiBR?rBTrB3sB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFTeBxhBcnBX?mBWxBirB,v115@zgC8GeB8HeC8EeE8DeG8DeB8Je9AJvhFxcBTeBXmB8?rB+sBirB
TILOZSJ,O,O,X,X,X,O,O,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X
TIJLSZO,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TIJLSOZ,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TIJLZSO,O,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TIJLZOS,O,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TIJLOSZ,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X
TIJLOZS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TIJSLZO,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJSLOZ,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIJSZLO,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIJSZOL,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIJSOLZ,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X
TIJSOZL,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X
TIJZLSO,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJZLOS,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJZSLO,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJZSOL,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJZOLS,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
TIJZOSL,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X
TIJOLSZ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,O,X,X
TIJOLZS,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TIJOSLZ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X
TIJOSZL,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X
TIJOZLS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
TIJOZSL,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X
TISLJZO,O,X,O,O,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TISLJOZ,O,O,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TISLZJO,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TISLZOJ,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TISLOJZ,O,O,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TISLOZJ,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,O,X
TISJLZO,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TISJLOZ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TISJZLO,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X
TISJZOL,O,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X
TISJOLZ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X
TISJOZL,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,O,X
TISZLJO,O,O,O,O,X,O,O,X,O,X,X,O,O,X,X,O,O,X,O,X,X,O,X,X,X
TISZLOJ,O,O,O,X,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X
TISZJLO,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,O,X,O,O,X,X,O
TISZJOL,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,O
TISZOLJ,O,O,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X
TISZOJL,O,O,O,O,O,O,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,O,X,O,X
TISOLJZ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
TISOLZJ,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X
TISOJLZ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X
TISOJZL,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,O,X
TISOZLJ,O,O,O,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,O,O,O,X
TISOZJL,O,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,O,O,O,X
TIZLJSO,O,O,X,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TIZLJOS,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TIZLSJO,O,O,X,X,X,O,O,X,O,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
TIZLOJS,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TIZLOSJ,O,O,X,X,O,O,O,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
TIZJLSO,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TIZJLOS,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TIZJSLO,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZJSOL,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZJOLS,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
TIZJOSL,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X
TIZSLJO,O,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TIZSLOJ,O,O,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TIZSJLO,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X
TIZSJOL,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X
TIZSOLJ,O,O,O,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TIZSOJL,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TIZOLJS,O,O,O,X,X,O,O,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TIZOLSJ,O,O,X,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X
TIZOJLS,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
TIZOJSL,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X
TIZOSLJ,O,O,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X
TIZOSJL,O,O,O,O,O,O,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X
TIOLJSZ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,O,X,X
TIOLJZS,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TIOLSJZ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
TIOLSZJ,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
TIOLZJS,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TIOLZSJ,O,O,X,X,X,O,O,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X
TIOJLSZ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,O,X,X
TIOJLZS,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TIOJSLZ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X
TIOJSZL,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X
TIOJZLS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
TIOJZSL,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X
TIOSLJZ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
TIOSLZJ,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X
TIOSJLZ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X
TIOSJZL,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,O,X
TIOSZLJ,O,O,O,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,O,O,O,X
TIOSZJL,O,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,O,O,O,X
TIOZLJS,O,O,O,X,X,O,O,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TIOZLSJ,O,O,X,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X
TIOZJLS,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
TIOZJSL,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X
TIOZSLJ,O,O,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X
TIOZSJL,O,O,O,O,O,O,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X
TLIJSZO,O,X,O,O,X,O,X,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TLIJSOZ,O,O,O,O,X,O,X,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TLIJZSO,O,O,X,X,X,O,O,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TLIJZOS,O,O,O,O,X,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TLIJOSZ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,O,X,X
TLIJOZS,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TLISJZO,O,X,O,O,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TLISJOZ,O,O,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TLISZJO,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TLISZOJ,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TLISOJZ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TLISOZJ,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TLIZJSO,O,O,X,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TLIZJOS,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TLIZSJO,O,O,X,X,X,O,O,X,O,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,X,O,O,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TLIZOJS,O,O,O,X,X,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TLIZOSJ,O,O,X,X,X,O,O,X,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
TLIOJSZ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,O,X,X
TLIOJZS,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TLIOSJZ,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
TLIOSZJ,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,O,X,X
TLIOZJS,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,O,O,X,O,X,X,X,O,X,X
TLIOZSJ,O,O,X,X,X,O,O,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X
TLJISZO,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TLJISOZ,O,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TLJIZSO,O,X,X,X,X,O,O,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TLJIZOS,O,X,X,O,X,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X
TLJIOSZ,O,X,X,O,X,X,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,O,X,X
TLJIOZS,O,X,X,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TLJSIZO,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLJSIOZ,O,X,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJSZIO,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLJSZOI,O,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,O,X,X,X,O,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
TLJSOZI,O,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLJZISO,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZIOS,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZSIO,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZSOI,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJZOSI,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,X,X,O,X,X,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TLJOIZS,O,X,X,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TLJOSIZ,O,X,X,O,X,X,X,O,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
TLJOSZI,O,X,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJOZIS,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOZSI,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSIZJO,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TLSIZOJ,X,X,O,X,X,X,O,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TLSIOJZ,X,X,O,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,O,X
TLSJIZO,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSJZIO,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLSJZOI,X,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,O,X,X,X,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSJOZI,X,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLSZIJO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
TLSZIOJ,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X
TLSZJIO,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O
TLSZJOI,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O
TLSZOIJ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X
TLSZOJI,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TLSOIJZ,X,X,O,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,O,X
TLSOJIZ,X,X,X,O,X,X,X,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSOJZI,X,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X
TLSOZJI,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLZIJSO,X,O,X,X,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
