sequence,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jez6IvhFGc?B/iBajB5jBllBUrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8JeC7IvhFmd?B5jB/lBFmB0nBTrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jez6IvhFmd?B5jB0iBllBfrB6rB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jez6IvhFGd?BRhB6oBXjBllBUrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8JeR7IvhFSi?BTeBFgB8lBGoB3rB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jez6IvhFGd?BRhBXjB6oBllBUrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8Jex9IvhFFg?BXhB0iB6oBGlBTrB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8JefAJvhFlb?BidB5jB8lBznB+rB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeD8BeD8JeSCJvhFTe?BRgBFgB8lBGoB3rB
TISZOLJ,O,O,O,X,X,X,X,O,X
TISZOJL,O,O,O,X,X,O,X,O,X
TISOLJZ,O,X,X,O,X,O,X,X,X
TISOLZJ,O,O,X,X,X,X,X,X,X
TISOJLZ,O,X,X,O,X,O,X,X,X
TISOJZL,O,X,X,X,X,O,X,X,X
TISOZLJ,O,O,O,X,X,X,X,O,X
TISOZJL,O,O,O,X,X,O,X,O,X
TIZLJSO,X,O,O,X,X,X,O,X,X
TIZLJOS,X,X,O,O,X,X,X,X,X
TIZLSJO,X,O,O,X,X,X,O,X,X
TIZLSOJ,X,O,O,X,X,X,O,X,X
TIZLOJS,X,X,O,O,X,X,X,X,X
TIZLOSJ,X,X,O,X,X,X,O,X,X
TIZJLSO,X,O,O,X,X,X,X,X,X
TIZJLOS,X,X,O,O,X,X,X,X,X
TIZJSLO,O,O,O,X,X,X,X,X,X
TIZJSOL,O,O,O,X,X,O,X,X,X
TIZJOLS,X,X,O,O,X,X,X,X,X
TIZJOSL,O,X,O,X,X,O,X,X,X
TIZSLJO,O,O,O,X,X,X,O,X,X
TIZSLOJ,O,O,O,X,X,X,O,O,X
TIZSJLO,O,O,O,X,X,X,X,X,X
TIZSJOL,O,O,O,X,X,O,X,O,X
TIZSOLJ,O,O,O,X,X,X,X,O,X
TIZSOJL,O,O,O,X,X,O,X,O,X
TIZOLJS,X,X,O,O,X,X,X,X,X
TIZOLSJ,X,X,O,X,X,X,X,X,X
TIZOJLS,X,X,O,O,X,X,X,X,X
TIZOJSL,O,X,O,X,X,O,X,X,X
TIZOSLJ,O,X,O,X,X,X,X,O,X
TIZOSJL,O,X,O,X,X,O,X,O,X
TIOLJSZ,O,X,X,O,X,O,X,X,X
TIOLJZS,X,X,X,O,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,O,X,X,X
TIOLSZJ,O,X,X,X,X,X,X,X,X
TIOLZJS,X,X,O,O,X,X,X,X,X
TIOLZSJ,X,X,O,X,X,X,X,X,X
TIOJLSZ,O,X,X,O,X,O,X,X,X
TIOJLZS,X,X,X,O,X,X,X,X,X
TIOJSLZ,O,X,X,O,X,O,X,X,X
TIOJSZL,O,X,X,X,X,O,X,X,X
TIOJZLS,X,X,O,O,X,X,X,X,X
TIOJZSL,O,X,O,X,X,O,X,X,X
TIOSLJZ,O,X,X,O,X,O,X,X,X
TIOSLZJ,O,X,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,O,X,O,X,X,X
TIOSJZL,O,X,X,X,X,O,X,X,X
TIOSZLJ,O,X,O,X,X,X,X,O,X
TIOSZJL,O,X,O,X,X,O,X,O,X
TIOZLJS,X,X,O,O,X,X,X,X,X
TIOZLSJ,X,X,O,X,X,X,X,X,X
TIOZJLS,X,X,O,O,X,X,X,X,X
TIOZJSL,O,X,O,X,X,O,X,X,X
TIOZSLJ,O,X,O,X,X,X,X,O,X
TIOZSJL,O,X,O,X,X,O,X,O,X
TLIJSZO,O,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,X,O,X,O,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,O,X,X,X,X,X
TLIJOSZ,O,X,X,O,X,O,X,X,X
TLIJOZS,X,X,X,O,X,X,X,X,O
TLISJZO,O,O,X,X,X,X,X,X,X
TLISJOZ,O,X,X,O,X,O,X,X,X
TLISZJO,O,O,X,X,X,X,O,X,X
TLISZOJ,O,O,X,X,X,X,O,X,X
TLISOJZ,O,X,X,O,X,O,X,X,X
TLISOZJ,O,O,X,X,X,X,X,X,X
TLIZJSO,X,O,O,X,X,X,O,X,X
TLIZJOS,X,X,O,O,X,X,X,X,X
TLIZSJO,X,O,O,X,X,X,O,X,X
TLIZSOJ,X,O,O,X,X,X,O,X,X
TLIZOJS,X,X,O,O,X,X,X,X,X
TLIZOSJ,X,X,O,X,X,X,O,X,X
TLIOJSZ,O,X,X,O,X,O,X,X,X
TLIOJZS,X,X,X,O,X,X,X,X,X
TLIOSJZ,O,X,X,O,X,O,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,X,X
TLIOZJS,X,X,O,O,X,X,X,X,X
TLIOZSJ,X,X,O,X,X,X,X,X,X
TLJISZO,O,X,X,X,X,X,X,X,X
TLJISOZ,O,X,X,O,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X,X
TLJIZOS,X,X,X,O,X,X,X,X,X
TLJIOSZ,O,X,X,O,X,X,X,X,X
TLJIOZS,X,X,X,O,X,X,X,X,O
TLJSIZO,O,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,X,X,X,O,X,X
TLJSZOI,O,X,X,X,X,X,O,X,X
TLJSOIZ,O,X,X,X,X,X,X,X,X
TLJSOZI,O,X,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,O,X,O,X,X
TLJZIOS,X,X,X,X,O,X,X,X,X
TLJZSIO,X,X,X,X,O,X,O,X,X
TLJZSOI,X,X,X,X,O,X,O,X,X
TLJZOIS,X,X,X,X,O,X,X,X,X
TLJZOSI,X,X,X,X,O,X,X,X,X
TLJOISZ,O,X,X,O,X,X,X,X,X
TLJOIZS,X,X,X,O,X,X,X,X,O
TLJOSIZ,O,X,X,X,X,X,X,X,X
TLJOSZI,O,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,X,O,X,X,X,X
TLJOZSI,X,X,X,X,O,X,X,X,X
TLSIJZO,O,O,X,X,X,X,X,X,X
TLSIJOZ,O,X,X,O,X,O,X,X,X
TLSIZJO,O,O,X,X,X,X,O,X,X
TLSIZOJ,O,O,X,X,X,X,O,X,X
TLSIOJZ,O,X,X,O,X,O,X,X,X
TLSIOZJ,O,O,X,X,X,X,X,X,X
TLSJIZO,O,O,X,X,X,X,X,X,X
TLSJIOZ,O,X,X,X,X,O,X,X,X
TLSJZIO,O,O,X,X,X,X,O,X,X
TLSJZOI,O,O,X,X,X,X,O,X,X
TLSJOIZ,O,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,X,X,X,X,X
TLSZIJO,O,O,X,X,X,X,O,X,X
TLSZIOJ,O,O,X,X,X,X,O,X,X
TLSZJIO,O,O,X,X,X,X,O,X,X
TLSZJOI,O,O,X,X,X,X,O,X,X
TLSZOIJ,O,O,X,X,X,X,O,X,X
TLSZOJI,O,O,X,X,X,X,O,X,X
TLSOIJZ,O,X,X,O,X,O,X,X,X
TLSOIZJ,O,O,X,X,X,X,X,X,X
TLSOJIZ,O,X,X,X,X,X,X,X,X
TLSOJZI,O,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,X,X,X,X,O,X,X
TLSOZJI,O,O,X,X,X,X,O,X,X
TLZIJSO,X,O,O,X,O,X,O,X,X
TLZIJOS,X,X,O,O,O,X,X,X,X
TLZISJO,X,O,O,X,O,X,O,X,X
TLZISOJ,X,O,O,X,X,X,O,X,X
TLZIOJS,X,X,O,O,O,X,X,X,X
TLZIOSJ,X,X,O,X,X,X,O,X,X
TLZJISO,X,O,O,X,O,X,O,X,X
TLZJIOS,X,X,O,X,O,X,X,X,X
TLZJSIO,X,O,X,X,O,X,O,X,X
TLZJSOI,X,O,X,X,O,X,O,X,X
TLZJOIS,X,X,O,X,O,X,X,X,X
TLZJOSI,X,X,X,X,O,X,X,X,X
TLZSIJO,X,O,X,X,O,X,O,X,X
TLZSIOJ,X,O,X,X,X,X,O,X,X
TLZSJIO,X,O,X,X,O,X,O,X,X
TLZSJOI,X,O,X,X,O,X,O,X,X
TLZSOIJ,X,O,X,X,X,X,O,X,X
TLZSOJI,X,O,X,X,X,X,O,X,X
TLZOIJS,X,X,O,O,O,X,X,X,X
TLZOISJ,X,X,O,X,X,X,O,X,X
TLZOJIS,X,X,O,X,O,X,X,X,X
TLZOJSI,X,X,X,X,O,X,X,X,X
TLZOSIJ,X,X,X,X,X,X,O,X,X
TLZOSJI,X,X,X,X,X,X,O,X,X
TLOIJSZ,O,X,X,O,X,O,X,X,X
TLOIJZS,X,X,X,O,X,X,X,X,X
TLOISJZ,O,X,X,O,X,O,X,X,X
TLOISZJ,O,X,X,X,X,X,X,X,X
TLOIZJS,X,X,O,O,X,X,X,X,X
TLOIZSJ,X,X,O,X,X,X,X,X,X
TLOJISZ,O,X,X,O,X,X,X,X,X
TLOJIZS,X,X,X,O,X,X,X,X,X
TLOJSIZ,O,X,X,X,X,X,X,X,X
TLOJSZI,O,X,X,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,X,X,X,X
TLOJZSI,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,X,O,X,O,X,X,X
TLOSIZJ,O,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,X,X,X,X,X,X,X
TLOSJZI,O,X,X,X,X,X,X,X,X
TLOSZIJ,O,X,X,X,X,X,O,X,X
TLOSZJI,O,X,X,X,X,X,O,X,X
TLOZIJS,X,X,O,O,X,X,X,X,X
TLOZISJ,X,X,O,X,X,X,O,X,X
TLOZJIS,X,X,O,X,X,X,X,X,X
TLOZJSI,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,X,O,X,X
TLOZSJI,X,X,X,X,X,X,O,X,X
TJILSZO,O,X,X,X,X,X,X,X,X
TJILSOZ,O,X,X,O,X,O,X,X,X
TJILZSO,X,X,X,X,X,X,X,X,X
TJILZOS,X,X,X,O,X,X,X,X,X
TJILOSZ,O,X,X,O,X,O,X,X,X
TJILOZS,X,X,X,O,X,X,X,X,O
TJISLZO,O,X,X,X,X,X,X,X,X
TJISLOZ,O,X,X,O,X,O,X,X,X
TJISZLO,O,X,X,X,X,X,X,X,X
TJISZOL,O,X,X,X,X,O,X,X,X
TJISOLZ,O,X,X,O,X,O,X,X,X
TJISOZL,O,X,X,X,X,O,X,X,X
TJIZLSO,X,X,O,X,X,X,X,X,X
TJIZLOS,X,X,O,O,X,X,X,X,X
TJIZSLO,O,X,O,X,X,X,X,X,X
TJIZSOL,O,X,O,X,X,O,X,X,X
TJIZOLS,X,X,O,O,X,X,X,X,X
TJIZOSL,O,X,O,X,X,O,X,X,X
TJIOLSZ,O,X,X,O,X,O,X,X,X
TJIOLZS,X,X,X,O,X,X,X,X,O
TJIOSLZ,O,X,X,O,X,O,X,X,X
TJIOSZL,O,X,X,X,X,O,X,X,X
TJIOZLS,X,X,O,O,X,X,X,X,X
TJIOZSL,O,X,O,X,X,O,X,X,X
TJLISZO,O,X,X,X,X,X,X,X,X
TJLISOZ,O,X,X,O,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,X,X,X
TJLIZOS,X,X,X,O,X,X,X,X,X
TJLIOSZ,O,X,X,O,X,X,X,X,X
TJLIOZS,X,X,X,O,X,X,X,X,O
TJLSIZO,O,X,X,X,X,X,X,X,X
TJLSIOZ,O,X,X,X,X,X,X,X,X
TJLSZIO,O,X,X,X,X,X,O,X,X
TJLSZOI,O,X,X,X,X,X,O,X,X
TJLSOIZ,O,X,X,X,X,X,X,X,X
TJLSOZI,O,X,X,X,X,X,X,X,X
TJLZISO,X,X,X,X,O,X,O,X,X
TJLZIOS,X,X,X,X,O,X,X,X,X
TJLZSIO,X,X,X,X,O,X,O,X,X
TJLZSOI,X,X,X,X,O,X,O,X,X
TJLZOIS,X,X,X,X,O,X,X,X,X
TJLZOSI,X,X,X,X,O,X,X,X,X
TJLOISZ,O,X,X,O,X,X,X,X,X
TJLOIZS,X,X,X,O,X,X,X,X,O
TJLOSIZ,O,X,X,X,X,X,X,X,X
TJLOSZI,O,X,X,X,X,X,X,X,X
TJLOZIS,X,X,X,X,O,X,X,X,X
TJLOZSI,X,X,X,X,O,X,X,X,X
TJSILZO,O,X,X,X,X,X,X,X,X
TJSILOZ,O,X,X,X,X,O,X,X,X
TJSIZLO,O,X,X,X,X,X,X,X,X
TJSIZOL,O,X,X,X,X,O,X,X,X
TJSIOLZ,O,X,X,X,X,O,X,X,X
TJSIOZL,O,X,X,X,X,O,X,X,X
TJSLIZO,O,X,X,X,X,X,X,X,X
TJSLIOZ,O,X,X,X,X,O,X,X,X
TJSLZIO,O,X,X,X,X,X,O,X,X
TJSLZOI,O,X,X,X,X,X,O,X,X
TJSLOIZ,O,X,X,X,X,X,X,X,X
TJSLOZI,O,X,X,X,X,X,X,X,X
TJSZILO,O,X,X,X,X,X,X,X,X
TJSZIOL,O,X,X,X,X,O,X,X,X
TJSZLIO,O,X,X,X,X,X,O,X,X
TJSZLOI,O,X,X,X,X,X,O,X,X
TJSZOIL,O,X,X,X,X,X,X,X,X
TJSZOLI,O,X,X,X,X,X,X,X,X
TJSOILZ,O,X,X,X,X,O,X,X,X
TJSOIZL,O,X,X,X,X,O,X,X,X
TJSOLIZ,O,X,X,X,X,X,X,X,X
TJSOLZI,O,X,X,X,X,X,X,X,X
TJSOZIL,O,X,X,X,X,X,X,X,X
TJSOZLI,O,X,X,X,X,X,X,X,X
TJZILSO,X,X,O,X,O,X,X,X,X
TJZILOS,X,X,O,X,O,X,X,X,X
TJZISLO,O,X,O,X,O,X,X,X,X
TJZISOL,O,X,O,X,O,X,X,X,X
TJZIOLS,X,X,O,X,O,X,X,X,X
TJZIOSL,O,X,O,X,O,X,X,X,X
TJZLISO,X,X,O,X,O,X,O,X,X
TJZLIOS,X,X,O,X,O,X,X,X,X
TJZLSIO,X,X,X,X,O,X,O,X,X
TJZLSOI,X,X,X,X,O,X,O,X,X
TJZLOIS,X,X,O,X,O,X,X,X,X
TJZLOSI,X,X,X,X,O,X,X,X,X
TJZSILO,O,X,O,X,O,X,X,X,X
TJZSIOL,O,X,O,X,O,X,X,X,X
TJZSLIO,O,X,X,X,O,X,O,X,X
TJZSLOI,O,X,X,X,O,X,O,X,X
TJZSOIL,O,X,O,X,O,X,X,X,X
TJZSOLI,O,X,X,X,O,X,X,X,X
TJZOILS,X,X,O,X,O,X,X,X,X
TJZOISL,O,X,O,X,O,X,X,X,X
TJZOLIS,X,X,O,X,O,X,X,X,X
TJZOLSI,X,X,X,X,O,X,X,X,X
TJZOSIL,O,X,O,X,O,X,X,X,X
TJZOSLI,O,X,X,X,O,X,X,X,X
TJOILSZ,O,X,X,O,X,O,X,X,X
TJOILZS,X,X,X,O,X,X,X,X,O
TJOISLZ,O,X,X,O,X,O,X,X,X
TJOISZL,O,X,X,X,X,O,X,X,X
TJOIZLS,X,X,O,O,X,X,X,X,X
TJOIZSL,O,X,O,X,X,O,X,X,X
TJOLISZ,O,X,X,O,X,X,X,X,X
TJOLIZS,X,X,X,O,X,X,X,X,O
TJOLSIZ,O,X,X,X,X,X,X,X,X
TJOLSZI,O,X,X,X,X,X,X,X,X
TJOLZIS,X,X,X,X,O,X,X,X,X
TJOLZSI,X,X,X,X,O,X,X,X,X
TJOSILZ,O,X,X,X,X,O,X,X,X
TJOSIZL,O,X,X,X,X,O,X,X,X
TJOSLIZ,O,X,X,X,X,X,X,X,X
TJOSLZI,O,X,X,X,X,X,X,X,X
TJOSZIL,O,X,X,X,X,X,X,X,X
TJOSZLI,O,X,X,X,X,X,X,X,X
TJOZILS,X,X,O,X,O,X,X,X,X
TJOZISL,O,X,O,X,O,X,X,X,X
TJOZLIS,X,X,O,X,O,X,X,X,X
TJOZLSI,X,X,X,X,O,X,X,X,X
TJOZSIL,O,X,O,X,O,X,X,X,X
TJOZSLI,O,X,X,X,O,X,X,X,X
TSILJZO,O,O,X,X,X,X,X,X,X
TSILJOZ,O,X,X,O,X,O,X,X,X
TSILZJO,O,O,X,X,X,X,O,X,X
TSILZOJ,O,O,X,X,X,X,O,X,X
TSILOJZ,O,X,X,O,X,O,X,X,X
TSILOZJ,O,O,X,X,X,X,X,X,X
TSIJLZO,O,O,X,X,X,X,X,X,X
TSIJLOZ,O,X,X,O,X,O,X,X,X
TSIJZLO,O,O,X,X,X,X,X,X,X
TSIJZOL,O,O,X,X,X,O,X,X,X
TSIJOLZ,O,X,X,O,X,O,X,X,X
TSIJOZL,O,X,X,X,X,O,X,X,X
TSIZLJO,O,O,O,X,X,X,O,X,X
TSIZLOJ,O,O,O,X,X,X,O,O,X
TSIZJLO,O,O,O,X,X,X,X,X,X
TSIZJOL,O,O,O,X,X,O,X,O,X
TSIZOLJ,O,O,O,X,X,X,X,O,X
TSIZOJL,O,O,O,X,X,O,X,O,X
TSIOLJZ,O,X,X,O,X,O,X,X,X
TSIOLZJ,O,O,X,X,X,X,X,X,X
TSIOJLZ,O,X,X,O,X,O,X,X,X
TSIOJZL,O,X,X,X,X,O,X,X,X
TSIOZLJ,O,O,O,X,X,X,X,O,X
TSIOZJL,O,O,O,X,X,O,X,O,X
TSLIJZO,O,O,X,X,X,X,X,X,X
TSLIJOZ,O,X,X,O,X,O,X,X,X
TSLIZJO,O,O,X,X,X,X,O,X,X
TSLIZOJ,O,O,X,X,X,X,O,X,X
TSLIOJZ,O,X,X,O,X,O,X,X,X
TSLIOZJ,O,O,X,X,X,X,X,X,X
TSLJIZO,O,O,X,X,X,X,X,X,X
TSLJIOZ,O,X,X,X,X,O,X,X,X
TSLJZIO,O,O,X,X,X,X,O,X,X
TSLJZOI,O,O,X,X,X,X,O,X,X
TSLJOIZ,O,X,X,X,X,X,X,X,X
TSLJOZI,O,X,X,X,X,X,X,X,X
TSLZIJO,O,O,X,X,X,X,O,X,X
TSLZIOJ,O,O,X,X,X,X,O,X,X
TSLZJIO,O,O,X,X,X,X,O,X,X
TSLZJOI,O,O,X,X,X,X,O,X,X
TSLZOIJ,O,O,X,X,X,X,O,X,X
TSLZOJI,O,O,X,X,X,X,O,X,X
TSLOIJZ,O,X,X,O,X,O,X,X,X
TSLOIZJ,O,O,X,X,X,X,X,X,X
TSLOJIZ,O,X,X,X,X,X,X,X,X
TSLOJZI,O,X,X,X,X,X,X,X,X
TSLOZIJ,O,O,X,X,X,X,O,X,X
TSLOZJI,O,O,X,X,X,X,O,X,X
TSJILZO,O,O,X,X,X,X,X,X,X
TSJILOZ,O,X,X,X,X,O,X,X,X
TSJIZLO,O,O,X,X,X,X,X,X,X
TSJIZOL,O,O,X,X,X,O,X,X,X
TSJIOLZ,O,X,X,X,X,O,X,X,X
TSJIOZL,O,X,X,X,X,O,X,X,X
TSJLIZO,O,O,X,X,X,X,X,X,X
TSJLIOZ,O,X,X,X,X,O,X,X,X
TSJLZIO,O,O,X,X,X,X,O,X,X
TSJLZOI,O,O,X,X,X,X,O,X,X
TSJLOIZ,O,X,X,X,X,X,X,X,X
TSJLOZI,O,X,X,X,X,X,X,X,X
TSJZILO,O,O,X,X,X,X,X,X,X
TSJZIOL,O,O,X,X,X,O,X,X,X
TSJZLIO,O,O,X,X,X,X,O,X,X
TSJZLOI,O,O,X,X,X,X,O,X,X
TSJZOIL,O,O,X,X,X,X,X,X,X
TSJZOLI,O,O,X,X,X,X,X,X,X
TSJOILZ,O,X,X,X,X,O,X,X,X
TSJOIZL,O,X,X,X,X,O,X,X,X
TSJOLIZ,O,X,X,X,X,X,X,X,X
TSJOLZI,O,X,X,X,X,X,X,X,X
TSJOZIL,O,X,X,X,X,X,X,X,X
TSJOZLI,O,X,X,X,X,X,X,X,X
TSZILJO,O,O,O,X,X,X,O,X,X
TSZILOJ,O,O,O,X,X,X,O,O,X
TSZIJLO,O,O,O,X,X,X,X,X,X
TSZIJOL,O,O,O,X,X,O,X,O,X
TSZIOLJ,O,O,O,X,X,X,X,O,X
TSZIOJL,O,O,O,X,X,O,X,O,X
TSZLIJO,O,O,X,X,X,X,O,X,X
TSZLIOJ,O,O,X,X,X,X,O,O,X
TSZLJIO,O,O,X,X,X,X,O,X,X
TSZLJOI,O,O,X,X,X,X,O,X,X
TSZLOIJ,O,O,X,X,X,X,O,O,X
TSZLOJI,O,O,X,X,X,X,O,X,X
TSZJILO,O,O,O,X,X,X,X,X,X
TSZJIOL,O,O,O,X,X,O,X,O,X
TSZJLIO,O,O,X,X,X,X,O,X,X
TSZJLOI,O,O,X,X,X,X,O,X,X
TSZJOIL,O,O,O,X,X,X,X,O,X
TSZJOLI,O,O,X,X,X,X,X,X,X
TSZOILJ,O,O,O,X,X,X,X,O,X
TSZOIJL,O,O,O,X,X,O,X,O,X
TSZOLIJ,O,O,X,X,X,X,O,O,X
TSZOLJI,O,O,X,X,X,X,O,X,X
TSZOJIL,O,O,O,X,X,X,X,O,X
TSZOJLI,O,O,X,X,X,X,X,X,X
TSOILJZ,O,X,X,O,X,O,X,X,X
TSOILZJ,O,O,X,X,X,X,X,X,X
TSOIJLZ,O,X,X,O,X,O,X,X,X
TSOIJZL,O,X,X,X,X,O,X,X,X
TSOIZLJ,O,O,O,X,X,X,X,O,X
TSOIZJL,O,O,O,X,X,O,X,O,X
TSOLIJZ,O,X,X,O,X,O,X,X,X
TSOLIZJ,O,O,X,X,X,X,X,X,X
TSOLJIZ,O,X,X,X,X,X,X,X,X
TSOLJZI,O,X,X,X,X,X,X,X,X
TSOLZIJ,O,O,X,X,X,X,O,X,X
TSOLZJI,O,O,X,X,X,X,O,X,X
TSOJILZ,O,X,X,X,X,O,X,X,X
TSOJIZL,O,X,X,X,X,O,X,X,X
TSOJLIZ,O,X,X,X,X,X,X,X,X
TSOJLZI,O,X,X,X,X,X,X,X,X
TSOJZIL,O,X,X,X,X,X,X,X,X
TSOJZLI,O,X,X,X,X,X,X,X,X
TSOZILJ,O,O,O,X,X,X,X,O,X
TSOZIJL,O,O,O,X,X,O,X,O,X
TSOZLIJ,O,O,X,X,X,X,O,O,X
TSOZLJI,O,O,X,X,X,X,O,X,X
TSOZJIL,O,O,O,X,X,X,X,O,X
TSOZJLI,O,O,X,X,X,X,X,X,X
TZILJSO,X,O,O,X,O,X,O,X,X
TZILJOS,X,X,O,O,O,X,X,X,X
TZILSJO,X,O,O,X,O,X,O,X,X
TZILSOJ,X,O,O,X,X,X,O,X,X
TZILOJS,X,X,O,O,O,X,X,X,X
TZILOSJ,X,X,O,X,X,X,O,X,X
TZIJLSO,X,O,O,X,O,X,X,X,X
TZIJLOS,X,X,O,O,O,X,X,X,X
TZIJSLO,O,O,O,X,O,X,X,X,X
TZIJSOL,O,O,O,X,O,O,X,X,X
TZIJOLS,X,X,O,O,O,X,X,X,X
TZIJOSL,O,X,O,X,O,O,X,X,X
TZISLJO,O,O,O,X,O,X,O,X,X
