sequence,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBaiB?FhB0lB+rB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFahBzcB?FgBfrBurBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBUcB?aiB1lB+rB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBaiB?llBcrBGrB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbByhB?UgBlmB3qBTrB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFCbBmcB?TgB0hB/rB1vB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbB/hB?aiBllBTrBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFahBFgB?zhBfrBurBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbByhB?llB3mBUqBTrB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFmcB0hB?llBTrBfqB6qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFfgBlbB?8lBzhBurByvB
ITLOZJS,O,X,O,O,X,X,X,X,X,X,X
ITLOZSJ,X,X,O,O,X,O,X,X,X,X,O
ITJLSZO,X,X,O,X,O,O,X,X,X,X,X
ITJLSOZ,O,X,O,X,X,X,X,X,X,X,X
ITJLZSO,O,X,O,O,X,X,X,X,X,X,X
ITJLZOS,O,X,O,O,X,X,X,X,X,X,X
ITJLOSZ,O,X,O,X,X,O,X,X,X,X,X
ITJLOZS,O,X,O,O,X,X,X,X,X,X,X
ITJSLZO,X,O,O,X,O,O,X,X,O,X,X
ITJSLOZ,O,O,O,X,X,X,X,O,X,X,X
ITJSZLO,X,O,O,X,O,O,X,X,O,X,X
ITJSZOL,X,O,O,X,O,O,X,X,O,X,X
ITJSOLZ,O,O,O,X,X,O,X,O,X,X,X
ITJSOZL,X,O,O,X,X,O,X,X,X,X,X
ITJZLSO,O,X,O,X,X,X,X,X,X,X,X
ITJZLOS,O,X,O,X,X,X,X,X,X,X,X
ITJZSLO,O,X,O,X,O,X,X,X,X,X,X
ITJZSOL,O,X,O,X,O,X,X,X,X,X,X
ITJZOLS,O,X,O,X,X,X,X,X,X,X,X
ITJZOSL,O,X,O,X,X,X,X,X,X,X,X
ITJOLSZ,O,X,O,X,X,O,X,X,X,X,X
ITJOLZS,O,X,O,O,X,X,X,X,X,X,X
ITJOSLZ,O,O,O,X,X,O,X,X,X,X,X
ITJOSZL,X,O,O,X,X,O,X,X,X,X,X
ITJOZLS,O,X,O,X,X,X,X,X,X,X,X
ITJOZSL,O,X,O,X,X,X,X,X,X,X,X
ITSLJZO,X,O,O,X,O,O,X,X,O,X,X
ITSLJOZ,X,O,O,X,X,X,X,O,X,X,X
ITSLZJO,X,O,X,O,O,O,X,X,O,X,O
ITSLZOJ,X,X,O,O,O,O,X,O,O,X,O
ITSLOJZ,X,O,O,X,X,O,X,O,X,X,X
ITSLOZJ,X,X,O,O,O,O,X,O,O,X,O
ITSJLZO,X,O,O,X,O,O,X,X,O,X,X
ITSJLOZ,X,O,O,X,X,X,X,O,X,X,X
ITSJZLO,X,O,O,X,O,O,X,X,O,X,X
ITSJZOL,X,O,O,X,O,O,X,X,O,X,X
ITSJOLZ,X,O,O,X,X,O,X,O,X,X,X
ITSJOZL,X,O,O,X,X,O,X,X,X,X,X
ITSZLJO,X,O,X,X,O,O,X,X,O,X,X
ITSZLOJ,X,X,O,X,O,O,X,O,O,X,X
ITSZJLO,X,O,O,X,O,O,X,X,O,X,X
ITSZJOL,X,O,O,X,O,O,X,X,O,X,X
ITSZOLJ,X,X,O,X,O,O,X,O,O,X,X
ITSZOJL,X,X,O,X,O,O,X,X,O,X,X
ITSOLJZ,X,O,O,X,X,O,X,O,X,X,X
ITSOLZJ,X,X,O,O,O,O,X,O,O,X,O
ITSOJLZ,X,O,O,X,X,O,X,O,X,X,X
ITSOJZL,X,O,O,X,X,O,X,X,X,X,X
ITSOZLJ,X,X,O,X,O,O,X,O,O,X,X
ITSOZJL,X,X,O,X,O,O,X,X,O,X,X
ITZLJSO,O,X,X,O,X,X,X,X,X,X,X
ITZLJOS,O,X,O,O,X,X,X,X,X,X,X
ITZLSJO,X,X,X,O,O,O,X,X,X,X,X
ITZLSOJ,X,X,O,O,O,O,X,X,X,X,X
ITZLOJS,O,X,O,O,X,X,X,X,X,X,X
ITZLOSJ,X,X,O,O,X,O,X,X,X,X,X
ITZJLSO,O,X,O,O,X,X,X,X,X,X,X
ITZJLOS,O,X,O,O,X,X,X,X,X,X,X
ITZJSLO,O,X,O,X,O,X,X,X,X,X,X
ITZJSOL,O,X,O,X,O,X,X,X,X,X,X
ITZJOLS,O,X,O,O,X,X,X,X,X,X,X
ITZJOSL,O,X,O,X,X,X,X,X,X,X,X
ITZSLJO,X,O,X,O,O,O,X,X,O,X,X
ITZSLOJ,X,X,O,O,O,O,X,O,O,X,X
ITZSJLO,X,O,X,X,O,O,X,X,O,X,X
ITZSJOL,X,O,X,X,O,O,X,X,O,X,X
ITZSOLJ,X,X,O,O,O,O,X,O,O,X,X
ITZSOJL,X,X,X,X,O,O,X,X,O,X,X
ITZOLJS,O,X,O,O,X,X,X,X,X,X,X
ITZOLSJ,X,X,O,O,X,O,X,X,X,X,X
ITZOJLS,O,X,O,O,X,X,X,X,X,X,X
ITZOJSL,O,X,O,X,X,X,X,X,X,X,X
ITZOSLJ,X,X,O,O,O,O,X,X,X,X,X
ITZOSJL,X,X,X,X,O,O,X,X,X,X,X
ITOLJSZ,O,X,O,X,X,O,O,X,X,X,X
ITOLJZS,O,X,O,O,X,X,X,X,X,X,X
ITOLSJZ,X,X,X,X,X,O,O,X,X,X,X
ITOLSZJ,X,X,O,O,O,O,O,X,X,X,O
ITOLZJS,O,X,O,O,X,X,X,X,X,O,X
ITOLZSJ,X,X,O,O,X,O,X,X,X,O,O
ITOJLSZ,O,X,O,X,X,O,O,X,X,X,X
ITOJLZS,O,X,O,O,X,X,X,X,X,X,X
ITOJSLZ,O,X,O,X,X,O,O,X,X,X,X
ITOJSZL,X,X,O,X,X,O,O,X,X,X,X
ITOJZLS,O,X,O,X,X,X,X,X,X,O,X
ITOJZSL,O,X,O,X,X,X,O,X,X,O,X
ITOSLJZ,X,O,O,X,X,O,O,O,X,X,X
ITOSLZJ,X,X,O,O,O,O,O,O,O,X,O
ITOSJLZ,X,O,O,X,X,O,O,O,X,X,X
ITOSJZL,X,O,O,X,X,O,O,X,X,X,X
ITOSZLJ,X,X,O,X,O,O,O,O,O,O,X
ITOSZJL,X,X,O,X,O,O,O,X,O,O,X
ITOZLJS,O,X,O,O,X,X,X,X,X,O,X
ITOZLSJ,X,X,O,O,X,O,X,X,X,O,X
ITOZJLS,O,X,O,O,X,X,X,X,X,O,X
ITOZJSL,O,X,O,X,X,X,O,X,X,O,X
ITOZSLJ,X,X,O,O,O,O,O,X,X,O,X
ITOZSJL,X,X,X,X,O,O,O,X,X,O,X
ILTJSZO,X,X,O,X,O,O,X,X,X,X,X
ILTJSOZ,O,X,O,X,X,X,X,X,X,X,X
ILTJZSO,O,X,O,O,X,X,X,X,X,X,X
ILTJZOS,O,X,O,O,X,X,X,X,X,X,X
ILTJOSZ,O,X,O,X,X,O,X,X,X,X,X
ILTJOZS,O,X,O,O,X,X,X,X,X,X,X
ILTSJZO,X,O,X,X,O,O,X,X,O,X,X
ILTSJOZ,X,O,X,X,X,X,X,O,X,X,X
ILTSZJO,X,O,X,O,O,O,X,X,O,X,O
ILTSZOJ,X,X,O,O,O,O,X,O,O,X,O
ILTSOJZ,X,O,X,X,X,O,X,O,X,X,X
ILTSOZJ,X,X,O,O,O,O,X,O,O,X,O
ILTZJSO,O,X,X,O,X,X,X,X,X,X,X
ILTZJOS,O,X,O,O,X,X,X,X,X,X,X
ILTZSJO,X,X,X,O,O,O,X,X,X,X,O
ILTZSOJ,X,X,O,O,O,O,X,X,X,X,O
ILTZOJS,O,X,O,O,X,X,X,X,X,X,X
ILTZOSJ,X,X,O,O,X,O,X,X,X,X,O
ILTOJSZ,O,X,O,X,X,O,X,X,X,X,X
ILTOJZS,O,X,O,O,X,X,X,X,X,X,X
ILTOSJZ,X,X,X,X,X,O,O,X,X,X,X
ILTOSZJ,X,X,O,O,O,O,O,X,X,X,O
ILTOZJS,O,X,O,O,X,X,X,X,X,X,X
ILTOZSJ,X,X,O,O,X,O,X,X,X,X,O
ILJTSZO,X,X,O,X,X,O,X,X,X,X,X
ILJTSOZ,O,X,O,X,X,X,X,X,X,X,X
ILJTZSO,O,X,O,O,X,X,X,X,X,X,X
ILJTZOS,O,X,O,O,X,X,X,X,X,X,X
ILJTOSZ,O,X,O,X,X,O,X,X,X,X,X
ILJTOZS,O,X,O,O,X,X,X,X,X,X,X
ILJSTZO,X,O,O,X,X,X,X,X,X,X,X
ILJSTOZ,O,O,O,X,X,X,X,X,X,X,X
ILJSZTO,O,O,O,X,X,X,X,X,X,X,O
ILJSZOT,O,O,X,X,X,X,X,X,X,X,O
ILJSOTZ,O,O,O,X,X,X,X,X,X,X,X
ILJSOZT,O,O,X,X,X,X,X,X,X,X,O
ILJZTSO,O,X,O,O,X,X,X,X,X,X,X
ILJZTOS,O,X,O,O,X,X,X,X,X,X,X
ILJZSTO,O,X,O,X,X,X,X,X,X,X,O
ILJZSOT,O,X,X,X,X,X,X,X,X,X,O
ILJZOTS,O,X,O,O,X,X,X,X,X,X,X
ILJZOST,O,X,X,X,X,X,X,X,X,X,O
ILJOTSZ,O,X,O,X,X,O,X,X,X,X,X
ILJOTZS,O,X,O,O,X,X,X,X,X,X,X
ILJOSTZ,O,O,O,X,X,X,O,X,X,X,X
ILJOSZT,O,O,X,X,X,X,X,X,X,X,O
ILJOZTS,O,X,O,O,X,X,X,X,X,X,X
ILJOZST,O,X,X,X,X,X,X,X,X,X,O
ILSTJZO,X,O,O,X,O,O,X,X,O,X,X
ILSTJOZ,X,O,O,X,X,X,X,O,X,X,X
ILSTZJO,X,O,X,O,O,O,X,X,O,X,O
ILSTZOJ,X,X,O,O,O,O,X,O,O,X,O
ILSTOJZ,X,O,O,X,X,O,X,O,X,X,X
ILSTOZJ,X,X,O,O,O,O,X,O,O,X,O
ILSJTZO,X,O,O,X,X,X,X,X,O,X,X
ILSJTOZ,O,O,O,X,X,X,X,O,X,X,X
ILSJZTO,O,O,O,X,X,X,X,X,X,X,O
ILSJZOT,O,O,X,X,X,X,X,X,X,X,O
ILSJOTZ,O,O,O,X,X,X,X,O,X,X,X
ILSJOZT,O,O,X,X,X,X,X,X,X,X,O
ILSZTJO,X,O,X,O,O,X,X,X,O,X,O
ILSZTOJ,X,X,X,O,O,X,X,O,O,X,O
ILSZJTO,O,O,X,X,O,X,X,X,X,X,O
ILSZJOT,O,O,X,X,X,X,X,X,X,X,O
ILSZOTJ,X,X,X,O,X,X,X,O,X,X,O
ILSZOJT,O,X,X,X,X,X,X,X,X,X,O
ILSOTJZ,X,O,O,X,X,O,O,O,X,X,X
ILSOTZJ,X,X,O,O,X,O,O,O,O,X,O
ILSOJTZ,O,O,O,X,X,X,O,O,X,X,X
ILSOJZT,O,O,X,X,X,X,X,X,X,X,O
ILSOZTJ,X,X,X,O,X,X,O,O,X,X,O
ILSOZJT,O,X,X,X,X,X,X,X,X,X,O
ILZTJSO,O,X,X,O,X,X,X,X,X,X,X
ILZTJOS,O,X,O,O,X,X,X,X,X,X,X
ILZTSJO,X,X,X,O,O,O,X,X,X,X,O
ILZTSOJ,X,X,O,O,O,O,X,X,X,X,O
ILZTOJS,O,X,O,O,X,X,X,X,X,X,X
ILZTOSJ,X,X,O,O,X,O,X,X,X,X,O
ILZJTSO,O,X,O,O,X,X,X,X,X,X,X
ILZJTOS,O,X,O,O,X,X,X,X,X,X,X
ILZJSTO,O,X,O,X,O,X,X,X,X,X,O
ILZJSOT,O,X,X,X,X,X,X,X,X,X,O
ILZJOTS,O,X,O,O,X,X,X,X,X,X,X
ILZJOST,O,X,X,X,X,X,X,X,X,X,O
ILZSTJO,X,X,X,O,O,X,X,X,X,X,O
ILZSTOJ,X,X,X,O,O,X,X,X,X,X,O
ILZSJTO,O,X,X,X,O,X,X,X,X,X,O
ILZSJOT,O,X,X,X,X,X,X,X,X,X,O
ILZSOTJ,X,X,X,O,X,X,X,X,X,X,O
ILZSOJT,O,X,X,X,X,X,X,X,X,X,O
ILZOTJS,O,X,O,O,X,X,X,X,X,X,X
ILZOTSJ,X,X,O,O,X,O,X,X,X,X,O
ILZOJTS,O,X,O,O,X,X,X,X,X,X,X
ILZOJST,O,X,X,X,X,X,X,X,X,X,O
ILZOSTJ,X,X,X,O,X,X,O,X,X,X,O
ILZOSJT,O,X,X,X,X,X,X,X,X,X,O
ILOTJSZ,O,X,O,X,X,O,O,X,X,X,X
ILOTJZS,O,X,O,O,X,X,X,X,X,X,X
ILOTSJZ,X,X,X,X,X,O,O,X,X,X,X
ILOTSZJ,X,X,O,O,X,O,O,X,X,X,O
ILOTZJS,O,X,O,O,X,X,X,X,X,O,X
ILOTZSJ,X,X,O,O,X,O,X,X,X,O,O
ILOJTSZ,O,X,O,X,X,O,X,X,X,X,X
ILOJTZS,O,X,O,O,X,X,X,X,X,X,X
ILOJSTZ,O,X,O,X,X,X,O,X,X,X,X
ILOJSZT,O,X,X,X,X,X,X,X,X,X,O
ILOJZTS,O,X,O,O,X,X,X,X,X,X,X
ILOJZST,O,X,X,X,X,X,X,X,X,X,O
ILOSTJZ,X,X,O,X,X,O,O,O,X,X,X
ILOSTZJ,X,X,O,O,X,O,O,O,X,X,O
ILOSJTZ,O,X,O,X,X,X,O,O,X,X,X
ILOSJZT,O,X,X,X,X,X,X,X,X,X,O
ILOSZTJ,X,X,X,O,X,X,O,O,X,X,O
ILOSZJT,O,X,X,X,X,X,X,X,X,X,O
ILOZTJS,O,X,O,O,X,X,X,X,X,O,X
ILOZTSJ,X,X,O,O,X,O,X,X,X,O,O
ILOZJTS,O,X,O,O,X,X,X,X,X,O,X
ILOZJST,O,X,X,X,X,X,X,X,X,X,O
ILOZSTJ,X,X,X,O,X,X,O,X,X,X,O
ILOZSJT,O,X,X,X,X,X,X,X,X,X,O
IJTLSZO,X,X,O,X,O,O,X,X,X,X,X
IJTLSOZ,O,X,O,X,X,X,X,X,X,X,X
IJTLZSO,O,X,O,O,X,X,X,X,X,X,X
IJTLZOS,O,X,O,O,X,X,X,X,X,X,X
IJTLOSZ,O,X,O,X,X,O,X,X,X,X,X
IJTLOZS,O,X,O,O,X,X,X,X,X,X,X
IJTSLZO,X,O,O,X,O,O,X,X,O,X,X
IJTSLOZ,O,O,O,X,X,X,X,O,X,X,X
IJTSZLO,X,O,O,X,O,O,X,X,O,X,X
IJTSZOL,X,O,O,X,O,O,X,X,O,X,X
IJTSOLZ,O,O,O,X,X,O,X,O,X,X,X
IJTSOZL,X,O,O,X,X,O,X,X,X,X,X
IJTZLSO,O,X,O,X,X,X,X,X,X,X,X
IJTZLOS,O,X,O,X,X,X,X,X,X,X,X
IJTZSLO,O,X,O,X,O,X,X,X,X,X,X
IJTZSOL,O,X,O,X,O,X,X,X,X,X,X
IJTZOLS,O,X,O,X,X,X,X,X,X,X,X
IJTZOSL,O,X,O,X,X,X,X,X,X,X,X
IJTOLSZ,O,X,O,X,X,O,X,X,X,X,X
IJTOLZS,O,X,O,O,X,X,X,X,X,X,X
IJTOSLZ,O,O,O,X,X,O,X,X,X,X,X
IJTOSZL,X,O,O,X,X,O,X,X,X,X,X
IJTOZLS,O,X,O,X,X,X,X,X,X,X,X
IJTOZSL,O,X,O,X,X,X,X,X,X,X,X
IJLTSZO,X,X,O,X,X,O,X,X,X,X,X
IJLTSOZ,O,X,O,X,X,X,X,X,X,X,X
IJLTZSO,O,X,O,O,X,X,X,X,X,X,X
IJLTZOS,O,X,O,O,X,X,X,X,X,X,X
IJLTOSZ,O,X,O,X,X,O,X,X,X,X,X
IJLTOZS,O,X,O,O,X,X,X,X,X,X,X
IJLSTZO,X,O,O,X,X,X,X,X,X,X,X
IJLSTOZ,O,O,O,X,X,X,X,X,X,X,X
IJLSZTO,O,O,O,X,X,X,X,X,X,X,O
IJLSZOT,O,O,X,X,X,X,X,X,X,X,O
IJLSOTZ,O,O,O,X,X,X,X,X,X,X,X
IJLSOZT,O,O,X,X,X,X,X,X,X,X,O
IJLZTSO,O,X,O,O,X,X,X,X,X,X,X
IJLZTOS,O,X,O,O,X,X,X,X,X,X,X
IJLZSTO,O,X,O,X,X,X,X,X,X,X,O
IJLZSOT,O,X,X,X,X,X,X,X,X,X,O
IJLZOTS,O,X,O,O,X,X,X,X,X,X,X
IJLZOST,O,X,X,X,X,X,X,X,X,X,O
IJLOTSZ,O,X,O,X,X,O,X,X,X,X,X
IJLOTZS,O,X,O,O,X,X,X,X,X,X,X
IJLOSTZ,O,O,O,X,X,X,O,X,X,X,X
IJLOSZT,O,O,X,X,X,X,X,X,X,X,O
IJLOZTS,O,X,O,O,X,X,X,X,X,X,X
IJLOZST,O,X,X,X,X,X,X,X,X,X,O
IJSTLZO,X,O,O,X,O,X,X,X,O,X,X
IJSTLOZ,O,O,O,X,X,X,X,O,X,X,X
IJSTZLO,X,O,O,X,O,X,X,X,O,X,X
IJSTZOL,X,O,O,X,O,X,X,X,O,X,X
IJSTOLZ,O,O,O,X,X,X,X,O,X,X,X
IJSTOZL,X,O,O,X,X,X,X,X,X,X,X
IJSLTZO,X,O,O,X,X,X,X,X,O,X,X
IJSLTOZ,O,O,O,X,X,X,X,O,X,X,X
IJSLZTO,O,O,O,X,X,X,X,X,X,X,O
IJSLZOT,O,O,X,X,X,X,X,X,X,X,O
IJSLOTZ,O,O,O,X,X,X,X,O,X,X,X
IJSLOZT,O,O,X,X,X,X,X,X,X,X,O
IJSZTLO,O,O,O,X,O,X,X,X,X,X,X
IJSZTOL,O,O,O,X,O,X,X,X,X,X,X
IJSZLTO,O,O,O,X,O,X,X,X,X,X,X
IJSZLOT,O,O,X,X,X,X,X,X,X,X,X
IJSZOTL,O,O,X,X,O,X,X,X,X,X,X
IJSZOLT,O,O,X,X,X,X,X,X,X,X,X
IJSOTLZ,O,O,O,X,X,X,X,O,X,X,X
IJSOTZL,X,O,O,X,X,X,X,X,X,X,X
IJSOLTZ,O,O,O,X,X,X,X,O,X,X,X
IJSOLZT,O,O,X,X,X,X,X,X,X,X,O
IJSOZTL,O,O,X,X,X,X,X,X,X,X,X
IJSOZLT,O,O,X,X,X,X,X,X,X,X,X
IJZTLSO,O,X,O,O,X,X,X,X,X,X,X
IJZTLOS,O,X,O,O,X,X,X,X,X,X,X
IJZTSLO,O,X,O,X,O,X,X,X,X,X,X
IJZTSOL,O,X,O,X,O,X,X,X,X,X,X
IJZTOLS,O,X,O,O,X,X,X,X,X,X,X
IJZTOSL,O,X,O,X,X,X,X,X,X,X,X
IJZLTSO,O,X,O,O,X,X,X,X,X,X,X
IJZLTOS,O,X,O,O,X,X,X,X,X,X,X
IJZLSTO,O,X,O,X,O,X,X,X,X,X,X
IJZLSOT,O,X,X,X,X,X,X,X,X,X,X
IJZLOTS,O,X,O,O,X,X,X,X,X,X,X
IJZLOST,O,X,X,X,X,X,X,X,X,X,X
IJZSTLO,O,O,O,X,O,X,X,X,X,X,X
IJZSTOL,O,O,O,X,O,X,X,X,X,X,X
IJZSLTO,O,O,O,X,O,X,X,X,X,X,X
IJZSLOT,O,O,X,X,X,X,X,X,X,X,X
IJZSOTL,O,O,X,X,O,X,X,X,X,X,X
IJZSOLT,O,O,X,X,X,X,X,X,X,X,X
IJZOTLS,O,X,O,O,X,X,X,X,X,X,X
IJZOTSL,O,X,O,X,X,X,X,X,X,X,X
IJZOLTS,O,X,O,O,X,X,X,X,X,X,X
IJZOLST,O,X,X,X,X,X,X,X,X,X,X
IJZOSTL,O,O,X,X,O,X,X,X,X,X,X
IJZOSLT,O,O,X,X,X,X,X,X,X,X,X
IJOTLSZ,O,X,O,X,X,O,O,X,X,X,X
IJOTLZS,O,X,O,O,X,X,X,X,X,X,X
IJOTSLZ,O,O,O,X,X,O,O,X,X,X,X
IJOTSZL,X,O,O,X,X,O,O,X,X,X,X
IJOTZLS,O,X,O,X,X,X,X,X,X,O,X
IJOTZSL,O,X,O,X,X,X,O,X,X,O,X
IJOLTSZ,O,X,O,X,X,O,X,X,X,X,X
IJOLTZS,O,X,O,O,X,X,X,X,X,X,X
IJOLSTZ,O,O,O,X,X,X,O,X,X,X,X
IJOLSZT,O,O,X,X,X,X,X,X,X,X,O
IJOLZTS,O,X,O,O,X,X,X,X,X,X,X
IJOLZST,O,X,X,X,X,X,X,X,X,X,O
IJOSTLZ,O,O,O,X,X,X,O,O,X,X,X
IJOSTZL,X,O,O,X,X,X,O,X,X,X,X
IJOSLTZ,O,O,O,X,X,X,O,O,X,X,X
IJOSLZT,O,O,X,X,X,X,X,X,X,X,O
IJOSZTL,O,O,X,X,X,X,X,X,X,X,X
IJOSZLT,O,O,X,X,X,X,X,X,X,X,X
IJOZTLS,O,X,O,O,X,X,X,X,X,O,X
IJOZTSL,O,X,O,X,X,X,X,X,X,O,X
IJOZLTS,O,X,O,O,X,X,X,X,X,O,X
IJOZLST,O,X,X,X,X,X,X,X,X,X,X
IJOZSTL,O,O,X,X,X,X,X,X,X,O,X
IJOZSLT,O,O,X,X,X,X,X,X,X,X,X
ISTLJZO,X,O,O,X,O,O,X,X,O,X,X
ISTLJOZ,X,O,O,X,X,X,X,O,X,X,X
ISTLZJO,X,O,X,O,O,O,X,X,O,X,O
ISTLZOJ,X,X,O,O,O,O,X,O,O,X,O
ISTLOJZ,X,O,O,X,X,O,X,O,X,X,X
ISTLOZJ,X,X,O,O,O,O,X,O,O,X,O
ISTJLZO,X,O,O,X,O,O,X,X,O,X,X
ISTJLOZ,X,O,O,X,X,X,X,O,X,X,X
ISTJZLO,X,O,O,X,O,O,X,X,O,X,X
ISTJZOL,X,O,O,X,O,O,X,X,O,X,X
ISTJOLZ,X,O,O,X,X,O,X,O,X,X,X
ISTJOZL,X,O,O,X,X,O,X,X,X,X,X
ISTZLJO,X,O,X,X,O,O,X,X,O,X,X
ISTZLOJ,X,X,O,X,O,O,X,O,O,X,X
ISTZJLO,X,O,O,X,O,O,X,X,O,X,X
ISTZJOL,X,O,O,X,O,O,X,X,O,X,X
ISTZOLJ,X,X,O,X,O,O,X,O,O,X,X
ISTZOJL,X,X,O,X,O,O,X,X,O,X,X
ISTOLJZ,X,O,O,X,X,O,X,O,X,X,X
ISTOLZJ,X,X,O,O,O,O,X,O,O,X,O
ISTOJLZ,X,O,O,X,X,O,X,O,X,X,X
ISTOJZL,X,O,O,X,X,O,X,X,X,X,X
ISTOZLJ,X,X,O,X,O,O,X,O,O,X,X
ISTOZJL,X,X,O,X,O,O,X,X,O,X,X
ISLTJZO,X,O,O,X,O,O,X,X,O,X,X
ISLTJOZ,X,O,O,X,X,X,X,O,X,X,X
ISLTZJO,X,O,X,O,O,O,X,X,O,X,O
ISLTZOJ,X,X,O,O,O,O,X,O,O,X,O
ISLTOJZ,X,O,O,X,X,O,X,O,X,X,X
ISLTOZJ,X,X,O,O,O,O,X,O,O,X,O
ISLJTZO,X,O,O,X,X,X,X,X,O,X,X
ISLJTOZ,O,O,O,X,X,X,X,O,X,X,X
ISLJZTO,O,O,O,X,X,X,X,X,X,X,O
ISLJZOT,O,O,X,X,X,X,X,X,X,X,O
ISLJOTZ,O,O,O,X,X,X,X,O,X,X,X
ISLJOZT,O,O,X,X,X,X,X,X,X,X,O
ISLZTJO,X,O,X,O,O,X,X,X,O,X,O
ISLZTOJ,X,X,X,O,O,X,X,O,O,X,O
ISLZJTO,O,O,X,X,O,X,X,X,X,X,O
ISLZJOT,O,O,X,X,X,X,X,X,X,X,O
ISLZOTJ,X,X,X,O,X,X,X,O,X,X,O
ISLZOJT,O,X,X,X,X,X,X,X,X,X,O
ISLOTJZ,X,O,O,X,X,O,O,O,X,X,X
ISLOTZJ,X,X,O,O,X,O,O,O,O,X,O
ISLOJTZ,O,O,O,X,X,X,O,O,X,X,X
ISLOJZT,O,O,X,X,X,X,X,X,X,X,O
ISLOZTJ,X,X,X,O,X,X,O,O,X,X,O
ISLOZJT,O,X,X,X,X,X,X,X,X,X,O
ISJTLZO,X,O,O,X,O,X,X,X,O,X,X
ISJTLOZ,O,O,O,X,X,X,X,O,X,X,X
ISJTZLO,X,O,O,X,O,X,X,X,O,X,X
ISJTZOL,X,O,O,X,O,X,X,X,O,X,X
ISJTOLZ,O,O,O,X,X,X,X,O,X,X,X
ISJTOZL,X,O,O,X,X,X,X,X,X,X,X
ISJLTZO,X,O,O,X,X,X,X,X,O,X,X
ISJLTOZ,O,O,O,X,X,X,X,O,X,X,X
ISJLZTO,O,O,O,X,X,X,X,X,X,X,O
ISJLZOT,O,O,X,X,X,X,X,X,X,X,O
ISJLOTZ,O,O,O,X,X,X,X,O,X,X,X
ISJLOZT,O,O,X,X,X,X,X,X,X,X,O
ISJZTLO,O,O,O,X,O,X,X,X,X,X,X
ISJZTOL,O,O,O,X,O,X,X,X,X,X,X
ISJZLTO,O,O,O,X,O,X,X,X,X,X,X
ISJZLOT,O,O,X,X,X,X,X,X,X,X,X
ISJZOTL,O,O,X,X,O,X,X,X,X,X,X
ISJZOLT,O,O,X,X,X,X,X,X,X,X,X
ISJOTLZ,O,O,O,X,X,X,X,O,X,X,X
ISJOTZL,X,O,O,X,X,X,X,X,X,X,X
ISJOLTZ,O,O,O,X,X,X,X,O,X,X,X
ISJOLZT,O,O,X,X,X,X,X,X,X,X,O
ISJOZTL,O,O,X,X,X,X,X,X,X,X,X
ISJOZLT,O,O,X,X,X,X,X,X,X,X,X
ISZTLJO,X,O,X,O,O,X,X,X,O,X,X
ISZTLOJ,X,X,X,O,O,X,X,O,O,X,X
ISZTJLO,X,O,O,X,O,X,X,X,O,X,X
ISZTJOL,X,O,O,X,O,X,X,X,O,X,X
ISZTOLJ,X,X,X,O,O,X,X,O,O,X,X
ISZTOJL,X,X,O,X,O,X,X,X,O,X,X
ISZLTJO,X,O,X,O,O,X,X,X,O,X,O
ISZLTOJ,X,X,X,O,O,X,X,O,O,X,O
ISZLJTO,O,O,X,X,O,X,X,X,X,X,O
ISZLJOT,O,O,X,X,X,X,X,X,X,X,O
ISZLOTJ,X,X,X,O,X,X,X,O,X,X,O
ISZLOJT,O,X,X,X,X,X,X,X,X,X,O
ISZJTLO,O,O,O,X,O,X,X,X,X,X,X
ISZJTOL,O,O,O,X,O,X,X,X,X,X,X
ISZJLTO,O,O,O,X,O,X,X,X,X,X,X
ISZJLOT,O,O,X,X,X,X,X,X,X,X,X
ISZJOTL,O,O,X,X,O,X,X,X,X,X,X
ISZJOLT,O,O,X,X,X,X,X,X,X,X,X
ISZOTLJ,X,X,X,O,O,X,X,O,X,X,X
ISZOTJL,X,X,O,X,O,X,X,X,X,X,X
ISZOLTJ,X,X,X,O,X,X,X,O,X,X,O
ISZOLJT,O,X,X,X,X,X,X,X,X,X,O
ISZOJTL,O,X,X,X,O,X,X,X,X,X,X
ISZOJLT,O,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,X,O,O,X,X,O,O,O,X,X,X
ISOTLZJ,X,X,O,O,O,O,O,O,O,X,O
ISOTJLZ,X,O,O,X,X,O,O,O,X,X,X
ISOTJZL,X,O,O,X,X,O,O,X,X,X,X
ISOTZLJ,X,X,O,X,O,O,O,O,O,O,X
ISOTZJL,X,X,O,X,O,O,O,X,O,O,X
