sequence,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBaiB?FhB0lB+rB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFahBzcB?FgBfrBurBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBUcB?aiB1lB+rB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBaiB?llBcrBGrB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbByhB?UgBlmB3qBTrB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFCbBmcB?TgB0hB/rB1vB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbB/hB?aiBllBTrBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFahBFgB?zhBfrBurBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbByhB?llB3mBUqBTrB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFmcB0hB?llBTrBfqB6qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFfgBlbB?8lBzhBurByvB
TLJIOZS,O,X,O,O,X,X,X,X,X,X,X
TLJSIZO,X,X,O,X,O,O,X,X,X,X,X
TLJSIOZ,O,X,O,X,X,X,X,X,X,X,X
TLJSZIO,X,X,O,X,O,O,X,X,X,X,X
TLJSZOI,X,X,O,X,O,O,X,X,X,X,X
TLJSOIZ,O,X,O,X,X,X,X,X,X,X,X
TLJSOZI,X,X,O,X,X,X,X,X,X,X,X
TLJZISO,O,X,O,O,X,X,X,X,X,X,X
TLJZIOS,O,X,O,O,X,X,X,X,X,X,X
TLJZSIO,O,X,O,X,X,X,X,X,X,X,X
TLJZSOI,O,X,O,X,X,X,X,X,X,X,X
TLJZOIS,O,X,O,O,X,X,X,X,X,X,X
TLJZOSI,O,X,O,X,X,X,X,X,X,X,X
TLJOISZ,O,X,O,X,X,O,X,X,X,X,X
TLJOIZS,O,X,O,O,X,X,X,X,X,X,X
TLJOSIZ,O,X,O,X,X,O,X,X,X,X,X
TLJOSZI,X,X,O,X,X,O,X,X,X,X,X
TLJOZIS,O,X,O,O,X,X,X,X,X,X,X
TLJOZSI,O,X,O,X,X,X,X,X,X,X,X
TLSIJZO,X,O,X,X,O,O,X,X,O,X,X
TLSIJOZ,X,O,X,X,X,X,X,O,X,X,X
TLSIZJO,X,O,X,O,O,O,X,X,O,X,O
TLSIZOJ,X,X,O,O,O,O,X,O,O,X,O
TLSIOJZ,X,O,X,X,X,O,X,O,X,X,X
TLSIOZJ,X,X,O,O,O,O,X,O,O,X,O
TLSJIZO,X,O,X,X,O,O,X,X,O,X,X
TLSJIOZ,X,O,X,X,X,X,X,O,X,X,X
TLSJZIO,X,O,X,X,O,O,X,X,X,X,X
TLSJZOI,X,O,X,X,O,O,X,X,X,X,X
TLSJOIZ,X,O,X,X,X,X,X,O,X,X,X
TLSJOZI,X,O,X,X,X,X,X,X,X,X,X
TLSZIJO,X,O,X,O,O,O,X,X,O,X,O
TLSZIOJ,X,X,O,O,O,O,X,O,O,X,O
TLSZJIO,X,O,X,X,O,O,X,X,X,X,O
TLSZJOI,X,O,X,X,O,O,X,X,X,X,O
TLSZOIJ,X,X,O,O,O,O,X,O,X,X,O
TLSZOJI,X,X,X,X,O,O,X,X,X,X,O
TLSOIJZ,X,O,X,X,X,O,X,O,X,X,X
TLSOIZJ,X,X,O,O,O,O,X,O,O,X,O
TLSOJIZ,X,O,X,X,X,O,X,O,X,X,X
TLSOJZI,X,O,X,X,X,O,X,X,X,X,X
TLSOZIJ,X,X,O,O,O,O,X,O,X,X,O
TLSOZJI,X,X,X,X,O,O,X,X,X,X,O
TLZIJSO,O,X,X,O,X,X,X,X,X,X,X
TLZIJOS,O,X,O,O,X,X,X,X,X,X,X
TLZISJO,X,X,X,O,O,O,X,X,X,X,O
TLZISOJ,X,X,O,O,O,O,X,X,X,X,O
