sequence,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFidB+jB?ZkBThB3iBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFOiBXeB?ZkBThBSoBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFXdB6jB?ZkB2mBziBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFTeBZkB?/mBFiBCoBOsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Jex9IvhFifB/mB?FiBTjBcsBOpB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFTeBZkB?ihBWoBXiBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFViBZkB?/mBTjBOsBCtB
ISLJOZT,X,O,O,O,X,O,O
ISLZTJO,X,O,O,O,X,O,X
ISLZTOJ,X,O,O,O,O,X,X
ISLZJTO,X,O,O,O,X,X,O
ISLZJOT,X,O,O,O,X,O,O
ISLZOTJ,X,X,O,O,O,X,X
ISLZOJT,X,O,O,O,X,X,O
ISLOTJZ,X,X,X,O,X,X,X
ISLOTZJ,X,X,O,O,O,X,X
ISLOJTZ,X,X,O,O,X,X,O
ISLOJZT,X,O,O,O,X,X,O
ISLOZTJ,X,X,O,O,O,X,X
ISLOZJT,X,O,O,O,X,X,O
ISJTLZO,O,X,O,O,X,X,O
ISJTLOZ,O,X,X,O,X,X,O
ISJTZLO,O,X,O,O,X,X,O
ISJTZOL,O,X,O,X,X,X,O
ISJTOLZ,O,X,O,X,X,X,O
ISJTOZL,O,X,O,X,X,X,O
ISJLTZO,O,X,O,O,X,X,O
ISJLTOZ,X,X,X,O,X,X,O
ISJLZTO,O,X,O,O,X,X,O
ISJLZOT,O,X,O,O,X,O,O
ISJLOTZ,X,X,O,O,X,X,O
ISJLOZT,O,X,O,O,X,O,O
ISJZTLO,O,X,O,O,X,X,O
ISJZTOL,O,X,O,X,X,X,O
ISJZLTO,O,X,O,O,X,X,O
ISJZLOT,O,X,O,O,X,O,O
ISJZOTL,O,X,O,X,X,X,O
ISJZOLT,O,X,O,X,X,O,O
ISJOTLZ,O,X,O,X,X,X,O
ISJOTZL,O,X,O,X,X,X,O
ISJOLTZ,O,X,O,X,X,X,O
ISJOLZT,O,X,O,X,X,O,O
ISJOZTL,O,X,O,X,X,X,O
ISJOZLT,O,X,O,X,X,O,O
ISZTLJO,X,O,O,O,X,O,X
ISZTLOJ,X,O,O,O,O,X,X
ISZTJLO,O,O,O,O,X,O,O
ISZTJOL,O,X,O,X,X,O,O
ISZTOLJ,X,O,O,O,O,X,X
ISZTOJL,O,O,O,X,O,X,O
ISZLTJO,X,O,O,O,X,O,X
ISZLTOJ,X,O,O,O,O,X,X
ISZLJTO,X,O,O,O,X,X,O
ISZLJOT,X,O,O,O,X,O,O
ISZLOTJ,X,X,O,O,O,X,X
ISZLOJT,X,O,O,O,X,X,O
ISZJTLO,O,X,O,O,X,X,O
ISZJTOL,O,X,O,X,X,X,O
ISZJLTO,O,X,O,O,X,X,O
ISZJLOT,O,X,O,O,X,O,O
ISZJOTL,O,X,O,X,X,X,O
ISZJOLT,O,X,O,X,X,O,O
ISZOTLJ,X,O,O,O,O,X,X
ISZOTJL,O,O,X,X,O,X,O
ISZOLTJ,X,O,O,O,O,X,X
ISZOLJT,X,O,O,O,X,X,O
ISZOJTL,O,X,O,X,X,X,O
ISZOJLT,O,X,O,X,X,X,O
ISOTLJZ,X,O,X,O,X,X,X
ISOTLZJ,X,O,O,O,O,X,X
ISOTJLZ,O,O,X,X,X,X,O
ISOTJZL,O,O,X,X,X,X,O
ISOTZLJ,X,O,O,O,X,X,X
ISOTZJL,O,O,X,X,X,X,O
ISOLTJZ,X,O,X,O,X,X,X
ISOLTZJ,X,O,O,O,O,X,X
ISOLJTZ,X,O,O,O,X,X,O
ISOLJZT,X,O,O,O,X,X,O
ISOLZTJ,X,O,O,O,O,X,X
ISOLZJT,X,O,O,O,X,X,O
ISOJTLZ,O,X,O,X,X,X,O
ISOJTZL,O,X,O,X,X,X,O
ISOJLTZ,O,X,O,X,X,X,O
ISOJLZT,O,X,O,X,X,X,O
ISOJZTL,O,X,O,X,X,X,O
ISOJZLT,O,X,O,X,X,X,O
ISOZTLJ,X,O,O,O,O,X,X
ISOZTJL,O,O,X,X,O,X,O
ISOZLTJ,X,O,O,O,O,X,X
ISOZLJT,X,O,O,O,X,X,O
ISOZJTL,O,X,O,X,X,X,O
ISOZJLT,O,X,O,X,X,X,O
IZTLJSO,O,O,O,X,X,O,X
IZTLJOS,O,O,O,X,X,O,X
IZTLSJO,X,O,O,O,X,O,X
IZTLSOJ,X,O,O,O,X,X,X
IZTLOJS,O,O,O,X,X,O,X
IZTLOSJ,X,O,O,O,X,X,X
IZTJLSO,O,O,O,X,X,O,X
IZTJLOS,O,O,O,X,X,O,X
IZTJSLO,O,O,O,X,X,O,X
IZTJSOL,O,X,O,X,X,O,X
IZTJOLS,O,O,O,X,X,O,X
IZTJOSL,O,O,O,X,X,O,X
IZTSLJO,X,O,O,O,X,O,X
IZTSLOJ,X,O,O,O,X,X,X
IZTSJLO,O,O,O,O,X,O,O
IZTSJOL,O,X,O,X,X,O,O
IZTSOLJ,X,O,O,O,X,X,X
IZTSOJL,O,O,O,X,X,X,O
IZTOLJS,O,O,O,X,X,O,X
IZTOLSJ,X,O,O,X,X,X,X
IZTOJLS,O,O,O,X,X,O,X
IZTOJSL,O,O,O,X,X,O,X
IZTOSLJ,X,O,O,X,X,X,X
IZTOSJL,O,O,O,X,X,X,O
IZLTJSO,O,O,O,X,X,O,X
IZLTJOS,O,O,O,X,X,O,X
IZLTSJO,X,O,O,O,X,O,X
IZLTSOJ,X,O,O,O,X,X,X
IZLTOJS,O,O,O,X,X,O,X
IZLTOSJ,X,O,O,O,X,X,X
IZLJTSO,O,O,O,X,X,O,X
IZLJTOS,O,O,O,X,X,O,X
IZLJSTO,O,O,O,O,X,X,X
IZLJSOT,O,O,O,O,X,O,X
IZLJOTS,O,X,O,X,X,O,X
IZLJOST,O,X,O,O,X,O,X
IZLSTJO,X,O,O,O,X,O,X
IZLSTOJ,X,O,O,O,O,X,X
IZLSJTO,X,O,O,O,X,X,O
IZLSJOT,X,O,O,O,X,O,O
IZLSOTJ,X,X,O,O,O,X,X
IZLSOJT,X,O,O,O,X,X,O
IZLOTJS,O,O,O,X,X,O,X
IZLOTSJ,X,O,O,O,X,X,X
IZLOJTS,O,X,O,X,X,O,X
IZLOJST,O,O,O,O,X,O,X
IZLOSTJ,X,O,O,O,O,X,X
IZLOSJT,X,O,O,O,X,X,O
IZJTLSO,O,O,O,X,X,O,X
IZJTLOS,O,O,O,X,X,O,X
IZJTSLO,O,O,O,X,X,O,X
IZJTSOL,O,X,O,X,X,O,X
IZJTOLS,O,O,O,X,X,O,X
IZJTOSL,O,O,O,X,X,O,X
IZJLTSO,O,O,O,X,X,O,X
IZJLTOS,O,O,O,X,X,O,X
IZJLSTO,O,O,O,O,X,X,X
IZJLSOT,O,O,O,O,X,O,X
IZJLOTS,O,X,O,X,X,O,X
IZJLOST,O,X,O,O,X,O,X
IZJSTLO,O,X,O,O,X,X,O
IZJSTOL,O,X,O,X,X,X,O
IZJSLTO,O,X,O,O,X,X,O
IZJSLOT,O,X,O,O,X,O,O
IZJSOTL,O,X,O,X,X,X,O
IZJSOLT,O,X,O,X,X,O,O
IZJOTLS,O,O,O,X,X,O,X
IZJOTSL,O,O,O,X,X,X,X
IZJOLTS,O,X,O,X,X,O,X
IZJOLST,O,O,O,X,X,O,X
IZJOSTL,O,X,O,X,X,X,O
IZJOSLT,O,X,O,X,X,O,O
IZSTLJO,X,O,O,O,X,O,X
IZSTLOJ,X,O,O,O,O,X,X
IZSTJLO,O,O,O,O,X,O,O
IZSTJOL,O,X,O,X,X,O,O
IZSTOLJ,X,O,O,O,O,X,X
IZSTOJL,O,O,O,X,O,X,O
IZSLTJO,X,O,O,O,X,O,X
IZSLTOJ,X,O,O,O,O,X,X
IZSLJTO,X,O,O,O,X,X,O
IZSLJOT,X,O,O,O,X,O,O
IZSLOTJ,X,X,O,O,O,X,X
IZSLOJT,X,O,O,O,X,X,O
IZSJTLO,O,X,O,O,X,X,O
IZSJTOL,O,X,O,X,X,X,O
IZSJLTO,O,X,O,O,X,X,O
IZSJLOT,O,X,O,O,X,O,O
IZSJOTL,O,X,O,X,X,X,O
IZSJOLT,O,X,O,X,X,O,O
IZSOTLJ,X,O,O,O,O,X,X
IZSOTJL,O,O,X,X,O,X,O
IZSOLTJ,X,O,O,O,O,X,X
IZSOLJT,X,O,O,O,X,X,O
IZSOJTL,O,X,O,X,X,X,O
IZSOJLT,O,X,O,X,X,X,O
IZOTLJS,O,O,O,X,X,O,X
IZOTLSJ,X,O,O,X,X,X,X
IZOTJLS,O,O,O,X,X,O,X
IZOTJSL,O,O,O,X,X,O,X
IZOTSLJ,X,O,O,X,X,X,X
IZOTSJL,O,O,O,X,X,X,O
IZOLTJS,O,O,O,X,X,O,X
IZOLTSJ,X,O,O,O,X,X,X
IZOLJTS,O,X,O,X,X,O,X
IZOLJST,O,O,O,O,X,O,X
IZOLSTJ,X,O,O,O,O,X,X
IZOLSJT,X,O,O,O,X,X,O
IZOJTLS,O,O,O,X,X,O,X
IZOJTSL,O,O,O,X,X,X,X
IZOJLTS,O,X,O,X,X,O,X
IZOJLST,O,O,O,X,X,O,X
IZOJSTL,O,X,O,X,X,X,O
IZOJSLT,O,X,O,X,X,O,O
IZOSTLJ,X,O,O,O,O,X,X
IZOSTJL,O,O,X,X,O,X,O
IZOSLTJ,X,O,O,O,O,X,X
IZOSLJT,X,O,O,O,X,X,O
IZOSJTL,O,X,O,X,X,X,O
IZOSJLT,O,X,O,X,X,X,O
IOTLJSZ,O,O,O,X,X,O,X
IOTLJZS,O,O,O,X,X,O,X
IOTLSJZ,X,O,O,X,X,X,X
IOTLSZJ,X,O,O,X,X,X,X
IOTLZJS,O,O,O,X,X,O,X
IOTLZSJ,X,O,O,X,X,X,X
IOTJLSZ,O,O,O,X,X,O,X
IOTJLZS,O,O,O,X,X,O,X
IOTJSLZ,O,O,O,X,X,O,X
IOTJSZL,O,O,O,X,X,O,X
IOTJZLS,O,O,O,X,X,O,X
IOTJZSL,O,O,O,X,X,O,X
IOTSLJZ,X,O,O,X,X,X,X
IOTSLZJ,X,O,O,X,X,X,X
IOTSJLZ,O,O,O,X,X,X,O
IOTSJZL,O,O,O,X,X,X,O
IOTSZLJ,X,O,O,X,X,X,X
IOTSZJL,O,O,O,X,X,X,O
IOTZLJS,O,O,O,X,X,O,X
IOTZLSJ,X,O,O,X,X,X,X
IOTZJLS,O,O,O,X,X,O,X
IOTZJSL,O,O,O,X,X,O,X
IOTZSLJ,X,O,O,X,X,X,X
IOTZSJL,O,O,O,X,X,X,O
IOLTJSZ,O,O,O,X,X,O,X
IOLTJZS,O,O,O,X,X,O,X
IOLTSJZ,X,O,O,O,X,X,X
IOLTSZJ,X,O,O,O,X,X,X
IOLTZJS,O,O,O,X,X,O,X
IOLTZSJ,X,O,O,O,X,X,X
IOLJTSZ,O,X,O,X,X,X,X
IOLJTZS,O,X,O,X,X,O,X
IOLJSTZ,O,O,O,O,X,X,X
IOLJSZT,O,O,O,O,X,O,X
IOLJZTS,O,X,O,X,X,O,X
IOLJZST,O,O,O,O,X,O,X
IOLSTJZ,X,O,X,O,X,X,X
IOLSTZJ,X,O,O,O,O,X,X
IOLSJTZ,X,O,O,O,X,X,O
IOLSJZT,X,O,O,O,X,X,O
IOLSZTJ,X,O,O,O,O,X,X
IOLSZJT,X,O,O,O,X,X,O
IOLZTJS,O,O,O,X,X,O,X
IOLZTSJ,X,O,O,O,X,X,X
IOLZJTS,O,X,O,X,X,O,X
IOLZJST,O,O,O,O,X,O,X
IOLZSTJ,X,O,O,O,O,X,X
IOLZSJT,X,O,O,O,X,X,O
IOJTLSZ,O,O,O,X,X,X,X
IOJTLZS,O,O,O,X,X,O,X
IOJTSLZ,O,O,O,X,X,X,X
IOJTSZL,O,O,O,X,X,X,X
IOJTZLS,O,O,O,X,X,O,X
IOJTZSL,O,O,O,X,X,X,X
IOJLTSZ,O,X,O,X,X,X,X
IOJLTZS,O,X,O,X,X,O,X
IOJLSTZ,O,O,O,X,X,X,X
IOJLSZT,O,O,O,X,X,O,X
IOJLZTS,O,X,O,X,X,O,X
IOJLZST,O,O,O,X,X,O,X
IOJSTLZ,O,X,O,X,X,X,O
IOJSTZL,O,X,O,X,X,X,O
IOJSLTZ,O,X,O,X,X,X,O
IOJSLZT,O,X,O,X,X,O,O
IOJSZTL,O,X,O,X,X,X,O
IOJSZLT,O,X,O,X,X,O,O
IOJZTLS,O,O,O,X,X,O,X
IOJZTSL,O,O,O,X,X,X,X
IOJZLTS,O,X,O,X,X,O,X
IOJZLST,O,O,O,X,X,O,X
IOJZSTL,O,X,O,X,X,X,O
IOJZSLT,O,X,O,X,X,O,O
IOSTLJZ,X,O,X,O,X,X,X
IOSTLZJ,X,O,O,O,O,X,X
IOSTJLZ,O,O,X,X,X,X,O
IOSTJZL,O,O,X,X,X,X,O
IOSTZLJ,X,O,O,O,X,X,X
IOSTZJL,O,O,X,X,X,X,O
IOSLTJZ,X,O,X,O,X,X,X
IOSLTZJ,X,O,O,O,O,X,X
IOSLJTZ,X,O,O,O,X,X,O
IOSLJZT,X,O,O,O,X,X,O
IOSLZTJ,X,O,O,O,O,X,X
IOSLZJT,X,O,O,O,X,X,O
IOSJTLZ,O,X,O,X,X,X,O
IOSJTZL,O,X,O,X,X,X,O
IOSJLTZ,O,X,O,X,X,X,O
IOSJLZT,O,X,O,X,X,X,O
IOSJZTL,O,X,O,X,X,X,O
IOSJZLT,O,X,O,X,X,X,O
IOSZTLJ,X,O,O,O,O,X,X
IOSZTJL,O,O,X,X,O,X,O
IOSZLTJ,X,O,O,O,O,X,X
IOSZLJT,X,O,O,O,X,X,O
IOSZJTL,O,X,O,X,X,X,O
IOSZJLT,O,X,O,X,X,X,O
IOZTLJS,O,O,O,X,X,O,X
IOZTLSJ,X,O,O,X,X,X,X
IOZTJLS,O,O,O,X,X,O,X
IOZTJSL,O,O,O,X,X,O,X
IOZTSLJ,X,O,O,X,X,X,X
IOZTSJL,O,O,O,X,X,X,O
IOZLTJS,O,O,O,X,X,O,X
IOZLTSJ,X,O,O,O,X,X,X
IOZLJTS,O,X,O,X,X,O,X
IOZLJST,O,O,O,O,X,O,X
IOZLSTJ,X,O,O,O,O,X,X
IOZLSJT,X,O,O,O,X,X,O
IOZJTLS,O,O,O,X,X,O,X
IOZJTSL,O,O,O,X,X,X,X
IOZJLTS,O,X,O,X,X,O,X
IOZJLST,O,O,O,X,X,O,X
IOZJSTL,O,X,O,X,X,X,O
IOZJSLT,O,X,O,X,X,O,O
IOZSTLJ,X,O,O,O,O,X,X
IOZSTJL,O,O,X,X,O,X,O
IOZSLTJ,X,O,O,O,O,X,X
IOZSLJT,X,O,O,O,X,X,O
IOZSJTL,O,X,O,X,X,X,O
IOZSJLT,O,X,O,X,X,X,O
LTIJSZO,O,O,O,X,X,O,X
LTIJSOZ,O,O,O,X,X,O,X
LTIJZSO,O,O,O,X,X,O,X
LTIJZOS,O,O,O,X,X,O,X
LTIJOSZ,O,O,O,X,X,O,X
LTIJOZS,O,O,O,X,X,O,X
LTISJZO,X,O,O,O,X,O,X
LTISJOZ,X,O,O,O,X,O,X
LTISZJO,X,O,O,O,X,O,X
LTISZOJ,X,O,O,O,X,X,X
LTISOJZ,X,O,O,O,X,X,X
LTISOZJ,X,O,O,O,X,X,X
LTIZJSO,O,O,O,X,X,O,X
LTIZJOS,O,O,O,X,X,O,X
LTIZSJO,X,O,O,O,X,O,X
LTIZSOJ,X,O,O,O,X,X,X
LTIZOJS,O,O,O,X,X,O,X
LTIZOSJ,X,O,O,O,X,X,X
LTIOJSZ,O,O,O,X,X,O,X
LTIOJZS,O,O,O,X,X,O,X
LTIOSJZ,X,O,O,O,X,X,X
LTIOSZJ,X,O,O,O,X,X,X
LTIOZJS,O,O,O,X,X,O,X
LTIOZSJ,X,O,O,O,X,X,X
LTJISZO,O,O,O,X,X,O,X
LTJISOZ,O,O,O,X,X,O,X
LTJIZSO,O,O,O,X,X,O,X
LTJIZOS,O,O,O,X,X,O,X
LTJIOSZ,O,O,O,X,X,O,X
LTJIOZS,O,O,O,X,X,O,X
LTJSIZO,O,O,O,X,X,O,X
LTJSIOZ,O,O,O,X,X,O,X
LTJSZIO,O,O,O,X,X,X,X
LTJSZOI,O,O,O,X,X,X,X
LTJSOIZ,O,O,O,X,X,O,X
LTJSOZI,O,O,O,X,X,X,X
LTJZISO,X,O,O,X,X,O,X
LTJZIOS,X,O,O,X,X,O,X
LTJZSIO,O,O,O,X,X,X,X
LTJZSOI,O,O,O,X,X,X,X
LTJZOIS,X,X,O,X,X,O,X
LTJZOSI,O,O,O,X,X,X,X
LTJOISZ,O,O,O,X,X,O,X
LTJOIZS,O,O,O,X,X,O,X
LTJOSIZ,O,O,O,X,X,O,X
LTJOSZI,O,O,O,X,X,X,X
LTJOZIS,X,X,O,X,X,O,X
LTJOZSI,O,O,O,X,X,X,X
LTSIJZO,X,O,O,O,X,O,X
LTSIJOZ,X,O,O,O,X,O,X
LTSIZJO,X,O,O,O,X,O,X
LTSIZOJ,X,O,O,O,X,X,X
LTSIOJZ,X,O,O,O,X,X,X
LTSIOZJ,X,O,O,O,O,X,X
LTSJIZO,X,O,O,O,X,O,X
LTSJIOZ,X,O,O,O,X,O,X
LTSJZIO,X,O,O,X,X,X,X
LTSJZOI,X,O,O,X,X,X,X
LTSJOIZ,X,O,O,O,X,O,X
LTSJOZI,X,O,O,X,O,X,X
LTSZIJO,X,O,X,O,X,X,X
LTSZIOJ,X,O,X,O,O,X,X
LTSZJIO,X,O,O,X,X,X,X
LTSZJOI,X,O,O,X,O,X,X
LTSZOIJ,X,X,O,O,O,X,X
LTSZOJI,X,O,O,X,O,X,X
LTSOIJZ,X,O,O,O,X,X,X
LTSOIZJ,X,O,O,O,O,X,X
LTSOJIZ,X,O,O,O,X,X,X
LTSOJZI,X,O,O,X,O,X,X
LTSOZIJ,X,X,O,O,O,X,X
LTSOZJI,X,O,O,X,O,X,X
LTZIJSO,X,O,O,X,X,O,X
LTZIJOS,X,O,O,X,X,O,X
LTZISJO,X,O,O,X,X,O,X
LTZISOJ,X,O,O,X,X,X,X
LTZIOJS,X,O,O,X,X,O,X
LTZIOSJ,X,O,O,X,X,X,X
LTZJISO,X,O,O,X,X,O,X
LTZJIOS,X,O,O,X,X,O,X
LTZJSIO,O,O,O,X,X,X,X
LTZJSOI,O,O,O,X,X,X,X
LTZJOIS,X,X,O,X,X,O,X
LTZJOSI,O,O,O,X,X,X,X
LTZSIJO,X,O,X,X,X,X,X
LTZSIOJ,X,O,X,X,O,X,X
LTZSJIO,X,O,O,X,X,X,X
LTZSJOI,X,O,O,X,O,X,X
LTZSOIJ,X,X,O,X,O,X,X
LTZSOJI,X,O,O,X,O,X,X
LTZOIJS,X,O,O,X,X,X,X
LTZOISJ,X,O,O,X,X,X,X
LTZOJIS,X,O,O,X,X,X,X
LTZOJSI,O,O,O,X,X,X,X
LTZOSIJ,X,O,O,X,O,X,X
LTZOSJI,X,O,O,X,O,X,X
LTOIJSZ,O,O,O,X,X,O,X
LTOIJZS,O,O,O,X,X,O,X
LTOISJZ,X,O,O,O,X,X,X
LTOISZJ,X,O,O,O,X,X,X
LTOIZJS,O,O,O,X,X,O,X
LTOIZSJ,X,O,O,O,X,X,X
LTOJISZ,O,O,O,X,X,O,X
LTOJIZS,O,O,O,X,X,O,X
LTOJSIZ,O,O,O,X,X,O,X
LTOJSZI,O,O,O,X,X,X,X
LTOJZIS,X,O,O,X,X,O,X
LTOJZSI,O,O,O,X,X,X,X
LTOSIJZ,X,O,O,O,X,X,X
LTOSIZJ,X,O,O,O,O,X,X
LTOSJIZ,X,O,O,O,X,X,X
LTOSJZI,X,O,O,X,O,X,X
LTOSZIJ,X,O,O,O,O,X,X
LTOSZJI,X,O,O,X,O,X,X
LTOZIJS,X,O,O,X,X,X,X
LTOZISJ,X,O,O,X,X,X,X
LTOZJIS,X,O,O,X,X,X,X
LTOZJSI,O,O,O,X,X,X,X
LTOZSIJ,X,O,O,X,O,X,X
LTOZSJI,X,O,O,X,O,X,X
LITJSZO,O,O,O,X,X,O,X
LITJSOZ,O,O,O,X,X,O,X
LITJZSO,O,O,O,X,X,O,X
LITJZOS,O,O,O,X,X,O,X
LITJOSZ,O,O,O,X,X,O,X
LITJOZS,O,O,O,X,X,O,X
LITSJZO,X,O,O,O,X,O,X
LITSJOZ,X,O,O,O,X,O,X
LITSZJO,X,O,O,O,X,O,X
LITSZOJ,X,O,O,O,X,X,X
LITSOJZ,X,O,O,O,X,X,X
LITSOZJ,X,O,O,O,X,X,X
LITZJSO,O,O,O,X,X,O,X
LITZJOS,O,O,O,X,X,O,X
LITZSJO,X,O,O,O,X,O,X
LITZSOJ,X,O,O,O,X,X,X
LITZOJS,O,O,O,X,X,O,X
LITZOSJ,X,O,O,O,X,X,X
LITOJSZ,O,O,O,X,X,O,X
LITOJZS,O,O,O,X,X,O,X
LITOSJZ,X,O,O,O,X,X,X
LITOSZJ,X,O,O,O,X,X,X
LITOZJS,O,O,O,X,X,O,X
LITOZSJ,X,O,O,O,X,X,X
LIJTSZO,O,O,O,X,X,O,X
LIJTSOZ,O,O,O,X,X,O,X
LIJTZSO,O,O,O,X,X,O,X
LIJTZOS,O,O,O,X,X,O,X
LIJTOSZ,O,O,O,X,X,O,X
LIJTOZS,O,O,O,X,X,O,X
LIJSTZO,O,O,O,O,X,X,X
LIJSTOZ,X,X,X,O,X,X,X
LIJSZTO,O,O,O,O,X,X,X
LIJSZOT,O,O,O,O,X,O,X
LIJSOTZ,X,X,O,O,X,X,X
LIJSOZT,O,O,O,O,X,O,X
LIJZTSO,O,O,O,X,X,O,X
LIJZTOS,O,O,O,X,X,O,X
LIJZSTO,O,O,O,O,X,X,X
LIJZSOT,O,O,O,O,X,O,X
LIJZOTS,O,X,O,X,X,O,X
LIJZOST,O,X,O,O,X,O,X
LIJOTSZ,O,X,O,X,X,X,X
LIJOTZS,O,X,O,X,X,O,X
LIJOSTZ,O,X,O,O,X,X,X
LIJOSZT,O,X,O,O,X,O,X
LIJOZTS,O,X,O,X,X,O,X
LIJOZST,O,X,O,O,X,O,X
LISTJZO,X,O,O,O,X,O,X
LISTJOZ,X,O,O,O,X,O,X
LISTZJO,X,O,O,O,X,O,X
LISTZOJ,X,O,O,O,X,X,X
LISTOJZ,X,O,O,O,X,X,X
LISTOZJ,X,O,O,O,O,X,X
LISJTZO,X,O,O,O,X,X,O
LISJTOZ,X,X,X,O,X,X,O
LISJZTO,X,O,O,O,X,X,O
LISJZOT,X,O,O,O,X,O,O
LISJOTZ,X,X,X,O,X,X,O
LISJOZT,X,O,O,O,X,O,O
LISZTJO,X,O,O,O,X,O,X
LISZTOJ,X,O,O,O,O,X,X
LISZJTO,X,O,O,O,X,X,O
LISZJOT,X,O,O,O,X,O,O
LISZOTJ,X,X,O,O,O,X,X
LISZOJT,X,O,O,O,X,X,O
LISOTJZ,X,X,X,O,X,X,X
LISOTZJ,X,X,O,O,O,X,X
LISOJTZ,X,X,O,O,X,X,O
LISOJZT,X,O,O,O,X,X,O
LISOZTJ,X,X,O,O,O,X,X
LISOZJT,X,O,O,O,X,X,O
LIZTJSO,O,O,O,X,X,O,X
LIZTJOS,O,O,O,X,X,O,X
LIZTSJO,X,O,O,O,X,O,X
LIZTSOJ,X,O,O,O,X,X,X
LIZTOJS,O,O,O,X,X,O,X
LIZTOSJ,X,O,O,O,X,X,X
LIZJTSO,O,O,O,X,X,O,X
LIZJTOS,O,O,O,X,X,O,X
LIZJSTO,O,O,O,O,X,X,X
LIZJSOT,O,O,O,O,X,O,X
LIZJOTS,O,X,O,X,X,O,X
LIZJOST,O,X,O,O,X,O,X
LIZSTJO,X,O,O,O,X,O,X
LIZSTOJ,X,O,O,O,O,X,X
LIZSJTO,X,O,O,O,X,X,O
LIZSJOT,X,O,O,O,X,O,O
LIZSOTJ,X,X,O,O,O,X,X
LIZSOJT,X,O,O,O,X,X,O
LIZOTJS,O,O,O,X,X,O,X
LIZOTSJ,X,O,O,O,X,X,X
LIZOJTS,O,X,O,X,X,O,X
LIZOJST,O,O,O,O,X,O,X
LIZOSTJ,X,O,O,O,O,X,X
LIZOSJT,X,O,O,O,X,X,O
LIOTJSZ,O,O,O,X,X,O,X
LIOTJZS,O,O,O,X,X,O,X
LIOTSJZ,X,O,O,O,X,X,X
LIOTSZJ,X,O,O,O,X,X,X
LIOTZJS,O,O,O,X,X,O,X
LIOTZSJ,X,O,O,O,X,X,X
LIOJTSZ,O,X,O,X,X,X,X
LIOJTZS,O,X,O,X,X,O,X
LIOJSTZ,O,O,O,O,X,X,X
LIOJSZT,O,O,O,O,X,O,X
LIOJZTS,O,X,O,X,X,O,X
LIOJZST,O,O,O,O,X,O,X
LIOSTJZ,X,O,X,O,X,X,X
LIOSTZJ,X,O,O,O,O,X,X
LIOSJTZ,X,O,O,O,X,X,O
LIOSJZT,X,O,O,O,X,X,O
LIOSZTJ,X,O,O,O,O,X,X
LIOSZJT,X,O,O,O,X,X,O
LIOZTJS,O,O,O,X,X,O,X
LIOZTSJ,X,O,O,O,X,X,X
LIOZJTS,O,X,O,X,X,O,X
LIOZJST,O,O,O,O,X,O,X
LIOZSTJ,X,O,O,O,O,X,X
LIOZSJT,X,O,O,O,X,X,O
LJTISZO,O,O,O,X,X,O,X
LJTISOZ,O,O,O,X,X,O,X
LJTIZSO,O,O,O,X,X,O,X
LJTIZOS,O,O,O,X,X,O,X
LJTIOSZ,O,O,O,X,X,O,X
LJTIOZS,O,O,O,X,X,O,X
LJTSIZO,O,O,O,X,X,O,X
LJTSIOZ,O,O,O,X,X,O,X
LJTSZIO,O,O,O,X,X,X,X
LJTSZOI,O,O,O,X,X,X,X
LJTSOIZ,O,O,O,X,X,O,X
LJTSOZI,O,O,O,X,X,X,X
LJTZISO,X,O,O,X,X,O,X
LJTZIOS,X,O,O,X,X,O,X
LJTZSIO,O,O,O,X,X,X,X
LJTZSOI,O,O,O,X,X,X,X
LJTZOIS,X,X,O,X,X,O,X
LJTZOSI,O,O,O,X,X,X,X
LJTOISZ,O,O,O,X,X,O,X
LJTOIZS,O,O,O,X,X,O,X
LJTOSIZ,O,O,O,X,X,O,X
LJTOSZI,O,O,O,X,X,X,X
LJTOZIS,X,X,O,X,X,O,X
LJTOZSI,O,O,O,X,X,X,X
LJITSZO,O,O,O,X,X,O,X
LJITSOZ,O,O,O,X,X,O,X
LJITZSO,O,O,O,X,X,O,X
LJITZOS,O,O,O,X,X,O,X
LJITOSZ,O,O,O,X,X,O,X
LJITOZS,O,O,O,X,X,O,X
LJISTZO,O,O,O,O,X,X,X
LJISTOZ,X,X,X,O,X,X,X
LJISZTO,O,O,O,O,X,X,X
LJISZOT,O,O,O,O,X,O,X
LJISOTZ,X,X,O,O,X,X,X
LJISOZT,O,O,O,O,X,O,X
LJIZTSO,O,O,O,X,X,O,X
LJIZTOS,O,O,O,X,X,O,X
LJIZSTO,O,O,O,O,X,X,X
LJIZSOT,O,O,O,O,X,O,X
LJIZOTS,O,X,O,X,X,O,X
LJIZOST,O,X,O,O,X,O,X
LJIOTSZ,O,X,O,X,X,X,X
LJIOTZS,O,X,O,X,X,O,X
LJIOSTZ,O,X,O,O,X,X,X
LJIOSZT,O,X,O,O,X,O,X
LJIOZTS,O,X,O,X,X,O,X
