sequence,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFidB+jB?ZkBThB3iBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFOiBXeB?ZkBThBSoBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFXdB6jB?ZkB2mBziBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFTeBZkB?/mBFiBCoBOsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Jex9IvhFifB/mB?FiBTjBcsBOpB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFTeBZkB?ihBWoBXiBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFViBZkB?/mBTjBOsBCtB
TISOLZJ,X,O,O,O,X,X,X
TISOJLZ,O,O,O,X,X,X,O
TISOJZL,O,O,O,X,X,X,O
TISOZLJ,X,O,O,O,X,X,X
TISOZJL,O,O,O,X,X,X,O
TIZLJSO,O,O,O,X,X,O,X
TIZLJOS,O,O,O,X,X,O,X
TIZLSJO,X,O,O,O,X,O,X
TIZLSOJ,X,O,O,O,X,X,X
TIZLOJS,O,O,O,X,X,O,X
TIZLOSJ,X,O,O,O,X,X,X
TIZJLSO,O,O,O,X,X,O,X
TIZJLOS,O,O,O,X,X,O,X
TIZJSLO,O,O,O,X,X,O,X
TIZJSOL,O,X,O,X,X,O,X
TIZJOLS,O,O,O,X,X,O,X
TIZJOSL,O,O,O,X,X,O,X
TIZSLJO,X,O,O,O,X,O,X
TIZSLOJ,X,O,O,O,X,X,X
TIZSJLO,O,O,O,O,X,O,O
TIZSJOL,O,X,O,X,X,O,O
TIZSOLJ,X,O,O,O,X,X,X
TIZSOJL,O,O,O,X,X,X,O
TIZOLJS,O,O,O,X,X,O,X
TIZOLSJ,X,O,O,X,X,X,X
TIZOJLS,O,O,O,X,X,O,X
TIZOJSL,O,O,O,X,X,O,X
TIZOSLJ,X,O,O,X,X,X,X
TIZOSJL,O,O,O,X,X,X,O
TIOLJSZ,O,O,O,X,X,O,X
TIOLJZS,O,O,O,X,X,O,X
TIOLSJZ,X,O,O,X,X,X,X
TIOLSZJ,X,O,O,X,X,X,X
TIOLZJS,O,O,O,X,X,O,X
TIOLZSJ,X,O,O,X,X,X,X
TIOJLSZ,O,O,O,X,X,O,X
TIOJLZS,O,O,O,X,X,O,X
TIOJSLZ,O,O,O,X,X,O,X
TIOJSZL,O,O,O,X,X,O,X
TIOJZLS,O,O,O,X,X,O,X
TIOJZSL,O,O,O,X,X,O,X
TIOSLJZ,X,O,O,X,X,X,X
TIOSLZJ,X,O,O,X,X,X,X
TIOSJLZ,O,O,O,X,X,X,O
TIOSJZL,O,O,O,X,X,X,O
TIOSZLJ,X,O,O,X,X,X,X
TIOSZJL,O,O,O,X,X,X,O
TIOZLJS,O,O,O,X,X,O,X
TIOZLSJ,X,O,O,X,X,X,X
TIOZJLS,O,O,O,X,X,O,X
TIOZJSL,O,O,O,X,X,O,X
TIOZSLJ,X,O,O,X,X,X,X
TIOZSJL,O,O,O,X,X,X,O
TLIJSZO,O,O,O,X,X,O,X
TLIJSOZ,O,O,O,X,X,O,X
TLIJZSO,O,O,O,X,X,O,X
TLIJZOS,O,O,O,X,X,O,X
TLIJOSZ,O,O,O,X,X,O,X
TLIJOZS,O,O,O,X,X,O,X
TLISJZO,X,O,O,O,X,O,X
TLISJOZ,X,O,O,O,X,O,X
TLISZJO,X,O,O,O,X,O,X
TLISZOJ,X,O,O,O,X,X,X
TLISOJZ,X,O,O,O,X,X,X
TLISOZJ,X,O,O,O,X,X,X
TLIZJSO,O,O,O,X,X,O,X
TLIZJOS,O,O,O,X,X,O,X
TLIZSJO,X,O,O,O,X,O,X
TLIZSOJ,X,O,O,O,X,X,X
TLIZOJS,O,O,O,X,X,O,X
TLIZOSJ,X,O,O,O,X,X,X
TLIOJSZ,O,O,O,X,X,O,X
TLIOJZS,O,O,O,X,X,O,X
TLIOSJZ,X,O,O,O,X,X,X
TLIOSZJ,X,O,O,O,X,X,X
TLIOZJS,O,O,O,X,X,O,X
TLIOZSJ,X,O,O,O,X,X,X
TLJISZO,O,O,O,X,X,O,X
TLJISOZ,O,O,O,X,X,O,X
TLJIZSO,O,O,O,X,X,O,X
TLJIZOS,O,O,O,X,X,O,X
TLJIOSZ,O,O,O,X,X,O,X
TLJIOZS,O,O,O,X,X,O,X
TLJSIZO,O,O,O,X,X,O,X
TLJSIOZ,O,O,O,X,X,O,X
TLJSZIO,O,O,O,X,X,X,X
TLJSZOI,O,O,O,X,X,X,X
TLJSOIZ,O,O,O,X,X,O,X
TLJSOZI,O,O,O,X,X,X,X
TLJZISO,X,O,O,X,X,O,X
TLJZIOS,X,O,O,X,X,O,X
TLJZSIO,O,O,O,X,X,X,X
TLJZSOI,O,O,O,X,X,X,X
TLJZOIS,X,X,O,X,X,O,X
TLJZOSI,O,O,O,X,X,X,X
TLJOISZ,O,O,O,X,X,O,X
TLJOIZS,O,O,O,X,X,O,X
TLJOSIZ,O,O,O,X,X,O,X
TLJOSZI,O,O,O,X,X,X,X
TLJOZIS,X,X,O,X,X,O,X
TLJOZSI,O,O,O,X,X,X,X
TLSIJZO,X,O,O,O,X,O,X
TLSIJOZ,X,O,O,O,X,O,X
TLSIZJO,X,O,O,O,X,O,X
TLSIZOJ,X,O,O,O,X,X,X
TLSIOJZ,X,O,O,O,X,X,X
TLSIOZJ,X,O,O,O,O,X,X
TLSJIZO,X,O,O,O,X,O,X
TLSJIOZ,X,O,O,O,X,O,X
TLSJZIO,X,O,O,X,X,X,X
TLSJZOI,X,O,O,X,X,X,X
TLSJOIZ,X,O,O,O,X,O,X
TLSJOZI,X,O,O,X,O,X,X
TLSZIJO,X,O,X,O,X,X,X
TLSZIOJ,X,O,X,O,O,X,X
TLSZJIO,X,O,O,X,X,X,X
TLSZJOI,X,O,O,X,O,X,X
TLSZOIJ,X,X,O,O,O,X,X
TLSZOJI,X,O,O,X,O,X,X
TLSOIJZ,X,O,O,O,X,X,X
TLSOIZJ,X,O,O,O,O,X,X
TLSOJIZ,X,O,O,O,X,X,X
TLSOJZI,X,O,O,X,O,X,X
TLSOZIJ,X,X,O,O,O,X,X
TLSOZJI,X,O,O,X,O,X,X
TLZIJSO,X,O,O,X,X,O,X
TLZIJOS,X,O,O,X,X,O,X
TLZISJO,X,O,O,X,X,O,X
TLZISOJ,X,O,O,X,X,X,X
TLZIOJS,X,O,O,X,X,O,X
TLZIOSJ,X,O,O,X,X,X,X
TLZJISO,X,O,O,X,X,O,X
TLZJIOS,X,O,O,X,X,O,X
TLZJSIO,O,O,O,X,X,X,X
TLZJSOI,O,O,O,X,X,X,X
TLZJOIS,X,X,O,X,X,O,X
TLZJOSI,O,O,O,X,X,X,X
TLZSIJO,X,O,X,X,X,X,X
TLZSIOJ,X,O,X,X,O,X,X
TLZSJIO,X,O,O,X,X,X,X
TLZSJOI,X,O,O,X,O,X,X
TLZSOIJ,X,X,O,X,O,X,X
TLZSOJI,X,O,O,X,O,X,X
TLZOIJS,X,O,O,X,X,X,X
TLZOISJ,X,O,O,X,X,X,X
TLZOJIS,X,O,O,X,X,X,X
TLZOJSI,O,O,O,X,X,X,X
TLZOSIJ,X,O,O,X,O,X,X
TLZOSJI,X,O,O,X,O,X,X
TLOIJSZ,O,O,O,X,X,O,X
TLOIJZS,O,O,O,X,X,O,X
TLOISJZ,X,O,O,O,X,X,X
TLOISZJ,X,O,O,O,X,X,X
TLOIZJS,O,O,O,X,X,O,X
TLOIZSJ,X,O,O,O,X,X,X
TLOJISZ,O,O,O,X,X,O,X
TLOJIZS,O,O,O,X,X,O,X
TLOJSIZ,O,O,O,X,X,O,X
TLOJSZI,O,O,O,X,X,X,X
TLOJZIS,X,O,O,X,X,O,X
TLOJZSI,O,O,O,X,X,X,X
TLOSIJZ,X,O,O,O,X,X,X
TLOSIZJ,X,O,O,O,O,X,X
TLOSJIZ,X,O,O,O,X,X,X
TLOSJZI,X,O,O,X,O,X,X
TLOSZIJ,X,O,O,O,O,X,X
TLOSZJI,X,O,O,X,O,X,X
