sequence,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jem6IvhFxdB0fB?lhB3iBTmBywB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jei6IvhFxdBzfB?lhB3iB0mB2wB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8JeT6IvhFegBxdB?lhB3iBirB0rB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8JeT6IvhFegBxcB?XeBFnB0rBirB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jem6IvhFTcBxdB?0fBliB3mBywB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jey/IvhFTcBxdB?liB0fBmrB3rB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jem6IvhFCdBXeB?0fBVnBZmBzrB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jei6IvhFxcBXeB?zfBVnB0mB2wB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jey/IvhFxdBlhB?3iB0fBmrBTrB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jey/IvhFxdBlhB?3iB0fBOrBzrB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jei6IvhFXeBzfB?WnBZmB8rBFsB
ITOLZSJ,X,X,X,X,O,O,X,O,X,X,X
ITOJLSZ,X,O,X,X,X,X,X,O,X,X,X
ITOJLZS,X,X,X,X,X,O,X,O,X,X,X
ITOJSLZ,X,O,X,X,X,X,X,O,X,X,X
ITOJSZL,X,O,X,X,X,X,X,O,X,X,X
ITOJZLS,X,X,X,X,O,X,X,O,X,X,X
ITOJZSL,X,X,X,X,O,X,X,O,X,X,X
ITOSLJZ,X,O,X,X,X,X,X,O,X,X,X
ITOSLZJ,X,O,X,X,X,O,X,O,X,X,X
ITOSJLZ,X,O,X,X,X,X,X,O,X,X,X
ITOSJZL,X,O,X,X,X,X,X,O,X,X,X
ITOSZLJ,X,O,X,X,X,X,X,O,X,X,X
ITOSZJL,X,X,X,X,O,X,X,X,X,X,X
ITOZLJS,X,X,X,X,O,O,X,X,X,X,X
ITOZLSJ,X,X,X,X,O,O,X,O,X,X,X
ITOZJLS,X,X,X,X,O,X,X,X,X,X,X
ITOZJSL,X,X,X,X,O,X,X,X,X,X,X
ITOZSLJ,X,X,X,X,X,X,X,O,X,X,X
ITOZSJL,X,X,X,X,O,X,X,X,X,X,X
ILTJSZO,X,X,O,X,O,O,X,X,O,X,X
ILTJSOZ,X,X,O,X,O,O,X,O,O,X,X
ILTJZSO,X,X,X,X,O,O,X,X,X,X,X
ILTJZOS,X,X,X,X,O,O,X,X,X,X,X
ILTJOSZ,X,X,O,X,X,O,X,X,X,X,X
ILTJOZS,X,X,X,X,O,O,X,X,X,X,X
ILTSJZO,O,X,O,X,O,X,X,X,O,O,X
ILTSJOZ,X,X,O,X,O,X,X,O,O,X,X
ILTSZJO,O,X,O,X,O,X,X,X,O,O,X
ILTSZOJ,O,X,X,X,O,X,X,O,O,O,X
ILTSOJZ,X,X,O,X,O,X,X,O,X,X,X
ILTSOZJ,O,X,X,X,O,O,X,O,O,O,X
ILTZJSO,O,X,X,X,O,X,X,X,X,X,X
ILTZJOS,X,X,X,X,O,X,X,X,X,X,X
ILTZSJO,O,X,X,X,O,X,X,X,X,X,X
ILTZSOJ,O,X,X,X,O,X,X,O,X,X,X
ILTZOJS,X,X,X,X,O,O,X,X,X,X,X
ILTZOSJ,X,X,X,X,O,O,X,X,X,X,X
ILTOJSZ,X,X,X,X,X,O,X,X,X,X,X
ILTOJZS,X,X,X,X,O,O,X,X,X,X,X
ILTOSJZ,X,X,X,X,O,X,X,O,X,X,X
ILTOSZJ,X,X,X,X,O,O,X,O,X,X,X
ILTOZJS,X,X,X,X,O,O,X,X,X,X,X
ILTOZSJ,X,X,X,X,O,O,X,X,X,X,X
ILJTSZO,X,X,O,X,O,O,X,O,O,X,X
ILJTSOZ,X,X,O,X,O,O,X,O,O,X,X
ILJTZSO,X,X,X,X,O,O,X,O,X,X,X
ILJTZOS,X,X,X,X,O,O,X,X,X,X,X
ILJTOSZ,X,X,O,X,X,O,X,O,X,X,X
ILJTOZS,X,X,X,X,O,O,X,X,X,X,X
ILJSTZO,O,X,O,X,X,O,X,O,O,O,X
ILJSTOZ,X,O,O,X,X,O,X,O,O,X,X
ILJSZTO,O,X,O,X,O,X,X,O,O,X,X
ILJSZOT,O,X,O,X,O,X,X,O,X,X,X
ILJSOTZ,X,O,O,X,X,O,X,O,O,X,X
ILJSOZT,X,O,O,X,O,X,X,O,X,X,X
ILJZTSO,O,X,X,X,O,O,X,X,X,X,X
ILJZTOS,X,X,X,X,O,O,X,X,X,X,X
ILJZSTO,O,X,O,X,O,X,X,X,O,X,X
ILJZSOT,O,X,O,X,O,X,X,X,X,X,X
ILJZOTS,X,X,X,X,O,X,X,X,X,X,X
ILJZOST,O,X,O,X,O,X,X,X,X,X,X
ILJOTSZ,X,O,O,X,X,O,X,X,X,X,X
ILJOTZS,X,X,X,X,X,O,X,X,X,X,X
ILJOSTZ,X,O,O,X,X,X,X,X,O,X,X
ILJOSZT,X,O,O,X,X,X,X,X,X,X,X
ILJOZTS,X,X,X,X,O,X,X,X,X,X,X
ILJOZST,X,O,O,X,O,X,X,X,X,X,X
ILSTJZO,O,X,O,X,O,X,X,O,O,O,X
ILSTJOZ,X,X,O,X,O,X,X,O,O,X,X
ILSTZJO,O,X,O,X,O,X,X,X,O,O,X
ILSTZOJ,O,X,X,X,O,X,X,O,O,O,X
ILSTOJZ,X,O,O,X,O,X,X,O,X,X,X
ILSTOZJ,O,O,X,X,O,O,X,O,O,O,X
ILSJTZO,O,X,O,X,X,O,X,O,O,O,X
ILSJTOZ,X,O,O,X,X,O,X,O,O,X,X
ILSJZTO,O,X,O,X,O,X,X,O,O,X,X
ILSJZOT,O,X,O,X,O,X,X,O,X,X,X
ILSJOTZ,X,O,O,X,X,X,X,O,O,X,X
ILSJOZT,X,O,O,X,O,X,X,O,X,X,X
ILSZTJO,O,X,O,X,O,X,X,X,O,O,X
ILSZTOJ,O,X,X,X,O,X,X,O,O,O,X
ILSZJTO,O,X,O,X,O,X,X,O,O,X,X
ILSZJOT,O,X,O,X,O,X,X,O,X,X,X
ILSZOTJ,O,X,X,X,O,X,X,O,X,X,X
ILSZOJT,O,X,X,X,O,X,X,O,X,X,X
ILSOTJZ,X,O,O,X,O,X,X,O,X,X,X
ILSOTZJ,O,O,X,X,O,X,X,O,O,O,X
ILSOJTZ,X,O,O,X,X,X,X,O,O,X,X
ILSOJZT,X,O,O,X,O,X,X,O,X,X,X
ILSOZTJ,O,O,X,X,O,X,X,O,X,X,X
ILSOZJT,O,O,X,X,O,X,X,O,X,X,X
ILZTJSO,O,X,X,X,O,X,X,X,X,X,X
ILZTJOS,X,X,X,X,O,X,X,X,X,X,X
ILZTSJO,O,X,X,X,O,X,X,X,X,X,X
ILZTSOJ,O,X,X,X,O,X,X,X,X,X,X
ILZTOJS,X,X,X,X,O,O,X,X,X,X,X
ILZTOSJ,X,X,X,X,O,O,X,X,X,X,X
ILZJTSO,O,X,X,X,O,O,X,X,X,X,X
ILZJTOS,X,X,X,X,O,O,X,X,X,X,X
ILZJSTO,O,X,O,X,O,X,X,X,O,X,X
ILZJSOT,O,X,O,X,O,X,X,X,X,X,X
ILZJOTS,X,X,X,X,O,X,X,X,X,X,X
ILZJOST,O,X,O,X,O,X,X,X,X,X,X
ILZSTJO,O,X,O,X,O,X,X,X,O,O,X
ILZSTOJ,O,X,X,X,O,X,X,X,O,O,X
ILZSJTO,O,X,O,X,O,X,X,X,O,X,X
ILZSJOT,O,X,O,X,O,X,X,X,X,X,X
ILZSOTJ,O,X,X,X,O,X,X,X,X,X,X
ILZSOJT,O,X,X,X,O,X,X,X,X,X,X
ILZOTJS,X,X,X,X,O,X,X,X,X,X,X
ILZOTSJ,X,X,X,X,O,X,X,X,X,X,X
ILZOJTS,X,X,X,X,O,X,X,X,X,X,X
ILZOJST,O,X,X,X,O,X,X,X,X,X,X
ILZOSTJ,O,X,X,X,O,X,X,X,X,X,X
ILZOSJT,O,X,X,X,O,X,X,X,X,X,X
ILOTJSZ,X,O,X,X,X,O,X,X,X,X,X
ILOTJZS,X,X,X,X,O,O,X,X,X,X,X
ILOTSJZ,X,O,X,X,O,X,X,X,X,O,X
ILOTSZJ,X,O,X,X,O,O,X,X,X,O,X
ILOTZJS,X,X,X,X,O,O,X,X,X,X,X
ILOTZSJ,X,X,X,X,O,O,X,X,X,X,X
ILOJTSZ,X,O,O,X,X,O,X,X,X,X,X
ILOJTZS,X,X,X,X,X,O,X,X,X,X,X
ILOJSTZ,X,O,O,X,X,X,X,X,O,O,X
ILOJSZT,X,O,O,X,X,X,X,X,X,X,X
ILOJZTS,X,X,X,X,O,X,X,X,X,X,X
ILOJZST,X,O,O,X,O,X,X,X,X,X,X
ILOSTJZ,X,O,O,X,X,X,X,X,X,O,X
ILOSTZJ,O,O,X,X,O,X,X,X,O,O,X
ILOSJTZ,X,O,O,X,X,X,X,X,O,O,X
ILOSJZT,X,O,O,X,O,X,X,X,X,X,X
ILOSZTJ,O,O,X,X,O,X,X,X,X,O,X
ILOSZJT,O,O,X,X,O,X,X,X,X,X,X
ILOZTJS,X,X,X,X,O,X,X,X,X,X,X
ILOZTSJ,X,X,X,X,O,X,X,X,X,X,X
ILOZJTS,X,X,X,X,O,X,X,X,X,X,X
ILOZJST,O,O,X,X,O,X,X,X,X,X,X
ILOZSTJ,O,O,X,X,O,X,X,X,X,O,X
ILOZSJT,O,O,X,X,O,X,X,X,X,X,X
IJTLSZO,X,X,O,X,O,O,X,O,O,X,X
IJTLSOZ,X,X,O,X,O,O,X,O,O,X,X
IJTLZSO,X,X,X,X,O,O,X,O,X,X,X
IJTLZOS,X,X,X,X,O,O,X,X,X,X,X
IJTLOSZ,X,X,O,X,X,O,X,O,X,X,X
IJTLOZS,X,X,X,X,O,O,X,O,X,X,X
IJTSLZO,X,X,O,X,X,O,X,O,O,X,X
IJTSLOZ,X,O,O,O,X,O,X,O,O,X,X
IJTSZLO,X,X,X,O,X,O,X,O,O,X,X
IJTSZOL,X,O,O,O,X,O,X,O,X,X,X
IJTSOLZ,X,O,O,O,X,O,X,O,O,X,X
IJTSOZL,X,O,O,O,X,O,X,O,X,X,X
IJTZLSO,X,X,X,O,O,O,X,O,X,X,X
IJTZLOS,X,X,X,O,O,O,X,X,X,X,X
IJTZSLO,X,X,X,O,O,O,X,O,X,X,X
IJTZSOL,X,X,X,O,O,O,X,O,X,X,X
IJTZOLS,X,X,X,O,O,O,X,O,X,X,X
IJTZOSL,X,X,X,O,O,X,X,O,X,X,X
IJTOLSZ,X,O,O,X,X,O,X,O,X,X,X
IJTOLZS,X,X,X,X,X,O,X,O,X,X,X
IJTOSLZ,X,O,O,O,X,O,X,O,X,X,X
IJTOSZL,X,O,O,O,X,O,X,O,X,X,X
IJTOZLS,X,X,X,O,O,O,X,O,X,X,X
IJTOZSL,X,X,X,O,O,X,X,O,X,X,X
IJLTSZO,X,X,O,X,O,O,X,O,O,X,X
IJLTSOZ,X,X,O,X,O,O,X,O,O,X,X
IJLTZSO,X,X,X,X,O,O,X,O,X,X,X
IJLTZOS,X,X,X,X,O,O,X,X,X,X,X
IJLTOSZ,X,X,O,X,X,O,X,O,X,X,X
IJLTOZS,X,X,X,X,O,O,X,X,X,X,X
IJLSTZO,O,X,O,X,X,O,X,O,O,O,X
IJLSTOZ,X,O,O,X,X,O,X,O,O,X,X
IJLSZTO,O,X,O,X,O,X,X,O,O,X,X
IJLSZOT,O,X,O,X,O,X,X,O,X,X,X
IJLSOTZ,X,O,O,X,X,O,X,O,O,X,X
IJLSOZT,X,O,O,X,O,X,X,O,X,X,X
IJLZTSO,O,X,X,X,O,O,X,X,X,X,X
IJLZTOS,X,X,X,X,O,O,X,X,X,X,X
IJLZSTO,O,X,O,X,O,X,X,X,O,X,X
IJLZSOT,O,X,O,X,O,X,X,X,X,X,X
IJLZOTS,X,X,X,X,O,X,X,X,X,X,X
IJLZOST,O,X,O,X,O,X,X,X,X,X,X
IJLOTSZ,X,O,O,X,X,O,X,X,X,X,X
IJLOTZS,X,X,X,X,X,O,X,X,X,X,X
IJLOSTZ,X,O,O,X,X,X,X,X,O,X,X
IJLOSZT,X,O,O,X,X,X,X,X,X,X,X
IJLOZTS,X,X,X,X,O,X,X,X,X,X,X
IJLOZST,X,O,O,X,O,X,X,X,X,X,X
IJSTLZO,X,X,O,X,X,O,X,O,O,O,X
IJSTLOZ,X,O,O,O,X,O,X,O,O,X,X
IJSTZLO,O,X,X,O,X,O,X,O,O,X,X
IJSTZOL,O,O,O,O,X,O,X,O,X,X,X
IJSTOLZ,X,O,O,O,X,O,X,O,O,X,X
IJSTOZL,X,O,O,O,X,O,X,O,X,X,X
IJSLTZO,O,X,O,X,X,O,X,O,O,O,X
IJSLTOZ,X,O,O,X,X,O,X,O,O,X,X
IJSLZTO,O,X,O,X,X,X,X,O,O,X,X
IJSLZOT,O,X,O,X,X,X,X,O,X,X,X
IJSLOTZ,X,O,O,O,X,O,X,O,O,X,X
IJSLOZT,X,O,O,O,X,X,X,O,X,X,X
IJSZTLO,O,X,X,O,X,X,X,X,O,X,X
IJSZTOL,O,O,O,O,X,X,X,X,X,X,X
IJSZLTO,O,X,O,X,X,X,X,O,O,X,X
IJSZLOT,O,X,O,O,X,X,X,O,X,X,X
IJSZOTL,O,O,O,O,X,X,X,X,X,X,X
IJSZOLT,O,O,O,O,X,X,X,O,X,X,X
IJSOTLZ,X,O,O,O,X,O,X,O,O,X,O
IJSOTZL,X,O,O,O,X,O,X,O,X,X,O
IJSOLTZ,X,O,O,O,X,O,X,O,O,X,O
IJSOLZT,X,O,O,O,X,X,X,O,X,X,O
IJSOZTL,X,O,O,O,X,X,X,X,X,X,O
IJSOZLT,X,O,O,O,X,X,X,O,X,X,O
IJZTLSO,O,X,X,O,O,O,X,X,X,X,X
IJZTLOS,X,X,X,O,O,O,X,X,X,X,X
IJZTSLO,O,X,X,O,O,O,X,X,X,X,X
IJZTSOL,O,X,X,O,O,O,X,X,X,X,X
IJZTOLS,X,X,X,O,O,O,X,X,X,X,X
IJZTOSL,X,X,X,O,O,X,X,X,X,X,X
IJZLTSO,O,X,X,X,O,O,X,X,X,X,X
IJZLTOS,X,X,X,X,O,O,X,X,X,X,X
IJZLSTO,O,X,O,X,O,X,X,X,O,X,X
IJZLSOT,O,X,O,X,O,X,X,X,X,X,X
IJZLOTS,X,X,X,X,O,X,X,X,X,X,X
IJZLOST,O,X,O,X,O,X,X,X,X,X,X
IJZSTLO,O,X,X,O,O,X,X,X,O,X,X
IJZSTOL,O,O,O,O,O,X,X,X,X,X,X
IJZSLTO,O,X,O,X,O,X,X,X,O,X,X
IJZSLOT,O,X,O,O,O,X,X,X,X,X,X
IJZSOTL,O,O,O,O,O,X,X,X,X,X,X
IJZSOLT,O,O,O,O,X,X,X,X,X,X,X
IJZOTLS,X,X,X,O,O,X,X,X,X,X,X
IJZOTSL,X,X,X,O,O,X,X,X,X,X,X
IJZOLTS,X,X,X,X,O,X,X,X,X,X,X
IJZOLST,O,O,O,X,O,X,X,X,X,X,X
IJZOSTL,O,O,O,O,O,X,X,X,X,X,X
IJZOSLT,O,O,O,O,X,X,X,X,X,X,X
IJOTLSZ,X,O,O,X,X,O,X,O,X,X,O
IJOTLZS,X,X,X,X,X,O,X,O,X,X,O
IJOTSLZ,X,O,O,O,X,O,X,O,X,X,O
IJOTSZL,X,O,O,O,X,O,X,O,X,X,O
IJOTZLS,X,X,X,O,X,O,X,O,X,X,O
IJOTZSL,X,X,X,O,X,X,X,O,X,X,O
IJOLTSZ,X,O,O,X,X,O,X,O,X,X,O
IJOLTZS,X,X,X,X,X,O,X,O,X,X,O
IJOLSTZ,X,O,O,X,X,X,X,O,O,X,O
IJOLSZT,X,O,O,X,X,X,X,O,X,X,O
IJOLZTS,X,X,X,X,X,X,X,X,X,X,O
IJOLZST,X,O,O,X,X,X,X,X,X,X,O
IJOSTLZ,X,O,O,O,X,X,X,O,O,X,O
IJOSTZL,X,O,O,O,X,X,X,O,X,X,O
IJOSLTZ,X,O,O,O,X,X,X,O,O,X,O
IJOSLZT,X,O,O,O,X,X,X,O,X,X,O
IJOSZTL,X,O,O,O,X,X,X,X,X,X,O
IJOSZLT,X,O,O,O,X,X,X,O,X,X,O
IJOZTLS,X,X,X,O,O,X,X,X,X,X,O
IJOZTSL,X,X,X,O,O,X,X,X,X,X,O
IJOZLTS,X,X,X,X,O,X,X,X,X,X,O
IJOZLST,X,O,O,X,X,X,X,X,X,X,O
IJOZSTL,X,O,O,O,O,X,X,X,X,X,O
IJOZSLT,X,O,O,O,X,X,X,X,X,X,O
ISTLJZO,O,X,O,X,O,X,X,O,O,O,X
ISTLJOZ,X,X,O,O,O,X,X,O,O,X,X
ISTLZJO,O,X,O,X,O,X,O,X,O,O,X
ISTLZOJ,O,X,X,X,O,X,O,O,O,O,X
ISTLOJZ,X,O,O,X,O,X,X,O,X,X,X
ISTLOZJ,O,O,X,X,O,O,X,O,O,O,X
ISTJLZO,X,X,O,X,X,X,X,X,O,O,X
ISTJLOZ,X,O,O,O,X,X,X,O,O,X,X
ISTJZLO,O,X,X,O,X,X,X,X,O,X,X
ISTJZOL,O,O,O,O,X,X,X,X,X,X,X
ISTJOLZ,X,O,O,O,X,X,X,O,O,X,X
ISTJOZL,X,O,O,O,X,X,X,X,X,X,X
ISTZLJO,O,X,X,X,O,X,O,X,O,O,X
ISTZLOJ,O,X,X,X,O,X,O,O,O,O,X
ISTZJLO,O,X,X,X,O,X,O,X,X,X,X
ISTZJOL,O,X,O,O,O,X,O,X,X,X,X
ISTZOLJ,X,O,X,X,X,X,O,O,X,X,X
ISTZOJL,O,X,X,X,O,X,O,X,X,X,X
ISTOLJZ,X,O,X,X,X,X,X,O,X,X,X
ISTOLZJ,X,O,X,X,X,O,X,O,O,O,X
ISTOJLZ,X,O,O,O,X,X,X,O,X,X,X
ISTOJZL,X,O,O,O,X,X,X,O,X,X,X
ISTOZLJ,X,O,X,X,X,X,X,O,X,X,X
ISTOZJL,O,X,X,X,O,X,X,X,X,X,X
ISLTJZO,O,X,O,X,O,X,X,O,O,O,X
ISLTJOZ,X,X,O,X,O,X,X,O,O,X,X
ISLTZJO,O,X,O,X,O,X,X,X,O,O,X
ISLTZOJ,O,X,X,X,O,X,X,O,O,O,X
ISLTOJZ,X,O,O,X,O,X,X,O,X,X,X
ISLTOZJ,O,O,X,X,O,O,X,O,O,O,X
ISLJTZO,O,X,O,X,X,O,X,O,O,O,X
ISLJTOZ,X,O,O,X,X,O,X,O,O,X,X
ISLJZTO,O,X,O,X,O,X,X,O,O,X,X
ISLJZOT,O,X,O,X,O,X,X,O,X,X,X
ISLJOTZ,X,O,O,O,X,X,X,O,O,X,X
ISLJOZT,X,O,O,O,O,X,X,O,X,X,X
ISLZTJO,O,X,O,X,O,X,X,X,O,O,X
ISLZTOJ,O,X,X,X,O,X,X,O,O,O,X
ISLZJTO,O,X,O,X,O,X,X,O,O,X,X
ISLZJOT,O,X,O,X,O,X,X,O,X,X,X
ISLZOTJ,O,X,X,X,O,X,X,O,X,X,X
ISLZOJT,O,X,X,X,O,X,X,O,X,X,X
ISLOTJZ,X,O,O,X,X,X,X,O,X,X,X
ISLOTZJ,O,O,X,X,O,X,X,O,O,O,X
ISLOJTZ,X,O,O,X,X,X,X,O,O,X,X
ISLOJZT,X,O,O,X,O,X,X,O,X,X,X
ISLOZTJ,O,O,X,X,O,X,X,O,X,X,X
ISLOZJT,O,O,X,X,O,X,X,O,X,X,X
ISJTLZO,X,X,O,X,X,O,X,O,O,O,X
ISJTLOZ,X,O,O,O,X,O,X,O,O,X,X
ISJTZLO,O,X,X,O,X,O,X,O,O,X,X
ISJTZOL,O,O,O,O,X,O,X,O,X,X,X
ISJTOLZ,X,O,O,O,X,O,X,O,O,X,X
ISJTOZL,X,O,O,O,X,O,X,O,X,X,X
ISJLTZO,O,X,O,X,X,O,X,O,O,O,X
ISJLTOZ,X,O,O,X,X,O,X,O,O,X,X
ISJLZTO,O,X,O,X,X,X,X,O,O,X,X
ISJLZOT,O,X,O,X,X,X,X,O,X,X,X
ISJLOTZ,X,O,O,O,X,X,X,O,O,X,X
ISJLOZT,X,O,O,O,X,X,X,O,X,X,X
ISJZTLO,O,X,X,O,X,X,X,X,O,X,X
ISJZTOL,O,O,O,O,X,X,X,X,X,X,X
ISJZLTO,O,X,O,X,X,X,X,O,O,X,X
ISJZLOT,O,X,O,O,X,X,X,O,X,X,X
ISJZOTL,O,O,O,O,X,X,X,X,X,X,X
ISJZOLT,O,O,O,O,X,X,X,O,X,X,X
ISJOTLZ,X,O,O,O,X,X,X,O,O,X,O
ISJOTZL,X,O,O,O,X,X,X,O,X,X,O
ISJOLTZ,X,O,O,O,X,X,X,O,O,X,O
ISJOLZT,X,O,O,O,X,X,X,O,X,X,O
ISJOZTL,X,O,O,O,X,X,X,X,X,X,O
ISJOZLT,X,O,O,O,X,X,X,O,X,X,O
ISZTLJO,O,X,X,O,O,X,O,X,O,O,X
ISZTLOJ,O,X,X,X,O,X,O,X,O,O,X
ISZTJLO,O,X,X,O,O,X,O,X,X,X,X
ISZTJOL,O,X,O,O,O,X,O,X,X,X,X
ISZTOLJ,X,O,X,X,X,X,O,X,X,X,X
ISZTOJL,O,X,X,O,O,X,O,X,X,X,X
ISZLTJO,O,X,O,X,O,X,X,X,O,O,X
ISZLTOJ,O,X,X,X,O,X,X,O,O,O,X
ISZLJTO,O,X,O,X,O,X,X,O,O,X,X
ISZLJOT,O,X,O,O,O,X,X,O,X,X,X
ISZLOTJ,O,X,X,X,O,X,X,O,X,X,X
ISZLOJT,O,X,X,X,O,X,X,O,X,X,X
ISZJTLO,O,X,X,O,O,X,O,X,O,X,X
ISZJTOL,O,O,O,O,O,X,O,X,X,X,X
ISZJLTO,O,X,O,X,O,X,X,X,O,X,X
ISZJLOT,O,X,O,O,O,X,X,X,X,X,X
ISZJOTL,O,O,O,O,O,X,X,X,X,X,X
ISZJOLT,O,O,O,O,X,X,X,X,X,X,X
ISZOTLJ,X,O,X,X,X,X,X,X,X,X,X
ISZOTJL,O,X,X,X,X,X,X,X,X,X,X
ISZOLTJ,O,O,X,X,X,X,X,O,X,X,X
ISZOLJT,O,O,X,X,X,X,X,O,X,X,X
ISZOJTL,O,O,X,O,O,X,X,X,X,X,X
ISZOJLT,O,O,X,O,X,X,X,X,X,X,X
ISOTLJZ,X,O,X,X,X,X,X,O,X,X,X
ISOTLZJ,X,O,X,X,X,X,X,O,O,O,X
ISOTJLZ,X,O,O,X,X,X,X,O,X,X,X
ISOTJZL,X,O,O,X,X,X,X,O,X,X,X
ISOTZLJ,X,O,X,X,X,X,X,O,X,X,X
ISOTZJL,O,X,X,X,X,X,X,X,X,X,X
ISOLTJZ,X,O,O,X,X,X,X,O,X,X,X
ISOLTZJ,O,O,X,X,X,X,X,O,O,O,X
ISOLJTZ,X,O,O,X,X,X,X,O,O,X,O
ISOLJZT,X,O,O,X,X,X,X,O,X,X,O
ISOLZTJ,O,O,X,X,X,X,X,O,X,X,X
ISOLZJT,O,O,X,X,X,X,X,O,X,X,X
ISOJTLZ,X,O,O,O,X,X,X,O,O,X,O
ISOJTZL,X,O,O,O,X,X,X,O,X,X,O
ISOJLTZ,X,O,O,O,X,X,X,O,O,X,O
ISOJLZT,X,O,O,O,X,X,X,O,X,X,O
ISOJZTL,X,O,O,O,X,X,X,X,X,X,O
ISOJZLT,X,O,O,O,X,X,X,O,X,X,O
ISOZTLJ,X,O,X,X,X,X,X,X,X,X,X
ISOZTJL,O,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,O,O,X,X,X,X,X,O,X,X,X
ISOZLJT,O,O,X,X,X,X,X,O,X,X,X
ISOZJTL,O,O,X,X,O,X,X,X,X,X,X
ISOZJLT,O,O,X,X,X,X,X,X,X,X,X
IZTLJSO,O,X,X,X,O,X,O,X,X,X,X
IZTLJOS,X,X,X,X,O,X,O,X,X,X,X
IZTLSJO,O,X,X,X,O,X,O,X,X,X,X
IZTLSOJ,O,X,X,X,O,X,O,X,X,X,X
IZTLOJS,X,X,X,X,O,O,O,X,X,X,X
IZTLOSJ,X,X,X,X,O,O,O,X,X,X,X
IZTJLSO,O,X,X,O,O,X,O,X,X,X,X
IZTJLOS,X,X,X,O,O,X,O,X,X,X,X
IZTJSLO,O,X,X,O,O,X,O,X,X,X,X
IZTJSOL,O,X,X,O,O,X,O,X,X,X,X
IZTJOLS,X,X,X,O,O,X,O,X,X,X,X
IZTJOSL,X,X,X,O,O,X,O,X,X,X,X
IZTSLJO,O,X,X,O,O,X,O,X,X,X,X
IZTSLOJ,O,X,X,X,O,X,O,X,X,X,X
IZTSJLO,O,X,X,O,O,X,O,X,X,X,X
IZTSJOL,O,X,X,O,O,X,O,X,X,X,X
IZTSOLJ,X,X,X,X,X,X,O,X,X,X,X
IZTSOJL,O,X,X,O,O,X,O,X,X,X,X
IZTOLJS,X,X,X,X,O,O,O,X,X,X,X
IZTOLSJ,X,X,X,X,O,O,O,X,X,X,X
IZTOJLS,X,X,X,X,O,X,O,X,X,X,X
IZTOJSL,X,X,X,X,O,X,O,X,X,X,X
IZTOSLJ,X,X,X,X,X,X,O,X,X,X,X
IZTOSJL,X,X,X,X,O,X,O,X,X,X,X
IZLTJSO,O,X,X,X,O,X,X,X,X,X,X
IZLTJOS,X,X,X,X,O,X,X,X,X,X,X
IZLTSJO,O,X,X,X,O,X,X,X,X,X,X
IZLTSOJ,O,X,X,X,O,X,X,X,X,X,X
IZLTOJS,X,X,X,X,O,O,X,X,X,X,X
IZLTOSJ,X,X,X,X,O,O,X,X,X,X,X
IZLJTSO,O,X,X,X,O,O,X,X,X,X,X
IZLJTOS,X,X,X,X,O,O,X,X,X,X,X
IZLJSTO,O,X,O,X,O,X,X,X,O,X,X
IZLJSOT,O,X,O,X,O,X,X,X,X,X,X
IZLJOTS,X,X,X,X,O,X,X,X,X,X,X
IZLJOST,O,X,O,X,O,X,X,X,X,X,X
IZLSTJO,O,X,O,X,O,X,X,X,O,O,X
IZLSTOJ,O,X,X,X,O,X,X,X,O,O,X
IZLSJTO,O,X,O,X,O,X,X,X,O,X,X
IZLSJOT,O,X,O,X,O,X,X,X,X,X,X
IZLSOTJ,O,X,X,X,O,X,X,X,X,X,X
IZLSOJT,O,X,X,X,O,X,X,X,X,X,X
IZLOTJS,X,X,X,X,O,X,X,X,X,X,X
IZLOTSJ,X,X,X,X,O,X,X,X,X,X,X
IZLOJTS,X,X,X,X,O,X,X,X,X,X,X
IZLOJST,O,X,X,X,O,X,X,X,X,X,X
IZLOSTJ,O,X,X,X,O,X,X,X,X,X,X
IZLOSJT,O,X,X,X,O,X,X,X,X,X,X
IZJTLSO,O,X,X,O,O,O,O,X,X,X,X
IZJTLOS,X,X,X,O,O,O,O,X,X,X,X
IZJTSLO,O,X,X,O,O,O,O,X,X,X,X
IZJTSOL,O,X,X,O,O,O,O,X,X,X,X
IZJTOLS,X,X,X,O,O,O,O,X,X,X,X
IZJTOSL,X,X,X,O,O,X,O,X,X,X,X
IZJLTSO,O,X,X,X,O,O,X,X,X,X,X
IZJLTOS,X,X,X,X,O,O,X,X,X,X,X
IZJLSTO,O,X,O,X,O,X,X,X,O,X,X
IZJLSOT,O,X,O,X,O,X,X,X,X,X,X
IZJLOTS,X,X,X,X,O,X,X,X,X,X,X
IZJLOST,O,X,O,X,O,X,X,X,X,X,X
IZJSTLO,O,X,X,O,O,X,O,X,O,X,X
