sequence,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jem6IvhFxdB0fB?lhB3iBTmBywB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jei6IvhFxdBzfB?lhB3iB0mB2wB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8JeT6IvhFegBxdB?lhB3iBirB0rB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8JeT6IvhFegBxcB?XeBFnB0rBirB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jem6IvhFTcBxdB?0fBliB3mBywB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jey/IvhFTcBxdB?liB0fBmrB3rB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jem6IvhFCdBXeB?0fBVnBZmBzrB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jei6IvhFxcBXeB?zfBVnB0mB2wB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jey/IvhFxdBlhB?3iB0fBmrBTrB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jey/IvhFxdBlhB?3iB0fBOrBzrB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jei6IvhFXeBzfB?WnBZmB8rBFsB
TIOZSJL,X,X,X,X,O,X,X,X,X,X,X
TLIJSZO,X,X,O,X,O,O,X,X,O,X,X
TLIJSOZ,X,X,O,X,O,O,X,O,O,X,X
TLIJZSO,X,X,X,X,O,O,X,X,X,X,X
TLIJZOS,X,X,X,X,O,O,X,X,X,X,X
TLIJOSZ,X,X,O,X,X,O,X,X,X,X,X
TLIJOZS,X,X,X,X,O,O,X,X,X,X,X
TLISJZO,O,X,O,X,O,X,X,X,O,O,X
TLISJOZ,X,X,O,X,O,X,X,O,O,X,X
TLISZJO,O,X,O,X,O,X,O,X,O,O,X
TLISZOJ,O,X,X,X,O,X,O,O,O,O,X
TLISOJZ,X,X,O,X,O,X,X,O,X,X,X
TLISOZJ,O,X,X,X,O,O,X,O,O,O,X
TLIZJSO,O,X,X,X,O,X,O,X,X,X,X
TLIZJOS,X,X,X,X,O,X,O,X,X,X,X
TLIZSJO,O,X,X,X,O,X,O,X,X,X,X
TLIZSOJ,O,X,X,X,O,X,O,O,X,X,X
TLIZOJS,X,X,X,X,O,O,O,X,X,X,X
TLIZOSJ,X,X,X,X,O,O,O,X,X,X,X
TLIOJSZ,X,X,X,X,X,O,X,O,X,X,X
TLIOJZS,X,X,X,X,O,O,X,X,X,X,X
TLIOSJZ,X,X,X,X,O,X,X,O,X,X,X
TLIOSZJ,X,X,X,X,O,O,X,O,X,X,X
TLIOZJS,X,X,X,X,O,O,X,X,X,X,X
TLIOZSJ,X,X,X,X,O,O,X,O,X,X,X
TLJISZO,X,X,O,X,O,O,X,O,O,X,X
TLJISOZ,X,X,O,X,O,O,X,O,O,X,X
TLJIZSO,X,X,X,X,O,O,X,O,X,X,X
TLJIZOS,X,X,X,X,O,O,X,X,X,X,X
TLJIOSZ,X,X,O,X,X,O,X,O,X,X,X
TLJIOZS,X,X,X,X,O,O,X,X,X,X,X
TLJSIZO,O,X,O,X,O,O,X,O,O,O,X
TLJSIOZ,X,X,O,O,O,O,X,O,O,X,X
TLJSZIO,O,X,O,O,O,O,O,O,O,O,X
TLJSZOI,O,X,O,O,O,O,O,X,O,O,X
TLJSOIZ,X,X,O,O,O,O,X,O,O,X,X
TLJSOZI,X,X,O,O,O,O,X,X,O,X,X
TLJZISO,O,X,X,O,O,O,O,O,X,X,X
TLJZIOS,X,X,X,O,O,O,O,X,X,X,X
TLJZSIO,O,X,O,O,O,O,O,O,O,X,X
TLJZSOI,O,X,O,O,O,O,O,X,O,X,X
TLJZOIS,X,X,X,O,O,O,O,X,X,X,X
TLJZOSI,O,X,O,O,O,O,O,X,X,X,X
TLJOISZ,X,X,O,X,X,O,X,O,X,X,X
TLJOIZS,X,X,X,X,O,O,X,X,X,X,X
TLJOSIZ,X,X,O,O,X,O,X,O,O,X,X
TLJOSZI,X,X,O,O,X,O,X,X,O,X,X
TLJOZIS,X,X,X,O,O,O,X,X,X,X,X
TLJOZSI,X,X,O,O,O,O,X,X,X,X,X
TLSIJZO,O,X,O,X,O,X,X,O,O,O,X
TLSIJOZ,X,X,O,O,O,X,X,O,O,X,X
TLSIZJO,O,X,O,X,O,X,O,X,O,O,X
TLSIZOJ,O,X,X,X,O,X,O,O,O,O,X
TLSIOJZ,X,O,O,X,O,X,X,O,X,X,X
TLSIOZJ,O,O,X,X,O,O,X,O,O,O,X
TLSJIZO,O,X,O,X,O,X,X,O,O,O,X
TLSJIOZ,X,X,O,O,O,X,X,O,O,X,X
TLSJZIO,O,X,O,O,O,X,O,O,O,O,X
TLSJZOI,O,X,O,O,O,X,O,X,O,O,X
TLSJOIZ,X,X,O,O,O,X,X,O,O,X,X
TLSJOZI,X,X,O,O,O,X,X,X,O,X,X
TLSZIJO,O,X,O,X,O,X,O,X,O,O,X
