sequence,v115@DhD8FeF8EeF8AeF8JeO/IvhFXbBTcBxdBSlB0mBlqB,v115@DhD8FeF8EeF8AeF8JeK/IvhFzaBGcBxdB3gB0mBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhFXcBxdBzfBqmB0gBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhF0bBxdBzfBqmBXhBlqB,v115@DhD8FeF8EeF8AeF8Jem6IvhFShBxdBTfB3gB0mBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhF8fBxdBzgBqmB/qBFrB,v115@DhD8FeF8EeF8AeF8JeT6IvhF/gBFcBxdBqmBmkB8qB,v115@DhD8FeF8EeF8AeF8JeO/IvhFXbBxdBSlBThB0mBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhFTcBxdBCgB0gB/qB1wB,v115@DhD8FeF8EeF8AeF8Jei6IvhFchBxdB3fBTlB1rBuqB,v115@DhD8FeF8EeF8AeF8Jem6IvhFCcBxdBTfB/qBFrB0rB
TISJLOZ,O,O,O,O,X,X,X,O,O,X,O
TISJZLO,X,O,X,X,X,X,X,X,O,X,O
TISJZOL,X,X,X,X,X,X,X,X,O,X,X
TISJOLZ,X,O,O,O,X,X,X,O,O,X,O
TISJOZL,X,X,X,X,X,X,X,X,O,X,O
TISZLJO,X,O,X,X,X,O,X,X,O,X,O
TISZLOJ,X,O,X,X,X,O,X,X,O,X,O
TISZJLO,X,O,X,X,X,O,X,X,O,X,O
TISZJOL,X,X,X,X,X,X,X,X,O,X,X
TISZOLJ,X,X,X,X,X,X,X,X,O,O,O
TISZOJL,X,X,X,X,X,X,X,X,O,O,O
TISOLJZ,X,O,O,O,X,X,X,O,O,O,O
TISOLZJ,X,O,O,O,X,X,X,O,O,O,O
TISOJLZ,X,O,O,O,X,X,X,O,O,O,O
TISOJZL,X,X,X,X,X,X,X,X,O,O,O
TISOZLJ,X,X,X,X,X,X,X,X,O,O,O
TISOZJL,X,X,X,X,X,X,X,X,O,O,O
TIZLJSO,O,O,X,X,X,O,O,O,X,X,X
TIZLJOS,O,O,O,O,O,X,O,O,O,X,X
TIZLSJO,O,O,X,X,X,O,O,O,X,X,X
TIZLSOJ,O,O,O,X,O,O,O,O,X,X,X
TIZLOJS,O,O,O,O,O,X,X,O,O,X,X
TIZLOSJ,O,O,O,O,O,X,O,O,X,O,X
TIZJLSO,O,O,X,X,X,O,O,O,X,X,X
TIZJLOS,O,O,O,O,O,X,O,O,O,X,X
TIZJSLO,O,O,X,X,X,O,O,X,O,X,X
TIZJSOL,O,O,X,X,X,X,O,X,O,X,X
TIZJOLS,O,O,O,O,O,X,O,O,O,X,X
TIZJOSL,O,O,X,X,O,X,O,X,O,O,X
TIZSLJO,O,O,X,X,X,O,O,X,O,X,X
TIZSLOJ,O,O,X,X,O,O,O,X,O,X,X
TIZSJLO,O,O,X,X,X,O,O,X,O,X,X
TIZSJOL,O,O,X,X,X,X,O,X,O,X,X
TIZSOLJ,O,O,X,X,O,X,X,X,O,O,X
TIZSOJL,O,O,X,X,O,X,X,X,O,O,X
TIZOLJS,O,O,O,O,O,X,X,O,O,X,X
TIZOLSJ,O,O,O,O,O,X,X,O,X,O,X
TIZOJLS,O,O,O,O,O,X,X,O,O,X,X
TIZOJSL,O,O,X,X,O,X,X,X,O,O,X
TIZOSLJ,O,O,X,X,O,X,X,X,O,O,X
TIZOSJL,O,O,X,X,O,X,X,X,O,O,X
TIOLJSZ,O,O,O,O,X,X,X,O,O,X,X
TIOLJZS,O,X,O,O,X,X,X,O,O,X,X
TIOLSJZ,O,O,O,O,X,X,X,O,O,O,X
TIOLSZJ,O,O,O,O,X,X,X,O,O,O,X
TIOLZJS,O,X,O,O,X,X,X,O,O,X,X
TIOLZSJ,O,O,O,O,X,X,X,O,X,O,X
TIOJLSZ,O,X,O,O,X,X,X,O,O,X,X
TIOJLZS,O,X,O,O,X,X,X,O,O,X,X
TIOJSLZ,X,X,O,O,X,X,X,O,O,O,O
TIOJSZL,X,X,X,X,X,X,X,X,O,O,O
TIOJZLS,X,X,O,O,O,X,X,O,O,X,X
TIOJZSL,X,X,X,X,X,X,X,X,O,O,X
TIOSLJZ,X,O,O,O,X,X,X,O,O,O,O
TIOSLZJ,X,O,O,O,X,X,X,O,O,O,O
TIOSJLZ,X,O,O,O,X,X,X,O,O,O,O
TIOSJZL,X,X,X,X,X,X,X,X,O,O,O
TIOSZLJ,X,X,X,X,X,X,X,X,O,O,O
TIOSZJL,X,X,X,X,X,X,X,X,O,O,O
TIOZLJS,X,X,O,O,O,X,X,O,O,X,X
TIOZLSJ,X,X,O,O,O,X,X,O,X,O,X
TIOZJLS,X,X,O,O,O,X,X,O,O,X,X
TIOZJSL,X,X,X,X,O,X,X,X,O,O,X
TIOZSLJ,X,X,X,X,O,X,X,X,O,O,X
TIOZSJL,X,X,X,X,O,X,X,X,O,O,X
TLIJSZO,O,O,X,X,X,X,X,O,O,X,X
TLIJSOZ,O,O,O,O,X,X,X,O,O,X,X
TLIJZSO,O,X,X,X,X,O,O,O,X,X,X
TLIJZOS,O,X,O,O,X,X,O,O,O,X,X
TLIJOSZ,O,O,O,O,X,X,X,O,O,X,X
TLIJOZS,O,X,O,O,X,X,O,O,O,X,X
TLISJZO,O,O,X,X,X,X,X,O,O,X,X
TLISJOZ,O,O,O,O,X,X,X,O,O,X,X
TLISZJO,O,O,X,X,X,O,O,O,O,X,X
TLISZOJ,O,O,O,X,X,O,O,O,O,X,X
TLISOJZ,O,O,O,O,X,X,X,O,O,X,X
TLISOZJ,O,O,O,O,X,O,X,O,O,X,X
TLIZJSO,O,O,X,X,X,O,O,O,X,X,X
TLIZJOS,O,O,O,O,X,X,O,O,O,X,X
TLIZSJO,O,O,X,X,X,O,O,O,X,X,X
TLIZSOJ,O,O,O,X,X,O,O,O,X,X,X
TLIZOJS,O,O,O,O,X,X,X,O,O,X,X
TLIZOSJ,O,O,O,O,X,X,O,O,X,O,X
TLIOJSZ,O,O,O,O,X,X,X,O,O,X,X
TLIOJZS,O,X,O,O,X,X,X,O,O,X,X
TLIOSJZ,O,O,O,O,X,X,X,O,O,O,X
TLIOSZJ,O,O,O,O,X,X,X,O,O,O,X
TLIOZJS,O,O,O,O,X,X,X,O,O,X,X
TLIOZSJ,O,O,O,O,X,X,O,O,X,O,X
TLJISZO,O,O,X,X,X,X,X,O,O,X,X
TLJISOZ,O,O,O,O,X,X,X,O,O,X,X
TLJIZSO,O,X,X,X,X,O,O,O,X,X,X
TLJIZOS,O,X,O,O,X,X,O,O,O,X,X
TLJIOSZ,O,O,O,O,X,X,X,O,O,X,X
TLJIOZS,O,X,O,O,X,X,O,O,O,X,X
TLJSIZO,O,O,X,X,X,X,X,O,O,X,X
TLJSIOZ,O,O,O,O,X,X,X,O,O,X,X
TLJSZIO,O,O,X,X,X,X,X,O,O,X,X
TLJSZOI,O,O,X,X,X,X,X,O,O,X,X
TLJSOIZ,O,O,O,O,X,X,X,O,O,X,X
TLJSOZI,O,O,O,O,X,X,X,O,O,X,X
TLJZISO,O,X,X,X,X,O,O,O,X,X,X
TLJZIOS,O,X,O,O,X,X,O,O,O,X,X
TLJZSIO,O,X,X,X,X,O,O,O,X,X,X
TLJZSOI,O,X,X,X,X,O,O,O,X,X,X
TLJZOIS,O,X,O,O,X,X,O,O,O,X,X
TLJZOSI,O,X,O,O,X,X,O,O,O,X,X
TLJOISZ,O,O,O,O,X,X,X,O,O,X,X
TLJOIZS,O,X,O,O,X,X,O,O,O,X,X
TLJOSIZ,O,O,O,O,X,X,X,O,O,X,X
TLJOSZI,O,O,O,O,X,X,X,O,O,X,X
TLJOZIS,O,X,O,O,X,X,O,O,O,X,X
TLJOZSI,O,X,O,O,X,X,O,O,O,X,X
TLSIJZO,O,O,X,X,X,X,X,O,O,X,X
TLSIJOZ,O,O,O,O,X,X,X,O,O,X,X
TLSIZJO,O,O,X,X,X,O,O,O,O,X,X
TLSIZOJ,O,O,O,X,X,O,O,O,O,X,X
TLSIOJZ,O,O,O,O,X,X,X,O,O,X,X
TLSIOZJ,O,O,O,O,X,O,X,O,O,X,X
TLSJIZO,O,O,X,X,X,X,X,O,O,X,X
TLSJIOZ,O,O,O,O,X,X,X,O,O,X,X
TLSJZIO,O,O,X,X,X,X,X,O,O,X,X
TLSJZOI,O,O,X,X,X,X,X,O,O,X,X
TLSJOIZ,O,O,O,O,X,X,X,O,O,X,X
TLSJOZI,O,O,O,O,X,X,X,O,O,X,X
TLSZIJO,O,O,X,X,X,O,O,O,O,X,X
TLSZIOJ,O,O,O,X,X,O,O,O,O,X,X
TLSZJIO,O,O,X,X,X,O,O,O,O,X,X
TLSZJOI,O,O,X,X,X,O,O,O,O,X,X
TLSZOIJ,O,O,O,X,X,O,O,O,O,X,X
TLSZOJI,O,O,O,X,X,O,O,O,O,X,X
TLSOIJZ,O,O,O,O,X,X,X,O,O,X,X
TLSOIZJ,O,O,O,O,X,O,X,O,O,X,X
TLSOJIZ,O,O,O,O,X,X,X,O,O,X,X
TLSOJZI,O,O,O,O,X,X,X,O,O,X,X
TLSOZIJ,O,O,O,O,X,O,X,O,O,X,X
TLSOZJI,O,O,O,O,X,O,X,O,O,X,X
TLZIJSO,O,O,X,X,X,O,O,O,X,X,X
TLZIJOS,O,O,O,O,X,X,O,O,O,X,X
TLZISJO,O,O,X,X,X,O,O,O,X,X,X
TLZISOJ,O,O,O,X,X,O,O,O,X,X,X
TLZIOJS,O,O,O,O,X,X,X,O,O,X,X
TLZIOSJ,O,O,O,O,X,X,O,O,X,O,X
TLZJISO,O,O,X,X,X,O,O,O,X,X,X
TLZJIOS,O,O,O,O,X,X,O,O,O,X,X
TLZJSIO,O,O,X,X,X,O,O,O,X,X,X
TLZJSOI,O,O,X,X,X,O,O,O,X,X,X
TLZJOIS,O,O,O,O,X,X,O,O,O,X,X
TLZJOSI,O,O,O,O,X,X,O,O,O,X,X
TLZSIJO,O,O,X,X,X,O,O,O,X,X,X
TLZSIOJ,O,O,O,X,X,O,O,O,X,X,X
TLZSJIO,O,O,X,X,X,O,O,O,X,X,X
TLZSJOI,O,O,X,X,X,O,O,O,X,X,X
TLZSOIJ,O,O,O,X,X,O,O,O,X,X,X
TLZSOJI,O,O,O,X,X,O,O,O,X,X,X
TLZOIJS,O,O,O,O,X,X,X,O,O,X,X
TLZOISJ,O,O,O,O,X,X,O,O,X,O,X
TLZOJIS,O,O,O,O,X,X,X,O,O,X,X
TLZOJSI,O,O,O,O,X,X,X,O,O,X,X
TLZOSIJ,O,O,O,O,X,X,O,O,X,O,X
TLZOSJI,O,O,O,O,X,X,O,O,X,O,X
TLOIJSZ,O,O,O,O,X,X,X,O,O,X,X
TLOIJZS,O,X,O,O,X,X,X,O,O,X,X
TLOISJZ,O,O,O,O,X,X,X,O,O,O,X
TLOISZJ,O,O,O,O,X,X,X,O,O,O,X
TLOIZJS,O,O,O,O,X,X,X,O,O,X,X
TLOIZSJ,O,O,O,O,X,X,O,O,X,O,X
TLOJISZ,O,O,O,O,X,X,X,O,O,X,X
TLOJIZS,O,X,O,O,X,X,X,O,O,X,X
TLOJSIZ,O,O,O,O,X,X,X,O,O,X,X
TLOJSZI,O,O,O,O,X,X,X,O,O,X,X
TLOJZIS,O,X,O,O,X,X,X,O,O,X,X
TLOJZSI,O,X,O,O,X,X,X,O,O,X,X
TLOSIJZ,O,O,O,O,X,X,X,O,O,O,X
TLOSIZJ,O,O,O,O,X,X,X,O,O,O,X
TLOSJIZ,O,O,O,O,X,X,X,O,O,O,X
TLOSJZI,O,O,O,O,X,X,X,O,O,O,X
TLOSZIJ,O,O,O,O,X,X,X,O,O,O,X
TLOSZJI,O,O,O,O,X,X,X,O,O,O,X
TLOZIJS,O,O,O,O,X,X,X,O,O,X,X
TLOZISJ,O,O,O,O,X,X,O,O,X,O,X
TLOZJIS,O,O,O,O,X,X,X,O,O,X,X
TLOZJSI,O,X,O,O,X,X,X,O,O,X,X
TLOZSIJ,O,O,O,O,X,X,O,O,X,O,X
TLOZSJI,O,O,O,O,X,X,O,O,X,O,X
TJILSZO,O,O,X,X,X,X,X,O,O,X,X
TJILSOZ,O,O,O,O,X,X,X,O,O,X,X
TJILZSO,O,X,X,X,X,O,O,O,X,X,X
TJILZOS,O,X,O,O,X,X,O,O,O,X,X
TJILOSZ,O,O,O,O,X,X,X,O,O,X,X
TJILOZS,O,X,O,O,X,X,O,O,O,X,X
TJISLZO,O,O,X,X,X,X,X,O,O,X,X
TJISLOZ,O,O,O,O,X,X,X,O,O,X,X
TJISZLO,X,O,X,X,X,X,X,X,O,X,X
TJISZOL,X,X,X,X,X,X,X,X,O,X,X
TJISOLZ,X,O,O,O,X,X,X,O,O,X,X
TJISOZL,X,X,X,X,X,X,X,X,O,X,X
TJIZLSO,O,X,X,X,X,O,O,O,X,X,X
TJIZLOS,O,X,O,O,X,X,O,O,O,X,X
TJIZSLO,O,X,X,X,X,O,O,X,O,X,X
TJIZSOL,O,X,X,X,X,X,O,X,O,X,X
TJIZOLS,O,X,O,O,X,X,O,O,O,X,X
TJIZOSL,O,X,X,X,X,X,O,X,O,O,X
TJIOLSZ,O,X,O,O,X,X,X,O,O,X,X
TJIOLZS,O,X,O,O,X,X,O,O,O,X,X
TJIOSLZ,X,X,O,O,X,X,X,O,O,O,X
TJIOSZL,X,X,X,X,X,X,X,X,O,O,X
TJIOZLS,X,X,O,O,X,X,O,O,O,X,X
TJIOZSL,X,X,X,X,X,X,O,X,O,O,X
TJLISZO,O,O,X,X,X,X,X,O,O,X,X
TJLISOZ,O,O,O,O,X,X,X,O,O,X,X
TJLIZSO,O,X,X,X,X,O,O,O,X,X,X
TJLIZOS,O,X,O,O,X,X,O,O,O,X,X
TJLIOSZ,O,O,O,O,X,X,X,O,O,X,X
TJLIOZS,O,X,O,O,X,X,O,O,O,X,X
TJLSIZO,O,O,X,X,X,X,X,O,O,X,X
TJLSIOZ,O,O,O,O,X,X,X,O,O,X,X
TJLSZIO,O,O,X,X,X,X,X,O,O,X,X
TJLSZOI,O,O,X,X,X,X,X,O,O,X,X
TJLSOIZ,O,O,O,O,X,X,X,O,O,X,X
TJLSOZI,O,O,O,O,X,X,X,O,O,X,X
TJLZISO,O,X,X,X,X,O,O,O,X,X,X
TJLZIOS,O,X,O,O,X,X,O,O,O,X,X
TJLZSIO,O,X,X,X,X,O,O,O,X,X,X
TJLZSOI,O,X,X,X,X,O,O,O,X,X,X
TJLZOIS,O,X,O,O,X,X,O,O,O,X,X
TJLZOSI,O,X,O,O,X,X,O,O,O,X,X
TJLOISZ,O,O,O,O,X,X,X,O,O,X,X
TJLOIZS,O,X,O,O,X,X,O,O,O,X,X
TJLOSIZ,O,O,O,O,X,X,X,O,O,X,X
TJLOSZI,O,O,O,O,X,X,X,O,O,X,X
TJLOZIS,O,X,O,O,X,X,O,O,O,X,X
TJLOZSI,O,X,O,O,X,X,O,O,O,X,X
TJSILZO,O,O,X,X,X,X,X,O,O,X,X
TJSILOZ,O,O,O,O,X,X,X,O,O,X,X
TJSIZLO,X,O,X,X,X,X,X,X,O,X,X
TJSIZOL,X,X,X,X,X,X,X,X,O,X,X
TJSIOLZ,X,O,O,O,X,X,X,O,O,X,X
TJSIOZL,X,X,X,X,X,X,X,X,O,X,X
TJSLIZO,O,O,X,X,X,X,X,O,O,X,X
TJSLIOZ,O,O,O,O,X,X,X,O,O,X,X
TJSLZIO,O,O,X,X,X,X,X,O,O,X,X
TJSLZOI,O,O,X,X,X,X,X,O,O,X,X
TJSLOIZ,O,O,O,O,X,X,X,O,O,X,X
TJSLOZI,O,O,O,O,X,X,X,O,O,X,X
TJSZILO,X,O,X,X,X,X,X,X,O,X,X
TJSZIOL,X,X,X,X,X,X,X,X,O,X,X
TJSZLIO,X,O,X,X,X,X,X,X,O,X,X
TJSZLOI,X,O,X,X,X,X,X,X,O,X,X
TJSZOIL,X,X,X,X,X,X,X,X,O,X,X
TJSZOLI,X,X,X,X,X,X,X,X,O,X,X
TJSOILZ,X,O,O,O,X,X,X,O,O,X,X
TJSOIZL,X,X,X,X,X,X,X,X,O,X,X
TJSOLIZ,X,O,O,O,X,X,X,O,O,X,X
TJSOLZI,X,O,O,O,X,X,X,O,O,X,X
TJSOZIL,X,X,X,X,X,X,X,X,O,X,X
TJSOZLI,X,X,X,X,X,X,X,X,O,X,X
TJZILSO,O,X,X,X,X,O,O,O,X,X,X
TJZILOS,O,X,O,O,X,X,O,O,O,X,X
TJZISLO,O,X,X,X,X,O,O,X,O,X,X
TJZISOL,O,X,X,X,X,X,O,X,O,X,X
TJZIOLS,O,X,O,O,X,X,O,O,O,X,X
TJZIOSL,O,X,X,X,X,X,O,X,O,O,X
TJZLISO,O,X,X,X,X,O,O,O,X,X,X
TJZLIOS,O,X,O,O,X,X,O,O,O,X,X
TJZLSIO,O,X,X,X,X,O,O,O,X,X,X
TJZLSOI,O,X,X,X,X,O,O,O,X,X,X
TJZLOIS,O,X,O,O,X,X,O,O,O,X,X
TJZLOSI,O,X,O,O,X,X,O,O,O,X,X
TJZSILO,O,X,X,X,X,O,O,X,O,X,X
TJZSIOL,O,X,X,X,X,X,O,X,O,X,X
TJZSLIO,O,X,X,X,X,O,O,X,O,X,X
TJZSLOI,O,X,X,X,X,O,O,X,O,X,X
TJZSOIL,O,X,X,X,X,X,O,X,O,X,X
TJZSOLI,O,X,X,X,X,X,O,X,O,X,X
TJZOILS,O,X,O,O,X,X,O,O,O,X,X
TJZOISL,O,X,X,X,X,X,O,X,O,O,X
TJZOLIS,O,X,O,O,X,X,O,O,O,X,X
TJZOLSI,O,X,O,O,X,X,O,O,O,X,X
TJZOSIL,O,X,X,X,X,X,O,X,O,O,X
TJZOSLI,O,X,X,X,X,X,O,X,O,O,X
TJOILSZ,O,X,O,O,X,X,X,O,O,X,X
TJOILZS,O,X,O,O,X,X,O,O,O,X,X
TJOISLZ,X,X,O,O,X,X,X,O,O,O,X
TJOISZL,X,X,X,X,X,X,X,X,O,O,X
TJOIZLS,X,X,O,O,X,X,O,O,O,X,X
TJOIZSL,X,X,X,X,X,X,O,X,O,O,X
TJOLISZ,O,X,O,O,X,X,X,O,O,X,X
TJOLIZS,O,X,O,O,X,X,O,O,O,X,X
TJOLSIZ,O,X,O,O,X,X,X,O,O,X,X
TJOLSZI,O,X,O,O,X,X,X,O,O,X,X
TJOLZIS,O,X,O,O,X,X,O,O,O,X,X
TJOLZSI,O,X,O,O,X,X,O,O,O,X,X
TJOSILZ,X,X,O,O,X,X,X,O,O,O,X
TJOSIZL,X,X,X,X,X,X,X,X,O,O,X
TJOSLIZ,X,X,O,O,X,X,X,O,O,O,X
TJOSLZI,X,X,O,O,X,X,X,O,O,O,X
TJOSZIL,X,X,X,X,X,X,X,X,O,O,X
TJOSZLI,X,X,X,X,X,X,X,X,O,O,X
TJOZILS,X,X,O,O,X,X,O,O,O,X,X
TJOZISL,X,X,X,X,X,X,O,X,O,O,X
TJOZLIS,X,X,O,O,X,X,O,O,O,X,X
TJOZLSI,X,X,O,O,X,X,O,O,O,X,X
TJOZSIL,X,X,X,X,X,X,O,X,O,O,X
TJOZSLI,X,X,X,X,X,X,O,X,O,O,X
TSILJZO,O,O,X,X,X,X,X,O,O,X,O
TSILJOZ,O,O,O,O,X,X,X,O,O,X,O
TSILZJO,O,O,X,X,X,O,X,O,O,X,O
TSILZOJ,O,O,O,X,X,O,X,O,O,X,O
TSILOJZ,O,O,O,O,X,X,X,O,O,O,O
TSILOZJ,O,O,O,O,X,O,X,O,O,O,O
TSIJLZO,O,O,X,X,X,X,X,O,O,X,O
TSIJLOZ,O,O,O,O,X,X,X,O,O,X,O
TSIJZLO,X,O,X,X,X,X,X,X,O,X,O
TSIJZOL,X,X,X,X,X,X,X,X,O,X,X
TSIJOLZ,X,O,O,O,X,X,X,O,O,X,O
TSIJOZL,X,X,X,X,X,X,X,X,O,X,O
TSIZLJO,X,O,X,X,X,O,X,X,O,X,O
TSIZLOJ,X,O,X,X,X,O,X,X,O,X,O
TSIZJLO,X,O,X,X,X,O,X,X,O,X,O
TSIZJOL,X,X,X,X,X,X,X,X,O,X,X
TSIZOLJ,X,X,X,X,X,X,X,X,O,O,O
TSIZOJL,X,X,X,X,X,X,X,X,O,O,O
TSIOLJZ,X,O,O,O,X,X,X,O,O,O,O
TSIOLZJ,X,O,O,O,X,X,X,O,O,O,O
TSIOJLZ,X,O,O,O,X,X,X,O,O,O,O
TSIOJZL,X,X,X,X,X,X,X,X,O,O,O
TSIOZLJ,X,X,X,X,X,X,X,X,O,O,O
TSIOZJL,X,X,X,X,X,X,X,X,O,O,O
TSLIJZO,O,O,X,X,X,X,X,O,O,X,O
TSLIJOZ,O,O,O,O,X,X,X,O,O,X,O
TSLIZJO,O,O,X,X,X,O,X,O,O,X,O
TSLIZOJ,O,O,O,X,X,O,X,O,O,X,O
TSLIOJZ,O,O,O,O,X,X,X,O,O,O,O
TSLIOZJ,O,O,O,O,X,O,X,O,O,O,O
TSLJIZO,O,O,X,X,X,X,X,O,O,X,O
TSLJIOZ,O,O,O,O,X,X,X,O,O,X,O
TSLJZIO,O,O,X,X,X,X,X,O,O,X,O
TSLJZOI,O,O,X,X,X,X,X,O,O,X,X
TSLJOIZ,O,O,O,O,X,X,X,O,O,X,O
TSLJOZI,O,O,O,O,X,X,X,O,O,X,O
TSLZIJO,O,O,X,X,X,O,X,O,O,X,O
TSLZIOJ,O,O,O,X,X,O,X,O,O,X,O
TSLZJIO,O,O,X,X,X,O,X,O,O,X,O
TSLZJOI,O,O,X,X,X,O,X,O,O,X,X
TSLZOIJ,O,O,O,X,X,O,X,O,O,X,O
TSLZOJI,O,O,O,X,X,O,X,O,O,X,O
TSLOIJZ,O,O,O,O,X,X,X,O,O,O,O
TSLOIZJ,O,O,O,O,X,O,X,O,O,O,O
TSLOJIZ,O,O,O,O,X,X,X,O,O,O,O
TSLOJZI,O,O,O,O,X,X,X,O,O,O,O
TSLOZIJ,O,O,O,O,X,O,X,O,O,O,O
TSLOZJI,O,O,O,O,X,O,X,O,O,O,O
TSJILZO,O,O,X,X,X,X,X,O,O,X,O
TSJILOZ,O,O,O,O,X,X,X,O,O,X,O
TSJIZLO,X,O,X,X,X,X,X,X,O,X,O
TSJIZOL,X,X,X,X,X,X,X,X,O,X,X
TSJIOLZ,X,O,O,O,X,X,X,O,O,X,O
TSJIOZL,X,X,X,X,X,X,X,X,O,X,O
TSJLIZO,O,O,X,X,X,X,X,O,O,X,O
TSJLIOZ,O,O,O,O,X,X,X,O,O,X,O
TSJLZIO,O,O,X,X,X,X,X,O,O,X,O
TSJLZOI,O,O,X,X,X,X,X,O,O,X,X
TSJLOIZ,O,O,O,O,X,X,X,O,O,X,O
TSJLOZI,O,O,O,O,X,X,X,O,O,X,O
TSJZILO,X,O,X,X,X,X,X,X,O,X,O
TSJZIOL,X,X,X,X,X,X,X,X,O,X,X
TSJZLIO,X,O,X,X,X,X,X,X,O,X,O
TSJZLOI,X,O,X,X,X,X,X,X,O,X,X
TSJZOIL,X,X,X,X,X,X,X,X,O,X,X
TSJZOLI,X,X,X,X,X,X,X,X,O,X,X
TSJOILZ,X,O,O,O,X,X,X,O,O,X,O
TSJOIZL,X,X,X,X,X,X,X,X,O,X,O
TSJOLIZ,X,O,O,O,X,X,X,O,O,X,O
TSJOLZI,X,O,O,O,X,X,X,O,O,X,O
TSJOZIL,X,X,X,X,X,X,X,X,O,X,O
