sequence,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhFicB9iBfnB5oB8s?BOtB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF/hBRdBcjBOnBqs?B9tB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF/hBRdBSjBNnB8s?B+tB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF/hBRdBOnBtsB6t?BctB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF2hBXeBxsB9tBCn?B0sB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhFxcB6jB0hB9sB/t?BmsB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhFmcBtiB0hB5oBys?BXtB
TISJOLZ,X,X,X,O,O,X,X
TISJOZL,X,X,O,X,O,X,X
TISZLJO,O,O,X,X,O,O,X
TISZLOJ,O,O,X,X,O,O,X
TISZJLO,O,X,X,X,O,O,X
TISZJOL,O,O,X,X,O,O,X
TISZOLJ,O,O,X,X,O,O,X
TISZOJL,O,O,X,X,O,O,X
TISOLJZ,X,O,X,O,O,X,X
TISOLZJ,O,O,X,X,X,O,X
TISOJLZ,X,X,X,O,O,X,X
TISOJZL,X,X,O,X,O,X,X
TISOZLJ,O,O,X,X,O,O,X
TISOZJL,O,O,X,X,O,O,X
TIZLJSO,X,O,X,X,O,X,O
TIZLJOS,X,O,X,X,O,X,O
TIZLSJO,O,O,X,X,O,O,O
TIZLSOJ,O,O,X,X,O,O,O
TIZLOJS,X,O,X,X,O,X,O
TIZLOSJ,O,O,X,X,O,O,O
TIZJLSO,X,X,X,X,O,X,O
TIZJLOS,X,X,X,X,O,X,O
TIZJSLO,O,X,X,X,O,O,X
TIZJSOL,O,X,X,X,O,O,X
TIZJOLS,X,X,X,X,O,X,O
TIZJOSL,O,X,X,X,O,O,X
TIZSLJO,O,O,X,X,O,O,X
TIZSLOJ,O,O,X,X,O,O,X
TIZSJLO,O,X,X,X,O,O,X
TIZSJOL,O,O,X,X,O,O,X
TIZSOLJ,O,O,X,X,O,O,X
TIZSOJL,O,O,X,X,O,O,X
TIZOLJS,X,O,X,X,O,X,O
TIZOLSJ,O,O,X,X,O,O,O
TIZOJLS,X,X,X,X,O,X,O
TIZOJSL,O,X,X,X,O,O,X
TIZOSLJ,O,O,X,X,O,O,X
TIZOSJL,O,O,X,X,O,O,X
TIOLJSZ,X,O,X,O,O,X,X
TIOLJZS,X,O,X,X,O,X,O
TIOLSJZ,X,O,X,O,O,X,X
TIOLSZJ,O,O,X,X,X,X,O
TIOLZJS,X,O,X,X,O,X,O
TIOLZSJ,O,O,X,X,O,X,O
TIOJLSZ,X,X,X,O,O,X,X
TIOJLZS,X,X,X,X,O,X,X
TIOJSLZ,X,X,X,O,O,X,X
TIOJSZL,X,X,O,X,O,X,X
TIOJZLS,X,X,O,X,O,X,X
TIOJZSL,X,X,O,X,O,X,X
TIOSLJZ,X,O,X,O,O,X,X
TIOSLZJ,O,O,X,X,X,O,X
TIOSJLZ,X,X,X,O,O,X,X
TIOSJZL,X,X,O,X,O,X,X
TIOSZLJ,O,O,X,X,O,O,X
TIOSZJL,O,O,X,X,O,O,X
TIOZLJS,X,O,X,X,O,X,O
TIOZLSJ,O,O,X,X,O,O,O
TIOZJLS,X,X,X,X,O,X,O
TIOZJSL,O,X,X,X,O,O,X
TIOZSLJ,O,O,X,X,O,O,X
TIOZSJL,O,O,X,X,O,O,X
TLIJSZO,X,O,X,O,X,X,X
TLIJSOZ,X,O,X,O,X,X,X
TLIJZSO,X,O,X,X,X,X,O
TLIJZOS,X,O,X,X,X,X,O
TLIJOSZ,X,O,X,O,X,X,X
TLIJOZS,X,O,X,X,X,X,O
TLISJZO,X,O,X,O,X,X,X
TLISJOZ,X,O,X,O,X,X,X
TLISZJO,O,O,X,X,X,X,O
TLISZOJ,O,O,X,X,X,X,O
TLISOJZ,X,O,X,O,X,X,X
TLISOZJ,O,O,X,X,X,X,O
TLIZJSO,X,O,X,X,X,X,O
TLIZJOS,X,O,X,X,X,X,O
TLIZSJO,O,O,X,X,X,X,O
TLIZSOJ,O,O,X,X,X,X,O
TLIZOJS,X,O,X,X,X,X,O
TLIZOSJ,O,O,X,X,X,X,O
TLIOJSZ,X,O,X,O,X,X,X
TLIOJZS,X,O,X,X,X,X,O
TLIOSJZ,X,O,X,O,X,X,X
TLIOSZJ,O,O,X,X,X,X,O
TLIOZJS,X,O,X,X,X,X,O
TLIOZSJ,O,O,X,X,X,X,O
TLJISZO,X,O,X,O,X,X,X
TLJISOZ,X,O,X,O,X,X,X
TLJIZSO,X,O,X,X,X,X,O
TLJIZOS,X,O,X,X,X,X,O
TLJIOSZ,X,O,X,O,X,X,X
TLJIOZS,X,O,X,X,X,X,O
TLJSIZO,X,O,X,O,X,X,X
TLJSIOZ,X,O,X,O,X,X,X
TLJSZIO,X,O,O,O,X,X,X
TLJSZOI,X,O,O,O,X,X,X
TLJSOIZ,X,O,X,O,X,X,X
TLJSOZI,X,O,O,O,X,X,X
TLJZISO,X,O,O,X,X,X,O
TLJZIOS,X,O,O,X,X,X,O
TLJZSIO,X,O,O,O,X,X,O
TLJZSOI,X,O,O,O,X,X,O
TLJZOIS,X,O,O,X,X,X,O
TLJZOSI,X,O,O,O,X,X,O
TLJOISZ,X,O,X,O,X,X,X
TLJOIZS,X,O,X,X,X,X,O
TLJOSIZ,X,O,X,O,X,X,X
TLJOSZI,X,O,O,O,X,X,X
TLJOZIS,X,O,O,X,X,X,O
TLJOZSI,X,O,O,O,X,X,O
TLSIJZO,X,O,X,O,X,X,X
TLSIJOZ,X,O,X,O,X,X,X
TLSIZJO,O,O,X,X,X,O,O
TLSIZOJ,O,O,X,X,X,O,O
TLSIOJZ,X,O,X,O,X,X,X
TLSIOZJ,O,O,X,X,X,O,O
TLSJIZO,X,O,X,O,X,X,X
TLSJIOZ,X,O,X,O,X,X,X
TLSJZIO,O,O,O,O,X,O,X
TLSJZOI,O,O,O,O,X,O,X
TLSJOIZ,X,O,X,O,X,X,X
TLSJOZI,O,O,O,O,X,O,X
TLSZIJO,O,O,X,X,X,O,O
TLSZIOJ,O,O,X,X,X,O,O
TLSZJIO,O,O,X,O,X,O,O
TLSZJOI,O,O,X,O,X,O,O
TLSZOIJ,O,O,X,X,X,O,O
TLSZOJI,O,O,X,O,X,O,O
TLSOIJZ,X,O,X,O,X,X,X
TLSOIZJ,O,O,X,X,X,O,O
TLSOJIZ,X,O,X,O,X,X,X
TLSOJZI,O,O,O,O,X,O,X
TLSOZIJ,O,O,X,X,X,O,O
TLSOZJI,O,O,X,O,X,O,O
TLZIJSO,X,O,X,X,X,X,O
TLZIJOS,X,O,X,X,X,X,O
TLZISJO,O,O,X,X,X,O,O
TLZISOJ,O,O,X,X,X,O,O
TLZIOJS,X,O,X,X,X,X,O
TLZIOSJ,O,O,X,X,X,O,O
TLZJISO,X,O,X,X,X,X,O
TLZJIOS,X,O,X,X,X,X,O
TLZJSIO,X,O,X,O,X,X,O
TLZJSOI,X,O,X,O,X,X,O
TLZJOIS,X,O,X,X,X,X,O
TLZJOSI,X,O,X,O,X,X,O
TLZSIJO,O,O,X,X,X,O,O
TLZSIOJ,O,O,X,X,X,O,O
TLZSJIO,O,O,X,O,X,O,O
TLZSJOI,O,O,X,O,X,O,O
TLZSOIJ,O,O,X,X,X,O,O
TLZSOJI,O,O,X,O,X,O,O
TLZOIJS,X,O,X,X,X,X,O
TLZOISJ,O,O,X,X,X,O,O
TLZOJIS,X,O,X,X,X,X,O
TLZOJSI,X,O,X,O,X,X,O
TLZOSIJ,O,O,X,X,X,O,O
TLZOSJI,O,O,X,O,X,O,O
TLOIJSZ,X,O,X,O,X,X,X
TLOIJZS,X,O,X,X,X,X,O
TLOISJZ,X,O,X,O,X,X,X
TLOISZJ,O,O,X,X,X,X,O
TLOIZJS,X,O,X,X,X,X,O
TLOIZSJ,O,O,X,X,X,X,O
TLOJISZ,X,O,X,O,X,X,X
TLOJIZS,X,O,X,X,X,X,O
TLOJSIZ,X,O,X,O,X,X,X
TLOJSZI,X,O,O,O,X,X,X
TLOJZIS,X,O,O,X,X,X,O
TLOJZSI,X,O,O,O,X,X,O
TLOSIJZ,X,O,X,O,X,X,X
TLOSIZJ,O,O,X,X,X,O,O
TLOSJIZ,X,O,X,O,X,X,X
TLOSJZI,O,O,O,O,X,O,X
TLOSZIJ,O,O,X,X,X,O,O
TLOSZJI,O,O,X,O,X,O,O
TLOZIJS,X,O,X,X,X,X,O
TLOZISJ,O,O,X,X,X,O,O
TLOZJIS,X,O,X,X,X,X,O
TLOZJSI,X,O,X,O,X,X,O
TLOZSIJ,O,O,X,X,X,O,O
TLOZSJI,O,O,X,O,X,O,O
TJILSZO,X,X,X,O,X,X,X
TJILSOZ,X,X,X,O,O,X,X
TJILZSO,X,X,X,X,O,X,X
TJILZOS,X,X,X,X,O,X,X
TJILOSZ,X,X,X,O,O,X,X
TJILOZS,X,X,X,X,O,X,X
TJISLZO,X,X,X,O,X,X,X
TJISLOZ,X,X,X,O,O,X,X
TJISZLO,X,X,O,X,O,X,X
TJISZOL,X,X,O,X,O,X,X
TJISOLZ,X,X,X,O,O,X,X
TJISOZL,X,X,O,X,O,X,X
TJIZLSO,X,X,O,X,O,X,X
TJIZLOS,X,X,O,X,O,X,X
TJIZSLO,X,X,O,X,O,X,X
TJIZSOL,X,X,O,X,O,X,X
TJIZOLS,X,X,O,X,O,X,X
TJIZOSL,X,X,O,X,O,X,X
TJIOLSZ,X,X,X,O,O,X,X
TJIOLZS,X,X,X,X,O,X,X
TJIOSLZ,X,X,X,O,O,X,X
TJIOSZL,X,X,O,X,O,X,X
TJIOZLS,X,X,O,X,O,X,X
TJIOZSL,X,X,O,X,O,X,X
TJLISZO,X,O,X,O,X,X,X
TJLISOZ,X,O,X,O,X,X,X
TJLIZSO,X,O,X,X,X,X,X
TJLIZOS,X,O,X,X,X,X,X
TJLIOSZ,X,O,X,O,X,X,X
TJLIOZS,X,O,X,X,X,X,X
TJLSIZO,X,O,X,O,X,X,X
TJLSIOZ,X,O,X,O,X,X,X
TJLSZIO,X,O,O,O,X,X,X
TJLSZOI,X,O,O,O,X,X,X
TJLSOIZ,X,O,X,O,X,X,X
TJLSOZI,X,O,O,O,X,X,X
TJLZISO,X,O,O,X,X,X,X
TJLZIOS,X,O,O,X,X,X,X
TJLZSIO,X,O,O,O,X,X,X
TJLZSOI,X,O,O,O,X,X,X
TJLZOIS,X,O,O,X,X,X,X
TJLZOSI,X,O,O,O,X,X,X
TJLOISZ,X,O,X,O,X,X,X
TJLOIZS,X,O,X,X,X,X,X
TJLOSIZ,X,O,X,O,X,X,X
TJLOSZI,X,O,O,O,X,X,X
TJLOZIS,X,O,O,X,X,X,X
TJLOZSI,X,O,O,O,X,X,X
TJSILZO,X,X,X,O,X,X,X
TJSILOZ,X,X,X,O,X,X,X
TJSIZLO,X,X,O,X,X,X,X
TJSIZOL,X,X,O,X,X,X,X
TJSIOLZ,X,X,X,O,X,X,X
TJSIOZL,X,X,O,X,X,X,X
TJSLIZO,X,O,X,O,X,X,X
TJSLIOZ,X,O,X,O,X,X,X
TJSLZIO,X,O,O,O,X,O,X
TJSLZOI,X,O,O,O,X,O,X
TJSLOIZ,X,O,X,O,X,X,X
TJSLOZI,X,O,O,O,X,O,X
TJSZILO,X,X,O,X,X,O,X
TJSZIOL,X,O,O,X,X,O,X
TJSZLIO,X,O,O,O,X,O,X
TJSZLOI,X,O,O,O,X,O,X
TJSZOIL,X,O,O,X,X,O,X
TJSZOLI,X,O,O,O,X,O,X
TJSOILZ,X,X,X,O,X,X,X
TJSOIZL,X,X,O,X,X,X,X
TJSOLIZ,X,O,X,O,X,X,X
TJSOLZI,X,O,O,O,X,O,X
TJSOZIL,X,O,O,X,X,O,X
TJSOZLI,X,O,O,O,X,O,X
TJZILSO,X,X,O,X,X,X,X
TJZILOS,X,X,O,X,X,X,X
TJZISLO,X,X,O,X,X,O,X
TJZISOL,X,X,O,X,X,O,X
TJZIOLS,X,X,O,X,X,X,X
TJZIOSL,X,X,O,X,X,O,X
TJZLISO,X,O,O,X,X,X,X
TJZLIOS,X,O,O,X,X,X,X
TJZLSIO,X,O,O,O,X,X,X
TJZLSOI,X,O,O,O,X,X,X
TJZLOIS,X,O,O,X,X,X,X
TJZLOSI,X,O,O,O,X,X,X
TJZSILO,X,X,O,X,X,O,X
TJZSIOL,X,O,O,X,X,O,X
TJZSLIO,X,O,O,O,X,O,X
TJZSLOI,X,O,O,O,X,O,X
TJZSOIL,X,O,O,X,X,O,X
TJZSOLI,X,O,O,O,X,O,X
TJZOILS,X,X,O,X,X,X,X
TJZOISL,X,X,O,X,X,O,X
TJZOLIS,X,O,O,X,X,X,X
TJZOLSI,X,O,O,O,X,X,X
TJZOSIL,X,O,O,X,X,O,X
TJZOSLI,X,O,O,O,X,O,X
TJOILSZ,X,X,X,O,O,X,X
TJOILZS,X,X,X,X,O,X,X
TJOISLZ,X,X,X,O,O,X,X
TJOISZL,X,X,O,X,O,X,X
TJOIZLS,X,X,O,X,O,X,X
TJOIZSL,X,X,O,X,O,X,X
TJOLISZ,X,O,X,O,X,X,X
TJOLIZS,X,O,X,X,X,X,X
TJOLSIZ,X,O,X,O,X,X,X
TJOLSZI,X,O,O,O,X,X,X
TJOLZIS,X,O,O,X,X,X,X
TJOLZSI,X,O,O,O,X,X,X
TJOSILZ,X,X,X,O,X,X,X
TJOSIZL,X,X,O,X,X,X,X
TJOSLIZ,X,O,X,O,X,X,X
TJOSLZI,X,O,O,O,X,O,X
TJOSZIL,X,O,O,X,X,O,X
TJOSZLI,X,O,O,O,X,O,X
TJOZILS,X,X,O,X,X,X,X
TJOZISL,X,X,O,X,X,O,X
TJOZLIS,X,O,O,X,X,X,X
TJOZLSI,X,O,O,O,X,X,X
TJOZSIL,X,O,O,X,X,O,X
TJOZSLI,X,O,O,O,X,O,X
TSILJZO,X,O,X,O,X,X,X
TSILJOZ,X,O,X,O,X,X,X
TSILZJO,O,O,X,X,X,O,X
TSILZOJ,O,O,X,X,X,O,X
TSILOJZ,X,O,X,O,X,X,X
TSILOZJ,O,O,X,X,X,O,X
TSIJLZO,X,X,X,O,X,X,X
TSIJLOZ,X,X,X,O,X,X,X
TSIJZLO,X,X,O,X,X,X,X
TSIJZOL,X,X,O,X,X,X,X
TSIJOLZ,X,X,X,O,X,X,X
TSIJOZL,X,X,O,X,X,X,X
TSIZLJO,O,O,X,X,X,O,X
TSIZLOJ,O,O,X,X,X,O,X
TSIZJLO,O,X,X,X,X,O,X
TSIZJOL,O,O,X,X,X,O,X
TSIZOLJ,O,O,X,X,X,O,X
TSIZOJL,O,O,X,X,X,O,X
TSIOLJZ,X,O,X,O,X,X,X
TSIOLZJ,O,O,X,X,X,O,X
TSIOJLZ,X,X,X,O,X,X,X
TSIOJZL,X,X,O,X,X,X,X
TSIOZLJ,O,O,X,X,X,O,X
TSIOZJL,O,O,X,X,X,O,X
TSLIJZO,X,O,X,O,X,X,X
TSLIJOZ,X,O,X,O,X,X,X
TSLIZJO,O,O,X,X,X,O,X
TSLIZOJ,O,O,X,X,X,O,X
TSLIOJZ,X,O,X,O,X,X,X
TSLIOZJ,O,O,X,X,X,O,X
TSLJIZO,X,O,X,O,X,X,X
TSLJIOZ,X,O,X,O,X,X,X
TSLJZIO,O,O,O,O,X,O,X
TSLJZOI,O,O,O,O,X,O,X
TSLJOIZ,X,O,X,O,X,X,X
TSLJOZI,O,O,O,O,X,O,X
TSLZIJO,O,O,X,X,X,O,X
TSLZIOJ,O,O,X,X,X,O,X
TSLZJIO,O,O,X,O,X,O,X
TSLZJOI,O,O,X,O,X,O,X
TSLZOIJ,O,O,X,X,X,O,X
TSLZOJI,O,O,X,O,X,O,X
TSLOIJZ,X,O,X,O,X,X,X
TSLOIZJ,O,O,X,X,X,O,X
TSLOJIZ,X,O,X,O,X,X,X
TSLOJZI,O,O,O,O,X,O,X
TSLOZIJ,O,O,X,X,X,O,X
TSLOZJI,O,O,X,O,X,O,X
TSJILZO,X,X,X,O,X,X,X
TSJILOZ,X,X,X,O,X,X,X
TSJIZLO,X,X,O,X,X,X,X
TSJIZOL,X,X,O,X,X,X,X
TSJIOLZ,X,X,X,O,X,X,X
TSJIOZL,X,X,O,X,X,X,X
TSJLIZO,X,O,X,O,X,X,X
TSJLIOZ,X,O,X,O,X,X,X
TSJLZIO,O,O,O,O,X,O,X
TSJLZOI,O,O,O,O,X,O,X
TSJLOIZ,X,O,X,O,X,X,X
TSJLOZI,O,O,O,O,X,O,X
TSJZILO,O,X,O,X,X,O,X
TSJZIOL,O,O,O,X,X,O,X
TSJZLIO,O,O,O,O,X,O,X
TSJZLOI,O,O,O,O,X,O,X
TSJZOIL,O,O,O,X,X,O,X
TSJZOLI,O,O,O,O,X,O,X
TSJOILZ,X,X,X,O,X,X,X
TSJOIZL,X,X,O,X,X,X,X
TSJOLIZ,X,O,X,O,X,X,X
TSJOLZI,O,O,O,O,X,O,X
TSJOZIL,O,O,O,X,X,O,X
TSJOZLI,O,O,O,O,X,O,X
TSZILJO,O,O,X,X,X,O,X
TSZILOJ,O,O,X,X,X,O,X
TSZIJLO,O,X,X,X,X,O,X
TSZIJOL,O,O,X,X,X,O,X
TSZIOLJ,O,O,X,X,X,O,X
TSZIOJL,O,O,X,X,X,O,X
TSZLIJO,O,O,X,X,X,O,X
TSZLIOJ,O,O,X,X,X,O,X
TSZLJIO,O,O,X,O,X,O,X
TSZLJOI,O,O,X,O,X,O,X
TSZLOIJ,O,O,X,X,X,O,X
TSZLOJI,O,O,X,O,X,O,X
TSZJILO,O,X,O,X,X,O,X
TSZJIOL,O,O,O,X,X,O,X
TSZJLIO,O,O,O,O,X,O,X
TSZJLOI,O,O,O,O,X,O,X
TSZJOIL,O,O,O,X,X,O,X
TSZJOLI,O,O,O,O,X,O,X
TSZOILJ,O,O,X,X,X,O,X
TSZOIJL,O,O,X,X,X,O,X
TSZOLIJ,O,O,X,X,X,O,X
TSZOLJI,O,O,X,O,X,O,X
TSZOJIL,O,O,O,X,X,O,X
TSZOJLI,O,O,O,O,X,O,X
TSOILJZ,X,O,X,O,X,X,X
TSOILZJ,O,O,X,X,X,O,X
TSOIJLZ,X,X,X,O,X,X,X
TSOIJZL,X,X,O,X,X,X,X
TSOIZLJ,O,O,X,X,X,O,X
TSOIZJL,O,O,X,X,X,O,X
TSOLIJZ,X,O,X,O,X,X,X
TSOLIZJ,O,O,X,X,X,O,X
TSOLJIZ,X,O,X,O,X,X,X
TSOLJZI,O,O,O,O,X,O,X
TSOLZIJ,O,O,X,X,X,O,X
TSOLZJI,O,O,X,O,X,O,X
TSOJILZ,X,X,X,O,X,X,X
TSOJIZL,X,X,O,X,X,X,X
TSOJLIZ,X,O,X,O,X,X,X
TSOJLZI,O,O,O,O,X,O,X
TSOJZIL,O,O,O,X,X,O,X
TSOJZLI,O,O,O,O,X,O,X
TSOZILJ,O,O,X,X,X,O,X
TSOZIJL,O,O,X,X,X,O,X
TSOZLIJ,O,O,X,X,X,O,X
TSOZLJI,O,O,X,O,X,O,X
TSOZJIL,O,O,O,X,X,O,X
TSOZJLI,O,O,O,O,X,O,X
TZILJSO,X,O,X,X,X,X,O
TZILJOS,X,O,X,X,X,X,O
TZILSJO,O,O,X,X,X,O,O
TZILSOJ,O,O,X,X,X,O,O
TZILOJS,X,O,X,X,X,X,O
TZILOSJ,O,O,X,X,X,O,O
TZIJLSO,X,X,X,X,X,X,O
TZIJLOS,X,X,X,X,X,X,O
TZIJSLO,O,X,X,X,X,O,X
TZIJSOL,O,X,X,X,X,O,X
TZIJOLS,X,X,X,X,X,X,O
TZIJOSL,O,X,X,X,X,O,X
TZISLJO,O,O,X,X,X,O,X
TZISLOJ,O,O,X,X,X,O,X
TZISJLO,O,X,X,X,X,O,X
TZISJOL,O,O,X,X,X,O,X
TZISOLJ,O,O,X,X,X,O,X
TZISOJL,O,O,X,X,X,O,X
TZIOLJS,X,O,X,X,X,X,O
TZIOLSJ,O,O,X,X,X,O,O
TZIOJLS,X,X,X,X,X,X,O
TZIOJSL,O,X,X,X,X,O,X
TZIOSLJ,O,O,X,X,X,O,X
TZIOSJL,O,O,X,X,X,O,X
TZLIJSO,X,O,X,X,X,X,O
TZLIJOS,X,O,X,X,X,X,O
TZLISJO,O,O,X,X,X,O,O
TZLISOJ,O,O,X,X,X,O,O
TZLIOJS,X,O,X,X,X,X,O
TZLIOSJ,O,O,X,X,X,O,O
TZLJISO,X,O,X,X,X,X,O
TZLJIOS,X,O,X,X,X,X,O
TZLJSIO,X,O,X,O,X,X,O
TZLJSOI,X,O,X,O,X,X,O
TZLJOIS,X,O,X,X,X,X,O
TZLJOSI,X,O,X,O,X,X,O
TZLSIJO,O,O,X,X,X,O,O
TZLSIOJ,O,O,X,X,X,O,O
TZLSJIO,O,O,X,O,X,O,O
TZLSJOI,O,O,X,O,X,O,O
TZLSOIJ,O,O,X,X,X,O,O
TZLSOJI,O,O,X,O,X,O,O
TZLOIJS,X,O,X,X,X,X,O
TZLOISJ,O,O,X,X,X,O,O
TZLOJIS,X,O,X,X,X,X,O
TZLOJSI,X,O,X,O,X,X,O
TZLOSIJ,O,O,X,X,X,O,O
TZLOSJI,O,O,X,O,X,O,O
TZJILSO,X,X,O,X,X,X,O
TZJILOS,X,X,O,X,X,X,O
TZJISLO,O,X,O,X,X,O,X
TZJISOL,O,X,O,X,X,O,X
TZJIOLS,X,X,O,X,X,X,O
TZJIOSL,O,X,O,X,X,O,X
TZJLISO,X,O,O,X,X,X,O
TZJLIOS,X,O,O,X,X,X,O
TZJLSIO,X,O,O,O,X,X,O
TZJLSOI,X,O,O,O,X,X,O
TZJLOIS,X,O,O,X,X,X,O
TZJLOSI,X,O,O,O,X,X,O
TZJSILO,O,X,O,X,X,O,X
TZJSIOL,O,O,O,X,X,O,X
TZJSLIO,O,O,O,O,X,O,X
TZJSLOI,O,O,O,O,X,O,X
TZJSOIL,O,O,O,X,X,O,X
TZJSOLI,O,O,O,O,X,O,X
TZJOILS,X,X,O,X,X,X,O
TZJOISL,O,X,O,X,X,O,X
TZJOLIS,X,O,O,X,X,X,O
TZJOLSI,X,O,O,O,X,X,O
TZJOSIL,O,O,O,X,X,O,X
TZJOSLI,O,O,O,O,X,O,X
TZSILJO,O,O,X,X,X,O,X
TZSILOJ,O,O,X,X,X,O,X
TZSIJLO,O,X,X,X,X,O,X
TZSIJOL,O,O,X,X,X,O,X
TZSIOLJ,O,O,X,X,X,O,X
TZSIOJL,O,O,X,X,X,O,X
TZSLIJO,O,O,X,X,X,O,X
TZSLIOJ,O,O,X,X,X,O,X
TZSLJIO,O,O,X,O,X,O,X
TZSLJOI,O,O,X,O,X,O,X
TZSLOIJ,O,O,X,X,X,O,X
TZSLOJI,O,O,X,O,X,O,X
TZSJILO,O,X,O,X,X,O,X
TZSJIOL,O,O,O,X,X,O,X
TZSJLIO,O,O,O,O,X,O,X
TZSJLOI,O,O,O,O,X,O,X
TZSJOIL,O,O,O,X,X,O,X
TZSJOLI,O,O,O,O,X,O,X
TZSOILJ,O,O,X,X,X,O,X
TZSOIJL,O,O,X,X,X,O,X
TZSOLIJ,O,O,X,X,X,O,X
TZSOLJI,O,O,X,O,X,O,X
TZSOJIL,O,O,O,X,X,O,X
TZSOJLI,O,O,O,O,X,O,X
TZOILJS,X,O,X,X,X,X,O
TZOILSJ,O,O,X,X,X,O,O
TZOIJLS,X,X,X,X,X,X,O
TZOIJSL,O,X,X,X,X,O,X
TZOISLJ,O,O,X,X,X,O,X
TZOISJL,O,O,X,X,X,O,X
TZOLIJS,X,O,X,X,X,X,O
TZOLISJ,O,O,X,X,X,O,O
TZOLJIS,X,O,X,X,X,X,O
TZOLJSI,X,O,X,O,X,X,O
TZOLSIJ,O,O,X,X,X,O,O
TZOLSJI,O,O,X,O,X,O,O
TZOJILS,X,X,O,X,X,X,O
TZOJISL,O,X,O,X,X,O,X
TZOJLIS,X,O,O,X,X,X,O
TZOJLSI,X,O,O,O,X,X,O
TZOJSIL,O,O,O,X,X,O,X
TZOJSLI,O,O,O,O,X,O,X
TZOSILJ,O,O,X,X,X,O,X
TZOSIJL,O,O,X,X,X,O,X
TZOSLIJ,O,O,X,X,X,O,X
TZOSLJI,O,O,X,O,X,O,X
TZOSJIL,O,O,O,X,X,O,X
TZOSJLI,O,O,O,O,X,O,X
TOILJSZ,X,O,X,O,O,X,X
TOILJZS,X,O,X,X,O,X,O
