sequence,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxbBXdB0gBFnBCr?B2wB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxbBXdBmgBqqBFn?B0rB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFibBFdBulBcmBXn?BRwB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxcBlgB3hBOsB0l?BSwB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhF0cBlgBxmB6qBXn?B2wB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFibB5lB/rBFnBcr?BOsB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxcB0gBlhBXnB6q?B2wB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhF2gBXdBUmBFnBCm?BRwB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxcB6lB/rBFnBmr?B0qB,v115@7gB8GeF8EeE8DeF8DeC8Jei6IvhFchBGgBVnBzlBXn?BRwB,v115@7gB8GeF8EeE8DeF8DeC8JeT6IvhFxbBXdB6lBFnB0r?BerB
TIZLOJS,O,X,O,X,O,X,X,O,X,O,O
TIZLOSJ,O,X,O,X,O,X,X,O,X,X,X
TIZJLSO,X,X,O,X,X,X,X,O,X,O,X
TIZJLOS,X,X,O,X,O,X,X,O,X,O,X
TIZJSLO,X,X,O,X,X,X,X,O,X,O,X
TIZJSOL,O,X,O,X,O,X,X,O,X,X,X
TIZJOLS,X,X,O,X,O,X,X,O,X,O,X
TIZJOSL,O,X,O,X,O,X,X,O,X,X,X
TIZSLJO,O,X,O,X,X,X,X,O,X,O,X
TIZSLOJ,O,X,O,X,X,X,X,O,X,X,X
TIZSJLO,X,X,O,X,X,X,X,O,X,O,X
TIZSJOL,O,X,O,X,X,X,X,O,X,X,X
TIZSOLJ,O,X,O,X,O,X,X,O,X,X,X
TIZSOJL,O,X,O,X,O,X,X,O,X,X,X
TIZOLJS,O,X,O,X,O,X,X,O,X,O,O
TIZOLSJ,O,X,O,X,O,X,X,O,X,X,X
TIZOJLS,X,X,O,X,O,X,X,O,X,O,X
TIZOJSL,O,X,O,X,O,X,X,O,X,X,X
TIZOSLJ,O,X,O,X,O,X,X,O,X,X,X
TIZOSJL,O,X,O,X,O,X,X,O,X,X,X
TIOLJSZ,X,O,O,X,X,X,X,O,X,X,X
TIOLJZS,X,O,O,X,O,X,X,X,X,O,X
TIOLSJZ,O,O,O,O,X,X,X,O,X,X,X
TIOLSZJ,O,O,O,X,X,X,X,O,X,X,X
TIOLZJS,O,X,O,X,O,X,X,O,X,O,X
TIOLZSJ,O,X,O,X,O,X,X,O,X,X,X
TIOJLSZ,X,O,O,O,X,X,X,O,X,X,X
TIOJLZS,X,X,O,X,O,X,X,X,X,O,X
TIOJSLZ,X,O,O,O,X,X,O,O,X,X,X
TIOJSZL,X,O,O,O,O,X,O,O,X,X,X
TIOJZLS,X,X,O,X,O,X,X,O,X,O,X
TIOJZSL,X,O,O,X,O,X,X,O,X,X,X
TIOSLJZ,O,O,O,X,X,O,X,O,O,X,X
TIOSLZJ,O,O,O,X,X,O,O,O,X,X,X
TIOSJLZ,O,O,O,X,X,O,O,O,X,X,X
TIOSJZL,O,O,O,X,O,O,O,O,X,X,X
TIOSZLJ,O,O,O,X,O,O,O,O,X,X,X
TIOSZJL,O,O,O,X,O,O,O,O,X,X,X
TIOZLJS,O,X,O,X,O,X,X,O,X,O,O
TIOZLSJ,O,X,O,X,O,X,X,O,X,X,X
TIOZJLS,X,X,O,X,O,X,X,O,X,O,X
TIOZJSL,O,X,O,X,O,X,X,O,X,X,X
TIOZSLJ,O,X,O,X,O,X,X,O,X,X,X
TIOZSJL,O,X,O,X,O,X,X,O,X,X,X
TLIJSZO,X,O,X,X,X,X,X,X,X,O,X
TLIJSOZ,X,O,X,X,X,X,X,O,X,X,X
TLIJZSO,X,O,O,X,X,X,X,X,X,O,X
TLIJZOS,X,O,O,X,O,X,X,X,X,O,X
TLIJOSZ,X,O,O,X,X,X,X,O,X,X,X
TLIJOZS,X,O,O,X,O,X,X,X,X,O,X
TLISJZO,X,O,X,X,X,X,X,X,X,O,X
TLISJOZ,O,O,O,X,X,X,X,O,X,X,X
TLISZJO,O,O,O,X,X,X,X,O,X,O,X
TLISZOJ,O,O,O,X,X,X,X,O,X,X,X
TLISOJZ,O,O,O,O,X,X,X,O,X,X,X
TLISOZJ,O,O,O,X,X,X,X,O,X,X,X
TLIZJSO,O,X,O,X,X,X,X,O,X,O,X
TLIZJOS,O,X,O,X,X,X,X,O,X,O,X
TLIZSJO,O,X,X,X,X,X,X,O,X,O,X
TLIZSOJ,O,X,O,X,X,X,X,O,X,X,X
TLIZOJS,O,X,O,X,O,X,X,O,X,O,X
TLIZOSJ,O,X,O,X,O,X,X,O,X,X,X
TLIOJSZ,X,O,O,X,X,X,X,O,X,X,X
TLIOJZS,X,O,O,X,O,X,X,X,X,O,X
TLIOSJZ,O,O,O,O,X,X,X,O,X,X,X
TLIOSZJ,O,O,O,X,X,X,X,O,X,X,X
TLIOZJS,O,X,O,X,O,X,X,O,X,O,X
TLIOZSJ,O,X,O,X,O,X,X,O,X,X,X
TLJISZO,X,O,X,X,X,X,X,X,X,O,X
TLJISOZ,X,O,X,X,X,X,X,X,X,X,X
TLJIZSO,X,O,X,X,X,X,X,X,X,O,X
TLJIZOS,X,O,X,X,O,X,X,X,X,O,X
TLJIOSZ,X,O,X,X,X,X,X,X,X,X,X
TLJIOZS,X,O,X,X,O,X,X,X,X,O,X
TLJSIZO,X,O,X,X,X,X,X,X,X,O,X
TLJSIOZ,O,O,X,O,X,X,X,X,X,X,X
TLJSZIO,O,O,X,X,X,X,X,X,X,O,X
TLJSZOI,O,O,X,X,X,X,X,X,X,O,X
TLJSOIZ,O,O,X,O,X,X,X,O,X,X,X
TLJSOZI,O,O,X,O,X,X,X,X,X,X,X
TLJZISO,O,O,X,X,X,X,X,X,X,O,X
TLJZIOS,O,O,X,X,X,X,X,X,X,O,X
TLJZSIO,O,O,X,X,X,X,X,X,X,O,X
TLJZSOI,O,O,X,X,X,X,X,X,X,O,X
TLJZOIS,O,O,X,X,O,X,X,X,X,O,X
TLJZOSI,O,O,X,X,X,X,X,X,X,O,X
TLJOISZ,X,O,O,X,X,X,X,X,X,X,X
TLJOIZS,X,O,O,X,O,X,X,X,X,O,X
TLJOSIZ,O,O,O,O,X,X,X,O,X,X,X
TLJOSZI,O,O,O,O,X,X,X,X,X,X,X
TLJOZIS,O,O,X,X,O,X,X,X,X,O,X
TLJOZSI,O,O,X,X,X,X,X,X,X,O,X
TLSIJZO,X,O,X,X,X,O,X,X,O,O,X
TLSIJOZ,O,O,O,X,X,O,X,O,O,X,X
TLSIZJO,O,O,O,X,X,O,X,O,X,O,X
TLSIZOJ,O,O,O,X,X,O,X,O,X,X,X
TLSIOJZ,O,O,O,O,X,O,X,O,O,X,X
TLSIOZJ,O,O,O,X,X,O,X,O,X,X,X
TLSJIZO,X,O,X,X,X,X,X,X,O,O,X
TLSJIOZ,O,O,X,X,X,X,X,X,O,X,X
TLSJZIO,O,O,X,X,X,X,X,X,O,O,X
TLSJZOI,O,O,X,X,X,X,X,X,O,O,X
TLSJOIZ,O,O,O,O,X,X,X,O,O,X,X
TLSJOZI,O,O,O,O,X,X,X,X,O,X,X
TLSZIJO,O,O,O,X,X,X,X,X,X,O,X
TLSZIOJ,O,O,O,X,X,X,X,X,X,X,X
TLSZJIO,O,O,O,X,X,X,X,X,O,O,X
TLSZJOI,O,O,O,X,X,X,X,X,O,O,X
TLSZOIJ,O,O,O,X,X,X,X,X,X,X,X
TLSZOJI,O,O,O,O,X,X,X,X,O,X,X
TLSOIJZ,O,O,O,O,X,O,X,O,O,X,X
TLSOIZJ,O,O,O,X,X,O,X,O,X,X,X
TLSOJIZ,O,O,O,O,X,X,X,O,O,X,X
TLSOJZI,O,O,O,O,X,X,X,X,O,X,X
TLSOZIJ,O,O,O,X,X,X,X,X,X,X,X
TLSOZJI,O,O,O,O,X,X,X,X,O,X,X
TLZIJSO,O,O,X,X,X,X,X,X,X,O,O
TLZIJOS,O,O,X,X,X,X,X,X,X,O,O
TLZISJO,O,O,X,X,X,X,X,X,X,O,X
TLZISOJ,O,O,X,X,X,X,X,X,X,X,X
TLZIOJS,O,O,X,X,X,X,X,X,X,O,O
TLZIOSJ,O,O,X,X,X,X,X,X,X,X,X
TLZJISO,O,O,X,X,X,X,X,X,X,O,O
TLZJIOS,O,O,X,X,X,X,X,X,X,O,O
TLZJSIO,O,O,X,X,X,X,X,X,X,O,O
TLZJSOI,O,O,X,X,X,X,X,X,X,O,O
TLZJOIS,O,O,X,X,X,X,X,X,X,O,O
TLZJOSI,O,O,X,X,X,X,X,X,X,O,O
TLZSIJO,O,O,X,X,X,X,X,X,X,O,X
TLZSIOJ,O,O,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,X,X,X,X,X,X,X,O,O
TLZSJOI,O,O,X,X,X,X,X,X,X,O,O
TLZSOIJ,O,O,X,X,X,X,X,X,X,X,X
TLZSOJI,O,O,X,O,X,X,X,X,X,X,O
TLZOIJS,O,O,O,X,O,X,X,X,X,O,O
TLZOISJ,O,O,O,X,O,X,X,X,X,X,X
TLZOJIS,O,O,X,X,O,X,X,X,X,O,O
TLZOJSI,O,O,X,X,X,X,X,X,X,O,O
TLZOSIJ,O,O,O,X,X,X,X,X,X,X,X
TLZOSJI,O,O,O,O,X,X,X,X,X,X,O
TLOIJSZ,X,O,O,X,X,X,X,O,X,X,X
TLOIJZS,X,O,O,X,O,X,X,X,X,O,X
TLOISJZ,O,O,O,O,X,X,X,O,X,X,X
TLOISZJ,O,O,O,X,X,X,X,O,X,X,X
TLOIZJS,O,X,O,X,O,X,X,O,X,O,X
TLOIZSJ,O,X,O,X,O,X,X,O,X,X,X
TLOJISZ,X,O,O,X,X,X,X,X,X,X,X
TLOJIZS,X,O,O,X,O,X,X,X,X,O,X
TLOJSIZ,O,O,O,O,X,X,X,O,X,X,X
TLOJSZI,O,O,O,O,X,X,X,X,X,X,X
TLOJZIS,O,O,X,X,O,X,X,X,X,O,X
TLOJZSI,O,O,X,X,X,X,X,X,X,O,X
TLOSIJZ,O,O,O,O,X,O,X,O,O,X,X
TLOSIZJ,O,O,O,X,X,O,X,O,X,X,X
TLOSJIZ,O,O,O,O,X,X,X,O,O,X,X
TLOSJZI,O,O,O,O,X,X,X,X,O,X,X
TLOSZIJ,O,O,O,X,X,X,X,X,X,X,X
TLOSZJI,O,O,O,O,X,X,X,X,O,X,X
TLOZIJS,O,O,O,X,O,X,X,X,X,O,O
TLOZISJ,O,O,O,X,O,X,X,X,X,X,X
TLOZJIS,O,O,X,X,O,X,X,X,X,O,O
TLOZJSI,O,O,X,X,X,X,X,X,X,O,O
TLOZSIJ,O,O,O,X,X,X,X,X,X,X,X
TLOZSJI,O,O,O,O,X,X,X,X,X,X,O
TJILSZO,X,X,X,O,X,X,X,X,X,O,X
TJILSOZ,X,O,X,O,X,X,X,O,X,X,X
TJILZSO,X,X,X,X,X,X,X,X,X,O,X
TJILZOS,X,X,X,X,O,X,X,X,X,O,X
TJILOSZ,X,O,O,O,X,X,X,O,X,X,X
TJILOZS,X,X,O,X,O,X,X,X,X,O,X
TJISLZO,X,X,X,O,X,X,X,X,X,O,X
TJISLOZ,X,O,O,O,X,X,O,O,X,X,X
TJISZLO,X,X,O,X,X,X,X,O,X,O,X
TJISZOL,X,O,O,O,O,X,O,O,X,X,X
TJISOLZ,X,O,O,O,X,X,O,O,X,X,X
TJISOZL,X,O,O,O,O,X,O,O,X,X,X
TJIZLSO,X,X,O,X,X,X,X,O,X,O,X
TJIZLOS,X,X,O,X,O,X,X,O,X,O,X
TJIZSLO,X,X,O,X,X,X,X,O,X,O,X
TJIZSOL,X,O,O,X,O,X,X,O,X,X,X
TJIZOLS,X,X,O,X,O,X,X,O,X,O,X
TJIZOSL,X,O,O,X,O,X,X,O,X,X,X
TJIOLSZ,X,O,O,O,X,X,X,O,X,X,X
TJIOLZS,X,X,O,X,O,X,X,X,X,O,X
TJIOSLZ,X,O,O,O,X,X,O,O,X,X,X
TJIOSZL,X,O,O,O,O,X,O,O,X,X,X
TJIOZLS,X,X,O,X,O,X,X,O,X,O,X
TJIOZSL,X,O,O,X,O,X,X,O,X,X,X
TJLISZO,X,O,X,O,X,X,X,X,X,O,X
TJLISOZ,X,O,X,O,X,X,X,X,X,X,X
TJLIZSO,X,O,X,X,X,X,X,X,X,O,X
TJLIZOS,X,O,X,X,O,X,X,X,X,O,X
TJLIOSZ,X,O,X,O,X,X,X,X,X,X,X
TJLIOZS,X,O,X,X,O,X,X,X,X,O,X
TJLSIZO,X,O,X,O,X,X,X,X,X,O,X
TJLSIOZ,O,O,X,O,X,X,X,X,X,X,X
TJLSZIO,O,O,X,O,X,X,X,X,X,O,X
TJLSZOI,O,O,X,O,X,X,X,X,X,O,X
TJLSOIZ,O,O,X,O,X,X,X,O,X,X,X
TJLSOZI,O,O,X,O,X,X,X,X,X,X,X
TJLZISO,O,O,X,X,X,X,X,X,X,O,X
TJLZIOS,O,O,X,X,X,X,X,X,X,O,X
TJLZSIO,O,O,X,O,X,X,X,X,X,O,X
TJLZSOI,O,O,X,O,X,X,X,X,X,O,X
TJLZOIS,O,O,X,X,O,X,X,X,X,O,X
TJLZOSI,O,O,X,O,X,X,X,X,X,O,X
TJLOISZ,X,O,O,O,X,X,X,X,X,X,X
TJLOIZS,X,O,O,X,O,X,X,X,X,O,X
TJLOSIZ,O,O,O,O,X,X,X,O,X,X,X
TJLOSZI,O,O,O,O,X,X,X,X,X,X,X
TJLOZIS,O,O,X,X,O,X,X,X,X,O,X
TJLOZSI,O,O,X,O,X,X,X,X,X,O,X
TJSILZO,X,X,X,O,X,O,X,X,X,O,X
TJSILOZ,X,O,O,O,X,O,O,O,X,X,X
TJSIZLO,X,X,O,X,X,O,O,O,X,O,X
TJSIZOL,X,O,O,O,O,O,O,O,X,X,X
TJSIOLZ,O,O,O,O,X,O,O,O,X,X,X
TJSIOZL,O,O,O,O,O,O,O,O,X,X,X
TJSLIZO,X,O,X,O,X,X,X,X,O,O,X
TJSLIOZ,O,O,X,O,X,X,O,X,O,X,X
TJSLZIO,O,O,X,O,X,X,O,X,O,O,X
TJSLZOI,O,O,X,O,X,X,O,X,O,O,X
TJSLOIZ,O,O,O,O,X,X,O,O,O,X,X
TJSLOZI,O,O,O,O,X,X,O,X,O,X,X
TJSZILO,X,X,O,X,X,X,O,X,X,X,X
TJSZIOL,O,O,O,O,X,X,O,X,X,X,X
TJSZLIO,O,X,O,X,X,X,O,X,X,O,X
TJSZLOI,O,X,O,X,X,X,O,X,X,O,X
TJSZOIL,O,O,O,O,O,X,O,O,X,X,X
TJSZOLI,O,O,O,O,X,X,O,X,X,X,X
TJSOILZ,O,O,O,O,X,O,O,O,X,X,X
TJSOIZL,O,O,O,O,O,O,O,O,X,X,X
TJSOLIZ,O,O,O,O,X,X,O,O,O,X,X
TJSOLZI,O,O,O,O,X,X,O,X,O,X,X
TJSOZIL,O,O,O,O,O,X,O,O,X,X,X
TJSOZLI,O,O,O,O,X,X,O,X,X,X,X
TJZILSO,X,X,X,X,X,X,X,X,X,O,X
TJZILOS,X,X,X,X,O,X,X,X,X,O,X
TJZISLO,X,X,X,X,X,X,X,X,X,O,X
TJZISOL,O,O,X,X,O,X,X,X,X,X,X
TJZIOLS,X,X,X,X,O,X,X,X,X,O,X
TJZIOSL,O,O,X,X,O,X,O,X,X,X,X
TJZLISO,O,X,X,X,X,X,X,X,X,O,O
TJZLIOS,O,X,X,X,X,X,X,X,X,O,O
TJZLSIO,O,X,X,X,X,X,X,X,X,O,O
TJZLSOI,O,X,X,X,X,X,X,X,X,O,O
TJZLOIS,O,X,X,X,O,X,X,X,X,O,O
TJZLOSI,O,X,X,X,X,X,O,X,X,O,O
TJZSILO,X,X,X,X,X,X,O,X,X,X,X
TJZSIOL,O,O,X,O,X,X,O,X,X,X,X
TJZSLIO,O,X,X,X,X,X,O,X,X,O,X
TJZSLOI,O,X,X,X,X,X,O,X,X,O,X
TJZSOIL,O,O,X,O,O,X,O,O,X,X,X
TJZSOLI,O,O,X,O,X,X,O,X,X,X,X
TJZOILS,X,X,X,X,O,X,X,X,X,X,X
TJZOISL,O,O,X,X,O,X,O,X,X,X,X
TJZOLIS,O,X,X,X,O,X,X,X,X,O,O
TJZOLSI,O,X,X,X,X,X,O,X,X,O,O
TJZOSIL,O,O,X,O,O,X,O,O,X,X,X
TJZOSLI,O,O,X,O,X,X,O,X,X,X,X
TJOILSZ,X,O,O,O,X,X,X,O,X,X,X
TJOILZS,X,X,O,X,O,X,X,X,X,O,X
TJOISLZ,X,O,O,O,X,X,O,O,X,X,X
TJOISZL,X,O,O,O,O,X,O,O,X,X,X
TJOIZLS,X,X,O,X,O,X,X,O,X,O,X
TJOIZSL,X,O,O,X,O,X,X,O,X,X,X
TJOLISZ,X,O,O,O,X,X,X,X,X,X,X
TJOLIZS,X,O,O,X,O,X,X,X,X,O,X
TJOLSIZ,O,O,O,O,X,X,X,O,X,X,X
TJOLSZI,O,O,O,O,X,X,X,X,X,X,X
TJOLZIS,O,O,X,X,O,X,X,X,X,O,X
TJOLZSI,O,O,X,O,X,X,X,X,X,O,X
TJOSILZ,O,O,O,O,X,O,O,O,X,X,X
TJOSIZL,O,O,O,O,O,O,O,O,X,X,X
TJOSLIZ,O,O,O,O,X,X,O,O,O,X,X
TJOSLZI,O,O,O,O,X,X,O,X,O,X,X
TJOSZIL,O,O,O,O,O,X,O,O,X,X,X
TJOSZLI,O,O,O,O,X,X,O,X,X,X,X
TJOZILS,X,X,X,X,O,X,X,X,X,X,X
TJOZISL,O,O,X,X,O,X,O,X,X,X,X
TJOZLIS,O,X,X,X,O,X,X,X,X,O,O
TJOZLSI,O,X,X,X,X,X,O,X,X,O,O
TJOZSIL,O,O,X,O,O,X,O,O,X,X,X
TJOZSLI,O,O,X,O,X,X,O,X,X,X,X
TSILJZO,X,O,X,X,X,O,X,X,O,O,X
TSILJOZ,O,O,O,X,X,O,X,O,O,X,X
TSILZJO,O,O,O,X,X,O,X,O,X,O,X
TSILZOJ,O,O,O,X,X,O,X,O,X,X,X
TSILOJZ,O,O,O,X,X,O,X,O,O,X,X
TSILOZJ,O,O,O,X,X,O,O,O,X,X,X
TSIJLZO,X,X,X,X,X,O,X,X,X,O,X
TSIJLOZ,X,O,O,X,X,O,O,O,X,X,X
TSIJZLO,X,X,O,X,X,O,X,O,X,O,X
TSIJZOL,X,O,O,X,O,O,O,O,X,X,X
TSIJOLZ,O,O,O,X,X,O,O,O,X,X,X
TSIJOZL,O,O,O,X,O,O,O,O,X,X,X
TSIZLJO,O,X,O,X,X,O,X,O,X,O,X
TSIZLOJ,O,X,O,X,X,O,O,O,X,X,X
TSIZJLO,X,X,O,X,X,O,X,O,X,O,X
TSIZJOL,O,O,O,X,X,O,O,O,X,X,X
TSIZOLJ,O,O,O,X,O,O,O,O,X,X,X
TSIZOJL,O,O,O,X,O,O,O,O,X,X,X
TSIOLJZ,O,O,O,X,X,O,X,O,O,X,X
TSIOLZJ,O,O,O,X,X,O,O,O,X,X,X
TSIOJLZ,O,O,O,X,X,O,O,O,X,X,X
TSIOJZL,O,O,O,X,O,O,O,O,X,X,X
TSIOZLJ,O,O,O,X,O,O,O,O,X,X,X
TSIOZJL,O,O,O,X,O,O,O,O,X,X,X
TSLIJZO,X,O,X,X,X,O,X,X,O,O,X
TSLIJOZ,O,O,O,X,X,O,X,O,O,X,X
TSLIZJO,O,O,O,X,X,O,X,O,X,O,X
TSLIZOJ,O,O,O,X,X,O,X,O,X,X,X
TSLIOJZ,O,O,O,O,X,O,X,O,O,X,X
TSLIOZJ,O,O,O,X,X,O,O,O,X,X,X
TSLJIZO,X,O,X,X,X,X,X,X,O,O,X
TSLJIOZ,O,O,X,X,X,X,X,X,O,X,X
TSLJZIO,O,O,X,X,X,X,X,X,O,O,X
TSLJZOI,O,O,X,X,X,X,X,X,O,O,X
TSLJOIZ,O,O,O,O,X,X,X,O,O,X,X
TSLJOZI,O,O,O,O,X,X,X,X,O,X,X
TSLZIJO,O,O,O,X,X,X,X,X,X,O,X
TSLZIOJ,O,O,O,X,X,X,O,X,X,X,X
TSLZJIO,O,O,O,X,X,X,X,X,O,O,X
TSLZJOI,O,O,O,X,X,X,X,X,O,O,X
TSLZOIJ,O,O,O,X,X,X,O,X,X,X,X
TSLZOJI,O,O,O,O,X,X,O,X,O,X,X
TSLOIJZ,O,O,O,O,X,O,X,O,O,X,X
TSLOIZJ,O,O,O,X,X,O,O,O,X,X,X
TSLOJIZ,O,O,O,O,X,X,X,O,O,X,X
TSLOJZI,O,O,O,O,X,X,X,X,O,X,X
TSLOZIJ,O,O,O,X,X,X,O,X,X,X,X
TSLOZJI,O,O,O,O,X,X,O,X,O,X,X
TSJILZO,X,X,X,X,X,O,X,X,X,O,X
TSJILOZ,X,O,O,O,X,O,O,O,X,X,X
TSJIZLO,X,X,O,X,X,O,O,O,X,O,X
TSJIZOL,X,O,O,O,O,O,O,O,X,X,X
TSJIOLZ,O,O,O,O,X,O,O,O,X,X,X
TSJIOZL,O,O,O,O,O,O,O,O,X,X,X
TSJLIZO,X,O,X,X,X,X,X,X,O,O,X
TSJLIOZ,O,O,X,O,X,X,O,X,O,X,X
TSJLZIO,O,O,X,X,X,X,O,X,O,O,X
TSJLZOI,O,O,X,X,X,X,O,X,O,O,X
TSJLOIZ,O,O,O,O,X,X,O,O,O,X,X
TSJLOZI,O,O,O,O,X,X,O,X,O,X,X
TSJZILO,X,X,O,X,X,X,O,X,X,X,X
TSJZIOL,O,O,O,O,X,X,O,X,X,X,X
TSJZLIO,O,X,O,X,X,X,O,X,X,O,X
TSJZLOI,O,X,O,X,X,X,O,X,X,O,X
TSJZOIL,O,O,O,O,O,X,O,O,X,X,X
TSJZOLI,O,O,O,O,X,X,O,X,X,X,X
TSJOILZ,O,O,O,O,X,O,O,O,X,X,X
TSJOIZL,O,O,O,O,O,O,O,O,X,X,X
