sequence,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBzcBGeB0mBln?B3sB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFzbBRdBSjBlmB3n?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBGdBTeBlmB3n?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFzbBRdBSjB3hBln?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhF0cBTeBmgBfsBln?B6sB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFfhBxcBTeBCiBln?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBGdBTeB3hBln?BUsB
ISJOZLT,X,X,O,O,X,O,O
ISZTLJO,O,X,O,O,X,O,O
ISZTLOJ,O,X,O,O,X,O,O
ISZTJLO,O,X,O,O,O,O,O
ISZTJOL,O,X,O,O,O,O,O
ISZTOLJ,O,X,O,O,X,O,O
ISZTOJL,O,X,O,O,O,O,O
ISZLTJO,O,X,O,O,X,O,O
ISZLTOJ,O,X,O,O,X,O,O
ISZLJTO,O,X,X,O,X,O,O
ISZLJOT,O,X,O,O,X,O,O
ISZLOTJ,O,X,O,O,X,O,O
ISZLOJT,O,X,O,O,X,O,O
ISZJTLO,O,X,X,O,O,O,O
ISZJTOL,O,X,X,O,O,O,O
ISZJLTO,O,X,X,O,O,O,O
ISZJLOT,O,X,O,O,X,O,O
ISZJOTL,X,X,X,O,O,O,O
ISZJOLT,O,X,O,O,X,O,O
ISZOTLJ,O,X,O,O,X,O,O
ISZOTJL,O,X,O,O,O,O,O
ISZOLTJ,O,X,O,O,X,O,O
ISZOLJT,O,X,O,O,X,O,O
ISZOJTL,X,X,X,O,O,O,O
ISZOJLT,O,X,O,O,X,O,O
ISOTLJZ,X,O,O,O,O,O,O
ISOTLZJ,X,O,O,O,X,O,O
ISOTJLZ,X,O,O,O,O,O,O
ISOTJZL,X,O,O,O,O,O,O
ISOTZLJ,X,O,O,O,X,X,O
ISOTZJL,X,O,O,O,O,O,O
ISOLTJZ,X,O,O,O,O,X,O
ISOLTZJ,X,O,O,X,X,X,O
ISOLJTZ,X,O,O,O,O,O,O
ISOLJZT,X,O,O,O,X,O,O
ISOLZTJ,X,X,O,X,X,X,O
ISOLZJT,X,O,O,O,X,X,O
ISOJTLZ,X,O,O,O,O,O,O
ISOJTZL,X,O,O,O,O,O,X
ISOJLTZ,X,O,O,O,O,O,O
ISOJLZT,X,O,O,O,X,O,O
ISOJZTL,X,X,X,O,O,O,X
ISOJZLT,X,X,O,O,X,O,O
ISOZTLJ,X,X,O,O,X,O,O
ISOZTJL,X,X,O,O,O,O,O
ISOZLTJ,X,X,O,O,X,O,O
ISOZLJT,X,X,O,O,X,O,O
ISOZJTL,X,X,X,O,O,O,O
ISOZJLT,X,X,O,O,X,O,O
IZTLJSO,O,X,X,O,X,O,O
IZTLJOS,O,X,X,O,X,O,O
IZTLSJO,O,X,O,O,X,O,O
IZTLSOJ,O,X,O,O,X,O,O
IZTLOJS,O,X,X,O,X,O,O
IZTLOSJ,O,X,O,O,X,O,O
IZTJLSO,O,X,X,O,X,O,O
IZTJLOS,O,X,X,O,X,O,O
IZTJSLO,O,X,X,O,X,O,O
IZTJSOL,O,X,X,O,X,O,O
IZTJOLS,O,X,X,O,X,O,O
IZTJOSL,O,X,X,X,X,O,O
IZTSLJO,O,X,O,O,X,O,O
IZTSLOJ,O,X,O,O,X,O,O
IZTSJLO,O,X,O,O,X,O,O
IZTSJOL,O,X,O,O,X,O,O
IZTSOLJ,O,X,O,O,X,O,O
IZTSOJL,O,X,O,O,X,O,O
IZTOLJS,O,X,X,O,X,O,O
IZTOLSJ,O,X,O,O,X,O,O
IZTOJLS,O,X,X,O,X,O,O
IZTOJSL,O,X,X,X,X,O,O
IZTOSLJ,O,X,O,X,X,O,O
IZTOSJL,O,X,O,X,X,O,O
IZLTJSO,O,X,X,O,X,X,O
IZLTJOS,O,X,X,O,X,X,O
IZLTSJO,O,X,O,O,X,X,O
IZLTSOJ,O,X,O,O,X,X,O
IZLTOJS,O,X,X,O,X,X,O
IZLTOSJ,O,X,O,X,X,X,O
IZLJTSO,O,X,X,O,X,X,O
IZLJTOS,O,X,X,O,X,X,O
IZLJSTO,O,X,X,O,X,O,O
IZLJSOT,O,X,X,O,X,O,O
IZLJOTS,O,X,X,O,X,X,O
IZLJOST,O,X,X,O,X,O,O
IZLSTJO,O,X,O,O,X,O,O
IZLSTOJ,O,X,O,O,X,O,O
IZLSJTO,O,X,X,O,X,O,O
IZLSJOT,O,X,O,O,X,O,O
IZLSOTJ,O,X,O,O,X,O,O
IZLSOJT,O,X,O,O,X,O,O
IZLOTJS,O,X,X,O,X,X,O
IZLOTSJ,O,X,O,O,X,X,O
IZLOJTS,O,X,X,O,X,X,O
IZLOJST,O,X,X,O,X,O,O
IZLOSTJ,O,X,O,O,X,O,O
IZLOSJT,O,X,O,O,X,O,O
IZJTLSO,O,X,X,O,X,O,O
IZJTLOS,O,X,X,O,X,O,O
IZJTSLO,O,X,X,O,O,O,O
IZJTSOL,O,X,X,O,O,O,O
IZJTOLS,O,X,X,O,X,O,O
IZJTOSL,O,X,X,X,X,O,O
IZJLTSO,O,X,X,O,X,X,O
IZJLTOS,O,X,X,O,X,X,O
IZJLSTO,O,X,X,O,O,O,O
IZJLSOT,O,X,X,O,X,O,O
IZJLOTS,O,X,X,O,X,X,O
IZJLOST,O,X,X,O,X,O,O
IZJSTLO,O,X,X,O,O,O,O
IZJSTOL,O,X,X,O,O,O,O
IZJSLTO,O,X,X,O,O,O,O
IZJSLOT,O,X,X,O,X,O,O
IZJSOTL,X,X,X,O,O,O,O
IZJSOLT,O,X,X,O,X,O,O
IZJOTLS,O,X,X,O,X,O,O
IZJOTSL,O,X,X,X,X,O,O
IZJOLTS,O,X,X,O,X,X,O
IZJOLST,O,X,X,O,X,O,O
IZJOSTL,X,X,X,O,O,O,O
IZJOSLT,O,X,X,O,X,O,O
IZSTLJO,O,X,O,O,X,O,O
IZSTLOJ,O,X,O,O,X,O,O
IZSTJLO,O,X,O,O,O,O,O
IZSTJOL,O,X,O,O,O,O,O
IZSTOLJ,O,X,O,O,X,O,O
IZSTOJL,O,X,O,O,O,O,O
IZSLTJO,O,X,O,O,X,O,O
IZSLTOJ,O,X,O,O,X,O,O
IZSLJTO,O,X,X,O,X,O,O
IZSLJOT,O,X,O,O,X,O,O
IZSLOTJ,O,X,O,O,X,O,O
IZSLOJT,O,X,O,O,X,O,O
IZSJTLO,O,X,X,O,O,O,O
IZSJTOL,O,X,X,O,O,O,O
IZSJLTO,O,X,X,O,O,O,O
IZSJLOT,O,X,O,O,X,O,O
IZSJOTL,X,X,X,O,O,O,O
IZSJOLT,O,X,O,O,X,O,O
IZSOTLJ,O,X,O,O,X,O,O
IZSOTJL,O,X,O,O,O,O,O
IZSOLTJ,O,X,O,O,X,O,O
IZSOLJT,O,X,O,O,X,O,O
IZSOJTL,X,X,X,O,O,O,O
IZSOJLT,O,X,O,O,X,O,O
IZOTLJS,O,X,X,O,X,O,O
IZOTLSJ,O,X,O,O,X,O,O
IZOTJLS,O,X,X,O,X,O,O
IZOTJSL,O,X,X,X,X,O,O
IZOTSLJ,O,X,O,X,X,O,O
IZOTSJL,O,X,O,X,X,O,O
IZOLTJS,O,X,X,O,X,X,O
IZOLTSJ,O,X,O,O,X,X,O
IZOLJTS,O,X,X,O,X,X,O
IZOLJST,O,X,X,O,X,O,O
IZOLSTJ,O,X,O,O,X,O,O
IZOLSJT,O,X,O,O,X,O,O
IZOJTLS,O,X,X,O,X,O,O
IZOJTSL,O,X,X,X,X,O,O
IZOJLTS,O,X,X,O,X,X,O
IZOJLST,O,X,X,O,X,O,O
IZOJSTL,X,X,X,O,O,O,O
IZOJSLT,O,X,X,O,X,O,O
IZOSTLJ,O,X,O,O,X,O,O
IZOSTJL,O,X,O,O,O,O,O
IZOSLTJ,O,X,O,O,X,O,O
IZOSLJT,O,X,O,O,X,O,O
IZOSJTL,X,X,X,O,O,O,O
IZOSJLT,O,X,O,O,X,O,O
IOTLJSZ,X,X,O,O,X,O,O
IOTLJZS,O,X,X,O,X,X,O
IOTLSJZ,X,X,O,O,X,O,O
IOTLSZJ,X,X,O,O,X,O,O
IOTLZJS,O,X,X,O,X,X,O
IOTLZSJ,O,X,O,X,X,X,O
IOTJLSZ,X,X,O,O,X,O,O
IOTJLZS,O,X,X,O,X,X,O
IOTJSLZ,X,O,O,X,O,O,O
IOTJSZL,X,O,O,X,O,O,O
IOTJZLS,O,X,X,X,X,X,O
IOTJZSL,O,X,X,X,X,X,X
IOTSLJZ,X,O,O,X,O,O,O
IOTSLZJ,X,O,O,X,X,O,O
IOTSJLZ,X,O,O,X,O,O,O
IOTSJZL,X,O,O,X,O,O,O
IOTSZLJ,X,O,O,X,X,X,O
IOTSZJL,X,O,O,X,O,O,O
IOTZLJS,O,X,X,X,X,X,O
IOTZLSJ,O,X,O,X,X,X,O
IOTZJLS,O,X,X,X,X,X,O
IOTZJSL,O,X,X,X,X,X,O
IOTZSLJ,O,X,O,X,X,X,O
IOTZSJL,O,X,O,X,X,X,O
IOLTJSZ,X,O,O,O,X,X,O
IOLTJZS,O,X,X,O,X,X,O
IOLTSJZ,X,X,O,O,X,X,O
IOLTSZJ,X,X,O,O,X,X,O
IOLTZJS,O,X,X,O,X,X,O
IOLTZSJ,O,X,O,X,X,X,O
IOLJTSZ,X,O,O,O,X,X,O
IOLJTZS,O,X,X,O,X,X,O
IOLJSTZ,X,O,O,O,O,X,O
IOLJSZT,X,O,O,O,X,X,O
IOLJZTS,O,X,X,O,X,X,O
IOLJZST,O,O,X,O,X,X,O
IOLSTJZ,X,O,O,O,O,X,O
IOLSTZJ,X,O,O,X,X,X,O
IOLSJTZ,X,O,O,O,O,X,O
IOLSJZT,X,O,O,O,X,X,O
IOLSZTJ,X,X,O,X,X,X,O
IOLSZJT,X,O,O,O,X,X,O
IOLZTJS,O,X,X,O,X,X,O
IOLZTSJ,O,X,O,O,X,X,O
IOLZJTS,O,X,X,O,X,X,O
IOLZJST,O,O,X,O,X,X,O
IOLZSTJ,O,X,O,O,X,X,O
IOLZSJT,O,X,O,O,X,X,O
IOJTLSZ,X,X,O,O,X,O,O
IOJTLZS,O,X,X,O,X,X,O
IOJTSLZ,X,O,O,X,O,O,O
IOJTSZL,X,O,O,X,O,O,O
IOJTZLS,O,X,X,X,X,X,O
IOJTZSL,O,X,X,X,X,X,X
IOJLTSZ,X,O,O,O,X,X,O
IOJLTZS,O,X,X,O,X,X,O
IOJLSTZ,X,O,O,O,O,X,O
IOJLSZT,X,O,O,O,X,X,O
IOJLZTS,O,X,X,O,X,X,O
IOJLZST,O,O,X,O,X,X,O
IOJSTLZ,X,O,O,O,O,O,O
IOJSTZL,X,O,O,O,O,O,X
IOJSLTZ,X,O,O,O,O,O,O
IOJSLZT,X,O,O,O,X,O,O
IOJSZTL,X,X,X,O,O,O,X
IOJSZLT,X,X,O,O,X,O,O
IOJZTLS,O,X,X,O,X,O,O
IOJZTSL,O,X,X,X,X,O,O
IOJZLTS,O,X,X,O,X,X,O
IOJZLST,O,X,X,O,X,O,O
IOJZSTL,X,X,X,O,O,O,O
IOJZSLT,O,X,X,O,X,O,O
IOSTLJZ,X,O,O,O,O,O,O
IOSTLZJ,X,O,O,O,X,O,O
IOSTJLZ,X,O,O,O,O,O,O
IOSTJZL,X,O,O,O,O,O,O
IOSTZLJ,X,O,O,O,X,X,O
IOSTZJL,X,O,O,O,O,O,O
IOSLTJZ,X,O,O,O,O,X,O
IOSLTZJ,X,O,O,X,X,X,O
IOSLJTZ,X,O,O,O,O,O,O
IOSLJZT,X,O,O,O,X,O,O
IOSLZTJ,X,X,O,X,X,X,O
IOSLZJT,X,O,O,O,X,X,O
IOSJTLZ,X,O,O,O,O,O,O
IOSJTZL,X,O,O,O,O,O,X
IOSJLTZ,X,O,O,O,O,O,O
IOSJLZT,X,O,O,O,X,O,O
IOSJZTL,X,X,X,O,O,O,X
IOSJZLT,X,X,O,O,X,O,O
IOSZTLJ,X,X,O,O,X,O,O
IOSZTJL,X,X,O,O,O,O,O
IOSZLTJ,X,X,O,O,X,O,O
IOSZLJT,X,X,O,O,X,O,O
IOSZJTL,X,X,X,O,O,O,O
IOSZJLT,X,X,O,O,X,O,O
IOZTLJS,O,X,X,O,X,O,O
IOZTLSJ,O,X,O,O,X,O,O
IOZTJLS,O,X,X,O,X,O,O
IOZTJSL,O,X,X,X,X,O,O
IOZTSLJ,O,X,O,X,X,O,O
IOZTSJL,O,X,O,X,X,O,O
IOZLTJS,O,X,X,O,X,X,O
IOZLTSJ,O,X,O,O,X,X,O
IOZLJTS,O,X,X,O,X,X,O
IOZLJST,O,X,X,O,X,O,O
IOZLSTJ,O,X,O,O,X,O,O
IOZLSJT,O,X,O,O,X,O,O
IOZJTLS,O,X,X,O,X,O,O
IOZJTSL,O,X,X,X,X,O,O
IOZJLTS,O,X,X,O,X,X,O
IOZJLST,O,X,X,O,X,O,O
IOZJSTL,X,X,X,O,O,O,O
IOZJSLT,O,X,X,O,X,O,O
IOZSTLJ,O,X,O,O,X,O,O
IOZSTJL,O,X,O,O,O,O,O
IOZSLTJ,O,X,O,O,X,O,O
IOZSLJT,O,X,O,O,X,O,O
IOZSJTL,X,X,X,O,O,O,O
IOZSJLT,O,X,O,O,X,O,O
LTIJSZO,O,O,O,O,X,O,X
LTIJSOZ,X,O,O,O,X,O,O
LTIJZSO,O,X,X,O,X,X,X
LTIJZOS,O,X,X,O,X,X,O
LTIJOSZ,X,O,O,O,X,O,O
LTIJOZS,O,X,X,O,X,X,O
LTISJZO,O,O,O,O,X,O,O
LTISJOZ,X,O,O,O,X,O,O
LTISZJO,O,O,O,O,X,O,O
LTISZOJ,O,O,O,O,X,O,O
LTISOJZ,X,O,O,O,X,O,O
LTISOZJ,X,O,O,O,X,O,O
LTIZJSO,O,X,X,O,X,X,O
LTIZJOS,O,X,X,O,X,X,O
LTIZSJO,O,X,O,O,X,X,O
LTIZSOJ,O,X,O,O,X,X,O
LTIZOJS,O,X,X,O,X,X,O
LTIZOSJ,O,X,O,X,X,X,O
LTIOJSZ,X,O,O,O,X,O,O
LTIOJZS,O,X,X,O,X,X,O
LTIOSJZ,X,X,O,O,X,O,O
LTIOSZJ,X,X,O,O,X,O,O
LTIOZJS,O,X,X,O,X,X,O
LTIOZSJ,O,X,O,X,X,X,O
LTJISZO,O,O,O,O,X,O,X
LTJISOZ,X,O,O,O,X,O,O
LTJIZSO,O,X,X,O,X,X,X
LTJIZOS,O,X,X,O,X,X,O
LTJIOSZ,X,O,O,O,X,O,O
LTJIOZS,O,X,X,O,X,X,O
LTJSIZO,O,O,O,O,X,O,O
LTJSIOZ,X,O,O,O,X,O,O
LTJSZIO,O,O,O,O,X,O,O
LTJSZOI,O,O,O,O,X,O,O
LTJSOIZ,X,O,O,O,X,O,O
LTJSOZI,X,O,O,O,X,O,O
LTJZISO,O,X,X,O,X,X,X
LTJZIOS,O,X,X,O,X,X,O
LTJZSIO,O,X,X,O,X,O,X
LTJZSOI,O,X,X,O,X,O,X
LTJZOIS,O,X,X,O,X,X,O
LTJZOSI,O,X,X,O,X,O,X
LTJOISZ,X,O,O,O,X,O,O
LTJOIZS,O,X,X,O,X,X,O
LTJOSIZ,X,O,O,O,X,O,O
LTJOSZI,X,O,O,O,X,O,O
LTJOZIS,O,X,X,O,X,X,O
LTJOZSI,O,X,X,O,X,O,X
LTSIJZO,O,O,O,O,X,O,O
LTSIJOZ,X,O,O,O,X,O,O
LTSIZJO,O,O,O,O,X,O,O
LTSIZOJ,O,O,O,O,X,O,O
LTSIOJZ,X,O,O,O,X,O,O
LTSIOZJ,X,O,O,O,X,O,O
LTSJIZO,O,O,O,O,X,O,O
LTSJIOZ,X,O,O,O,X,O,O
LTSJZIO,O,O,O,O,X,O,O
LTSJZOI,O,O,O,O,X,O,O
LTSJOIZ,X,O,O,O,X,O,O
LTSJOZI,X,O,O,O,X,O,O
LTSZIJO,O,O,O,O,X,O,O
LTSZIOJ,O,O,O,O,X,O,O
LTSZJIO,O,O,O,O,X,O,O
LTSZJOI,O,O,O,O,X,O,O
LTSZOIJ,O,O,O,O,X,O,O
LTSZOJI,O,O,O,O,X,O,O
LTSOIJZ,X,O,O,O,X,O,O
LTSOIZJ,X,O,O,O,X,O,O
LTSOJIZ,X,O,O,O,X,O,O
LTSOJZI,X,O,O,O,X,O,O
LTSOZIJ,X,O,O,O,X,O,O
LTSOZJI,X,O,O,O,X,O,O
LTZIJSO,O,X,X,O,X,X,O
LTZIJOS,O,X,X,O,X,X,O
LTZISJO,O,X,O,O,X,X,O
LTZISOJ,O,X,O,O,X,X,O
LTZIOJS,O,X,X,O,X,X,O
LTZIOSJ,O,X,O,X,X,X,O
LTZJISO,O,X,X,O,X,X,O
LTZJIOS,O,X,X,O,X,X,O
LTZJSIO,O,X,X,O,X,O,O
LTZJSOI,O,X,X,O,X,O,O
LTZJOIS,O,X,X,O,X,X,O
LTZJOSI,O,X,X,O,X,O,O
LTZSIJO,O,X,O,O,X,O,O
LTZSIOJ,O,X,O,O,X,O,O
LTZSJIO,O,X,O,O,X,O,O
LTZSJOI,O,X,O,O,X,O,O
LTZSOIJ,O,X,O,O,X,O,O
LTZSOJI,O,X,O,O,X,O,O
LTZOIJS,O,X,X,O,X,X,O
LTZOISJ,O,X,O,O,X,X,O
LTZOJIS,O,X,X,O,X,X,O
LTZOJSI,O,X,X,O,X,O,O
LTZOSIJ,O,X,O,O,X,O,O
LTZOSJI,O,X,O,O,X,O,O
LTOIJSZ,X,O,O,O,X,O,O
LTOIJZS,O,X,X,O,X,X,O
LTOISJZ,X,X,O,O,X,O,O
LTOISZJ,X,X,O,O,X,O,O
LTOIZJS,O,X,X,O,X,X,O
LTOIZSJ,O,X,O,X,X,X,O
LTOJISZ,X,O,O,O,X,O,O
LTOJIZS,O,X,X,O,X,X,O
LTOJSIZ,X,O,O,O,X,O,O
LTOJSZI,X,O,O,O,X,O,O
LTOJZIS,O,X,X,O,X,X,O
LTOJZSI,O,X,X,O,X,O,X
LTOSIJZ,X,O,O,O,X,O,O
LTOSIZJ,X,O,O,O,X,O,O
LTOSJIZ,X,O,O,O,X,O,O
LTOSJZI,X,O,O,O,X,O,O
LTOSZIJ,X,O,O,O,X,O,O
LTOSZJI,X,O,O,O,X,O,O
LTOZIJS,O,X,X,O,X,X,O
LTOZISJ,O,X,O,O,X,X,O
LTOZJIS,O,X,X,O,X,X,O
LTOZJSI,O,X,X,O,X,O,O
LTOZSIJ,O,X,O,O,X,O,O
LTOZSJI,O,X,O,O,X,O,O
LITJSZO,O,O,O,O,X,X,X
LITJSOZ,X,O,O,O,X,X,O
LITJZSO,O,X,X,O,X,X,X
LITJZOS,O,X,X,O,X,X,O
LITJOSZ,X,O,O,O,X,X,O
LITJOZS,O,X,X,O,X,X,O
LITSJZO,O,O,O,O,X,X,O
LITSJOZ,X,O,O,O,X,X,O
LITSZJO,O,O,O,O,X,X,O
LITSZOJ,O,O,O,O,X,X,O
LITSOJZ,X,O,O,O,X,X,O
LITSOZJ,X,O,O,O,X,X,O
LITZJSO,O,X,X,O,X,X,O
LITZJOS,O,X,X,O,X,X,O
LITZSJO,O,X,O,O,X,X,O
LITZSOJ,O,X,O,O,X,X,O
LITZOJS,O,X,X,O,X,X,O
LITZOSJ,O,X,O,X,X,X,O
LITOJSZ,X,O,O,O,X,X,O
LITOJZS,O,X,X,O,X,X,O
LITOSJZ,X,X,O,O,X,X,O
LITOSZJ,X,X,O,O,X,X,O
LITOZJS,O,X,X,O,X,X,O
LITOZSJ,O,X,O,X,X,X,O
LIJTSZO,O,O,O,O,X,X,X
LIJTSOZ,X,O,O,O,X,X,O
LIJTZSO,O,X,X,O,X,X,X
LIJTZOS,O,X,X,O,X,X,O
LIJTOSZ,X,O,O,O,X,X,O
LIJTOZS,O,X,X,O,X,X,O
LIJSTZO,O,O,O,O,O,X,O
LIJSTOZ,X,O,O,O,O,X,O
LIJSZTO,O,O,X,O,O,X,O
LIJSZOT,O,O,O,O,X,X,O
LIJSOTZ,X,O,O,O,O,X,O
LIJSOZT,X,O,O,O,X,X,O
LIJZTSO,O,X,X,O,X,X,O
LIJZTOS,O,X,X,O,X,X,O
LIJZSTO,O,O,X,O,O,X,O
LIJZSOT,O,O,X,O,X,X,O
LIJZOTS,O,X,X,O,X,X,O
LIJZOST,O,O,X,O,X,X,O
LIJOTSZ,X,O,O,O,X,X,O
LIJOTZS,O,X,X,O,X,X,O
LIJOSTZ,X,O,O,O,O,X,O
LIJOSZT,X,O,O,O,X,X,O
LIJOZTS,O,X,X,O,X,X,O
LIJOZST,O,O,X,O,X,X,O
LISTJZO,O,O,O,O,O,X,O
LISTJOZ,X,O,O,O,O,X,O
LISTZJO,O,O,O,O,X,X,O
LISTZOJ,O,O,O,O,X,X,O
LISTOJZ,X,O,O,O,O,X,O
LISTOZJ,X,O,O,O,X,X,O
LISJTZO,O,O,O,O,O,X,O
LISJTOZ,X,O,O,O,O,X,O
LISJZTO,O,O,X,O,O,X,O
LISJZOT,O,O,O,O,X,X,O
LISJOTZ,X,O,O,O,O,X,O
LISJOZT,X,O,O,O,X,X,O
LISZTJO,O,O,O,O,X,X,O
LISZTOJ,O,O,O,O,X,X,O
LISZJTO,O,O,X,O,X,X,O
LISZJOT,O,O,O,O,X,X,O
LISZOTJ,O,X,O,O,X,X,O
LISZOJT,O,O,O,O,X,X,O
LISOTJZ,X,O,O,O,O,X,O
LISOTZJ,X,O,O,X,X,X,O
LISOJTZ,X,O,O,O,O,X,O
LISOJZT,X,O,O,O,X,X,O
LISOZTJ,X,X,O,X,X,X,O
LISOZJT,X,O,O,O,X,X,O
LIZTJSO,O,X,X,O,X,X,O
LIZTJOS,O,X,X,O,X,X,O
LIZTSJO,O,X,O,O,X,X,O
LIZTSOJ,O,X,O,O,X,X,O
LIZTOJS,O,X,X,O,X,X,O
LIZTOSJ,O,X,O,X,X,X,O
LIZJTSO,O,X,X,O,X,X,O
LIZJTOS,O,X,X,O,X,X,O
LIZJSTO,O,O,X,O,X,X,O
LIZJSOT,O,O,X,O,X,X,O
LIZJOTS,O,X,X,O,X,X,O
LIZJOST,O,O,X,O,X,X,O
LIZSTJO,O,O,O,O,X,X,O
LIZSTOJ,O,O,O,O,X,X,O
LIZSJTO,O,O,X,O,X,X,O
LIZSJOT,O,O,O,O,X,X,O
LIZSOTJ,O,X,O,O,X,X,O
LIZSOJT,O,O,O,O,X,X,O
LIZOTJS,O,X,X,O,X,X,O
LIZOTSJ,O,X,O,O,X,X,O
LIZOJTS,O,X,X,O,X,X,O
LIZOJST,O,O,X,O,X,X,O
LIZOSTJ,O,X,O,O,X,X,O
LIZOSJT,O,X,O,O,X,X,O
LIOTJSZ,X,O,O,O,X,X,O
LIOTJZS,O,X,X,O,X,X,O
LIOTSJZ,X,X,O,O,X,X,O
LIOTSZJ,X,X,O,O,X,X,O
LIOTZJS,O,X,X,O,X,X,O
LIOTZSJ,O,X,O,X,X,X,O
LIOJTSZ,X,O,O,O,X,X,O
LIOJTZS,O,X,X,O,X,X,O
LIOJSTZ,X,O,O,O,O,X,O
LIOJSZT,X,O,O,O,X,X,O
LIOJZTS,O,X,X,O,X,X,O
LIOJZST,O,O,X,O,X,X,O
LIOSTJZ,X,O,O,O,O,X,O
LIOSTZJ,X,O,O,X,X,X,O
LIOSJTZ,X,O,O,O,O,X,O
LIOSJZT,X,O,O,O,X,X,O
LIOSZTJ,X,X,O,X,X,X,O
LIOSZJT,X,O,O,O,X,X,O
LIOZTJS,O,X,X,O,X,X,O
LIOZTSJ,O,X,O,O,X,X,O
LIOZJTS,O,X,X,O,X,X,O
LIOZJST,O,O,X,O,X,X,O
LIOZSTJ,O,X,O,O,X,X,O
LIOZSJT,O,X,O,O,X,X,O
LJTISZO,O,O,O,O,X,O,X
LJTISOZ,X,O,O,O,X,O,O
LJTIZSO,O,X,X,O,X,X,X
LJTIZOS,O,X,X,O,X,X,O
LJTIOSZ,X,O,O,O,X,O,O
LJTIOZS,O,X,X,O,X,X,O
LJTSIZO,O,O,O,O,X,O,X
LJTSIOZ,X,O,O,O,X,O,O
LJTSZIO,O,O,O,O,X,O,X
LJTSZOI,O,O,O,O,X,O,X
LJTSOIZ,X,O,O,O,X,O,O
LJTSOZI,X,O,O,O,X,O,X
LJTZISO,O,X,X,O,X,X,X
LJTZIOS,O,X,X,O,X,X,O
LJTZSIO,O,X,X,O,X,O,X
LJTZSOI,O,X,X,O,X,O,X
LJTZOIS,O,X,X,O,X,X,O
LJTZOSI,O,X,X,O,X,O,X
LJTOISZ,X,O,O,O,X,O,O
LJTOIZS,O,X,X,O,X,X,O
LJTOSIZ,X,O,O,O,X,O,O
LJTOSZI,X,O,O,O,X,O,X
LJTOZIS,O,X,X,O,X,X,O
LJTOZSI,O,X,X,O,X,O,X
LJITSZO,O,O,O,O,X,X,X
LJITSOZ,X,O,O,O,X,X,O
LJITZSO,O,X,X,O,X,X,X
LJITZOS,O,X,X,O,X,X,O
LJITOSZ,X,O,O,O,X,X,O
LJITOZS,O,X,X,O,X,X,O
LJISTZO,O,O,O,O,O,X,O
LJISTOZ,X,O,O,O,O,X,O
LJISZTO,O,O,X,O,O,X,O
LJISZOT,O,O,O,O,X,X,O
LJISOTZ,X,O,O,O,O,X,O
LJISOZT,X,O,O,O,X,X,O
LJIZTSO,O,X,X,O,X,X,O
LJIZTOS,O,X,X,O,X,X,O
LJIZSTO,O,O,X,O,O,X,O
LJIZSOT,O,O,X,O,X,X,O
LJIZOTS,O,X,X,O,X,X,O
LJIZOST,O,O,X,O,X,X,O
LJIOTSZ,X,O,O,O,X,X,O
LJIOTZS,O,X,X,O,X,X,O
LJIOSTZ,X,O,O,O,O,X,O
LJIOSZT,X,O,O,O,X,X,O
LJIOZTS,O,X,X,O,X,X,O
LJIOZST,O,O,X,O,X,X,O
LJSTIZO,O,O,O,O,O,O,O
LJSTIOZ,X,O,O,O,O,O,O
LJSTZIO,O,O,O,O,O,O,O
LJSTZOI,O,O,O,O,O,O,O
LJSTOIZ,X,O,O,O,O,O,O
LJSTOZI,X,O,O,O,O,O,O
LJSITZO,O,O,O,O,O,O,O
LJSITOZ,X,O,O,O,O,O,O
LJSIZTO,O,O,X,O,O,O,O
LJSIZOT,O,O,O,O,X,O,O
LJSIOTZ,X,O,O,O,O,O,O
LJSIOZT,X,O,O,O,X,O,O
LJSZTIO,O,O,X,O,O,O,O
LJSZTOI,O,O,X,O,O,O,O
LJSZITO,O,O,X,O,O,O,O
LJSZIOT,O,O,O,O,X,O,O
LJSZOTI,X,O,X,O,X,O,O
LJSZOIT,O,O,O,O,X,O,O
LJSOTIZ,X,O,O,O,O,O,O
LJSOTZI,X,O,O,O,O,O,X
LJSOITZ,X,O,O,O,O,O,O
LJSOIZT,X,O,O,O,X,O,O
LJSOZTI,X,O,X,O,X,O,X
LJSOZIT,X,O,O,O,X,O,O
LJZTISO,O,X,X,O,X,O,O
LJZTIOS,O,X,X,O,X,O,O
LJZTSIO,O,X,X,O,X,O,O
LJZTSOI,O,X,X,O,X,O,O
LJZTOIS,O,X,X,O,X,O,O
LJZTOSI,O,X,X,O,X,O,O
LJZITSO,O,X,X,O,X,X,O
LJZITOS,O,X,X,O,X,X,O
LJZISTO,O,O,X,O,O,O,O
LJZISOT,O,O,X,O,X,O,O
LJZIOTS,O,X,X,O,X,X,O
LJZIOST,O,O,X,O,X,O,O
LJZSTIO,O,O,X,O,O,O,O
LJZSTOI,O,O,X,O,O,O,O
LJZSITO,O,O,X,O,O,O,O
