sequence,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBzcBGeB0mBln?B3sB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFzbBRdBSjBlmB3n?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBGdBTeBlmB3n?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFzbBRdBSjB3hBln?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhF0cBTeBmgBfsBln?B6sB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFfhBxcBTeBCiBln?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBGdBTeB3hBln?BUsB
TLSJZIO,O,O,O,O,X,O,O
TLSJZOI,O,O,O,O,X,O,O
TLSJOIZ,X,O,O,O,X,O,O
TLSJOZI,X,O,O,O,X,O,O
TLSZIJO,O,O,O,O,X,O,O
TLSZIOJ,O,O,O,O,X,O,O
TLSZJIO,O,O,O,O,X,O,O
TLSZJOI,O,O,O,O,X,O,O
TLSZOIJ,O,O,O,O,X,O,O
TLSZOJI,O,O,O,O,X,O,O
TLSOIJZ,X,O,O,O,X,O,O
TLSOIZJ,X,O,O,O,X,O,O
TLSOJIZ,X,O,O,O,X,O,O
TLSOJZI,X,O,O,O,X,O,O
TLSOZIJ,X,O,O,O,X,O,O
TLSOZJI,X,O,O,O,X,O,O
TLZIJSO,O,X,X,O,X,X,O
TLZIJOS,O,X,X,O,X,X,O
TLZISJO,O,X,O,O,X,X,O
TLZISOJ,O,X,O,O,X,X,O
TLZIOJS,O,X,X,O,X,X,O
TLZIOSJ,O,X,O,X,X,X,O
TLZJISO,O,X,X,O,X,X,O
TLZJIOS,O,X,X,O,X,X,O
TLZJSIO,O,X,X,O,X,O,O
TLZJSOI,O,X,X,O,X,O,O
TLZJOIS,O,X,X,O,X,X,O
TLZJOSI,O,X,X,O,X,O,O
TLZSIJO,O,X,O,O,X,O,O
TLZSIOJ,O,X,O,O,X,O,O
TLZSJIO,O,X,O,O,X,O,O
TLZSJOI,O,X,O,O,X,O,O
TLZSOIJ,O,X,O,O,X,O,O
TLZSOJI,O,X,O,O,X,O,O
TLZOIJS,O,X,X,O,X,X,O
TLZOISJ,O,X,O,O,X,X,O
TLZOJIS,O,X,X,O,X,X,O
TLZOJSI,O,X,X,O,X,O,O
TLZOSIJ,O,X,O,O,X,O,O
TLZOSJI,O,X,O,O,X,O,O
TLOIJSZ,X,O,O,O,X,O,O
TLOIJZS,O,X,X,O,X,X,O
TLOISJZ,X,X,O,O,X,O,O
TLOISZJ,X,X,O,O,X,O,O
TLOIZJS,O,X,X,O,X,X,O
TLOIZSJ,O,X,O,X,X,X,O
TLOJISZ,X,O,O,O,X,O,O
TLOJIZS,O,X,X,O,X,X,O
TLOJSIZ,X,O,O,O,X,O,O
TLOJSZI,X,O,O,O,X,O,O
TLOJZIS,O,X,X,O,X,X,O
TLOJZSI,O,X,X,O,X,O,X
TLOSIJZ,X,O,O,O,X,O,O
TLOSIZJ,X,O,O,O,X,O,O
TLOSJIZ,X,O,O,O,X,O,O
TLOSJZI,X,O,O,O,X,O,O
TLOSZIJ,X,O,O,O,X,O,O
TLOSZJI,X,O,O,O,X,O,O
