sequence,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Je5/IvhFmbBCdB?XeBTgB0mBlqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Jez6IvhFWhBxcB?XeBClB0mBlqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Jeq/IvhFTbBxcB?XeBFmB0mBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeR7IvhFCdBXeB?8lBzkB1rBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeWAJvhFxcBXeB?zkBFmB0mB6qB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeC9IvhFXeBRlB?1rB8lBzkBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeU8IvhFXeBukB?5lBaqBTrBFsB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Je5/IvhFCdBXeB?TlB0mBmlBlqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeR7IvhFXeBzfB?SmBUmBFnBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeR7IvhFXeBGgB?6mBzkB8qBFsB
TLJOSZI,O,O,O,O,X,X,X,X,X,X
TLJOZIS,O,O,O,O,X,X,X,X,X,X
TLJOZSI,O,O,O,O,X,X,X,X,X,X
TLSIJZO,X,O,O,X,X,O,X,X,X,X
TLSIJOZ,O,O,O,X,X,O,X,X,X,X
TLSIZJO,O,O,X,O,X,O,X,X,X,X
TLSIZOJ,O,O,X,O,X,O,X,O,X,X
TLSIOJZ,O,O,X,X,X,O,X,X,X,X
TLSIOZJ,O,O,X,O,X,O,X,X,X,X
TLSJIZO,X,O,O,X,X,O,X,X,X,X
TLSJIOZ,O,O,O,X,X,O,X,X,X,X
TLSJZIO,X,O,O,O,X,X,X,X,X,X
TLSJZOI,X,O,O,O,X,X,X,X,X,X
TLSJOIZ,O,O,O,X,X,X,X,X,X,X
TLSJOZI,O,O,O,O,X,X,X,X,X,X
TLSZIJO,O,O,X,O,X,O,X,X,X,X
TLSZIOJ,O,O,X,O,X,O,X,O,X,X
TLSZJIO,O,O,X,O,X,X,X,X,X,X
TLSZJOI,O,O,X,O,X,X,X,X,X,O
TLSZOIJ,O,O,X,O,X,X,X,O,X,X
TLSZOJI,O,O,X,O,X,X,X,X,X,O
TLSOIJZ,O,O,X,X,X,O,X,X,X,X
TLSOIZJ,O,O,X,O,X,O,X,X,X,X
TLSOJIZ,O,O,X,X,X,X,X,X,X,X
TLSOJZI,O,O,X,O,O,X,X,X,X,X
TLSOZIJ,O,O,X,O,O,X,X,X,X,X
TLSOZJI,O,O,X,O,O,X,X,X,X,X
TLZIJSO,O,O,X,O,X,O,X,X,X,X
TLZIJOS,O,O,X,X,X,O,X,X,X,X
TLZISJO,O,O,X,O,X,O,X,X,X,X
TLZISOJ,O,O,X,O,X,O,X,O,X,X
TLZIOJS,O,O,X,O,X,O,X,O,X,X
TLZIOSJ,O,O,X,O,X,O,X,O,X,X
TLZJISO,O,O,X,O,X,X,X,X,X,X
TLZJIOS,O,O,X,X,X,X,X,X,X,X
TLZJSIO,O,O,X,O,X,X,X,X,X,X
