sequence,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jem7IvhFCdBZjBclBT?iBXmBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jex7IvhFyhBzdBclBX?mBmnBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jel7IvhFRdBXhB8mBz?iB2qBisB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jel7IvhFchBZjB6nBX?iBTlBmrB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jex7IvhFamBFiB8nBT?lBfsBmsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jem9IvhFRhBfoBTgB0?hByqBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jex8IvhFyiB3gBcmBm?nBTlBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8JefCJvhF6iBZjBUhBT?lBmlBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8JeR9IvhFFhBTiBeoB0?lBfsBiqB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Je8CJvhF3gBzhBmgBy?sBxqBFsB
TIJSLOZ,X,O,O,X,X,X,X,X,X,X
TIJSZLO,O,O,O,O,X,X,X,O,X,X
TIJSZOL,O,O,O,X,X,X,X,X,X,X
TIJSOLZ,O,O,X,X,X,X,X,X,X,X
TIJSOZL,O,O,O,X,X,X,X,X,X,X
TIJZLSO,X,O,O,O,X,X,O,X,X,X
TIJZLOS,O,O,O,O,X,X,O,X,X,X
TIJZSLO,O,O,O,O,X,X,O,O,X,X
TIJZSOL,O,O,O,X,X,X,O,X,X,X
TIJZOLS,O,O,O,O,X,X,O,X,X,X
TIJZOSL,O,O,O,X,X,X,O,X,X,X
TIJOLSZ,O,X,X,O,X,X,X,X,X,X
TIJOLZS,O,O,X,O,X,X,X,X,X,X
TIJOSLZ,O,O,X,O,X,X,X,X,X,X
TIJOSZL,O,O,X,O,X,X,X,X,X,X
TIJOZLS,O,O,X,O,X,X,X,X,X,X
TIJOZSL,O,O,X,O,X,X,X,O,X,X
TISLJZO,O,O,X,O,X,O,X,O,X,X
TISLJOZ,X,O,X,X,X,O,X,X,X,X
TISLZJO,O,O,X,X,X,O,X,O,X,X
TISLZOJ,O,O,X,X,X,X,X,O,X,O
TISLOJZ,O,X,X,X,X,O,X,X,X,X
TISLOZJ,O,X,X,X,X,X,X,O,X,O
TISJLZO,O,O,X,O,X,O,X,O,X,X
TISJLOZ,X,O,X,X,X,O,X,X,X,X
TISJZLO,O,O,X,O,X,X,X,O,X,X
TISJZOL,O,O,X,X,X,X,X,X,X,X
TISJOLZ,O,O,X,X,X,X,X,X,X,X
TISJOZL,O,O,X,X,X,X,X,X,X,X
TISZLJO,O,O,X,X,X,X,X,O,X,X
TISZLOJ,O,O,X,X,X,X,X,O,X,X
TISZJLO,O,O,X,X,X,X,X,O,X,X
TISZJOL,O,O,X,X,X,X,X,X,X,X
TISZOLJ,O,O,X,X,X,X,X,O,X,X
TISZOJL,O,O,X,X,X,X,X,X,X,X
TISOLJZ,O,X,X,O,X,X,X,X,X,X
TISOLZJ,O,X,X,X,X,X,X,O,X,O
TISOJLZ,O,X,X,O,X,X,X,X,X,X
TISOJZL,O,X,X,O,X,X,X,X,X,X
TISOZLJ,O,X,X,X,X,X,X,O,X,X
TISOZJL,O,X,X,X,X,X,X,O,X,X
TIZLJSO,X,O,O,O,X,X,O,X,X,X
TIZLJOS,O,O,O,O,X,X,O,X,X,X
TIZLSJO,X,X,O,X,X,X,O,O,X,X
TIZLSOJ,X,X,O,X,X,X,X,O,X,X
TIZLOJS,O,X,O,X,X,X,X,X,X,X
TIZLOSJ,O,X,O,X,X,X,X,X,X,X
TIZJLSO,X,O,O,O,X,X,O,X,X,X
TIZJLOS,O,O,O,O,X,X,O,X,X,X
TIZJSLO,O,O,O,O,X,X,O,O,X,X
TIZJSOL,O,O,O,X,X,X,O,X,X,X
TIZJOLS,O,O,O,O,X,X,O,X,X,X
TIZJOSL,O,O,O,X,X,X,O,X,X,X
TIZSLJO,O,O,O,X,X,X,O,O,X,X
TIZSLOJ,O,O,O,X,X,X,X,O,X,X
TIZSJLO,O,O,O,X,X,X,O,O,X,X
TIZSJOL,O,O,O,X,X,X,O,X,X,X
TIZSOLJ,O,O,O,X,X,X,X,O,X,X
TIZSOJL,O,O,X,X,X,X,O,X,X,X
TIZOLJS,O,X,O,O,X,X,X,X,X,X
TIZOLSJ,O,X,O,X,X,X,X,O,X,X
TIZOJLS,O,O,O,O,X,X,O,X,X,X
TIZOJSL,O,O,O,O,X,X,O,O,X,X
TIZOSLJ,O,X,O,X,X,X,X,O,X,X
TIZOSJL,O,X,X,X,X,X,O,O,X,X
TIOLJSZ,O,X,X,O,X,X,X,X,X,X
TIOLJZS,O,X,X,O,X,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,O,X,X,O,X,O
TIOLZJS,O,X,X,O,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,O,X,X,O,X,O
TIOJLSZ,O,X,X,O,X,X,X,X,X,X
TIOJLZS,O,X,X,O,X,X,X,X,X,X
TIOJSLZ,O,X,X,O,X,X,X,X,X,X
TIOJSZL,O,X,X,O,X,X,X,X,X,X
TIOJZLS,O,X,X,O,X,X,X,X,X,X
TIOJZSL,O,X,X,O,X,X,X,O,X,X
TIOSLJZ,O,X,X,O,X,X,X,X,X,X
TIOSLZJ,O,X,X,X,X,X,X,O,X,O
TIOSJLZ,O,X,X,O,X,X,X,X,X,X
TIOSJZL,O,X,X,O,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,X,X,X,O,X,X
TIOSZJL,O,X,X,X,X,X,X,O,X,X
TIOZLJS,O,X,X,O,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,O,X,X,O,X,X
TIOZJLS,O,O,X,O,X,X,X,X,X,X
TIOZJSL,O,O,X,O,X,X,X,O,X,X
TIOZSLJ,O,X,X,X,X,X,X,O,X,X
TIOZSJL,O,X,X,X,X,X,X,O,X,X
TLIJSZO,X,X,O,O,X,O,X,O,X,X
TLIJSOZ,X,X,O,X,X,O,X,X,X,X
TLIJZSO,X,X,O,O,X,X,X,X,X,X
TLIJZOS,X,X,O,O,X,X,X,X,X,X
TLIJOSZ,X,X,O,X,X,X,X,X,X,X
TLIJOZS,X,X,O,O,X,X,X,X,X,X
TLISJZO,O,X,X,O,X,O,X,O,X,X
TLISJOZ,X,X,X,X,X,O,X,X,X,X
TLISZJO,O,X,X,X,X,O,X,O,X,X
TLISZOJ,O,X,X,X,X,X,X,O,X,O
TLISOJZ,O,X,X,X,X,O,X,X,X,X
TLISOZJ,O,X,X,X,X,X,X,O,X,O
TLIZJSO,X,O,O,O,X,X,X,X,X,X
TLIZJOS,O,O,O,O,X,X,X,X,X,X
TLIZSJO,X,X,O,X,X,O,X,O,X,X
TLIZSOJ,X,X,O,X,X,X,X,O,X,O
TLIZOJS,O,X,O,X,X,X,X,X,X,X
TLIZOSJ,O,X,O,X,X,X,X,X,X,O
TLIOJSZ,O,X,O,O,X,X,X,X,X,X
TLIOJZS,O,X,O,O,X,X,X,X,X,X
TLIOSJZ,O,X,O,O,X,O,X,X,X,X
TLIOSZJ,O,X,O,X,X,X,X,O,X,O
TLIOZJS,O,X,O,O,X,X,X,X,X,X
TLIOZSJ,O,X,O,X,X,X,X,O,X,O
TLJISZO,X,X,O,O,X,O,O,O,X,X
TLJISOZ,X,X,O,X,X,O,X,X,X,X
TLJIZSO,X,O,O,O,X,X,O,X,X,X
TLJIZOS,X,O,O,O,X,X,O,X,X,X
TLJIOSZ,X,X,O,X,X,X,X,X,X,X
TLJIOZS,X,O,O,O,X,X,O,X,X,X
TLJSIZO,X,O,O,O,X,O,O,O,X,X
TLJSIOZ,X,O,O,X,X,O,X,X,X,X
TLJSZIO,X,O,O,O,X,O,O,O,X,X
TLJSZOI,X,O,O,X,X,X,O,X,X,X
TLJSOIZ,X,O,O,X,X,O,X,X,X,X
TLJSOZI,X,O,O,X,X,X,X,X,X,X
TLJZISO,X,O,O,O,X,X,O,X,X,X
TLJZIOS,X,O,O,O,X,X,O,X,X,X
TLJZSIO,X,O,O,O,X,X,O,X,X,X
TLJZSOI,X,O,O,X,X,X,O,X,X,X
TLJZOIS,X,O,O,O,X,X,O,X,X,X
TLJZOSI,X,O,O,X,X,X,O,X,X,X
TLJOISZ,X,X,O,X,X,X,X,X,X,X
TLJOIZS,X,O,O,O,X,X,O,X,X,X
TLJOSIZ,X,O,O,X,X,X,X,X,X,X
TLJOSZI,X,O,O,X,X,X,X,X,X,X
TLJOZIS,X,O,O,O,X,X,O,X,X,X
TLJOZSI,X,O,O,X,X,X,O,X,X,X
TLSIJZO,O,O,X,O,X,O,X,O,X,X
TLSIJOZ,X,O,X,X,X,O,X,X,X,X
TLSIZJO,O,O,X,X,X,O,X,O,X,X
TLSIZOJ,O,O,X,X,X,X,X,O,X,X
TLSIOJZ,O,X,X,X,X,O,X,X,X,X
TLSIOZJ,O,X,X,X,X,X,X,O,X,X
TLSJIZO,O,O,O,O,X,O,X,O,X,X
TLSJIOZ,X,O,O,X,X,O,X,X,X,X
TLSJZIO,O,O,O,O,X,O,X,O,X,X
TLSJZOI,O,O,O,X,X,X,X,X,X,X
TLSJOIZ,X,O,O,X,X,O,X,X,X,X
TLSJOZI,X,O,O,X,X,X,X,X,X,X
TLSZIJO,O,O,O,X,X,O,X,O,X,X
TLSZIOJ,O,O,O,X,O,X,X,O,X,X
TLSZJIO,O,O,X,X,X,O,X,O,X,X
TLSZJOI,O,O,X,X,O,X,X,X,X,X
TLSZOIJ,O,O,O,X,O,X,X,O,X,X
TLSZOJI,O,O,X,X,O,X,X,X,X,X
TLSOIJZ,O,X,O,X,X,O,X,X,X,X
TLSOIZJ,O,X,O,X,X,X,X,O,X,X
TLSOJIZ,O,O,O,X,X,O,X,X,X,X
TLSOJZI,O,O,O,X,X,X,X,X,X,X
TLSOZIJ,O,O,O,X,X,X,X,O,X,X
TLSOZJI,O,O,X,X,X,X,X,X,X,X
TLZIJSO,X,O,O,O,X,X,O,X,X,X
TLZIJOS,O,O,O,O,X,X,O,X,X,X
TLZISJO,X,X,O,X,X,O,O,O,X,X
TLZISOJ,X,X,O,X,X,X,X,O,X,O
TLZIOJS,O,X,O,X,X,X,X,X,X,X
TLZIOSJ,O,X,O,X,X,X,X,X,X,O
TLZJISO,X,O,O,O,X,X,O,X,X,X
TLZJIOS,O,O,O,O,X,X,O,X,X,X
TLZJSIO,X,O,O,O,X,X,O,X,X,X
TLZJSOI,X,O,O,X,X,X,O,X,X,X
TLZJOIS,O,O,O,O,X,X,O,X,X,X
TLZJOSI,O,O,O,X,X,X,O,X,X,X
TLZSIJO,X,X,O,X,X,O,O,O,X,X
TLZSIOJ,X,X,O,X,O,X,X,O,X,X
TLZSJIO,X,X,O,X,X,O,O,O,X,X
TLZSJOI,X,X,O,X,O,X,O,X,X,X
TLZSOIJ,X,X,O,X,O,X,X,O,X,X
TLZSOJI,X,X,O,X,O,X,X,X,X,X
TLZOIJS,O,X,O,X,X,X,X,X,X,X
TLZOISJ,O,X,O,X,X,X,X,X,X,X
TLZOJIS,O,X,O,X,X,X,X,X,X,X
TLZOJSI,O,X,O,X,X,X,X,X,X,X
TLZOSIJ,O,X,O,X,X,X,X,X,X,X
TLZOSJI,O,X,O,X,X,X,X,X,X,X
TLOIJSZ,O,X,O,O,X,X,X,X,X,X
TLOIJZS,O,X,O,O,X,X,X,X,X,X
TLOISJZ,O,X,O,O,X,O,X,X,X,X
TLOISZJ,O,X,O,X,X,X,X,O,X,X
TLOIZJS,O,X,O,O,X,X,X,X,X,X
TLOIZSJ,O,X,O,X,X,X,X,O,X,X
TLOJISZ,O,X,O,O,X,X,X,X,X,X
TLOJIZS,O,X,O,O,X,X,X,X,X,X
TLOJSIZ,O,X,O,O,X,X,X,X,X,X
TLOJSZI,O,X,O,O,X,X,X,X,X,X
TLOJZIS,O,X,O,O,X,X,X,X,X,X
TLOJZSI,O,X,O,O,X,X,X,X,X,X
TLOSIJZ,O,X,O,O,X,O,X,X,X,X
TLOSIZJ,O,X,O,X,X,X,X,O,X,X
TLOSJIZ,O,X,O,O,X,O,X,X,X,X
TLOSJZI,O,X,O,O,X,X,X,X,X,X
TLOSZIJ,O,X,O,X,X,X,X,O,X,X
TLOSZJI,O,X,X,X,X,X,X,X,X,X
TLOZIJS,O,X,O,O,X,X,X,X,X,X
TLOZISJ,O,X,O,X,X,X,X,O,X,X
TLOZJIS,O,X,O,O,X,X,X,X,X,X
TLOZJSI,O,X,O,O,X,X,X,X,X,X
TLOZSIJ,O,X,O,X,X,X,X,O,X,X
TLOZSJI,O,X,O,X,X,X,X,O,X,X
TJILSZO,X,X,O,O,X,X,O,O,X,X
TJILSOZ,X,X,O,X,X,X,X,X,X,X
TJILZSO,X,O,O,O,X,X,O,X,X,X
TJILZOS,X,O,O,O,X,X,O,X,X,X
TJILOSZ,X,X,O,X,X,X,X,X,X,X
TJILOZS,X,O,O,O,X,X,O,X,X,X
TJISLZO,O,O,O,O,X,X,X,O,X,X
TJISLOZ,X,O,O,X,X,X,X,X,X,X
TJISZLO,O,O,O,O,X,X,X,O,X,X
TJISZOL,O,O,O,X,X,X,X,X,X,X
TJISOLZ,O,O,X,X,X,X,X,X,X,X
TJISOZL,O,O,O,X,X,X,X,X,X,X
TJIZLSO,X,O,O,O,X,X,O,X,X,X
TJIZLOS,O,O,O,O,X,X,O,X,X,X
TJIZSLO,O,O,O,O,X,X,O,O,X,X
TJIZSOL,O,O,O,X,X,X,O,X,X,X
TJIZOLS,O,O,O,O,X,X,O,X,X,X
TJIZOSL,O,O,O,X,X,X,O,X,X,X
TJIOLSZ,O,X,X,O,X,X,X,X,X,X
TJIOLZS,O,O,X,O,X,X,X,X,X,X
TJIOSLZ,O,O,X,O,X,X,X,X,X,X
TJIOSZL,O,O,X,O,X,X,X,X,X,X
TJIOZLS,O,O,X,O,X,X,X,X,X,X
TJIOZSL,O,O,X,O,X,X,X,O,X,X
TJLISZO,X,X,O,O,X,O,O,O,X,X
TJLISOZ,X,X,O,X,X,O,X,X,X,X
TJLIZSO,X,O,O,O,X,X,O,X,X,X
TJLIZOS,X,O,O,O,X,X,O,X,X,X
TJLIOSZ,X,X,O,X,X,X,X,X,X,X
TJLIOZS,X,O,O,O,X,X,O,X,X,X
TJLSIZO,X,O,O,O,X,O,O,O,X,X
TJLSIOZ,X,O,O,X,X,O,X,X,X,X
TJLSZIO,X,O,O,O,X,O,O,O,X,X
TJLSZOI,X,O,O,X,X,X,O,X,X,X
TJLSOIZ,X,O,O,X,X,O,X,X,X,X
TJLSOZI,X,O,O,X,X,X,X,X,X,X
TJLZISO,X,O,O,O,X,X,O,X,X,X
TJLZIOS,X,O,O,O,X,X,O,X,X,X
TJLZSIO,X,O,O,O,X,X,O,X,X,X
TJLZSOI,X,O,O,X,X,X,O,X,X,X
TJLZOIS,X,O,O,O,X,X,O,X,X,X
TJLZOSI,X,O,O,X,X,X,O,X,X,X
TJLOISZ,X,X,O,X,X,X,X,X,X,X
TJLOIZS,X,O,O,O,X,X,O,X,X,X
TJLOSIZ,X,O,O,X,X,X,X,X,X,X
TJLOSZI,X,O,O,X,X,X,X,X,X,X
TJLOZIS,X,O,O,O,X,X,O,X,X,X
TJLOZSI,X,O,O,X,X,X,O,X,X,X
TJSILZO,O,O,O,O,X,O,X,O,X,X
TJSILOZ,X,O,O,X,X,O,X,X,X,X
TJSIZLO,O,O,O,O,X,X,X,O,X,X
TJSIZOL,O,O,O,X,X,X,X,X,X,X
TJSIOLZ,O,O,X,X,X,X,X,X,O,X
TJSIOZL,O,O,O,X,X,X,X,X,O,X
TJSLIZO,O,O,O,O,X,O,O,O,X,X
TJSLIOZ,X,O,O,X,X,O,X,X,X,X
TJSLZIO,O,O,O,O,X,O,O,O,X,X
TJSLZOI,O,O,O,X,X,X,O,X,X,X
TJSLOIZ,X,O,O,X,X,O,X,X,O,X
TJSLOZI,X,O,O,X,X,X,X,X,O,X
TJSZILO,O,O,O,O,X,X,O,O,X,X
TJSZIOL,O,O,O,X,X,X,O,X,O,X
TJSZLIO,O,O,O,O,X,O,O,O,X,X
TJSZLOI,O,O,O,X,X,X,O,X,O,X
TJSZOIL,O,O,O,X,X,X,O,X,O,X
TJSZOLI,O,O,O,X,X,X,O,X,O,X
TJSOILZ,O,O,X,X,X,X,X,X,O,X
TJSOIZL,O,O,O,X,X,X,X,X,O,X
TJSOLIZ,O,O,O,X,X,O,X,X,O,X
TJSOLZI,O,O,O,X,X,X,X,X,O,X
TJSOZIL,O,O,O,X,X,X,X,X,O,X
TJSOZLI,O,O,O,X,X,X,X,X,O,X
TJZILSO,X,O,O,O,X,X,O,X,X,X
TJZILOS,O,O,O,O,X,X,O,X,X,X
TJZISLO,O,O,O,O,X,X,O,O,X,X
TJZISOL,O,O,O,X,X,X,O,X,O,X
TJZIOLS,O,O,O,O,X,X,O,X,X,X
TJZIOSL,O,O,O,X,X,X,O,X,X,X
TJZLISO,X,O,O,O,X,X,O,X,X,X
TJZLIOS,O,O,O,O,X,X,O,X,X,X
TJZLSIO,X,O,O,O,X,X,O,X,X,X
TJZLSOI,X,O,O,X,X,X,O,X,O,X
TJZLOIS,O,O,O,O,X,X,O,X,X,X
TJZLOSI,O,O,O,X,X,X,O,X,X,X
TJZSILO,O,O,O,O,X,X,O,O,X,X
TJZSIOL,O,O,O,X,X,X,O,X,O,X
TJZSLIO,O,O,O,O,X,X,O,O,X,X
TJZSLOI,O,O,O,X,X,X,O,X,O,X
TJZSOIL,O,O,O,X,X,X,O,X,O,X
TJZSOLI,O,O,O,X,X,X,O,X,O,X
TJZOILS,O,O,O,O,X,X,O,X,X,X
TJZOISL,O,O,O,X,X,X,O,X,X,X
TJZOLIS,O,O,O,O,X,X,O,X,X,X
TJZOLSI,O,O,O,X,X,X,O,X,X,X
TJZOSIL,O,O,X,X,X,X,O,X,O,X
TJZOSLI,O,O,X,X,X,X,O,X,O,X
TJOILSZ,O,X,X,O,X,X,X,X,X,X
TJOILZS,O,O,X,O,X,X,X,X,X,X
TJOISLZ,O,O,X,O,X,X,X,X,X,X
TJOISZL,O,O,X,O,X,X,X,X,X,X
TJOIZLS,O,O,X,O,X,X,X,X,X,X
TJOIZSL,O,O,X,O,X,X,X,O,X,X
TJOLISZ,O,X,O,O,X,X,X,X,X,X
TJOLIZS,O,O,O,O,X,X,O,X,X,X
TJOLSIZ,O,O,O,O,X,X,X,X,X,X
TJOLSZI,O,O,O,O,X,X,X,X,X,X
TJOLZIS,O,O,O,O,X,X,O,X,X,X
TJOLZSI,O,O,O,O,X,X,O,X,X,X
TJOSILZ,O,O,X,O,X,X,X,X,X,X
TJOSIZL,O,O,O,O,X,X,X,X,X,X
TJOSLIZ,O,O,O,O,X,X,X,X,X,X
TJOSLZI,O,O,O,O,X,X,X,X,X,X
TJOSZIL,O,O,O,O,X,X,X,X,X,X
TJOSZLI,O,O,O,O,X,X,X,X,X,X
TJOZILS,O,O,O,O,X,X,O,X,X,X
TJOZISL,O,O,O,O,X,X,O,O,X,X
TJOZLIS,O,O,O,O,X,X,O,X,X,X
TJOZLSI,O,O,O,O,X,X,O,X,X,X
TJOZSIL,O,O,X,O,X,X,O,O,X,X
TJOZSLI,O,O,X,O,X,X,O,O,X,X
TSILJZO,O,O,X,O,X,O,X,O,X,X
TSILJOZ,X,O,X,X,X,O,X,X,X,X
TSILZJO,O,O,X,X,X,O,X,O,X,X
TSILZOJ,O,O,X,X,X,X,X,O,X,X
TSILOJZ,O,X,X,X,X,O,X,X,X,X
TSILOZJ,O,X,X,X,X,X,X,O,X,X
TSIJLZO,O,O,X,O,X,O,X,O,X,X
TSIJLOZ,X,O,X,X,X,O,X,X,X,X
TSIJZLO,O,O,X,O,X,X,X,O,X,X
TSIJZOL,O,O,X,X,X,X,X,X,X,X
TSIJOLZ,O,O,X,X,X,X,X,X,O,X
TSIJOZL,O,O,X,X,X,X,X,X,O,X
TSIZLJO,O,O,X,X,X,X,X,O,X,X
TSIZLOJ,O,O,X,X,X,X,X,O,X,X
TSIZJLO,O,O,X,X,X,X,X,O,X,X
TSIZJOL,O,O,X,X,X,X,X,X,X,X
TSIZOLJ,O,O,X,X,X,X,X,O,X,X
TSIZOJL,O,O,X,X,X,X,X,X,X,X
TSIOLJZ,O,X,X,O,X,X,X,X,X,X
TSIOLZJ,O,X,X,X,X,X,X,O,X,X
TSIOJLZ,O,X,X,O,X,X,X,X,X,X
TSIOJZL,O,X,X,O,X,X,X,X,X,X
TSIOZLJ,O,X,X,X,X,X,X,O,X,X
TSIOZJL,O,X,X,X,X,X,X,O,X,X
TSLIJZO,O,O,X,O,X,O,X,O,X,X
TSLIJOZ,X,O,X,X,X,O,X,X,X,X
TSLIZJO,O,O,X,X,X,O,X,O,X,X
TSLIZOJ,O,O,X,X,X,X,X,O,X,X
TSLIOJZ,O,X,X,X,X,O,X,X,X,X
TSLIOZJ,O,X,X,X,X,X,X,O,X,X
TSLJIZO,O,O,O,O,X,O,X,O,X,X
TSLJIOZ,X,O,O,X,X,O,X,X,X,X
TSLJZIO,O,O,O,O,X,O,X,O,X,X
TSLJZOI,O,O,O,X,X,X,X,X,X,X
TSLJOIZ,X,O,O,X,X,O,X,X,O,X
TSLJOZI,X,O,O,X,X,X,X,X,O,X
TSLZIJO,O,O,O,X,X,O,X,O,X,X
TSLZIOJ,O,O,O,X,O,X,X,O,X,X
TSLZJIO,O,O,X,X,X,O,X,O,X,X
TSLZJOI,O,O,X,X,O,X,X,X,X,X
TSLZOIJ,O,O,O,X,O,X,X,O,X,X
TSLZOJI,O,O,X,X,O,X,X,X,X,X
TSLOIJZ,O,X,O,X,X,O,X,X,X,X
TSLOIZJ,O,X,O,X,X,X,X,O,X,X
TSLOJIZ,O,O,O,X,X,O,X,X,X,X
TSLOJZI,O,O,O,X,X,X,X,X,X,X
TSLOZIJ,O,O,O,X,X,X,X,O,X,X
TSLOZJI,O,O,X,X,X,X,X,X,X,X
TSJILZO,O,O,O,O,X,O,X,O,X,X
TSJILOZ,X,O,O,X,X,O,X,X,X,X
TSJIZLO,O,O,O,O,X,X,X,O,X,X
TSJIZOL,O,O,O,X,X,X,X,X,X,X
TSJIOLZ,O,O,X,X,X,X,X,X,O,X
TSJIOZL,O,O,O,X,X,X,X,X,O,X
TSJLIZO,O,O,O,O,X,O,O,O,X,X
TSJLIOZ,X,O,O,X,X,O,X,X,X,X
TSJLZIO,O,O,O,O,X,O,O,O,X,X
TSJLZOI,O,O,O,X,X,X,O,X,X,X
TSJLOIZ,X,O,O,X,X,O,X,X,O,X
TSJLOZI,X,O,O,X,X,X,X,X,O,X
TSJZILO,O,O,O,O,X,X,O,O,X,X
TSJZIOL,O,O,O,X,X,X,O,X,O,X
TSJZLIO,O,O,O,O,X,O,O,O,X,X
TSJZLOI,O,O,O,X,X,X,O,X,O,X
TSJZOIL,O,O,O,X,X,X,O,X,O,X
TSJZOLI,O,O,O,X,X,X,O,X,O,X
TSJOILZ,O,O,X,X,X,X,X,X,O,X
TSJOIZL,O,O,O,X,X,X,X,X,O,X
TSJOLIZ,O,O,O,X,X,O,X,X,O,X
TSJOLZI,O,O,O,X,X,X,X,X,O,X
TSJOZIL,O,O,O,X,X,X,X,X,O,X
TSJOZLI,O,O,O,X,X,X,X,X,O,X
TSZILJO,O,O,O,X,X,X,O,O,X,X
TSZILOJ,O,O,O,X,O,X,X,O,X,X
TSZIJLO,O,O,O,X,X,X,O,O,X,X
TSZIJOL,O,O,O,X,X,X,O,X,O,X
TSZIOLJ,O,O,O,X,O,X,X,O,X,X
TSZIOJL,O,O,X,X,X,X,O,X,X,X
TSZLIJO,O,O,O,X,X,O,O,O,X,X
TSZLIOJ,O,O,O,X,O,X,X,O,X,X
TSZLJIO,O,O,X,X,X,O,O,O,X,X
TSZLJOI,O,O,X,X,O,X,O,X,O,X
TSZLOIJ,O,O,O,X,O,X,X,O,X,X
TSZLOJI,O,O,X,X,O,X,X,X,X,X
TSZJILO,O,O,X,X,X,X,O,O,X,X
TSZJIOL,O,O,X,X,X,X,O,X,O,X
TSZJLIO,O,O,X,X,X,O,O,O,X,X
TSZJLOI,O,O,X,X,O,X,O,X,O,X
TSZJOIL,O,O,X,X,X,X,O,X,O,X
TSZJOLI,O,O,X,X,O,X,O,X,O,X
TSZOILJ,O,O,X,X,O,X,X,O,X,X
TSZOIJL,O,O,X,X,X,X,O,X,X,X
TSZOLIJ,O,O,X,X,O,X,X,O,X,X
TSZOLJI,O,O,X,X,O,X,X,X,X,X
TSZOJIL,O,O,X,X,X,X,O,X,O,X
TSZOJLI,O,O,X,X,O,X,O,X,O,X
TSOILJZ,O,X,X,O,X,X,X,X,X,X
TSOILZJ,O,X,X,X,X,X,X,O,X,X
TSOIJLZ,O,X,X,O,X,X,X,X,X,X
