sequence,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je07IvhFxcBTeBXiBl?lBmrBSwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je07IvhFxcBTeBCiBl?lBesBXrB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Jel7IvhFGdBTeB/mBa?nB0lBRwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Jex7IvhFTeBUhBFiB6?qBXnB2wB,v115@zgB8HeC8GeB8EeF8DeF8DeC8JeX8IvhFTeBFiBxlB0?lBOsBSwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8JeG9IvhFTeBZnBllBc?rB6qB/rB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Jex7IvhFTeBFhBXiB0?lBOsBSwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je07IvhFSiBTeBllB3?mBmmBRwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Jex7IvhFTeBOnBllBc?rBCrBXsB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je/BJvhFGeB1lBiiB0?lBzmBRwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je07IvhFxcBTeBOnBl?lBXrBqrB
TLJIOSZ,X,O,X,X,O,X,X,X,X,O,X
TLJIOZS,X,O,X,O,X,X,X,X,X,X,X
TLJSIZO,O,O,X,X,X,X,X,X,X,O,X
TLJSIOZ,O,O,X,X,X,X,X,X,X,O,X
TLJSZIO,O,O,X,O,X,X,X,X,X,O,X
TLJSZOI,O,O,X,O,X,X,X,X,X,O,X
TLJSOIZ,O,O,X,X,O,X,X,X,X,O,X
TLJSOZI,O,O,X,O,X,X,X,X,X,O,X
TLJZISO,X,O,X,O,X,X,X,X,X,O,X
TLJZIOS,O,O,X,O,X,X,X,X,X,X,X
TLJZSIO,O,O,X,O,X,X,X,X,X,O,X
TLJZSOI,O,O,X,O,X,X,X,X,X,O,X
TLJZOIS,O,O,X,O,X,X,X,O,X,X,X
TLJZOSI,O,O,X,O,X,X,X,X,X,X,X
TLJOISZ,X,O,O,X,O,X,X,X,X,O,X
TLJOIZS,X,O,O,O,X,X,X,X,X,X,X
TLJOSIZ,O,O,X,X,O,X,X,X,X,O,X
TLJOSZI,O,O,X,O,X,X,X,X,X,O,X
TLJOZIS,O,O,O,O,X,X,X,O,X,X,X
TLJOZSI,O,O,O,O,X,X,X,X,X,X,X
TLSIJZO,X,X,X,X,X,X,X,X,X,O,X
TLSIJOZ,X,X,X,X,O,X,X,X,X,O,X
TLSIZJO,X,X,X,X,X,X,X,X,X,O,X
TLSIZOJ,O,O,X,X,O,X,X,X,X,X,X
TLSIOJZ,X,X,X,X,O,X,X,X,X,O,X
TLSIOZJ,O,O,X,X,O,X,O,X,X,X,X
TLSJIZO,O,X,X,X,X,X,X,X,X,O,O
TLSJIOZ,O,X,X,X,X,X,X,X,X,O,O
TLSJZIO,O,X,X,X,X,X,X,X,X,O,O
TLSJZOI,O,X,X,X,X,X,X,X,X,O,O
TLSJOIZ,O,X,X,X,O,X,X,X,X,O,O
TLSJOZI,O,X,X,X,X,X,O,X,X,O,O
TLSZIJO,X,X,X,X,X,X,O,X,X,X,X
TLSZIOJ,O,O,X,O,X,X,O,X,X,X,X
TLSZJIO,O,X,X,X,X,X,O,X,X,O,X
TLSZJOI,O,X,X,X,X,X,O,X,X,O,X
TLSZOIJ,O,O,X,O,O,X,O,O,X,X,X
TLSZOJI,O,O,X,O,X,X,O,X,X,X,X
TLSOIJZ,X,X,X,X,O,X,X,X,X,X,X
TLSOIZJ,O,O,X,X,O,X,O,X,X,X,X
TLSOJIZ,O,X,X,X,O,X,X,X,X,O,O
TLSOJZI,O,X,X,X,X,X,O,X,X,O,O
TLSOZIJ,O,O,X,O,O,X,O,O,X,X,X
TLSOZJI,O,O,X,O,X,X,O,X,X,X,X
TLZIJSO,X,X,X,O,X,O,X,X,X,O,X
TLZIJOS,X,O,O,O,X,O,O,O,X,X,X
TLZISJO,X,X,O,X,X,O,O,O,X,O,X
TLZISOJ,X,O,O,O,O,O,O,O,X,X,X
TLZIOJS,O,O,O,O,X,O,O,O,X,X,X
TLZIOSJ,O,O,O,O,O,O,O,O,X,X,X
TLZJISO,X,O,X,O,X,X,X,X,O,O,X
TLZJIOS,O,O,X,O,X,X,O,X,O,X,X
TLZJSIO,O,O,X,O,X,X,O,X,O,O,X
TLZJSOI,O,O,X,O,X,X,O,X,O,O,X
TLZJOIS,O,O,O,O,X,X,O,O,O,X,X
TLZJOSI,O,O,O,O,X,X,O,X,O,X,X
TLZSIJO,X,X,O,X,X,X,O,X,X,X,X
TLZSIOJ,O,O,O,O,X,X,O,X,X,X,X
TLZSJIO,O,X,O,X,X,X,O,X,X,O,X
TLZSJOI,O,X,O,X,X,X,O,X,X,O,X
TLZSOIJ,O,O,O,O,O,X,O,O,X,X,X
TLZSOJI,O,O,O,O,X,X,O,X,X,X,X
TLZOIJS,O,O,O,O,X,O,O,O,X,X,X
TLZOISJ,O,O,O,O,O,O,O,O,X,X,X
TLZOJIS,O,O,O,O,X,X,O,O,O,X,X
TLZOJSI,O,O,O,O,X,X,O,X,O,X,X
TLZOSIJ,O,O,O,O,O,X,O,O,X,X,X
TLZOSJI,O,O,O,O,X,X,O,X,X,X,X
TLOIJSZ,X,X,O,X,O,X,X,X,X,O,X
TLOIJZS,X,O,O,O,X,X,X,O,X,X,X
TLOISJZ,X,X,O,X,O,X,X,O,X,O,X
TLOISZJ,X,O,O,X,O,X,X,O,X,X,X
TLOIZJS,X,O,O,O,X,X,O,O,X,X,X
TLOIZSJ,X,O,O,O,O,X,O,O,X,X,X
TLOJISZ,X,O,O,X,O,X,X,X,X,O,X
TLOJIZS,X,O,O,O,X,X,X,X,X,X,X
TLOJSIZ,O,O,X,X,O,X,X,X,X,O,X
TLOJSZI,O,O,X,O,X,X,X,X,X,O,X
TLOJZIS,O,O,O,O,X,X,X,O,X,X,X
TLOJZSI,O,O,O,O,X,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,O,X,X,X,X,X,X
TLOSIZJ,O,O,X,X,O,X,O,X,X,X,X
TLOSJIZ,O,X,X,X,O,X,X,X,X,O,O
TLOSJZI,O,X,X,X,X,X,O,X,X,O,O
TLOSZIJ,O,O,X,O,O,X,O,O,X,X,X
TLOSZJI,O,O,X,O,X,X,O,X,X,X,X
TLOZIJS,O,O,O,O,X,O,O,O,X,X,X
TLOZISJ,O,O,O,O,O,O,O,O,X,X,X
TLOZJIS,O,O,O,O,X,X,O,O,O,X,X
TLOZJSI,O,O,O,O,X,X,O,X,O,X,X
TLOZSIJ,O,O,O,O,O,X,O,O,X,X,X
TLOZSJI,O,O,O,O,X,X,O,X,X,X,X
TJILSZO,X,O,O,X,X,X,X,X,X,O,X
TJILSOZ,X,O,O,X,O,X,X,X,X,O,X
TJILZSO,X,O,X,X,X,X,X,X,X,O,X
TJILZOS,X,O,X,X,X,X,X,O,X,X,X
TJILOSZ,X,O,O,X,O,X,X,X,X,O,X
TJILOZS,X,O,O,X,X,X,X,O,X,X,X
TJISLZO,O,X,O,X,X,X,X,O,X,O,X
TJISLOZ,O,X,O,X,X,X,X,O,X,O,X
TJISZLO,O,X,X,X,X,X,X,O,X,O,X
TJISZOL,O,X,O,X,X,X,X,O,X,X,X
TJISOLZ,O,X,O,X,O,X,X,O,X,O,X
TJISOZL,O,X,O,X,O,X,X,O,X,X,X
TJIZLSO,X,O,X,X,X,X,X,X,X,O,X
TJIZLOS,O,O,O,X,X,X,X,O,X,X,X
TJIZSLO,O,O,O,X,X,X,X,O,X,O,X
TJIZSOL,O,O,O,X,X,X,X,O,X,X,X
TJIZOLS,O,O,O,O,X,X,X,O,X,X,X
TJIZOSL,O,O,O,X,X,X,X,O,X,X,X
TJIOLSZ,X,O,O,X,O,X,X,X,X,O,X
TJIOLZS,X,O,O,X,X,X,X,O,X,X,X
TJIOSLZ,O,X,O,X,O,X,X,O,X,O,X
TJIOSZL,O,X,O,X,O,X,X,O,X,X,X
TJIOZLS,O,O,O,O,X,X,X,O,X,X,X
TJIOZSL,O,O,O,X,X,X,X,O,X,X,X
TJLISZO,X,O,X,X,X,X,X,X,X,O,X
TJLISOZ,X,O,X,X,O,X,X,X,X,O,X
TJLIZSO,X,O,X,X,X,X,X,X,X,O,X
TJLIZOS,X,O,X,X,X,X,X,X,X,X,X
TJLIOSZ,X,O,X,X,O,X,X,X,X,O,X
TJLIOZS,X,O,X,X,X,X,X,X,X,X,X
TJLSIZO,O,O,X,X,X,X,X,X,X,O,X
TJLSIOZ,O,O,X,X,X,X,X,X,X,O,X
TJLSZIO,O,O,X,X,X,X,X,X,X,O,X
TJLSZOI,O,O,X,X,X,X,X,X,X,O,X
TJLSOIZ,O,O,X,X,O,X,X,X,X,O,X
TJLSOZI,O,O,X,X,X,X,X,X,X,O,X
TJLZISO,X,O,X,X,X,X,X,X,X,O,X
TJLZIOS,O,O,X,O,X,X,X,X,X,X,X
TJLZSIO,O,O,X,X,X,X,X,X,X,O,X
TJLZSOI,O,O,X,X,X,X,X,X,X,O,X
TJLZOIS,O,O,X,O,X,X,X,O,X,X,X
TJLZOSI,O,O,X,O,X,X,X,X,X,X,X
TJLOISZ,X,O,O,X,O,X,X,X,X,O,X
TJLOIZS,X,O,O,X,X,X,X,X,X,X,X
TJLOSIZ,O,O,X,X,O,X,X,X,X,O,X
TJLOSZI,O,O,X,X,X,X,X,X,X,O,X
TJLOZIS,O,O,O,O,X,X,X,O,X,X,X
TJLOZSI,O,O,O,O,X,X,X,X,X,X,X
TJSILZO,O,O,X,X,X,X,X,X,X,O,O
TJSILOZ,O,O,X,X,X,X,X,X,X,O,O
TJSIZLO,O,O,X,X,X,X,X,X,X,O,X
TJSIZOL,O,O,X,X,X,X,X,X,X,X,X
TJSIOLZ,O,O,X,X,X,X,X,X,X,O,O
TJSIOZL,O,O,X,X,X,X,X,X,X,X,X
TJSLIZO,O,O,X,X,X,X,X,X,X,O,O
TJSLIOZ,O,O,X,X,X,X,X,X,X,O,O
TJSLZIO,O,O,X,X,X,X,X,X,X,O,O
TJSLZOI,O,O,X,X,X,X,X,X,X,O,O
TJSLOIZ,O,O,X,X,X,X,X,X,X,O,O
TJSLOZI,O,O,X,X,X,X,X,X,X,O,O
TJSZILO,O,O,X,X,X,X,X,X,X,O,X
TJSZIOL,O,O,X,X,X,X,X,X,X,X,X
TJSZLIO,O,O,X,X,X,X,X,X,X,O,O
TJSZLOI,O,O,X,X,X,X,X,X,X,O,O
TJSZOIL,O,O,X,X,X,X,X,X,X,X,X
TJSZOLI,O,O,X,O,X,X,X,X,X,X,O
TJSOILZ,O,O,O,X,O,X,X,X,X,O,O
TJSOIZL,O,O,O,X,O,X,X,X,X,X,X
TJSOLIZ,O,O,X,X,O,X,X,X,X,O,O
TJSOLZI,O,O,X,X,X,X,X,X,X,O,O
TJSOZIL,O,O,O,X,X,X,X,X,X,X,X
TJSOZLI,O,O,O,O,X,X,X,X,X,X,O
TJZILSO,X,O,X,X,X,O,X,X,O,O,X
TJZILOS,O,O,O,X,X,O,X,O,O,X,X
TJZISLO,O,O,O,X,X,O,X,O,X,O,X
TJZISOL,O,O,O,X,X,O,X,O,X,X,X
TJZIOLS,O,O,O,O,X,O,X,O,O,X,X
TJZIOSL,O,O,O,X,X,O,X,O,X,X,X
TJZLISO,X,O,X,X,X,X,X,X,O,O,X
TJZLIOS,O,O,X,X,X,X,X,X,O,X,X
TJZLSIO,O,O,X,X,X,X,X,X,O,O,X
TJZLSOI,O,O,X,X,X,X,X,X,O,O,X
TJZLOIS,O,O,O,O,X,X,X,O,O,X,X
TJZLOSI,O,O,O,O,X,X,X,X,O,X,X
TJZSILO,O,O,O,X,X,X,X,X,X,O,X
TJZSIOL,O,O,O,X,X,X,X,X,X,X,X
TJZSLIO,O,O,O,X,X,X,X,X,O,O,X
TJZSLOI,O,O,O,X,X,X,X,X,O,O,X
TJZSOIL,O,O,O,X,X,X,X,X,X,X,X
TJZSOLI,O,O,O,O,X,X,X,X,O,X,X
TJZOILS,O,O,O,O,X,O,X,O,O,X,X
TJZOISL,O,O,O,X,X,O,X,O,X,X,X
TJZOLIS,O,O,O,O,X,X,X,O,O,X,X
TJZOLSI,O,O,O,O,X,X,X,X,O,X,X
TJZOSIL,O,O,O,X,X,X,X,X,X,X,X
TJZOSLI,O,O,O,O,X,X,X,X,O,X,X
TJOILSZ,X,O,O,X,O,X,X,X,X,O,X
TJOILZS,X,O,O,X,X,X,X,O,X,X,X
TJOISLZ,O,X,O,X,O,X,X,O,X,O,X
TJOISZL,O,X,O,X,O,X,X,O,X,X,X
TJOIZLS,O,O,O,O,X,X,X,O,X,X,X
TJOIZSL,O,O,O,X,X,X,X,O,X,X,X
TJOLISZ,X,O,O,X,O,X,X,X,X,O,X
TJOLIZS,X,O,O,X,X,X,X,X,X,X,X
TJOLSIZ,O,O,X,X,O,X,X,X,X,O,X
TJOLSZI,O,O,X,X,X,X,X,X,X,O,X
TJOLZIS,O,O,O,O,X,X,X,O,X,X,X
TJOLZSI,O,O,O,O,X,X,X,X,X,X,X
TJOSILZ,O,O,O,X,O,X,X,X,X,O,O
TJOSIZL,O,O,O,X,O,X,X,X,X,X,X
TJOSLIZ,O,O,X,X,O,X,X,X,X,O,O
TJOSLZI,O,O,X,X,X,X,X,X,X,O,O
TJOSZIL,O,O,O,X,X,X,X,X,X,X,X
TJOSZLI,O,O,O,O,X,X,X,X,X,X,O
TJOZILS,O,O,O,O,X,O,X,O,O,X,X
TJOZISL,O,O,O,X,X,O,X,O,X,X,X
TJOZLIS,O,O,O,O,X,X,X,O,O,X,X
TJOZLSI,O,O,O,O,X,X,X,X,O,X,X
TJOZSIL,O,O,O,X,X,X,X,X,X,X,X
TJOZSLI,O,O,O,O,X,X,X,X,O,X,X
TSILJZO,X,X,O,X,X,X,X,O,X,O,X
TSILJOZ,X,X,O,X,O,X,X,O,X,O,X
TSILZJO,X,X,O,X,X,X,X,O,X,O,X
TSILZOJ,O,X,O,X,O,X,X,O,X,X,X
TSILOJZ,X,X,O,X,O,X,X,O,X,O,X
TSILOZJ,O,X,O,X,O,X,X,O,X,X,X
TSIJLZO,O,X,O,X,X,X,X,O,X,O,O
TSIJLOZ,O,X,O,X,X,X,X,O,X,O,O
TSIJZLO,O,X,X,X,X,X,X,O,X,O,X
TSIJZOL,O,X,O,X,X,X,X,O,X,X,X
TSIJOLZ,O,X,O,X,O,X,X,O,X,O,O
TSIJOZL,O,X,O,X,O,X,X,O,X,X,X
TSIZLJO,X,X,O,X,X,X,X,O,X,O,X
TSIZLOJ,O,X,O,X,X,X,X,O,X,X,X
TSIZJLO,O,X,O,X,X,X,X,O,X,O,X
TSIZJOL,O,X,O,X,X,X,X,O,X,X,X
TSIZOLJ,O,X,O,X,O,X,X,O,X,X,X
TSIZOJL,O,X,O,X,O,X,X,O,X,X,X
TSIOLJZ,X,X,O,X,O,X,X,O,X,O,X
TSIOLZJ,O,X,O,X,O,X,O,O,X,X,X
TSIOJLZ,O,X,O,X,O,X,X,O,X,O,O
TSIOJZL,O,X,O,X,O,X,X,O,X,X,X
TSIOZLJ,O,X,O,X,O,X,O,O,X,X,X
TSIOZJL,O,X,O,X,O,X,O,O,X,X,X
TSLIJZO,X,X,X,X,X,X,X,X,X,O,X
TSLIJOZ,X,X,X,X,O,X,X,X,X,O,X
TSLIZJO,X,X,X,X,X,X,X,X,X,O,X
TSLIZOJ,O,O,X,X,O,X,X,X,X,X,X
TSLIOJZ,X,X,X,X,O,X,X,X,X,O,X
TSLIOZJ,O,O,X,X,O,X,O,X,X,X,X
TSLJIZO,O,X,X,X,X,X,X,X,X,O,O
TSLJIOZ,O,X,X,X,X,X,X,X,X,O,O
TSLJZIO,O,X,X,X,X,X,X,X,X,O,O
TSLJZOI,O,X,X,X,X,X,X,X,X,O,O
TSLJOIZ,O,X,X,X,O,X,X,X,X,O,O
TSLJOZI,O,X,X,X,X,X,O,X,X,O,O
TSLZIJO,X,X,X,X,X,X,O,X,X,X,X
TSLZIOJ,O,O,X,O,X,X,O,X,X,X,X
TSLZJIO,O,X,X,X,X,X,O,X,X,O,X
TSLZJOI,O,X,X,X,X,X,O,X,X,O,X
TSLZOIJ,O,O,X,O,O,X,O,O,X,X,X
TSLZOJI,O,O,X,O,X,X,O,X,X,X,X
TSLOIJZ,X,X,X,X,O,X,X,X,X,X,X
TSLOIZJ,O,O,X,X,O,X,O,X,X,X,X
TSLOJIZ,O,X,X,X,O,X,X,X,X,O,O
TSLOJZI,O,X,X,X,X,X,O,X,X,O,O
TSLOZIJ,O,O,X,O,O,X,O,O,X,X,X
TSLOZJI,O,O,X,O,X,X,O,X,X,X,X
TSJILZO,O,X,X,X,X,X,X,X,X,O,O
TSJILOZ,O,X,X,X,X,X,X,X,X,O,O
TSJIZLO,O,X,X,X,X,X,X,X,X,O,X
TSJIZOL,O,X,X,X,X,X,X,X,X,X,X
TSJIOLZ,O,X,X,X,X,X,X,X,X,O,O
TSJIOZL,O,X,X,X,X,X,X,X,X,X,X
TSJLIZO,O,O,X,X,X,X,X,X,X,O,O
TSJLIOZ,O,O,X,X,X,X,X,X,X,O,O
TSJLZIO,O,O,X,X,X,X,X,X,X,O,O
TSJLZOI,O,O,X,X,X,X,X,X,X,O,O
TSJLOIZ,O,O,X,X,X,X,X,X,X,O,O
TSJLOZI,O,O,X,X,X,X,X,X,X,O,O
TSJZILO,O,O,X,X,X,X,X,X,X,O,X
TSJZIOL,O,O,X,X,X,X,X,X,X,X,X
TSJZLIO,O,O,X,X,X,X,X,X,X,O,O
TSJZLOI,O,O,X,X,X,X,X,X,X,O,O
TSJZOIL,O,O,X,X,X,X,X,X,X,X,X
