sequence,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhF6hBxdBmiBl?lBTnBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhFxcBOjBCiBl?lBTnBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeX8IvhF6iBOjBzhBl?lBxrB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhF6iBOjBzhBl?lBxrBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeX8IvhFxdB+mBKnBz?iBllB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jel7IvhF3cBciBOjBx?lBSsBzqB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhFxdB+mBKnBz?iBllBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jem7IvhF5hBXeB1lBK?nB0iBzqB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeX8IvhFOjBCiBTiBl?lBxrB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jex7IvhF6iBOjB3hB0?lBVsBzqB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhFOjBCiBTiBl?lBxrBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeX8IvhFZiB+mBziBl?lBCoB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jex9IvhFziBmlBUnB6?lBlmBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhFZiB+mBziBl?lBCoBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeRBJvhFziBllB3mBm?mBCoB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeT8IvhFxdB2nBllBc?rB3nB6qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jex9IvhFziBllB3mBU?nB6qBOrB
TLJZISO,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
TLJZIOS,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TLJZSIO,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLJZSOI,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJZOIS,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TLJZOSI,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJOISZ,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
TLJOIZS,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TLJOSIZ,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
TLJOSZI,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJOZIS,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TLJOZSI,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLSIJZO,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TLSIJOZ,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLSIZJO,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TLSIZOJ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLSIOJZ,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TLSIOZJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLSJIZO,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TLSJIOZ,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TLSJZIO,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
TLSJOZI,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSZIJO,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLSZIOJ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLSZJIO,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLSZJOI,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSZOJI,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TLSOIZJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLSOJIZ,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
TLSOJZI,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O
TLSOZJI,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O
TLZIJSO,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
TLZIJOS,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TLZISJO,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
TLZISOJ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZIOJS,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
TLZIOSJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
TLZJIOS,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TLZJSIO,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLZJSOI,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TLZJOIS,O,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X
TLZJOSI,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TLZSIJO,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLZSIOJ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZSJIO,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLZSJOI,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZSOJI,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZOIJS,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZOISJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,O,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
TLZOJSI,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZOSJI,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLOIJSZ,X,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TLOIJZS,O,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TLOISJZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
TLOISZJ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
TLOIZJS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOJISZ,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
TLOJIZS,O,O,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X
TLOJSIZ,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
TLOJSZI,X,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TLOJZIS,O,O,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X
TLOJZSI,O,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TLOSIJZ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TLOSIZJ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLOSJIZ,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X
TLOSJZI,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLOSZIJ,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O
TLOSZJI,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O
TLOZIJS,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLOZISJ,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOZJIS,O,O,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
TLOZJSI,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLOZSIJ,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLOZSJI,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TJILSOZ,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TJILZSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TJILZOS,O,X,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TJILOSZ,X,X,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X
TJILOZS,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X
TJISLZO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TJISLOZ,O,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TJISZLO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TJISZOL,O,X,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X
TJISOLZ,O,X,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TJISOZL,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
TJIZLSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TJIZLOS,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TJIZSLO,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TJIZSOL,X,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X
TJIZOLS,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X
TJIZOSL,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TJIOLSZ,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X
TJIOLZS,O,O,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X
TJIOSLZ,O,X,O,O,X,O,X,X,O,X,X,O,X,X,O,X,X
TJIOSZL,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
TJIOZLS,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X
TJIOZSL,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TJLISZO,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TJLISOZ,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TJLIZSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TJLIZOS,O,X,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TJLIOSZ,X,X,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X
TJLIOZS,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X
TJLSIZO,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TJLSIOZ,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TJLSZIO,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TJLSZOI,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X
TJLSOZI,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TJLZISO,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
TJLZIOS,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
TJLZSIO,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TJLZSOI,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLZOIS,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TJLZOSI,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLOISZ,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
TJLOIZS,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TJLOSIZ,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
TJLOSZI,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLOZIS,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TJLOZSI,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
