sequence,v115@4gD8GeC8FeD8FeD8DeG8JeT6IvhF/gBUcB5jBlkByq?B2uB,v115@4gD8GeC8FeD8FeD8DeG8JeT6IvhFegBUcB5jBfmBKp?BFqB,v115@4gD8GeC8FeD8FeD8DeG8Jei6IvhF3bB5jBckBOmBTl?B1uB,v115@4gD8GeC8FeD8FeD8DeG8JeK/IvhFfgB5jBFhBcqBml?BTpB,v115@4gD8GeC8FeD8FeD8DeG8Jei7IvhF5jBOkBFhBfqB0l?BTpB,v115@4gD8GeC8FeD8FeD8DeG8Jel6IvhFUcB5jB/kBTgByq?B2uB,v115@4gD8GeC8FeD8FeD8DeG8Je06IvhF5jB2kB3lBFmBTp?BiqB,v115@4gD8GeC8FeD8FeD8DeG8Je06IvhFlbB5jB2kBXhBTp?BiqB,v115@4gD8GeC8FeD8FeD8DeG8JeK/IvhFUcB5jBFgBzlBmp?B3pB,v115@4gD8GeC8FeD8FeD8DeG8JeU8IvhF5jBFgBzlBmpB/p?BipB,v115@4gD8GeC8FeD8FeD8DeG8Je5DJvhFTfB/lBFhBmlBip?B0pB,v115@4gD8GeC8FeD8FeD8DeG8JeU8IvhF5jBFgBzlBipB/p?BmpB,v115@4gD8GeC8FeD8FeD8DeG8JeK/IvhF5jBUgBFhBzlBmp?B3pB
TIZJOLS,X,X,O,O,X,X,X,X,X,X,X,X,X
TIZJOSL,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSLJO,X,O,O,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,X,O,O,X,O,X,X,X,X,X,O,X,X
TIZSJLO,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZSJOL,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,O,O,O,X,X,X,X,X,X,X,X
TIZSOJL,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZOLJS,X,X,O,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,O,O,O,X,X,X,X,X,X,O,X
TIZOJLS,X,X,O,O,X,X,X,X,X,X,X,X,X
TIZOJSL,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZOSLJ,X,X,O,O,O,X,X,X,X,X,X,X,X
TIZOSJL,X,X,O,X,O,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,O,X,X,X,O,X,X,X,X,X
TIOLJZS,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOLSJZ,X,X,X,O,X,X,X,O,X,X,X,O,X
TIOLSZJ,X,X,O,O,X,X,X,O,X,X,X,O,X
TIOLZJS,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,O,O,O,X,X,X,X,X,X,O,X
TIOJLSZ,X,X,O,O,X,X,X,O,X,X,X,X,X
TIOJLZS,X,X,O,X,X,X,X,O,X,X,X,X,O
TIOJSLZ,X,X,O,X,X,X,O,O,X,O,X,X,X
TIOJSZL,X,X,O,X,X,X,O,O,X,O,X,X,X
TIOJZLS,X,X,O,O,X,X,X,O,X,X,X,X,X
TIOJZSL,X,X,O,X,X,X,O,O,X,O,X,X,X
TIOSLJZ,X,X,X,O,X,X,X,O,X,X,O,X,X
TIOSLZJ,X,X,O,O,X,X,X,O,X,X,O,X,X
TIOSJLZ,X,X,X,X,X,X,O,O,X,X,X,X,X
TIOSJZL,X,X,O,X,X,X,O,O,X,X,X,X,X
TIOSZLJ,X,X,O,O,X,X,X,O,X,X,X,X,X
TIOSZJL,X,X,O,X,X,X,X,O,X,X,X,X,X
TIOZLJS,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,O,O,O,X,X,X,X,X,X,O,X
TIOZJLS,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOZSLJ,X,X,O,O,O,X,X,X,X,X,X,X,X
TIOZSJL,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIJSZO,O,O,O,X,X,O,X,O,X,X,X,X,O
TLIJSOZ,O,O,X,X,X,O,X,O,X,X,X,X,X
TLIJZSO,O,O,O,X,O,O,X,O,X,X,X,X,O
TLIJZOS,O,O,O,X,X,O,X,O,X,X,X,X,O
TLIJOSZ,O,O,O,X,X,O,X,X,X,X,X,X,X
TLIJOZS,O,O,O,X,X,O,X,X,X,X,X,X,O
TLISJZO,O,O,X,X,X,X,X,O,X,X,X,X,X
TLISJOZ,O,O,X,X,X,X,X,O,X,X,O,X,X
TLISZJO,O,O,X,X,O,X,X,O,X,X,X,X,X
TLISZOJ,O,O,X,X,O,X,X,O,X,X,O,X,X
TLISOJZ,O,O,X,X,X,X,X,O,X,X,O,X,X
TLISOZJ,O,O,X,X,X,X,X,O,X,X,O,X,X
TLIZJSO,O,O,O,X,O,O,X,X,X,X,X,X,X
TLIZJOS,X,O,O,X,X,O,X,X,X,X,X,X,X
TLIZSJO,O,O,O,X,O,X,X,X,X,X,X,X,X
TLIZSOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TLIZOJS,X,O,O,O,X,O,X,X,X,X,X,X,X
TLIZOSJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TLIOJSZ,O,O,X,O,X,O,X,O,X,X,X,X,X
TLIOJZS,X,O,X,X,X,O,X,O,X,X,X,X,X
TLIOSJZ,O,O,X,O,X,X,X,O,X,X,O,O,X
TLIOSZJ,O,O,O,O,X,X,X,O,X,X,O,O,X
TLIOZJS,X,O,O,O,X,O,X,X,X,X,X,X,X
TLIOZSJ,O,O,O,O,O,X,X,X,X,X,X,O,X
TLJISZO,O,O,O,X,X,O,X,O,X,X,X,X,O
TLJISOZ,O,O,X,X,X,O,X,O,X,X,X,X,X
TLJIZSO,O,O,O,X,O,O,X,O,X,X,X,X,O
TLJIZOS,O,O,O,X,X,O,X,O,X,X,X,X,O
TLJIOSZ,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJIOZS,O,O,O,X,X,O,X,X,X,X,X,X,O
TLJSIZO,O,O,O,X,X,O,X,O,X,X,X,X,O
TLJSIOZ,O,O,X,X,X,O,X,O,X,X,X,X,X
TLJSZIO,O,O,O,X,X,O,X,O,X,X,X,X,O
TLJSZOI,O,O,O,X,X,O,X,O,X,X,X,X,X
TLJSOIZ,O,O,X,X,X,O,X,O,X,X,X,X,X
TLJSOZI,O,O,X,X,X,O,X,O,X,X,X,X,X
TLJZISO,O,O,O,X,O,O,X,O,X,X,X,X,O
TLJZIOS,O,O,O,X,X,O,X,O,X,X,X,X,O
TLJZSIO,O,O,O,X,O,O,X,O,X,X,X,X,O
TLJZSOI,O,O,O,X,O,O,X,O,X,X,X,X,X
TLJZOIS,O,O,O,X,X,O,X,O,X,X,X,X,O
TLJZOSI,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJOISZ,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJOIZS,O,O,O,X,X,O,X,X,X,X,X,X,O
TLJOSIZ,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJOSZI,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJOZIS,O,O,O,X,X,O,X,X,X,X,X,X,O
TLJOZSI,O,O,O,X,X,O,X,X,X,X,X,X,X
TLSIJZO,O,O,X,X,X,X,X,O,X,X,X,X,X
TLSIJOZ,O,O,X,X,X,X,X,O,X,X,O,X,X
TLSIZJO,O,O,X,X,O,X,X,O,X,X,X,X,X
TLSIZOJ,O,O,X,X,O,X,X,O,X,X,O,X,X
TLSIOJZ,O,O,X,X,X,X,X,O,X,X,O,X,X
TLSIOZJ,O,O,X,X,X,X,X,O,X,X,O,X,X
TLSJIZO,O,O,X,X,X,X,X,O,X,X,X,X,X
TLSJIOZ,O,O,X,X,X,X,X,O,X,X,O,X,X
TLSJZIO,O,O,X,X,X,X,X,O,X,X,X,X,X
TLSJZOI,O,O,X,X,X,X,X,O,X,X,X,X,X
TLSJOIZ,O,O,X,X,X,X,X,O,X,X,O,X,X
TLSJOZI,O,O,X,X,X,X,X,O,X,X,X,X,X
TLSZIJO,O,O,X,X,O,X,X,O,X,X,X,X,X
TLSZIOJ,O,O,X,X,O,X,X,O,X,X,O,X,X
TLSZJIO,O,O,X,X,O,X,X,O,X,X,X,X,X
TLSZJOI,O,O,X,X,O,X,X,O,X,X,X,X,X
TLSZOIJ,O,O,X,X,O,X,X,O,X,X,O,X,X
TLSZOJI,O,O,X,X,O,X,X,O,X,X,X,X,X
TLSOIJZ,O,O,X,X,X,X,X,O,X,X,O,X,X
TLSOIZJ,O,O,X,X,X,X,X,O,X,X,O,X,X
TLSOJIZ,O,O,X,X,X,X,X,O,X,X,O,X,X
TLSOJZI,O,O,X,X,X,X,X,O,X,X,X,X,X
TLSOZIJ,O,O,X,X,X,X,X,O,X,X,O,X,X
TLSOZJI,O,O,X,X,X,X,X,O,X,X,X,X,X
TLZIJSO,O,O,O,X,O,O,X,X,X,X,X,X,X
TLZIJOS,X,O,O,X,X,O,X,X,X,X,X,X,X
TLZISJO,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZISOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZIOJS,X,O,O,O,X,O,X,X,X,X,X,X,X
TLZIOSJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TLZJISO,O,O,O,X,O,O,X,X,X,X,X,X,X
TLZJIOS,X,O,O,X,X,O,X,X,X,X,X,X,X
TLZJSIO,O,O,O,X,O,O,X,X,X,X,X,X,X
TLZJSOI,O,O,O,X,O,O,X,X,X,X,X,X,X
TLZJOIS,X,O,O,X,X,O,X,X,X,X,X,X,X
TLZJOSI,X,O,O,X,X,O,X,X,X,X,X,X,X
TLZSIJO,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZSIOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZSJIO,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZSJOI,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZSOIJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZSOJI,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZOIJS,X,O,O,O,X,O,X,X,X,X,X,X,X
TLZOISJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TLZOJIS,X,O,O,O,X,O,X,X,X,X,X,X,X
TLZOJSI,X,O,O,O,X,O,X,X,X,X,X,X,X
TLZOSIJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TLZOSJI,O,O,O,O,O,X,X,X,X,X,X,X,X
TLOIJSZ,O,O,X,O,X,O,X,O,X,X,X,X,X
TLOIJZS,X,O,X,X,X,O,X,O,X,X,X,X,X
TLOISJZ,O,O,X,O,X,X,X,O,X,X,O,O,X
TLOISZJ,O,O,O,O,X,X,X,O,X,X,O,O,X
TLOIZJS,X,O,O,O,X,O,X,X,X,X,X,X,X
TLOIZSJ,O,O,O,O,O,X,X,X,X,X,X,O,X
TLOJISZ,O,O,X,O,X,O,X,O,X,X,X,X,X
TLOJIZS,X,O,X,X,X,O,X,O,X,X,X,X,X
TLOJSIZ,O,O,X,O,X,O,X,O,X,X,X,X,X
TLOJSZI,O,O,X,X,X,O,X,O,X,X,X,X,X
TLOJZIS,X,O,X,X,X,O,X,O,X,X,X,X,X
TLOJZSI,X,O,X,X,X,O,X,O,X,X,X,X,X
TLOSIJZ,O,O,X,O,X,X,X,O,X,X,O,X,X
TLOSIZJ,O,O,O,O,X,X,X,O,X,X,O,X,X
TLOSJIZ,O,O,X,O,X,X,X,O,X,X,O,X,X
TLOSJZI,O,O,X,X,X,X,X,O,X,X,X,X,X
TLOSZIJ,O,O,O,O,X,X,X,O,X,X,O,X,X
TLOSZJI,O,O,O,X,X,X,X,O,X,X,X,X,X
TLOZIJS,X,O,O,O,X,O,X,X,X,X,X,X,X
TLOZISJ,O,O,O,O,O,X,X,X,X,X,X,O,X
TLOZJIS,X,O,O,O,X,O,X,X,X,X,X,X,X
TLOZJSI,X,O,O,O,X,O,X,X,X,X,X,X,X
TLOZSIJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TLOZSJI,O,O,O,O,O,X,X,X,X,X,X,X,X
TJILSZO,O,X,O,X,X,O,X,X,X,X,X,X,O
TJILSOZ,O,X,X,X,X,O,X,X,X,X,X,X,X
TJILZSO,O,X,O,X,O,O,X,X,X,X,X,X,O
TJILZOS,O,X,O,X,X,O,X,X,X,X,X,X,O
TJILOSZ,O,X,O,X,X,O,X,X,O,X,X,X,X
TJILOZS,O,X,O,X,X,O,X,X,O,X,X,X,O
TJISLZO,O,X,O,X,X,O,X,X,X,X,X,X,O
TJISLOZ,O,X,X,X,X,O,X,X,X,X,O,X,X
TJISZLO,O,X,O,X,X,O,X,X,X,X,X,X,X
TJISZOL,O,X,O,X,X,O,X,X,X,X,X,X,X
TJISOLZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TJISOZL,O,X,O,X,X,O,X,X,X,X,X,X,X
TJIZLSO,O,X,O,X,O,O,X,X,X,X,X,X,O
TJIZLOS,O,X,O,X,X,O,X,X,X,X,X,X,O
TJIZSLO,O,X,O,X,O,O,X,X,X,X,X,X,X
TJIZSOL,O,X,O,X,O,O,X,X,X,X,X,X,X
TJIZOLS,O,X,O,O,X,X,X,X,X,X,X,X,X
TJIZOSL,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TJIOLZS,O,X,O,X,X,X,X,X,X,X,X,X,O
TJIOSLZ,O,X,O,X,X,X,X,X,X,O,X,X,X
TJIOSZL,O,X,O,X,X,X,X,X,X,O,X,X,X
TJIOZLS,O,X,O,O,X,X,X,X,X,X,X,X,X
TJIOZSL,O,X,O,X,X,X,X,X,X,O,X,X,X
TJLISZO,O,X,O,X,X,O,X,X,X,X,X,X,O
TJLISOZ,O,X,X,X,X,O,X,X,X,X,X,X,X
TJLIZSO,O,X,O,X,O,O,X,X,X,X,X,X,O
TJLIZOS,O,X,O,X,X,O,X,X,X,X,X,X,O
TJLIOSZ,O,X,O,X,X,O,X,X,O,X,X,X,X
TJLIOZS,O,X,O,X,X,O,X,X,O,X,X,X,O
TJLSIZO,O,X,O,X,X,O,X,X,X,X,X,X,O
TJLSIOZ,O,X,X,X,X,O,X,X,X,X,X,X,X
TJLSZIO,O,X,O,X,X,O,X,X,X,X,X,X,O
TJLSZOI,O,X,O,X,X,O,X,X,X,X,X,X,X
TJLSOIZ,O,X,X,X,X,O,X,X,X,X,X,X,X
TJLSOZI,O,X,X,X,X,O,X,X,X,X,X,X,X
TJLZISO,O,X,O,X,O,O,X,X,X,X,X,X,O
TJLZIOS,O,X,O,X,X,O,X,X,X,X,X,X,O
TJLZSIO,O,X,O,X,O,O,X,X,X,X,X,X,O
TJLZSOI,O,X,O,X,O,O,X,X,X,X,X,X,X
TJLZOIS,O,X,O,X,X,O,X,X,X,X,X,X,O
TJLZOSI,O,X,O,X,X,O,X,X,X,X,X,X,X
TJLOISZ,O,X,O,X,X,O,X,X,O,X,X,X,X
TJLOIZS,O,X,O,X,X,O,X,X,O,X,X,X,O
TJLOSIZ,O,X,O,X,X,O,X,X,O,X,X,X,X
TJLOSZI,O,X,O,X,X,O,X,X,O,X,X,X,X
TJLOZIS,O,X,O,X,X,O,X,X,O,X,X,X,O
TJLOZSI,O,X,O,X,X,O,X,X,O,X,X,X,X
TJSILZO,O,X,O,X,X,O,X,X,X,X,X,X,O
TJSILOZ,O,X,X,X,X,O,X,X,X,X,O,X,X
TJSIZLO,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSIZOL,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSIOLZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSIOZL,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSLIZO,O,X,O,X,X,O,X,X,X,X,X,X,O
TJSLIOZ,O,X,X,X,X,O,X,X,X,X,O,X,X
TJSLZIO,O,X,O,X,X,O,X,X,X,X,X,X,O
TJSLZOI,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSLOIZ,O,X,X,X,X,O,X,X,X,X,O,X,X
TJSLOZI,O,X,X,X,X,O,X,X,X,X,X,X,X
TJSZILO,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSZIOL,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSZLIO,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSZLOI,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSZOIL,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSZOLI,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSOILZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSOIZL,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSOLIZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSOLZI,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSOZIL,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSOZLI,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZILSO,O,X,O,X,O,O,X,X,X,X,X,X,O
TJZILOS,O,X,O,X,X,O,X,X,X,X,X,X,O
TJZISLO,O,X,O,X,O,O,X,X,X,X,X,X,X
TJZISOL,O,X,O,X,O,O,X,X,X,X,X,X,X
TJZIOLS,O,X,O,O,X,X,X,X,X,X,X,X,X
TJZIOSL,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZLISO,O,X,O,X,O,O,X,X,X,X,X,X,O
TJZLIOS,O,X,O,X,X,O,X,X,X,X,X,X,O
TJZLSIO,O,X,O,X,O,O,X,X,X,X,X,X,O
TJZLSOI,O,X,O,X,O,O,X,X,X,X,X,X,X
TJZLOIS,O,X,O,X,X,O,X,X,X,X,X,X,O
TJZLOSI,O,X,O,X,X,O,X,X,X,X,X,X,X
TJZSILO,O,X,O,X,O,O,X,X,X,X,X,X,X
TJZSIOL,O,X,O,X,O,O,X,X,X,X,X,X,X
TJZSLIO,O,X,O,X,O,O,X,X,X,X,X,X,X
TJZSLOI,O,X,O,X,O,O,X,X,X,X,X,X,X
TJZSOIL,O,X,O,X,O,O,X,X,X,X,X,X,X
TJZSOLI,O,X,O,X,O,X,X,X,X,X,X,X,X
TJZOILS,O,X,O,O,X,X,X,X,X,X,X,X,X
TJZOISL,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZOLIS,O,X,O,O,X,X,X,X,X,X,X,X,X
TJZOLSI,O,X,O,O,X,X,X,X,X,X,X,X,X
TJZOSIL,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZOSLI,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOILSZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TJOILZS,O,X,O,X,X,X,X,X,X,X,X,X,O
TJOISLZ,O,X,O,X,X,X,X,X,X,O,X,X,X
TJOISZL,O,X,O,X,X,X,X,X,X,O,X,X,X
TJOIZLS,O,X,O,O,X,X,X,X,X,X,X,X,X
TJOIZSL,O,X,O,X,X,X,X,X,X,O,X,X,X
TJOLISZ,O,X,O,O,X,X,X,X,O,X,X,X,X
TJOLIZS,O,X,O,X,X,X,X,X,O,X,X,X,O
TJOLSIZ,O,X,O,O,X,X,X,X,O,X,X,X,X
TJOLSZI,O,X,O,X,X,X,X,X,O,X,X,X,X
TJOLZIS,O,X,O,X,X,X,X,X,O,X,X,X,O
TJOLZSI,O,X,O,X,X,X,X,X,O,X,X,X,X
TJOSILZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOSIZL,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOSLIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOSLZI,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOSZIL,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOSZLI,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOZILS,O,X,O,O,X,X,X,X,X,X,X,X,X
TJOZISL,O,X,O,X,X,X,X,X,X,O,X,X,X
TJOZLIS,O,X,O,O,X,X,X,X,O,X,X,X,X
TJOZLSI,O,X,O,O,X,X,X,X,O,X,X,X,X
TJOZSIL,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOZSLI,O,X,O,X,X,X,X,X,X,X,X,X,X
TSILJZO,X,O,X,X,X,X,X,O,X,X,X,X,X
TSILJOZ,X,O,X,X,X,X,X,O,X,X,O,X,X
TSILZJO,X,O,X,X,O,X,X,O,X,X,X,X,X
TSILZOJ,X,O,X,X,O,X,X,O,X,X,O,X,X
TSILOJZ,X,O,X,X,X,X,X,O,X,X,O,X,X
TSILOZJ,X,O,X,X,X,X,X,O,X,X,O,X,X
TSIJLZO,X,X,O,X,X,X,X,O,X,X,X,X,O
TSIJLOZ,X,X,X,X,X,X,X,O,X,X,O,X,X
TSIJZLO,X,X,O,X,O,X,X,X,X,X,X,X,X
TSIJZOL,X,X,O,X,O,X,X,X,X,X,X,X,X
TSIJOLZ,X,X,O,X,X,X,X,O,X,X,X,X,X
TSIJOZL,X,X,O,X,X,X,X,O,X,X,X,X,X
