sequence,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhFxbBXeBupBF?mB0qBiqB,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhFxbBXeBFmBC?qBUqBmqB,v115@5gB8GeB8BeB8EeE8DeF8DeE8Jex7IvhFXeBlfBUhBO?qB6pBzqB,v115@5gB8GeB8BeB8EeE8DeF8DeE8Jex6IvhFXeB0fBFmBC?qBOrBTqB,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhFxbBXeBVmBu?pBiqB0qB,v115@5gB8GeB8BeB8EeE8DeF8DeE8Je07IvhFXeBlfBxlB6?pBOrBTqB,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhFCcBXeB8kBV?mB2qBRvB,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhFxbBXeBVmBq?pB2qB0qB,v115@5gB8GeB8BeB8EeE8DeF8DeE8Jei6IvhF1gBXeB5kBT?hB0lB2vB,v115@5gB8GeB8BeB8EeE8DeF8DeE8Jei6IvhFcgBXeB5kBF?mBTqBOrB,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhFegBXeBUhBS?qBFmBRvB,v115@5gB8GeB8BeB8EeE8DeF8DeE8JeT6IvhF2gBXeBqpBx?lBFmB0qB
TIJLZSO,X,X,X,X,O,X,O,X,O,X,X,X
TIJLZOS,X,X,X,X,O,X,O,X,O,X,X,X
TIJLOSZ,O,O,X,X,O,X,X,O,X,X,X,O
TIJLOZS,X,X,X,X,O,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,O,X,O,X,O,X,X,X
TIJSLOZ,O,O,X,X,O,X,X,O,X,X,X,O
TIJSZLO,O,X,O,X,X,O,O,X,O,X,X,X
TIJSZOL,O,X,O,X,O,O,O,X,O,X,X,X
TIJSOLZ,O,X,X,X,O,X,X,X,X,X,X,X
TIJSOZL,O,X,X,X,O,O,O,X,X,X,X,X
TIJZLSO,O,X,O,X,X,X,O,X,O,X,X,X
TIJZLOS,O,X,X,X,X,X,O,X,O,X,X,X
TIJZSLO,O,X,O,X,X,O,O,X,O,X,X,X
TIJZSOL,O,X,O,X,O,O,O,X,O,X,X,X
TIJZOLS,O,X,X,X,X,X,O,X,O,X,X,X
TIJZOSL,O,X,O,X,O,X,O,X,O,X,X,X
TIJOLSZ,O,X,X,X,O,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,O,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,O,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,O,O,O,X,X,X,X,X
TIJOZLS,O,X,X,X,X,X,O,X,X,X,X,X
TIJOZSL,O,X,X,X,O,O,O,X,X,X,X,X
TISLJZO,X,X,X,X,O,X,O,O,O,X,O,X
TISLJOZ,O,O,X,X,O,X,X,O,X,X,O,X
TISLZJO,X,O,X,O,X,O,O,X,X,X,O,O
TISLZOJ,X,O,X,O,X,O,O,O,X,X,O,O
TISLOJZ,O,O,X,X,O,X,X,O,X,X,O,X
TISLOZJ,X,O,X,X,X,O,O,O,X,X,O,O
TISJLZO,X,X,X,X,O,X,O,X,O,X,X,X
TISJLOZ,O,O,X,X,O,X,X,O,X,X,X,O
TISJZLO,O,X,O,X,X,O,O,X,O,X,X,X
TISJZOL,O,X,O,X,O,O,O,X,O,X,X,X
TISJOLZ,O,X,X,X,O,X,X,X,X,X,X,X
TISJOZL,O,X,X,X,O,O,O,X,X,X,X,X
TISZLJO,X,X,X,O,X,O,O,X,X,X,O,X
TISZLOJ,X,O,X,O,X,O,O,O,X,X,O,X
TISZJLO,O,X,O,X,X,O,O,X,X,X,X,X
TISZJOL,O,X,O,X,O,O,O,X,X,X,X,X
TISZOLJ,X,X,X,X,X,O,O,X,X,X,X,X
TISZOJL,O,X,O,X,O,O,O,X,X,X,X,X
TISOLJZ,O,O,X,X,O,X,X,O,X,X,O,X
TISOLZJ,X,O,X,X,X,O,O,O,X,O,O,X
TISOJLZ,O,X,X,X,O,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,O,O,O,X,X,O,X,X
TISOZLJ,X,X,X,X,X,O,O,X,X,O,X,X
TISOZJL,O,X,O,X,O,O,O,X,X,O,X,X
TIZLJSO,X,X,X,O,X,X,O,X,X,X,O,X
TIZLJOS,X,X,X,O,X,X,O,X,X,X,O,X
TIZLSJO,X,X,X,O,X,O,O,X,X,X,O,X
TIZLSOJ,X,O,X,O,X,O,O,O,X,X,O,X
TIZLOJS,X,X,X,O,X,X,O,X,X,X,O,X
TIZLOSJ,X,O,X,O,X,X,O,O,X,X,O,X
TIZJLSO,O,X,O,X,X,X,O,X,X,X,X,X
TIZJLOS,O,X,X,X,X,X,O,X,X,X,X,X
TIZJSLO,O,X,O,X,X,O,O,X,X,X,X,X
TIZJSOL,O,X,O,X,O,O,O,X,X,X,X,X
TIZJOLS,O,X,X,X,X,X,O,X,X,X,X,X
TIZJOSL,O,X,O,X,O,X,O,X,X,X,X,X
TIZSLJO,X,X,X,O,X,O,O,X,X,X,O,X
TIZSLOJ,X,O,X,O,X,O,O,O,X,X,O,X
TIZSJLO,O,X,O,X,X,O,O,X,X,X,X,X
TIZSJOL,O,X,O,X,O,O,O,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,O,O,X,X,X,X,X
TIZSOJL,O,X,O,X,O,O,O,X,X,X,X,X
TIZOLJS,X,X,X,X,X,X,O,X,X,X,X,X
TIZOLSJ,X,X,X,X,X,O,O,X,X,X,X,X
TIZOJLS,X,X,X,X,X,X,O,X,X,X,X,X
TIZOJSL,X,X,X,X,X,O,O,X,X,X,X,X
TIZOSLJ,X,X,X,X,X,O,O,X,X,X,X,X
TIZOSJL,O,X,X,X,O,O,O,X,X,X,X,X
TIOLJSZ,X,O,X,X,X,X,X,O,X,X,O,X
TIOLJZS,X,X,X,X,X,X,X,X,X,X,O,X
TIOLSJZ,O,O,X,X,O,X,X,O,X,X,O,X
TIOLSZJ,X,O,X,X,X,O,O,O,X,O,O,X
TIOLZJS,X,X,X,X,X,X,O,X,X,O,O,X
TIOLZSJ,X,O,X,X,X,O,O,O,X,O,O,X
TIOJLSZ,O,X,X,X,O,X,X,X,X,X,X,X
TIOJLZS,X,X,X,X,O,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,O,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,O,O,O,X,X,O,X,X
TIOJZLS,O,X,X,X,X,X,O,X,X,O,X,X
TIOJZSL,O,X,X,X,O,O,O,X,X,O,X,X
TIOSLJZ,O,O,X,X,O,X,X,O,X,X,O,X
TIOSLZJ,X,O,X,X,X,O,O,O,X,O,O,X
TIOSJLZ,O,X,X,X,O,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,O,O,O,X,X,O,X,X
TIOSZLJ,X,X,X,X,X,O,O,X,X,O,X,X
TIOSZJL,O,X,O,X,O,O,O,X,X,O,X,X
TIOZLJS,X,X,X,X,X,X,O,X,X,O,X,X
TIOZLSJ,X,X,X,X,X,O,O,X,X,O,X,X
TIOZJLS,X,X,X,X,X,X,O,X,X,O,X,X
TIOZJSL,X,X,X,X,X,O,O,X,X,O,X,X
TIOZSLJ,X,X,X,X,X,O,O,X,X,O,X,X
TIOZSJL,O,X,O,X,O,O,O,X,X,O,X,X
TLIJSZO,X,X,X,X,O,X,O,O,O,X,X,X
TLIJSOZ,O,O,X,X,O,X,X,O,X,X,X,X
TLIJZSO,X,X,X,X,O,X,O,O,O,X,X,X
TLIJZOS,X,X,X,X,O,X,O,O,O,X,X,X
TLIJOSZ,O,O,X,X,O,X,X,O,X,X,X,X
TLIJOZS,X,X,X,X,O,X,X,O,X,X,X,X
TLISJZO,X,X,X,X,O,X,O,O,O,X,X,X
TLISJOZ,O,O,X,X,O,X,X,O,X,X,X,X
TLISZJO,X,O,X,O,X,O,O,X,X,X,X,O
TLISZOJ,X,O,X,O,X,O,O,O,X,X,X,O
TLISOJZ,O,O,X,X,O,X,X,O,X,X,X,X
TLISOZJ,X,O,X,X,X,O,O,O,X,X,X,O
TLIZJSO,X,O,X,O,X,X,O,X,X,X,X,O
TLIZJOS,X,O,X,O,X,X,O,X,X,X,X,O
TLIZSJO,X,O,X,O,X,O,O,X,X,X,X,O
TLIZSOJ,X,O,X,O,X,O,O,O,X,X,X,O
TLIZOJS,X,O,X,O,X,X,O,X,X,X,X,O
TLIZOSJ,X,O,X,O,X,X,O,O,X,X,X,O
TLIOJSZ,X,O,X,X,X,X,X,O,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,O,X,X,X,X
TLIOSJZ,O,O,X,X,O,X,X,O,X,X,X,X
TLIOSZJ,X,O,X,X,X,O,O,O,X,X,X,O
TLIOZJS,X,O,X,X,X,X,O,X,X,X,X,O
TLIOZSJ,X,O,X,X,X,O,O,O,X,X,X,O
TLJISZO,X,X,X,X,O,X,O,O,O,X,X,X
TLJISOZ,O,O,X,X,O,X,X,O,X,X,X,X
TLJIZSO,X,X,X,X,O,X,O,O,O,X,X,X
TLJIZOS,X,X,X,X,O,X,O,O,O,X,X,X
TLJIOSZ,O,O,X,X,O,X,X,O,X,X,X,X
TLJIOZS,X,X,X,X,O,X,X,O,X,X,X,X
TLJSIZO,X,X,X,X,O,X,O,O,O,X,X,X
TLJSIOZ,O,O,X,X,O,X,X,O,X,X,X,X
TLJSZIO,O,O,O,O,O,X,X,O,O,X,X,X
TLJSZOI,O,O,O,O,O,X,X,O,X,X,X,X
TLJSOIZ,O,O,X,X,O,X,X,O,X,X,X,X
TLJSOZI,O,O,X,X,O,X,X,O,X,X,X,X
TLJZISO,O,O,O,O,O,X,X,O,O,X,X,X
TLJZIOS,O,O,X,O,O,X,X,O,O,X,X,X
TLJZSIO,O,O,O,O,O,X,X,O,O,X,X,X
TLJZSOI,O,O,O,O,O,X,X,O,X,X,X,X
TLJZOIS,O,O,X,O,O,X,X,O,X,X,X,X
TLJZOSI,O,O,X,O,O,X,X,O,X,X,X,X
TLJOISZ,O,O,X,X,O,X,X,O,X,X,X,X
TLJOIZS,X,X,X,X,O,X,X,O,X,X,X,X
TLJOSIZ,O,O,X,X,O,X,X,O,X,X,X,X
TLJOSZI,O,O,X,X,O,X,X,O,X,X,X,X
TLJOZIS,O,O,X,X,O,X,X,O,X,X,X,X
TLJOZSI,O,O,X,X,O,X,X,O,X,X,X,X
TLSIJZO,X,X,X,X,O,X,O,O,O,X,X,X
TLSIJOZ,O,O,X,X,O,X,X,O,X,X,X,X
TLSIZJO,X,O,X,O,X,O,O,X,X,X,X,O
TLSIZOJ,X,O,X,O,X,O,O,O,X,X,X,O
TLSIOJZ,O,O,X,X,O,X,X,O,X,X,X,X
TLSIOZJ,X,O,X,X,X,O,O,O,X,X,X,O
TLSJIZO,X,X,X,X,O,X,O,O,O,X,X,X
TLSJIOZ,O,O,X,X,O,X,X,O,X,X,X,X
TLSJZIO,O,O,O,O,O,X,X,O,O,X,X,X
TLSJZOI,O,O,O,O,O,X,X,O,X,X,X,X
TLSJOIZ,O,O,X,X,O,X,X,O,X,X,X,X
TLSJOZI,O,O,X,X,O,X,X,O,X,X,X,X
TLSZIJO,X,O,X,O,X,O,O,X,X,X,X,O
TLSZIOJ,X,O,X,O,X,O,O,O,X,X,X,O
TLSZJIO,O,O,O,O,O,X,X,O,X,X,X,X
TLSZJOI,O,O,O,O,O,X,X,O,X,X,X,X
TLSZOIJ,X,O,X,O,X,X,X,O,X,X,X,O
TLSZOJI,X,O,O,O,X,X,X,O,X,X,X,X
TLSOIJZ,O,O,X,X,O,X,X,O,X,X,X,X
TLSOIZJ,X,O,X,X,X,O,O,O,X,O,X,O
TLSOJIZ,O,O,X,X,O,X,X,O,X,X,X,X
TLSOJZI,O,O,X,X,O,X,X,O,X,X,X,X
TLSOZIJ,X,O,X,O,X,O,X,O,X,O,X,O
TLSOZJI,X,O,O,O,X,X,X,O,X,X,X,X
TLZIJSO,X,O,X,O,X,X,O,X,X,X,X,O
TLZIJOS,X,O,X,O,X,X,O,X,X,X,X,O
TLZISJO,X,O,X,O,X,X,O,X,X,X,X,O
TLZISOJ,X,O,X,O,X,X,O,O,X,X,X,O
TLZIOJS,X,O,X,O,X,X,O,X,X,X,X,O
TLZIOSJ,X,O,X,O,X,X,O,O,X,X,X,O
TLZJISO,O,O,X,O,O,X,X,O,X,X,X,X
TLZJIOS,O,O,X,O,O,X,X,O,X,X,X,X
TLZJSIO,O,O,X,O,O,X,X,O,X,X,X,X
TLZJSOI,O,O,X,O,O,X,X,O,X,X,X,X
TLZJOIS,O,O,X,O,O,X,X,O,X,X,X,X
TLZJOSI,O,O,X,O,O,X,X,O,X,X,X,X
TLZSIJO,X,O,X,O,X,O,O,X,X,X,X,O
TLZSIOJ,X,O,X,O,X,O,O,O,X,X,X,O
TLZSJIO,O,O,O,O,O,X,X,O,X,X,X,X
TLZSJOI,O,O,O,O,O,X,X,O,X,X,X,X
TLZSOIJ,X,O,X,O,X,X,X,O,X,X,X,O
TLZSOJI,X,O,O,O,X,X,X,O,X,X,X,X
TLZOIJS,X,O,X,O,X,X,X,X,X,X,X,O
TLZOISJ,X,O,X,O,X,X,X,O,X,X,X,O
TLZOJIS,X,O,X,O,X,X,X,O,X,X,X,X
TLZOJSI,X,O,X,O,X,X,X,O,X,X,X,X
TLZOSIJ,X,O,X,O,X,X,X,O,X,X,X,O
TLZOSJI,X,O,X,O,X,X,X,O,X,X,X,X
TLOIJSZ,X,O,X,X,X,X,X,O,X,X,X,X
TLOIJZS,X,X,X,X,X,X,X,O,X,X,X,X
TLOISJZ,O,O,X,X,O,X,X,O,X,X,X,X
TLOISZJ,X,O,X,X,X,O,O,O,X,O,X,O
TLOIZJS,X,O,X,X,X,X,O,X,X,O,X,O
TLOIZSJ,X,O,X,X,X,O,O,O,X,O,X,O
TLOJISZ,O,O,X,X,O,X,X,O,X,X,X,X
TLOJIZS,X,X,X,X,O,X,X,O,X,X,X,X
TLOJSIZ,O,O,X,X,O,X,X,O,X,X,X,X
TLOJSZI,O,O,X,X,O,X,X,O,X,X,X,X
TLOJZIS,O,O,X,X,O,X,X,O,X,X,X,X
TLOJZSI,O,O,X,X,O,X,X,O,X,X,X,X
TLOSIJZ,O,O,X,X,O,X,X,O,X,X,X,X
TLOSIZJ,X,O,X,X,X,O,O,O,X,O,X,O
TLOSJIZ,O,O,X,X,O,X,X,O,X,X,X,X
TLOSJZI,O,O,X,X,O,X,X,O,X,X,X,X
TLOSZIJ,X,O,X,O,X,O,X,O,X,O,X,O
TLOSZJI,X,O,O,O,X,X,X,O,X,X,X,X
TLOZIJS,X,O,X,O,X,X,X,X,X,O,X,O
TLOZISJ,X,O,X,O,X,X,X,O,X,O,X,O
TLOZJIS,X,O,X,O,X,X,X,O,X,X,X,X
TLOZJSI,X,O,X,O,X,X,X,O,X,X,X,X
TLOZSIJ,X,O,X,O,X,O,X,O,X,O,X,O
TLOZSJI,X,O,O,O,X,X,X,O,X,X,X,X
TJILSZO,X,X,X,X,O,X,O,X,O,X,X,X
TJILSOZ,O,O,X,X,O,X,X,O,X,X,X,X
TJILZSO,X,X,X,X,O,X,O,X,O,X,X,X
TJILZOS,X,X,X,X,O,X,O,X,O,X,X,X
TJILOSZ,O,O,X,X,O,X,X,O,X,X,X,X
TJILOZS,X,X,X,X,O,X,X,X,X,X,X,X
TJISLZO,X,X,X,X,O,X,O,X,O,X,X,X
TJISLOZ,O,O,X,X,O,X,X,O,X,X,X,X
TJISZLO,O,X,O,X,X,O,O,X,O,X,X,X
TJISZOL,O,X,O,X,O,O,O,X,O,X,X,X
TJISOLZ,O,X,X,X,O,X,X,X,X,X,X,X
TJISOZL,O,X,X,X,O,O,O,X,X,X,X,X
TJIZLSO,O,X,O,X,X,X,O,X,O,X,X,X
TJIZLOS,O,X,X,X,X,X,O,X,O,X,X,X
TJIZSLO,O,X,O,X,X,O,O,X,O,X,X,X
TJIZSOL,O,X,O,X,O,O,O,X,O,X,X,X
TJIZOLS,O,X,X,X,X,X,O,X,O,X,X,X
TJIZOSL,O,X,O,X,O,X,O,X,O,X,X,X
TJIOLSZ,O,X,X,X,O,X,X,X,X,X,X,X
TJIOLZS,X,X,X,X,O,X,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,O,X,X,X,X,X,X,X
TJIOSZL,O,X,X,X,O,O,O,X,X,X,X,X
TJIOZLS,O,X,X,X,X,X,O,X,X,X,X,X
TJIOZSL,O,X,X,X,O,O,O,X,X,X,X,X
TJLISZO,X,X,X,X,O,X,O,O,O,X,X,X
TJLISOZ,O,O,X,X,O,X,X,O,X,X,X,X
TJLIZSO,X,X,X,X,O,X,O,O,O,X,X,X
TJLIZOS,X,X,X,X,O,X,O,O,O,X,X,X
TJLIOSZ,O,O,X,X,O,X,X,O,X,X,X,X
TJLIOZS,X,X,X,X,O,X,X,O,X,X,X,X
TJLSIZO,X,X,X,X,O,X,O,O,O,X,X,X
TJLSIOZ,O,O,X,X,O,X,X,O,X,X,X,X
TJLSZIO,O,O,O,O,O,X,X,O,O,X,X,X
TJLSZOI,O,O,O,O,O,X,X,O,X,X,X,X
TJLSOIZ,O,O,X,X,O,X,X,O,X,X,X,X
TJLSOZI,O,O,X,X,O,X,X,O,X,X,X,X
TJLZISO,O,O,O,O,O,X,X,O,O,X,X,X
TJLZIOS,O,O,X,O,O,X,X,O,O,X,X,X
TJLZSIO,O,O,O,O,O,X,X,O,O,X,X,X
TJLZSOI,O,O,O,O,O,X,X,O,X,X,X,X
TJLZOIS,O,O,X,O,O,X,X,O,X,X,X,X
TJLZOSI,O,O,X,O,O,X,X,O,X,X,X,X
TJLOISZ,O,O,X,X,O,X,X,O,X,X,X,X
TJLOIZS,X,X,X,X,O,X,X,O,X,X,X,X
TJLOSIZ,O,O,X,X,O,X,X,O,X,X,X,X
TJLOSZI,O,O,X,X,O,X,X,O,X,X,X,X
TJLOZIS,O,O,X,X,O,X,X,O,X,X,X,X
TJLOZSI,O,O,X,X,O,X,X,O,X,X,X,X
TJSILZO,X,X,X,X,O,X,O,X,O,X,X,X
TJSILOZ,O,O,X,X,O,X,X,O,X,X,X,X
TJSIZLO,O,X,O,X,X,O,O,X,O,X,X,X
TJSIZOL,O,X,O,X,O,O,O,X,O,X,X,X
TJSIOLZ,O,X,X,X,O,X,X,X,X,X,X,X
TJSIOZL,O,X,X,X,O,O,O,X,X,X,X,X
TJSLIZO,X,X,X,X,O,X,O,O,O,X,X,X
TJSLIOZ,O,O,X,X,O,X,X,O,X,X,X,X
TJSLZIO,O,O,O,O,O,X,X,O,O,X,X,X
TJSLZOI,O,O,O,O,O,X,X,O,X,X,X,X
TJSLOIZ,O,O,X,X,O,X,X,O,X,X,X,X
TJSLOZI,O,O,X,X,O,X,X,O,X,X,X,X
TJSZILO,O,X,O,X,X,O,X,X,O,X,X,X
TJSZIOL,O,X,O,X,O,O,X,X,O,X,X,X
TJSZLIO,O,X,O,O,O,X,X,X,O,X,X,X
TJSZLOI,O,X,O,O,O,X,X,X,X,X,X,X
TJSZOIL,O,X,O,X,O,X,X,X,O,X,X,X
TJSZOLI,O,X,O,X,O,X,X,X,X,X,X,X
TJSOILZ,O,X,X,X,O,X,X,X,X,X,X,X
TJSOIZL,O,X,X,X,O,O,O,X,X,O,X,X
TJSOLIZ,O,X,X,X,O,X,X,X,X,X,X,X
TJSOLZI,O,X,X,X,O,X,X,X,X,X,X,X
TJSOZIL,O,X,O,X,O,O,X,X,X,O,X,X
TJSOZLI,O,X,O,X,O,X,X,X,X,X,X,X
TJZILSO,O,X,O,X,X,X,X,X,O,X,X,X
TJZILOS,O,X,X,X,X,X,X,X,O,X,X,X
TJZISLO,O,X,O,X,X,X,X,X,O,X,X,X
TJZISOL,O,X,O,X,O,X,X,X,O,X,X,X
TJZIOLS,O,X,X,X,X,X,X,X,O,X,X,X
TJZIOSL,O,X,O,X,O,X,X,X,O,X,X,X
TJZLISO,O,X,O,O,O,X,X,X,O,X,X,X
TJZLIOS,O,X,X,O,O,X,X,X,O,X,X,X
TJZLSIO,O,X,O,O,O,X,X,X,O,X,X,X
TJZLSOI,O,X,O,O,O,X,X,X,X,X,X,X
TJZLOIS,O,X,X,O,O,X,X,X,X,X,X,X
TJZLOSI,O,X,X,O,O,X,X,X,X,X,X,X
TJZSILO,O,X,O,X,X,O,X,X,O,X,X,X
TJZSIOL,O,X,O,X,O,O,X,X,O,X,X,X
TJZSLIO,O,X,O,O,O,X,X,X,O,X,X,X
TJZSLOI,O,X,O,O,O,X,X,X,X,X,X,X
TJZSOIL,O,X,O,X,O,X,X,X,O,X,X,X
TJZSOLI,O,X,O,X,O,X,X,X,X,X,X,X
TJZOILS,O,X,X,X,X,X,X,X,O,X,X,X
TJZOISL,O,X,O,X,O,X,X,X,O,X,X,X
TJZOLIS,O,X,X,X,O,X,X,X,X,X,X,X
TJZOLSI,O,X,X,X,O,X,X,X,X,X,X,X
TJZOSIL,O,X,O,X,O,X,X,X,O,X,X,X
TJZOSLI,O,X,O,X,O,X,X,X,X,X,X,X
TJOILSZ,O,X,X,X,O,X,X,X,X,X,X,X
TJOILZS,X,X,X,X,O,X,X,X,X,X,X,X
TJOISLZ,O,X,X,X,O,X,X,X,X,X,X,X
TJOISZL,O,X,X,X,O,O,O,X,X,O,X,X
TJOIZLS,O,X,X,X,X,X,O,X,X,O,X,X
TJOIZSL,O,X,X,X,O,O,O,X,X,O,X,X
TJOLISZ,O,X,X,X,O,X,X,X,X,X,X,X
TJOLIZS,X,X,X,X,O,X,X,X,X,X,X,X
TJOLSIZ,O,X,X,X,O,X,X,X,X,X,X,X
TJOLSZI,O,X,X,X,O,X,X,X,X,X,X,X
TJOLZIS,O,X,X,X,O,X,X,X,X,X,X,X
TJOLZSI,O,X,X,X,O,X,X,X,X,X,X,X
TJOSILZ,O,X,X,X,O,X,X,X,X,X,X,X
TJOSIZL,O,X,X,X,O,O,O,X,X,O,X,X
TJOSLIZ,O,X,X,X,O,X,X,X,X,X,X,X
TJOSLZI,O,X,X,X,O,X,X,X,X,X,X,X
TJOSZIL,O,X,O,X,O,O,X,X,X,O,X,X
TJOSZLI,O,X,O,X,O,X,X,X,X,X,X,X
TJOZILS,O,X,X,X,X,X,X,X,X,O,X,X
TJOZISL,O,X,O,X,O,X,X,X,X,O,X,X
TJOZLIS,O,X,X,X,O,X,X,X,X,X,X,X
TJOZLSI,O,X,X,X,O,X,X,X,X,X,X,X
TJOZSIL,O,X,O,X,O,O,X,X,X,O,X,X
TJOZSLI,O,X,O,X,O,X,X,X,X,X,X,X
TSILJZO,X,X,X,X,O,X,O,O,O,X,O,X
TSILJOZ,O,O,X,X,O,X,X,O,X,X,O,X
TSILZJO,X,O,X,O,X,O,O,X,X,X,O,O
TSILZOJ,X,O,X,O,X,O,O,O,X,X,O,O
TSILOJZ,O,O,X,X,O,X,X,O,X,X,O,X
TSILOZJ,X,O,X,X,X,O,O,O,X,X,O,O
TSIJLZO,X,X,X,X,O,X,O,X,O,X,X,X
TSIJLOZ,O,O,X,X,O,X,X,O,X,X,X,O
TSIJZLO,O,X,O,X,X,O,O,X,O,X,X,X
TSIJZOL,O,X,O,X,O,O,O,X,O,X,X,X
TSIJOLZ,O,X,X,X,O,X,X,X,X,X,X,X
TSIJOZL,O,X,X,X,O,O,O,X,X,X,X,X
TSIZLJO,X,X,X,O,X,O,O,X,X,X,O,X
TSIZLOJ,X,O,X,O,X,O,O,O,X,X,O,X
TSIZJLO,O,X,O,X,X,O,O,X,X,X,X,X
TSIZJOL,O,X,O,X,O,O,O,X,X,X,X,X
TSIZOLJ,X,X,X,X,X,O,O,X,X,X,X,X
TSIZOJL,O,X,O,X,O,O,O,X,X,X,X,X
TSIOLJZ,O,O,X,X,O,X,X,O,X,X,O,X
TSIOLZJ,X,O,X,X,X,O,O,O,X,O,O,X
TSIOJLZ,O,X,X,X,O,X,X,X,X,X,X,X
TSIOJZL,O,X,X,X,O,O,O,X,X,O,X,X
TSIOZLJ,X,X,X,X,X,O,O,X,X,O,X,X
TSIOZJL,O,X,O,X,O,O,O,X,X,O,X,X
TSLIJZO,X,X,X,X,O,X,O,O,O,X,X,X
TSLIJOZ,O,O,X,X,O,X,X,O,X,X,X,X
TSLIZJO,X,O,X,O,X,O,O,X,X,X,X,O
TSLIZOJ,X,O,X,O,X,O,O,O,X,X,X,O
TSLIOJZ,O,O,X,X,O,X,X,O,X,X,X,X
TSLIOZJ,X,O,X,X,X,O,O,O,X,X,X,O
TSLJIZO,X,X,X,X,O,X,O,O,O,X,X,X
TSLJIOZ,O,O,X,X,O,X,X,O,X,X,X,X
TSLJZIO,O,O,O,O,O,X,X,O,O,X,X,X
TSLJZOI,O,O,O,O,O,X,X,O,X,X,X,X
TSLJOIZ,O,O,X,X,O,X,X,O,X,X,X,X
