sequence,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeaAJvhFFcBxdBfmBG?nBToBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeU7IvhFRcBfjB6jBl?hBmlBTsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFFdBXeBTgBO?mBStBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeF7IvhFxcB6jB3gBc?mBmnBTsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeaAJvhFzbBRdB+jBU?iBFmB3sB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeF7IvhFxcBTeB3gBW?oBimBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeF7IvhFXcBxdBSnBT?jBmlBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeU7IvhFFcBxdBzhBS?oBmlB3sB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFFeBTgBOmBX?nBStBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFfiB8iB+jBi?gBFmBTsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFfjB6jBTgBO?mBVsBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeaAJvhFzbB+jBRiB3?iBFmBUsB
TIOZLJS,X,X,X,X,O,X,O,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,O,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,O,X,X,X,X,X,X,X
TIOZSLJ,X,O,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,X,O,O,O,X,X,O,O,X,O,X,X
TLIJSOZ,X,O,O,X,X,O,O,X,O,O,X,O
TLIJZSO,X,O,O,O,O,X,O,O,X,O,X,X
TLIJZOS,X,X,O,O,O,O,X,O,X,O,X,O
TLIJOSZ,X,X,O,X,X,O,O,X,O,O,X,O
TLIJOZS,X,X,X,O,O,O,O,O,O,O,X,O
TLISJZO,X,O,O,O,X,X,O,X,X,O,X,X
TLISJOZ,X,O,O,X,X,X,O,X,O,O,X,X
TLISZJO,X,O,O,O,X,X,X,X,X,O,X,X
TLISZOJ,X,O,O,O,X,X,X,X,X,X,X,X
TLISOJZ,X,X,O,X,X,X,X,X,O,O,X,X
TLISOZJ,X,O,O,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,O,O,X,O,O,X,O,X,X
TLIZJOS,X,X,X,O,O,X,X,O,X,O,X,X
TLIZSJO,X,O,X,O,X,X,X,X,X,O,X,X
TLIZSOJ,X,O,X,O,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,O,O,X,X,O,O,X,X,X
TLIZOSJ,X,X,X,O,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,O,X,X,X,O,O,O,O,X,O
TLIOJZS,X,X,O,X,O,X,O,O,O,O,X,O
TLIOSJZ,X,X,O,X,X,X,O,X,O,O,X,X
TLIOSZJ,X,X,O,X,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,O,X,O,O,O,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,O,O,O,X,O,O,O,X,O,X,X
TLJISOZ,O,O,O,X,X,O,O,X,O,O,X,O
TLJIZSO,X,O,O,O,O,X,O,O,X,O,X,X
TLJIZOS,X,X,O,O,O,O,X,O,X,O,X,O
TLJIOSZ,X,X,O,X,X,O,O,X,O,O,X,O
TLJIOZS,X,X,O,O,O,O,O,O,O,O,X,O
TLJSIZO,O,O,O,O,X,O,O,O,X,O,X,X
TLJSIOZ,O,O,O,X,X,O,O,X,O,O,O,O
TLJSZIO,O,O,O,O,O,O,O,O,X,O,X,X
TLJSZOI,O,O,O,O,O,O,O,X,O,O,O,X
TLJSOIZ,O,O,O,X,X,O,O,X,O,O,O,O
TLJSOZI,O,O,O,O,O,O,O,X,O,O,O,X
TLJZISO,X,O,O,O,O,X,O,O,X,O,X,X
TLJZIOS,X,X,O,O,O,O,X,O,X,O,X,O
TLJZSIO,X,O,O,O,O,X,O,O,X,O,X,X
TLJZSOI,X,O,O,O,O,X,O,X,O,O,X,X
TLJZOIS,X,X,O,O,O,O,O,O,O,O,X,O
TLJZOSI,X,O,O,X,O,X,O,O,O,O,X,X
TLJOISZ,O,X,O,X,X,O,O,O,O,O,O,O
TLJOIZS,X,X,O,O,O,O,O,O,O,O,X,O
TLJOSIZ,O,O,O,X,X,O,O,O,O,O,O,O
TLJOSZI,O,O,O,O,O,O,O,O,O,O,O,X
TLJOZIS,X,X,O,O,O,O,O,O,O,O,X,O
TLJOZSI,X,O,O,X,O,X,O,O,O,O,X,X
TLSIJZO,X,O,O,O,X,O,O,X,X,O,X,X
TLSIJOZ,X,O,O,X,X,O,O,X,O,O,O,X
TLSIZJO,O,O,O,O,X,O,X,X,X,O,X,X
TLSIZOJ,O,O,O,O,X,X,X,X,X,X,X,X
TLSIOJZ,O,X,O,X,X,O,X,X,O,O,O,X
TLSIOZJ,O,O,O,X,X,X,X,X,X,X,X,X
TLSJIZO,X,O,O,O,X,O,O,X,X,O,X,X
TLSJIOZ,X,O,O,X,X,O,O,X,O,O,O,O
TLSJZIO,O,O,O,O,O,O,O,X,X,O,X,X
TLSJZOI,O,O,O,O,O,O,O,X,O,O,O,X
TLSJOIZ,O,O,O,X,X,O,O,X,O,O,O,O
TLSJOZI,O,O,O,O,O,O,O,X,O,O,O,X
TLSZIJO,O,O,O,O,X,O,X,X,X,O,X,X
TLSZIOJ,O,O,O,O,X,X,X,X,X,X,X,X
TLSZJIO,O,O,O,O,O,O,X,X,X,O,X,X
TLSZJOI,O,O,O,O,O,O,X,X,O,O,O,X
TLSZOIJ,O,O,O,O,X,X,X,X,X,X,X,X
TLSZOJI,O,O,X,O,O,X,X,X,O,X,O,X
TLSOIJZ,O,X,O,X,X,O,O,X,O,O,O,X
TLSOIZJ,O,O,O,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,O,X,X,O,O,X,O,O,O,O
TLSOJZI,O,O,O,O,O,O,O,X,O,O,O,X
TLSOZIJ,O,O,O,O,X,X,X,X,X,X,X,X
TLSOZJI,O,O,X,O,O,X,X,X,O,X,O,X
TLZIJSO,X,X,X,O,O,X,O,O,X,O,X,X
TLZIJOS,X,X,X,O,O,X,X,O,X,O,X,X
TLZISJO,X,O,X,O,X,X,X,X,X,O,X,X
TLZISOJ,X,O,X,O,X,X,X,X,X,X,X,X
TLZIOJS,X,X,X,O,O,X,X,O,O,X,X,X
TLZIOSJ,X,X,X,O,X,X,X,X,X,X,X,X
TLZJISO,X,O,X,O,O,X,O,O,X,O,X,X
TLZJIOS,X,X,X,O,O,O,X,O,X,O,X,O
TLZJSIO,X,O,X,O,O,X,O,O,X,O,X,X
TLZJSOI,X,O,X,O,O,X,O,X,O,O,X,X
TLZJOIS,X,X,X,O,O,O,O,O,O,O,X,O
TLZJOSI,X,O,X,X,O,X,O,O,O,O,X,X
TLZSIJO,X,O,X,O,X,X,X,X,X,O,X,X
TLZSIOJ,X,O,X,O,X,X,X,X,X,X,X,X
TLZSJIO,X,O,X,O,O,X,X,X,X,O,X,X
TLZSJOI,X,O,X,O,O,X,X,X,O,O,X,X
TLZSOIJ,X,O,X,O,X,X,X,X,X,X,X,X
TLZSOJI,X,O,X,O,O,X,X,X,O,X,X,X
TLZOIJS,X,X,X,O,O,X,O,O,O,X,X,X
TLZOISJ,X,X,X,O,X,X,X,X,X,X,X,X
TLZOJIS,X,X,X,O,O,X,O,O,O,X,X,O
TLZOJSI,X,X,X,O,O,X,O,O,O,X,X,X
TLZOSIJ,X,O,X,O,X,X,X,X,X,X,X,X
TLZOSJI,X,O,X,O,O,X,X,X,O,X,X,X
TLOIJSZ,O,X,O,X,X,X,O,O,O,O,X,O
TLOIJZS,X,X,O,X,O,X,O,O,O,O,X,O
TLOISJZ,O,X,O,X,X,X,O,X,O,O,X,X
TLOISZJ,O,X,O,X,X,X,X,X,X,X,X,X
TLOIZJS,X,X,X,X,O,X,O,O,O,X,X,X
TLOIZSJ,X,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,O,X,O,X,X,O,O,O,O,O,O,O
TLOJIZS,X,X,O,O,O,O,O,O,O,O,X,O
TLOJSIZ,O,O,O,X,X,O,O,O,O,O,O,O
TLOJSZI,O,O,O,O,O,X,O,O,O,O,O,X
TLOJZIS,X,X,O,O,O,O,O,O,O,O,X,O
TLOJZSI,X,O,O,X,O,X,O,O,O,O,X,X
TLOSIJZ,O,X,O,X,X,X,O,X,O,O,O,X
TLOSIZJ,O,O,O,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,O,O,X,X,X,O,X,O,O,O,O
TLOSJZI,O,O,O,O,O,X,O,X,O,O,O,X
TLOSZIJ,O,O,O,O,X,X,X,X,X,X,X,X
TLOSZJI,O,O,X,O,O,X,X,X,O,X,O,X
TLOZIJS,X,X,X,O,O,X,O,O,O,X,X,X
TLOZISJ,X,X,X,O,X,X,X,X,X,X,X,X
TLOZJIS,X,X,X,O,O,X,O,O,O,X,X,O
TLOZJSI,X,X,X,X,O,X,O,O,O,X,X,X
TLOZSIJ,X,O,X,O,X,X,X,X,X,X,X,X
TLOZSJI,X,O,X,X,O,X,X,X,O,X,X,X
TJILSZO,O,O,O,O,X,O,O,O,X,O,X,X
TJILSOZ,O,O,O,X,X,O,O,X,X,O,X,O
TJILZSO,X,O,O,O,O,X,O,O,X,O,X,X
TJILZOS,X,X,O,O,O,O,X,O,X,O,X,O
TJILOSZ,X,X,O,X,X,O,O,X,X,O,X,O
TJILOZS,X,X,O,O,O,O,O,O,X,O,X,O
TJISLZO,O,O,O,O,X,O,O,X,X,O,X,X
TJISLOZ,O,O,O,X,X,O,O,X,X,O,O,O
TJISZLO,O,O,O,O,X,X,X,X,X,O,X,X
TJISZOL,X,O,X,O,X,O,X,X,X,X,X,X
TJISOLZ,O,O,X,X,X,O,O,X,X,X,O,O
TJISOZL,X,O,X,X,X,O,O,X,X,X,O,X
TJIZLSO,X,O,O,O,O,X,X,O,X,O,X,X
TJIZLOS,X,X,O,O,O,X,X,O,X,O,X,O
TJIZSLO,X,O,O,O,O,X,X,X,X,O,X,X
TJIZSOL,X,O,X,O,O,X,X,X,X,X,X,X
TJIZOLS,X,X,O,O,O,O,X,O,X,O,X,O
TJIZOSL,X,O,O,X,O,O,X,O,X,X,X,X
TJIOLSZ,X,X,O,X,X,O,O,O,X,O,O,O
TJIOLZS,X,X,O,O,O,O,O,O,X,O,X,O
TJIOSLZ,X,O,O,X,X,O,O,X,X,X,O,O
TJIOSZL,X,O,O,X,X,O,O,O,X,X,O,X
TJIOZLS,X,X,O,X,O,O,O,O,X,O,X,O
TJIOZSL,X,O,O,X,O,O,O,O,X,X,O,X
TJLISZO,O,O,O,O,X,O,O,O,X,O,X,X
TJLISOZ,O,O,O,X,X,O,O,X,O,O,X,O
TJLIZSO,X,O,O,O,O,X,O,O,X,O,X,X
TJLIZOS,X,X,O,O,O,O,X,O,X,O,X,O
TJLIOSZ,X,X,O,X,X,O,O,X,O,O,X,O
TJLIOZS,X,X,O,O,O,O,O,O,O,O,X,O
TJLSIZO,O,O,O,O,X,O,O,O,X,O,X,X
TJLSIOZ,O,O,O,X,X,O,O,X,O,O,O,O
TJLSZIO,O,O,O,O,O,O,O,O,X,O,X,X
TJLSZOI,O,O,O,O,O,O,O,X,O,O,O,X
TJLSOIZ,O,O,O,X,X,O,O,X,O,O,O,O
TJLSOZI,O,O,O,O,O,O,O,X,O,O,O,X
TJLZISO,X,O,O,O,O,X,O,O,X,O,X,X
TJLZIOS,X,X,O,O,O,O,X,O,X,O,X,O
TJLZSIO,X,O,O,O,O,X,O,O,X,O,X,X
TJLZSOI,X,O,O,O,O,X,O,X,O,O,X,X
TJLZOIS,X,X,O,O,O,O,O,O,O,O,X,O
TJLZOSI,X,O,O,X,O,X,O,O,O,O,X,X
TJLOISZ,O,X,O,X,X,O,O,O,O,O,O,O
TJLOIZS,X,X,O,O,O,O,O,O,O,O,X,O
TJLOSIZ,O,O,O,X,X,O,O,O,O,O,O,O
TJLOSZI,O,O,O,O,O,O,O,O,O,O,O,X
TJLOZIS,X,X,O,O,O,O,O,O,O,O,X,O
TJLOZSI,X,O,O,X,O,X,O,O,O,O,X,X
TJSILZO,O,O,O,O,X,O,O,X,X,O,X,X
TJSILOZ,O,O,O,X,X,O,O,X,X,O,O,O
TJSIZLO,O,O,O,O,X,X,X,X,X,O,X,X
TJSIZOL,X,O,X,O,X,O,X,X,X,X,X,X
TJSIOLZ,O,O,X,X,X,O,O,X,X,X,O,O
TJSIOZL,O,O,X,X,X,O,O,X,X,X,O,X
TJSLIZO,O,O,O,O,X,O,O,O,X,O,X,X
TJSLIOZ,O,O,O,X,X,O,O,X,O,O,O,O
TJSLZIO,O,O,O,O,O,O,O,O,X,O,X,X
TJSLZOI,O,O,O,O,O,O,O,X,O,O,O,X
TJSLOIZ,O,O,O,X,X,O,O,X,O,O,O,O
TJSLOZI,O,O,O,O,O,O,O,X,O,O,O,X
TJSZILO,O,O,O,O,O,X,X,X,X,O,X,X
TJSZIOL,X,O,X,O,O,O,X,X,X,X,X,X
TJSZLIO,O,O,O,O,O,O,O,O,X,O,X,X
TJSZLOI,O,O,O,O,O,O,O,X,X,O,O,X
TJSZOIL,O,O,O,O,O,O,O,O,X,X,O,X
TJSZOLI,O,O,O,O,O,O,O,O,X,O,O,X
TJSOILZ,O,O,O,X,X,O,O,X,O,X,O,O
TJSOIZL,O,O,O,X,X,O,O,O,X,X,O,X
TJSOLIZ,O,O,O,X,X,O,O,O,O,O,O,O
TJSOLZI,O,O,O,O,O,O,O,O,O,O,O,X
TJSOZIL,O,O,O,O,O,O,O,O,X,X,O,X
TJSOZLI,O,O,O,O,O,O,O,O,X,O,O,X
TJZILSO,X,O,O,O,O,X,X,O,X,O,X,X
TJZILOS,X,X,O,O,O,X,X,O,X,O,X,O
TJZISLO,X,O,O,O,O,X,X,X,X,O,X,X
TJZISOL,X,O,X,O,O,X,X,X,X,X,X,X
TJZIOLS,X,X,O,O,O,O,X,O,X,O,X,O
TJZIOSL,X,O,O,O,O,O,X,O,X,X,X,X
TJZLISO,X,O,O,O,O,X,O,O,X,O,X,X
TJZLIOS,X,X,O,O,O,O,X,O,X,O,X,O
TJZLSIO,X,O,O,O,O,X,O,O,X,O,X,X
TJZLSOI,X,O,O,O,O,X,O,X,X,O,X,X
TJZLOIS,X,X,O,O,O,O,O,O,X,O,X,O
TJZLOSI,X,O,O,X,O,X,O,O,X,O,X,X
TJZSILO,X,O,O,O,O,X,X,X,X,O,X,X
TJZSIOL,X,O,X,O,O,O,X,X,X,X,X,X
TJZSLIO,X,O,O,O,O,O,O,O,X,O,X,X
TJZSLOI,X,O,O,O,O,O,O,X,X,O,O,X
TJZSOIL,X,O,O,O,O,O,O,O,X,X,O,X
TJZSOLI,X,O,O,O,O,O,O,O,X,O,O,X
TJZOILS,X,O,O,O,O,O,O,O,X,O,X,O
TJZOISL,X,O,O,O,O,O,O,O,X,X,O,X
TJZOLIS,X,O,O,O,O,O,O,O,X,O,X,O
TJZOLSI,X,O,O,O,O,X,O,O,X,O,X,X
TJZOSIL,X,O,O,O,O,O,O,O,X,X,O,X
TJZOSLI,X,O,O,O,O,O,O,O,X,O,O,X
TJOILSZ,O,O,O,X,X,O,O,O,O,O,O,O
TJOILZS,X,O,O,O,O,O,O,O,O,O,X,O
TJOISLZ,O,O,O,X,X,O,O,X,O,X,O,O
TJOISZL,O,O,O,X,X,O,O,O,X,X,O,X
TJOIZLS,X,O,O,X,O,O,O,O,X,O,X,O
TJOIZSL,X,O,O,X,O,O,O,O,X,X,O,X
TJOLISZ,O,O,O,X,X,O,O,O,O,O,O,O
TJOLIZS,X,O,O,O,O,O,O,O,O,O,X,O
TJOLSIZ,O,O,O,X,X,O,O,O,O,O,O,O
TJOLSZI,O,O,O,O,O,O,O,O,O,O,O,X
TJOLZIS,X,O,O,O,O,O,O,O,O,O,X,O
TJOLZSI,X,O,O,X,O,X,O,O,O,O,X,X
TJOSILZ,O,O,O,X,X,O,O,X,O,X,O,O
TJOSIZL,O,O,O,X,X,O,O,O,X,X,O,X
TJOSLIZ,O,O,O,X,X,O,O,O,O,O,O,O
TJOSLZI,O,O,O,O,O,O,O,O,O,O,O,X
TJOSZIL,O,O,O,O,O,O,O,O,X,X,O,X
TJOSZLI,O,O,O,O,O,O,O,O,X,O,O,X
TJOZILS,X,O,O,O,O,O,O,O,X,O,X,O
TJOZISL,X,O,O,X,O,O,O,O,X,X,O,X
TJOZLIS,X,O,O,O,O,O,O,O,X,O,X,O
TJOZLSI,X,O,O,X,O,X,O,O,X,O,X,X
TJOZSIL,X,O,O,X,O,O,O,O,X,X,O,X
TJOZSLI,X,O,O,X,O,O,O,O,X,O,O,X
TSILJZO,X,O,X,O,X,O,X,X,X,O,X,X
TSILJOZ,X,O,X,X,X,O,X,X,X,O,O,X
TSILZJO,O,O,X,O,X,O,X,X,X,O,X,X
TSILZOJ,O,O,X,O,X,X,X,X,X,X,X,X
TSILOJZ,O,X,X,X,X,O,X,X,X,O,O,X
TSILOZJ,O,O,X,X,X,X,X,X,X,X,X,X
TSIJLZO,X,O,X,O,X,O,X,X,X,O,X,X
TSIJLOZ,X,O,X,X,X,O,X,X,X,O,O,X
TSIJZLO,X,O,X,O,X,X,X,X,X,O,X,X
TSIJZOL,X,O,X,O,X,O,X,X,X,X,X,X
TSIJOLZ,X,O,X,X,X,O,X,X,X,X,O,X
TSIJOZL,X,O,X,X,X,O,X,X,X,X,O,X
TSIZLJO,O,O,X,O,X,O,X,X,X,X,X,X
TSIZLOJ,O,O,X,O,X,X,X,X,X,X,X,X
TSIZJLO,O,O,X,O,X,X,X,X,X,X,X,X
TSIZJOL,O,X,X,O,X,O,X,X,X,X,X,X
TSIZOLJ,O,O,X,O,X,X,X,X,X,X,X,X
TSIZOJL,O,X,X,O,X,X,X,X,X,X,X,X
TSIOLJZ,O,X,X,X,X,O,X,X,X,X,O,X
TSIOLZJ,O,O,X,X,X,X,X,X,X,X,X,X
TSIOJLZ,O,X,X,X,X,O,X,X,X,X,O,X
TSIOJZL,X,X,X,X,X,O,X,X,X,X,O,X
TSIOZLJ,O,O,X,X,X,X,X,X,X,X,X,X
TSIOZJL,O,X,X,X,X,X,X,X,X,X,X,X
TSLIJZO,X,O,X,O,X,O,O,X,X,O,X,X
TSLIJOZ,X,O,X,X,X,O,O,X,O,O,O,X
TSLIZJO,O,O,X,O,X,O,X,X,X,O,X,X
TSLIZOJ,O,O,X,O,X,X,X,X,X,X,X,X
TSLIOJZ,O,X,X,X,X,O,X,X,O,O,O,X
TSLIOZJ,O,O,X,X,X,X,X,X,X,X,X,X
TSLJIZO,X,O,X,O,X,O,O,X,X,O,X,X
TSLJIOZ,X,O,X,X,X,O,O,X,O,O,O,O
TSLJZIO,O,O,X,O,O,O,O,X,X,O,X,X
TSLJZOI,O,O,X,O,O,O,O,X,O,O,O,X
TSLJOIZ,O,O,X,X,X,O,O,X,O,O,O,O
