sequence,v115@3gC8GeA8HeB8DeA8AeE8CeH8AeB8JeZ/IvhFqfBTbB?GeBfnBliB8sB,v115@3gC8GeA8HeB8DeA8AeE8CeH8AeB8JeZ/IvhFCbBuiB?cjBXgBzhBlsB,v115@3gC8GeA8HeB8DeA8AeE8CeH8AeB8JeZ/IvhFufBcgB?CeBzhBXjBlsB,v115@3gC8GeA8HeB8DeA8AeE8CeH8AeB8JeZ/IvhFqfBTbB?3dBcjBWnBlsB,v115@3gC8GeA8HeB8DeA8AeE8CeH8AeB8JeZ/IvhFGbBcjB?zfBCiB3iBlsB,v115@3gC8GeA8HeB8DeA8AeE8CeH8AeB8Jex6IvhFSiBTeB?OkBXgBFnB8sB
TOJSIZL,X,O,O,X,O,X
TOJSLIZ,X,O,O,O,O,X
TOJSLZI,X,O,O,O,O,X
TOJSZIL,X,O,O,O,O,X
TOJSZLI,X,O,O,O,O,X
TOJZILS,X,O,O,O,O,X
TOJZISL,X,O,O,O,O,X
TOJZLIS,X,O,O,O,O,X
TOJZLSI,X,O,O,O,O,X
TOJZSIL,X,O,O,O,O,X
TOJZSLI,X,O,O,O,O,X
TOSILJZ,X,O,O,X,O,X
TOSILZJ,X,O,O,X,O,X
TOSIJLZ,X,O,O,X,O,X
TOSIJZL,X,O,O,X,O,X
TOSIZLJ,X,O,O,X,O,X
TOSIZJL,X,O,O,X,O,X
TOSLIJZ,O,O,O,O,O,X
TOSLIZJ,O,O,O,O,O,X
TOSLJIZ,O,O,O,O,O,X
TOSLJZI,X,O,O,O,O,X
TOSLZIJ,O,O,O,O,O,X
TOSLZJI,O,O,O,O,O,X
TOSJILZ,X,O,O,X,O,X
TOSJIZL,X,O,O,X,O,X
TOSJLIZ,O,O,O,O,O,X
TOSJLZI,X,O,O,O,O,X
TOSJZIL,X,O,O,O,O,X
TOSJZLI,X,O,O,O,O,X
TOSZILJ,O,O,O,O,O,X
TOSZIJL,O,O,O,X,O,X
TOSZLIJ,O,O,O,O,O,X
TOSZLJI,O,O,O,O,O,X
TOSZJIL,O,O,O,O,O,X
TOSZJLI,O,O,O,O,O,X
TOZILJS,X,O,O,O,O,X
TOZILSJ,X,O,O,O,O,X
TOZIJLS,X,O,O,O,O,X
TOZIJSL,X,O,O,O,O,X
TOZISLJ,X,O,O,O,O,X
TOZISJL,X,O,O,X,O,X
TOZLIJS,O,O,O,O,O,X
TOZLISJ,O,O,O,O,O,X
TOZLJIS,O,O,O,O,O,X
TOZLJSI,X,O,O,O,O,X
TOZLSIJ,O,O,O,O,O,X
TOZLSJI,O,O,O,O,O,X
TOZJILS,X,O,O,O,O,X
TOZJISL,X,O,O,O,O,X
TOZJLIS,O,O,O,O,O,X
TOZJLSI,X,O,O,O,O,X
TOZJSIL,X,O,O,O,O,X
TOZJSLI,X,O,O,O,O,X
TOZSILJ,O,O,O,O,O,X
TOZSIJL,O,O,O,X,O,X
TOZSLIJ,O,O,O,O,O,X
TOZSLJI,O,O,O,O,O,X
TOZSJIL,O,O,O,O,O,X
TOZSJLI,O,O,O,O,O,X
ITLJSZO,X,X,X,O,X,X
ITLJSOZ,X,X,X,O,X,X
ITLJZSO,X,X,X,O,X,X
ITLJZOS,X,X,X,O,O,X
ITLJOSZ,O,X,X,O,O,X
ITLJOZS,O,X,X,O,O,X
ITLSJZO,X,O,O,O,X,X
ITLSJOZ,O,O,X,O,X,X
ITLSZJO,O,O,O,O,X,X
ITLSZOJ,O,O,O,O,O,X
ITLSOJZ,O,O,X,O,O,X
ITLSOZJ,O,O,O,O,O,X
ITLZJSO,X,O,O,O,X,X
ITLZJOS,O,X,O,O,O,X
ITLZSJO,O,O,O,O,X,X
ITLZSOJ,O,O,O,O,O,X
ITLZOJS,O,X,O,O,O,X
ITLZOSJ,O,X,O,O,O,X
ITLOJSZ,O,X,X,O,O,X
ITLOJZS,O,X,X,O,O,X
ITLOSJZ,O,O,O,O,O,X
ITLOSZJ,O,O,O,O,O,X
ITLOZJS,O,O,O,O,O,X
ITLOZSJ,O,O,O,O,O,X
ITJLSZO,X,X,X,O,X,X
ITJLSOZ,X,X,X,O,X,X
ITJLZSO,X,X,X,O,X,X
ITJLZOS,X,X,X,O,O,X
ITJLOSZ,O,X,X,O,O,X
ITJLOZS,O,X,X,O,O,X
ITJSLZO,X,O,O,O,X,X
ITJSLOZ,X,O,X,O,X,X
ITJSZLO,X,O,O,O,X,X
ITJSZOL,X,O,O,O,X,X
ITJSOLZ,X,O,X,X,X,X
ITJSOZL,X,O,X,X,X,X
ITJZLSO,X,O,O,O,X,X
ITJZLOS,X,X,O,O,O,X
ITJZSLO,X,O,O,O,X,X
ITJZSOL,X,O,O,O,X,X
ITJZOLS,X,X,O,O,O,X
ITJZOSL,X,O,O,O,O,X
ITJOLSZ,X,X,X,O,O,X
ITJOLZS,X,X,X,O,O,X
ITJOSLZ,X,O,O,X,O,X
ITJOSZL,X,O,O,X,O,X
ITJOZLS,X,O,O,O,O,X
ITJOZSL,X,O,O,O,O,X
ITSLJZO,X,O,O,O,X,X
ITSLJOZ,O,O,X,O,X,X
ITSLZJO,O,O,O,O,X,X
ITSLZOJ,O,O,O,O,O,X
ITSLOJZ,O,O,X,O,O,X
ITSLOZJ,O,O,O,O,O,X
ITSJLZO,X,O,O,O,X,X
ITSJLOZ,O,O,X,O,X,X
ITSJZLO,X,O,O,O,X,X
ITSJZOL,X,O,O,O,X,X
ITSJOLZ,X,O,X,X,X,X
ITSJOZL,X,O,X,X,X,X
ITSZLJO,O,O,O,O,X,X
ITSZLOJ,O,O,O,O,O,X
ITSZJLO,O,O,O,O,X,X
ITSZJOL,O,O,O,O,X,X
ITSZOLJ,O,O,O,O,O,X
ITSZOJL,O,O,O,X,O,X
ITSOLJZ,X,O,O,X,O,X
ITSOLZJ,X,O,O,X,O,X
ITSOJLZ,X,O,O,X,O,X
ITSOJZL,X,O,O,X,O,X
ITSOZLJ,X,O,O,X,O,X
ITSOZJL,X,O,O,X,O,X
ITZLJSO,X,O,O,O,X,X
ITZLJOS,O,X,O,O,O,X
ITZLSJO,O,O,O,O,X,X
ITZLSOJ,O,O,O,O,O,X
ITZLOJS,O,X,O,O,O,X
ITZLOSJ,O,X,O,O,O,X
ITZJLSO,X,O,O,O,X,X
ITZJLOS,O,X,O,O,O,X
ITZJSLO,X,O,O,O,X,X
ITZJSOL,X,O,O,O,X,X
ITZJOLS,X,X,O,O,O,X
ITZJOSL,X,O,O,O,O,X
ITZSLJO,O,O,O,O,X,X
ITZSLOJ,O,O,O,O,O,X
ITZSJLO,O,O,O,O,X,X
ITZSJOL,O,O,O,O,X,X
ITZSOLJ,O,O,O,O,O,X
ITZSOJL,O,O,O,X,O,X
ITZOLJS,X,O,O,O,O,X
ITZOLSJ,X,O,O,O,O,X
ITZOJLS,X,O,O,O,O,X
ITZOJSL,X,O,O,O,O,X
ITZOSLJ,X,O,O,O,O,X
ITZOSJL,X,O,O,X,O,X
ITOLJSZ,X,X,X,O,O,X
ITOLJZS,X,X,X,O,O,X
ITOLSJZ,X,O,O,O,O,X
ITOLSZJ,X,O,O,O,O,X
ITOLZJS,X,O,O,O,O,X
ITOLZSJ,X,O,O,O,O,X
ITOJLSZ,X,X,X,O,O,X
ITOJLZS,X,X,X,O,O,X
ITOJSLZ,X,O,O,X,O,X
ITOJSZL,X,O,O,X,O,X
ITOJZLS,X,O,O,O,O,X
ITOJZSL,X,O,O,O,O,X
ITOSLJZ,X,O,O,X,O,X
ITOSLZJ,X,O,O,X,O,X
ITOSJLZ,X,O,O,X,O,X
ITOSJZL,X,O,O,X,O,X
ITOSZLJ,X,O,O,X,O,X
ITOSZJL,X,O,O,X,O,X
ITOZLJS,X,O,O,O,O,X
ITOZLSJ,X,O,O,O,O,X
ITOZJLS,X,O,O,O,O,X
ITOZJSL,X,O,O,O,O,X
ITOZSLJ,X,O,O,O,O,X
ITOZSJL,X,O,O,X,O,X
ILTJSZO,X,X,X,O,X,X
ILTJSOZ,X,X,X,O,X,X
ILTJZSO,X,X,X,O,X,X
ILTJZOS,X,X,X,O,O,X
ILTJOSZ,O,X,X,O,O,X
ILTJOZS,O,X,X,O,O,X
ILTSJZO,X,O,O,O,X,X
ILTSJOZ,O,O,X,O,X,X
ILTSZJO,O,O,O,O,X,X
ILTSZOJ,O,O,O,O,O,X
ILTSOJZ,O,O,X,O,O,X
ILTSOZJ,O,O,O,O,O,X
ILTZJSO,X,O,O,O,X,X
ILTZJOS,O,X,O,O,O,X
ILTZSJO,O,O,O,O,X,X
ILTZSOJ,O,O,O,O,O,X
ILTZOJS,O,X,O,O,O,X
ILTZOSJ,O,X,O,O,O,X
ILTOJSZ,O,X,X,O,O,X
ILTOJZS,O,X,X,O,O,X
ILTOSJZ,O,O,O,O,O,X
ILTOSZJ,O,O,O,O,O,X
ILTOZJS,O,O,O,O,O,X
ILTOZSJ,O,O,O,O,O,X
ILJTSZO,X,X,X,O,X,X
ILJTSOZ,X,X,X,O,X,X
ILJTZSO,X,X,X,O,X,X
ILJTZOS,X,X,X,O,X,X
ILJTOSZ,O,X,X,O,X,X
ILJTOZS,O,X,X,O,X,X
ILJSTZO,X,X,X,X,X,X
ILJSTOZ,O,X,X,X,X,X
ILJSZTO,O,X,X,O,X,X
ILJSZOT,O,X,X,O,X,X
ILJSOTZ,O,X,X,X,X,X
ILJSOZT,O,X,X,O,X,X
ILJZTSO,X,X,X,O,X,X
ILJZTOS,O,X,X,O,X,X
ILJZSTO,O,X,X,O,X,X
ILJZSOT,O,X,X,O,X,X
ILJZOTS,O,X,X,O,O,X
ILJZOST,O,X,X,O,O,X
ILJOTSZ,O,X,X,O,X,X
ILJOTZS,O,X,X,O,O,X
ILJOSTZ,O,X,X,X,X,X
ILJOSZT,O,X,X,O,O,X
ILJOZTS,O,X,X,O,O,X
ILJOZST,O,X,X,O,O,X
ILSTJZO,X,O,X,O,X,X
ILSTJOZ,O,O,X,O,X,X
ILSTZJO,O,O,O,O,X,X
ILSTZOJ,O,O,X,O,X,X
ILSTOJZ,O,O,X,O,X,X
ILSTOZJ,O,O,X,O,X,X
ILSJTZO,X,O,X,X,X,X
ILSJTOZ,O,O,X,X,X,X
ILSJZTO,O,O,O,O,X,X
ILSJZOT,O,O,O,O,X,X
ILSJOTZ,O,O,X,X,X,X
ILSJOZT,O,O,X,O,X,X
ILSZTJO,O,O,O,X,X,X
ILSZTOJ,O,O,X,O,X,X
ILSZJTO,O,O,O,O,X,X
ILSZJOT,O,O,O,O,X,X
ILSZOTJ,O,O,X,O,X,X
ILSZOJT,O,O,O,O,O,X
ILSOTJZ,O,O,X,O,X,X
ILSOTZJ,O,O,X,O,X,X
ILSOJTZ,O,O,X,X,X,X
ILSOJZT,O,O,X,O,O,X
ILSOZTJ,O,O,X,O,X,X
ILSOZJT,O,O,O,O,O,X
ILZTJSO,X,X,O,O,X,X
ILZTJOS,O,X,O,O,X,X
ILZTSJO,O,X,O,O,X,X
ILZTSOJ,O,X,O,O,X,X
ILZTOJS,O,X,O,O,O,X
ILZTOSJ,O,X,O,O,X,X
ILZJTSO,X,X,O,O,X,X
ILZJTOS,O,X,O,O,X,X
ILZJSTO,O,O,O,O,X,X
ILZJSOT,O,O,O,O,X,X
ILZJOTS,O,X,O,O,O,X
ILZJOST,O,X,O,O,O,X
ILZSTJO,O,O,O,X,X,X
ILZSTOJ,O,X,X,O,X,X
ILZSJTO,O,O,O,O,X,X
ILZSJOT,O,O,O,O,X,X
ILZSOTJ,O,X,X,O,X,X
ILZSOJT,O,O,O,O,O,X
ILZOTJS,O,X,O,O,O,X
ILZOTSJ,O,X,O,O,X,X
ILZOJTS,O,X,O,O,O,X
ILZOJST,O,X,O,O,O,X
ILZOSTJ,O,X,O,O,X,X
ILZOSJT,O,X,O,O,O,X
ILOTJSZ,O,X,X,O,O,X
ILOTJZS,O,X,X,O,O,X
ILOTSJZ,O,O,O,O,O,X
ILOTSZJ,O,O,O,O,O,X
ILOTZJS,O,O,O,O,O,X
ILOTZSJ,O,O,O,O,O,X
ILOJTSZ,O,X,X,O,O,X
ILOJTZS,O,X,X,O,O,X
ILOJSTZ,O,X,X,X,X,X
ILOJSZT,O,X,X,O,O,X
ILOJZTS,O,X,X,O,O,X
ILOJZST,O,X,X,O,O,X
ILOSTJZ,O,O,X,O,X,X
ILOSTZJ,O,O,O,O,X,X
ILOSJTZ,O,O,X,X,X,X
ILOSJZT,O,O,O,O,O,X
ILOSZTJ,O,O,O,O,X,X
ILOSZJT,O,O,O,O,O,X
ILOZTJS,O,X,O,O,O,X
ILOZTSJ,O,X,O,O,X,X
ILOZJTS,O,X,O,O,O,X
ILOZJST,O,O,O,O,O,X
ILOZSTJ,O,O,O,O,X,X
ILOZSJT,O,O,O,O,O,X
IJTLSZO,X,X,X,O,X,X
IJTLSOZ,X,X,X,O,X,X
IJTLZSO,X,X,X,O,X,X
IJTLZOS,X,X,X,O,O,X
IJTLOSZ,O,X,X,O,O,X
IJTLOZS,O,X,X,O,O,X
IJTSLZO,X,O,O,O,X,X
IJTSLOZ,X,O,X,O,X,X
IJTSZLO,X,O,O,O,X,X
IJTSZOL,X,O,O,O,X,X
IJTSOLZ,X,O,X,X,X,X
IJTSOZL,X,O,X,X,X,X
IJTZLSO,X,O,O,O,X,O
IJTZLOS,X,X,O,O,O,O
IJTZSLO,X,O,O,O,X,O
IJTZSOL,X,O,O,O,X,O
IJTZOLS,X,X,O,O,O,O
IJTZOSL,X,O,O,O,O,O
IJTOLSZ,X,X,X,O,O,X
IJTOLZS,X,X,X,O,O,X
IJTOSLZ,X,O,O,X,O,X
IJTOSZL,X,O,O,X,O,X
IJTOZLS,X,O,O,O,O,X
IJTOZSL,X,O,O,O,O,X
IJLTSZO,X,X,X,O,X,X
IJLTSOZ,X,X,X,O,X,X
IJLTZSO,X,X,X,O,X,X
IJLTZOS,X,X,X,O,X,X
IJLTOSZ,O,X,X,O,X,X
IJLTOZS,O,X,X,O,X,X
IJLSTZO,X,X,X,X,X,X
IJLSTOZ,O,X,X,X,X,X
IJLSZTO,O,X,X,O,X,X
IJLSZOT,O,X,X,O,X,X
IJLSOTZ,O,X,X,X,X,X
IJLSOZT,O,X,X,O,X,X
IJLZTSO,X,X,X,O,X,O
IJLZTOS,O,X,X,O,X,O
IJLZSTO,O,X,X,O,X,X
IJLZSOT,O,X,X,O,X,X
IJLZOTS,O,X,X,O,O,X
IJLZOST,O,X,X,O,O,X
IJLOTSZ,O,X,X,O,X,X
IJLOTZS,O,X,X,O,O,X
IJLOSTZ,O,X,X,X,X,X
IJLOSZT,O,X,X,O,O,X
IJLOZTS,O,X,X,O,O,X
IJLOZST,O,X,X,O,O,X
IJSTLZO,X,O,X,X,X,X
IJSTLOZ,O,O,X,X,X,X
IJSTZLO,X,O,X,X,X,O
IJSTZOL,X,O,X,X,X,O
IJSTOLZ,X,O,X,X,X,X
IJSTOZL,X,O,X,X,X,X
IJSLTZO,X,O,X,X,X,X
IJSLTOZ,O,O,X,X,X,X
IJSLZTO,O,O,O,O,X,O
IJSLZOT,O,O,O,O,X,X
IJSLOTZ,O,O,X,X,X,X
IJSLOZT,O,O,X,O,X,X
IJSZTLO,O,O,O,O,X,O
IJSZTOL,O,X,X,X,X,O
IJSZLTO,O,O,O,O,X,O
IJSZLOT,O,O,O,O,X,X
IJSZOTL,X,X,X,X,X,O
IJSZOLT,O,O,O,O,X,X
IJSOTLZ,X,O,X,X,X,X
IJSOTZL,X,O,X,X,X,X
IJSOLTZ,O,O,X,X,X,X
IJSOLZT,O,O,X,X,X,X
IJSOZTL,X,O,X,X,X,O
IJSOZLT,X,O,X,X,X,X
IJZTLSO,X,X,O,O,X,O
IJZTLOS,O,X,O,O,X,O
IJZTSLO,X,O,O,O,X,O
IJZTSOL,X,X,O,X,X,O
IJZTOLS,X,X,O,X,X,O
IJZTOSL,X,X,O,X,X,O
IJZLTSO,X,X,O,O,X,O
IJZLTOS,O,X,O,O,X,O
IJZLSTO,O,O,O,O,X,X
IJZLSOT,O,O,O,O,X,X
IJZLOTS,O,X,O,O,O,X
IJZLOST,O,X,O,O,O,X
IJZSTLO,O,O,O,O,X,O
IJZSTOL,O,X,O,X,X,O
IJZSLTO,O,O,O,O,X,O
IJZSLOT,O,O,O,O,X,X
IJZSOTL,X,X,O,X,X,O
IJZSOLT,O,O,O,O,X,X
IJZOTLS,X,X,O,X,O,O
IJZOTSL,X,X,O,X,X,O
IJZOLTS,O,X,O,O,O,X
IJZOLST,O,X,O,O,O,X
IJZOSTL,X,X,O,X,X,X
IJZOSLT,X,O,O,O,O,X
IJOTLSZ,X,X,X,X,O,X
IJOTLZS,X,X,X,X,O,X
IJOTSLZ,X,O,O,X,O,X
IJOTSZL,X,O,O,X,O,X
IJOTZLS,X,O,O,X,O,X
IJOTZSL,X,O,O,X,O,X
IJOLTSZ,O,X,X,X,O,X
IJOLTZS,O,X,X,O,O,X
IJOLSTZ,O,X,X,X,X,X
IJOLSZT,O,X,X,O,O,X
IJOLZTS,O,X,X,O,O,X
IJOLZST,O,X,X,O,O,X
IJOSTLZ,X,O,X,X,O,X
IJOSTZL,X,O,X,X,O,X
IJOSLTZ,X,O,X,X,X,X
IJOSLZT,X,O,O,X,O,X
IJOSZTL,X,O,O,X,X,X
IJOSZLT,X,O,O,X,O,X
IJOZTLS,X,X,O,X,O,O
IJOZTSL,X,O,O,X,O,O
IJOZLTS,X,X,O,O,O,X
IJOZLST,X,O,O,O,O,X
IJOZSTL,X,O,O,X,X,X
IJOZSLT,X,O,O,O,O,X
ISTLJZO,X,O,O,O,X,X
ISTLJOZ,O,O,X,O,X,X
ISTLZJO,O,O,O,O,X,X
ISTLZOJ,O,O,O,O,O,X
ISTLOJZ,O,O,X,O,O,X
ISTLOZJ,O,O,O,O,O,X
ISTJLZO,X,O,O,O,X,X
ISTJLOZ,O,O,X,O,X,X
ISTJZLO,X,O,O,O,X,X
ISTJZOL,X,O,O,O,X,X
ISTJOLZ,X,O,X,X,X,X
ISTJOZL,X,O,X,X,X,X
ISTZLJO,O,O,O,O,X,O
ISTZLOJ,O,O,O,O,O,O
ISTZJLO,O,O,O,O,X,O
ISTZJOL,O,O,O,O,X,O
ISTZOLJ,O,O,O,O,O,O
ISTZOJL,O,O,O,X,O,O
ISTOLJZ,X,O,O,X,O,X
ISTOLZJ,X,O,O,X,O,X
ISTOJLZ,X,O,O,X,O,X
ISTOJZL,X,O,O,X,O,X
ISTOZLJ,X,O,O,X,O,X
ISTOZJL,X,O,O,X,O,X
ISLTJZO,X,O,X,O,X,X
ISLTJOZ,O,O,X,O,X,X
ISLTZJO,O,O,O,O,X,X
ISLTZOJ,O,O,X,O,X,X
ISLTOJZ,O,O,X,O,X,X
ISLTOZJ,O,O,X,O,X,X
ISLJTZO,X,O,X,X,X,X
ISLJTOZ,O,O,X,X,X,X
ISLJZTO,O,O,O,O,X,X
ISLJZOT,O,O,O,O,X,X
ISLJOTZ,O,O,X,X,X,X
ISLJOZT,O,O,X,O,X,X
ISLZTJO,O,O,O,X,X,O
ISLZTOJ,O,O,X,O,X,O
ISLZJTO,O,O,O,O,X,X
ISLZJOT,O,O,O,O,X,X
ISLZOTJ,O,O,X,O,X,X
ISLZOJT,O,O,O,O,O,X
ISLOTJZ,O,O,X,O,X,X
ISLOTZJ,O,O,X,O,X,X
ISLOJTZ,O,O,X,X,X,X
ISLOJZT,O,O,X,O,O,X
ISLOZTJ,O,O,X,O,X,X
ISLOZJT,O,O,O,O,O,X
ISJTLZO,X,O,X,X,X,X
ISJTLOZ,O,O,X,X,X,X
ISJTZLO,X,O,X,X,X,O
ISJTZOL,X,O,X,X,X,O
ISJTOLZ,X,O,X,X,X,X
ISJTOZL,X,O,X,X,X,X
ISJLTZO,X,O,X,X,X,X
ISJLTOZ,O,O,X,X,X,X
ISJLZTO,O,O,O,O,X,O
ISJLZOT,O,O,O,O,X,X
ISJLOTZ,O,O,X,X,X,X
ISJLOZT,O,O,X,O,X,X
ISJZTLO,O,O,O,O,X,O
ISJZTOL,O,X,X,X,X,O
ISJZLTO,O,O,O,O,X,O
ISJZLOT,O,O,O,O,X,X
ISJZOTL,X,X,X,X,X,O
ISJZOLT,O,O,O,O,X,X
ISJOTLZ,X,O,X,X,X,X
ISJOTZL,X,O,X,X,X,X
ISJOLTZ,O,O,X,X,X,X
ISJOLZT,O,O,X,X,X,X
ISJOZTL,X,O,X,X,X,O
ISJOZLT,X,O,X,X,X,X
ISZTLJO,O,O,O,X,X,O
ISZTLOJ,O,O,O,O,X,O
ISZTJLO,O,O,O,X,X,O
ISZTJOL,O,O,O,X,X,O
ISZTOLJ,O,O,O,X,X,O
ISZTOJL,O,O,O,X,X,O
ISZLTJO,O,O,O,X,X,O
ISZLTOJ,O,O,X,O,X,O
ISZLJTO,O,O,O,O,X,X
ISZLJOT,O,O,O,O,X,X
ISZLOTJ,O,O,X,O,X,X
ISZLOJT,O,O,O,O,O,X
ISZJTLO,O,O,O,O,X,O
ISZJTOL,O,X,O,X,X,O
ISZJLTO,O,O,O,O,X,O
ISZJLOT,O,O,O,O,X,X
ISZJOTL,X,X,O,X,X,O
ISZJOLT,O,O,O,O,X,X
ISZOTLJ,O,O,O,X,X,O
ISZOTJL,O,O,O,X,X,O
ISZOLTJ,O,O,O,O,X,X
ISZOLJT,O,O,O,O,O,X
ISZOJTL,X,O,O,X,X,X
ISZOJLT,O,O,O,X,O,X
ISOTLJZ,X,O,O,X,O,X
ISOTLZJ,X,O,O,X,O,X
ISOTJLZ,X,O,O,X,O,X
ISOTJZL,X,O,O,X,O,X
ISOTZLJ,X,O,O,X,O,X
ISOTZJL,X,O,O,X,O,X
ISOLTJZ,O,O,X,X,X,X
ISOLTZJ,O,O,O,X,X,X
ISOLJTZ,O,O,X,X,X,X
ISOLJZT,O,O,O,X,O,X
ISOLZTJ,O,O,O,X,X,X
ISOLZJT,O,O,O,X,O,X
ISOJTLZ,X,O,X,X,O,X
ISOJTZL,X,O,X,X,O,X
ISOJLTZ,O,O,X,X,X,X
ISOJLZT,O,O,O,X,O,X
ISOJZTL,X,O,O,X,X,X
ISOJZLT,X,O,O,X,O,X
ISOZTLJ,O,O,O,X,X,O
ISOZTJL,O,O,O,X,X,O
ISOZLTJ,O,O,O,X,X,X
ISOZLJT,O,O,O,X,O,X
ISOZJTL,X,O,O,X,X,X
ISOZJLT,O,O,O,X,O,X
IZTLJSO,X,O,O,O,X,O
IZTLJOS,O,X,O,O,O,O
IZTLSJO,O,O,O,O,X,O
IZTLSOJ,O,O,O,O,O,O
IZTLOJS,O,X,O,O,O,O
IZTLOSJ,O,X,O,O,O,O
IZTJLSO,X,O,O,O,X,O
IZTJLOS,O,X,O,O,O,O
IZTJSLO,X,O,O,O,X,O
IZTJSOL,X,O,O,O,X,O
IZTJOLS,X,X,O,O,O,O
IZTJOSL,X,O,O,O,O,O
IZTSLJO,O,O,O,O,X,O
IZTSLOJ,O,O,O,O,O,O
IZTSJLO,O,O,O,O,X,O
IZTSJOL,O,O,O,O,X,O
IZTSOLJ,O,O,O,O,O,O
IZTSOJL,O,O,O,X,O,O
IZTOLJS,X,O,O,O,O,O
IZTOLSJ,X,O,O,O,O,O
IZTOJLS,X,O,O,O,O,O
IZTOJSL,X,O,O,O,O,O
IZTOSLJ,X,O,O,O,O,O
IZTOSJL,X,O,O,X,O,O
IZLTJSO,X,X,O,O,X,X
IZLTJOS,O,X,O,O,X,X
IZLTSJO,O,X,O,O,X,X
IZLTSOJ,O,X,O,O,X,X
IZLTOJS,O,X,O,O,O,X
IZLTOSJ,O,X,O,O,X,X
IZLJTSO,X,X,O,O,X,X
IZLJTOS,O,X,O,O,X,X
IZLJSTO,O,O,O,O,X,X
IZLJSOT,O,O,O,O,X,X
IZLJOTS,O,X,O,O,O,X
IZLJOST,O,X,O,O,O,X
IZLSTJO,O,O,O,X,X,X
IZLSTOJ,O,X,X,O,X,X
IZLSJTO,O,O,O,O,X,X
IZLSJOT,O,O,O,O,X,X
IZLSOTJ,O,X,X,O,X,X
IZLSOJT,O,O,O,O,O,X
IZLOTJS,O,X,O,O,O,X
IZLOTSJ,O,X,O,O,X,X
IZLOJTS,O,X,O,O,O,X
IZLOJST,O,X,O,O,O,X
IZLOSTJ,O,X,O,O,X,X
IZLOSJT,O,X,O,O,O,X
IZJTLSO,X,X,O,O,X,O
IZJTLOS,O,X,O,O,X,O
IZJTSLO,X,O,O,O,X,O
IZJTSOL,X,X,O,X,X,O
IZJTOLS,X,X,O,X,X,O
IZJTOSL,X,X,O,X,X,O
IZJLTSO,X,X,O,O,X,O
IZJLTOS,O,X,O,O,X,O
IZJLSTO,O,O,O,O,X,X
IZJLSOT,O,O,O,O,X,X
IZJLOTS,O,X,O,O,O,X
IZJLOST,O,X,O,O,O,X
IZJSTLO,O,O,O,O,X,O
IZJSTOL,O,X,O,X,X,O
IZJSLTO,O,O,O,O,X,O
IZJSLOT,O,O,O,O,X,X
IZJSOTL,X,X,O,X,X,O
IZJSOLT,O,O,O,O,X,X
IZJOTLS,X,X,O,X,O,O
IZJOTSL,X,X,O,X,X,O
IZJOLTS,O,X,O,O,O,X
IZJOLST,O,X,O,O,O,X
IZJOSTL,X,X,O,X,X,X
IZJOSLT,X,O,O,O,O,X
IZSTLJO,O,O,O,X,X,O
IZSTLOJ,O,O,O,O,X,O
IZSTJLO,O,O,O,X,X,O
IZSTJOL,O,O,O,X,X,O
IZSTOLJ,O,O,O,X,X,O
IZSTOJL,O,O,O,X,X,O
IZSLTJO,O,O,O,X,X,O
IZSLTOJ,O,O,X,O,X,O
IZSLJTO,O,O,O,O,X,X
IZSLJOT,O,O,O,O,X,X
IZSLOTJ,O,O,X,O,X,X
IZSLOJT,O,O,O,O,O,X
IZSJTLO,O,O,O,O,X,O
IZSJTOL,O,X,O,X,X,O
IZSJLTO,O,O,O,O,X,O
IZSJLOT,O,O,O,O,X,X
IZSJOTL,X,X,O,X,X,O
IZSJOLT,O,O,O,O,X,X
IZSOTLJ,O,O,O,X,X,O
IZSOTJL,O,O,O,X,X,O
IZSOLTJ,O,O,O,O,X,X
IZSOLJT,O,O,O,O,O,X
IZSOJTL,X,O,O,X,X,X
IZSOJLT,O,O,O,X,O,X
IZOTLJS,X,O,O,X,O,X
IZOTLSJ,X,O,O,X,O,X
IZOTJLS,X,O,O,X,O,X
IZOTJSL,X,O,O,X,O,X
IZOTSLJ,X,O,O,X,O,X
IZOTSJL,X,O,O,X,O,X
IZOLTJS,O,X,O,O,O,X
IZOLTSJ,O,X,O,O,X,X
IZOLJTS,O,X,O,O,O,X
IZOLJST,O,O,O,O,O,X
IZOLSTJ,O,O,O,O,X,X
IZOLSJT,O,O,O,O,O,X
IZOJTLS,X,X,O,X,O,X
IZOJTSL,X,O,O,X,O,X
IZOJLTS,O,X,O,O,O,X
IZOJLST,O,O,O,O,O,X
IZOJSTL,X,O,O,X,X,X
IZOJSLT,X,O,O,O,O,X
IZOSTLJ,O,O,O,X,X,X
IZOSTJL,O,O,O,X,X,X
IZOSLTJ,O,O,O,O,X,X
IZOSLJT,O,O,O,O,O,X
IZOSJTL,X,O,O,X,X,X
IZOSJLT,O,O,O,X,O,X
IOTLJSZ,X,X,X,O,O,X
IOTLJZS,X,X,X,O,O,X
IOTLSJZ,X,O,O,O,O,X
IOTLSZJ,X,O,O,O,O,X
IOTLZJS,X,O,O,O,O,X
IOTLZSJ,X,O,O,O,O,X
IOTJLSZ,X,X,X,O,O,X
IOTJLZS,X,X,X,O,O,X
IOTJSLZ,X,O,O,X,O,X
IOTJSZL,X,O,O,X,O,X
IOTJZLS,X,O,O,O,O,X
IOTJZSL,X,O,O,O,O,X
IOTSLJZ,X,O,O,X,O,X
