sequence,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8Je//Iv?hFagB2hBzdB5jBFnBUsB,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8Jem6Iv?hFTcBidB5jB0fBFnB3sB,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8JeT6Iv?hFegB/hBFdB8iB5jBKsB,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8Jey/Iv?hFTcB2iB5jB0fBFnB3sB,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8Jei6Iv?hF/hBFdB5jBzfBOsB8sB
LTJOISZ,O,X,O,O,X
LTJOIZS,X,O,O,O,X
LTJOSIZ,O,X,O,O,X
LTJOSZI,O,X,O,X,X
LTJOZIS,X,O,O,O,X
LTJOZSI,X,O,O,X,X
LTSIJZO,O,X,O,X,X
LTSIJOZ,O,X,O,O,X
LTSIZJO,O,O,O,X,X
LTSIZOJ,O,O,O,X,X
LTSIOJZ,O,X,X,O,X
LTSIOZJ,O,O,X,X,X
LTSJIZO,O,X,O,X,X
LTSJIOZ,O,X,O,O,X
LTSJZIO,O,X,O,X,X
LTSJZOI,O,X,O,X,X
LTSJOIZ,O,X,O,O,X
LTSJOZI,O,X,O,X,X
LTSZIJO,O,O,O,X,X
LTSZIOJ,O,O,O,X,X
LTSZJIO,O,O,O,X,X
LTSZJOI,O,O,O,X,X
LTSZOIJ,O,O,O,X,X
LTSZOJI,O,O,O,X,X
LTSOIJZ,O,X,X,O,X
LTSOIZJ,O,O,X,X,X
LTSOJIZ,O,X,X,O,X
LTSOJZI,O,X,X,X,X
LTSOZIJ,O,O,X,X,X
LTSOZJI,O,O,X,X,X
LTZIJSO,X,O,O,X,X
LTZIJOS,X,O,O,O,X
LTZISJO,X,O,O,X,X
LTZISOJ,X,O,O,X,X
LTZIOJS,X,O,X,O,X
LTZIOSJ,X,O,X,X,X
LTZJISO,X,O,O,X,X
LTZJIOS,X,O,O,O,X
LTZJSIO,X,O,O,X,X
LTZJSOI,X,O,O,X,X
LTZJOIS,X,O,O,O,X
LTZJOSI,X,O,O,X,X
LTZSIJO,X,O,O,X,X
LTZSIOJ,X,O,O,X,X
LTZSJIO,X,O,O,X,X
LTZSJOI,X,O,O,X,X
LTZSOIJ,X,O,O,X,X
LTZSOJI,X,O,O,X,X
LTZOIJS,X,O,X,O,X
LTZOISJ,X,O,X,X,X
LTZOJIS,X,O,X,O,X
LTZOJSI,X,O,X,X,X
LTZOSIJ,X,O,X,X,X
LTZOSJI,X,O,X,X,X
LTOIJSZ,O,X,X,O,X
LTOIJZS,X,O,X,O,X
LTOISJZ,O,X,X,O,X
LTOISZJ,O,O,X,X,X
LTOIZJS,X,O,X,O,X
LTOIZSJ,X,O,X,X,X
LTOJISZ,O,X,X,O,X
LTOJIZS,X,O,X,O,X
LTOJSIZ,O,X,X,O,X
LTOJSZI,O,X,X,X,X
LTOJZIS,X,O,X,O,X
LTOJZSI,X,O,X,X,X
LTOSIJZ,O,X,X,O,X
LTOSIZJ,O,O,X,X,X
LTOSJIZ,O,X,X,O,X
LTOSJZI,O,X,X,X,X
LTOSZIJ,O,O,X,X,X
LTOSZJI,O,O,X,X,X
LTOZIJS,X,O,X,O,X
LTOZISJ,X,O,X,X,X
LTOZJIS,X,O,X,O,X
LTOZJSI,X,O,X,X,X
LTOZSIJ,X,O,X,X,X
LTOZSJI,X,O,X,X,X
LITJSZO,O,X,O,X,X
LITJSOZ,O,X,O,O,X
LITJZSO,X,O,O,X,X
LITJZOS,X,O,O,O,X
LITJOSZ,O,X,O,O,X
LITJOZS,X,O,O,O,X
LITSJZO,O,X,O,X,X
LITSJOZ,O,X,O,O,X
LITSZJO,O,O,O,X,X
LITSZOJ,O,O,O,X,X
LITSOJZ,O,X,X,O,X
LITSOZJ,O,O,X,X,X
LITZJSO,X,O,O,X,X
LITZJOS,X,O,O,O,X
LITZSJO,X,O,O,X,X
LITZSOJ,X,O,O,X,X
LITZOJS,X,O,X,O,X
LITZOSJ,X,O,X,X,X
LITOJSZ,O,X,X,O,X
LITOJZS,X,O,X,O,X
LITOSJZ,O,X,X,O,X
LITOSZJ,O,O,X,X,X
LITOZJS,X,O,X,O,X
LITOZSJ,X,O,X,X,X
LIJTSZO,X,X,O,X,X
LIJTSOZ,X,X,O,O,X
LIJTZSO,X,X,O,X,X
LIJTZOS,X,X,O,O,X
LIJTOSZ,X,X,O,O,X
LIJTOZS,X,X,O,O,X
LIJSTZO,X,X,O,X,X
LIJSTOZ,O,X,O,X,X
LIJSZTO,X,X,O,X,X
LIJSZOT,O,X,O,X,X
LIJSOTZ,O,X,O,X,O
LIJSOZT,O,X,O,X,O
LIJZTSO,X,X,O,X,X
LIJZTOS,X,X,O,X,X
LIJZSTO,X,X,O,X,X
LIJZSOT,X,X,O,X,X
LIJZOTS,X,X,O,X,X
LIJZOST,X,X,O,X,X
LIJOTSZ,X,X,O,O,O
LIJOTZS,X,X,O,O,X
LIJOSTZ,O,X,O,X,O
LIJOSZT,O,X,O,X,O
LIJOZTS,X,X,O,X,X
LIJOZST,X,X,O,X,O
LISTJZO,O,X,O,X,X
LISTJOZ,O,X,O,O,X
LISTZJO,O,X,O,X,X
LISTZOJ,O,X,O,X,X
LISTOJZ,O,X,X,O,X
LISTOZJ,O,X,X,X,X
LISJTZO,O,X,O,X,X
LISJTOZ,O,X,O,X,X
LISJZTO,X,X,O,X,X
LISJZOT,O,X,O,X,X
LISJOTZ,O,X,O,X,O
LISJOZT,O,X,O,X,O
LISZTJO,O,X,O,X,X
LISZTOJ,O,X,O,X,X
LISZJTO,X,X,O,X,X
LISZJOT,O,X,O,X,X
LISZOTJ,O,X,O,X,X
LISZOJT,O,X,O,X,X
LISOTJZ,O,X,X,O,O
LISOTZJ,O,X,X,X,X
LISOJTZ,O,X,O,X,O
LISOJZT,O,X,O,X,O
LISOZTJ,O,X,O,X,X
LISOZJT,O,X,O,X,O
LIZTJSO,X,O,O,X,X
LIZTJOS,X,O,O,O,X
LIZTSJO,X,O,O,X,X
LIZTSOJ,X,O,O,X,X
LIZTOJS,X,O,X,O,X
LIZTOSJ,X,O,X,X,X
LIZJTSO,X,O,O,X,X
LIZJTOS,X,O,O,X,X
LIZJSTO,X,X,O,X,X
LIZJSOT,X,X,O,X,X
LIZJOTS,X,O,O,X,X
LIZJOST,X,X,O,X,X
LIZSTJO,X,X,O,X,X
LIZSTOJ,X,X,O,X,X
LIZSJTO,X,X,O,X,X
LIZSJOT,X,X,O,X,X
LIZSOTJ,X,X,O,X,X
LIZSOJT,X,X,O,X,X
LIZOTJS,X,O,X,O,X
LIZOTSJ,X,O,X,X,X
LIZOJTS,X,O,O,X,X
LIZOJST,X,X,O,X,X
LIZOSTJ,X,X,O,X,X
LIZOSJT,X,X,O,X,X
LIOTJSZ,O,X,X,O,O
LIOTJZS,X,O,X,O,X
LIOTSJZ,O,X,X,O,O
LIOTSZJ,O,O,X,X,X
LIOTZJS,X,O,X,O,X
LIOTZSJ,X,O,X,X,X
LIOJTSZ,X,X,O,O,O
LIOJTZS,X,X,O,O,X
LIOJSTZ,O,X,O,X,O
LIOJSZT,O,X,O,X,O
LIOJZTS,X,X,O,X,X
LIOJZST,X,X,O,X,O
LIOSTJZ,O,X,X,O,O
LIOSTZJ,O,X,X,X,X
LIOSJTZ,O,X,O,X,O
LIOSJZT,O,X,O,X,O
LIOSZTJ,O,X,O,X,X
LIOSZJT,O,X,O,X,O
LIOZTJS,X,O,X,O,X
LIOZTSJ,X,O,X,X,X
LIOZJTS,X,O,O,X,X
LIOZJST,X,X,O,X,O
LIOZSTJ,X,X,O,X,X
LIOZSJT,X,X,O,X,O
LJTISZO,X,X,O,X,X
LJTISOZ,X,X,O,O,X
LJTIZSO,X,X,O,X,X
LJTIZOS,X,X,O,O,X
LJTIOSZ,X,X,O,O,X
LJTIOZS,X,X,O,O,X
LJTSIZO,X,X,O,X,X
LJTSIOZ,X,X,O,O,X
LJTSZIO,X,X,O,X,X
LJTSZOI,X,X,O,X,X
LJTSOIZ,X,X,O,O,X
LJTSOZI,X,X,O,X,X
LJTZISO,X,X,O,X,X
LJTZIOS,X,X,O,O,X
LJTZSIO,X,X,O,X,X
LJTZSOI,X,X,O,X,X
LJTZOIS,X,X,O,O,X
LJTZOSI,X,X,O,X,X
LJTOISZ,X,X,O,O,X
LJTOIZS,X,X,O,O,X
LJTOSIZ,X,X,O,O,X
LJTOSZI,X,X,O,X,X
LJTOZIS,X,X,O,O,X
LJTOZSI,X,X,O,X,X
LJITSZO,X,X,O,X,X
LJITSOZ,X,X,O,O,X
LJITZSO,X,X,O,X,X
LJITZOS,X,X,O,O,X
LJITOSZ,X,X,O,O,X
LJITOZS,X,X,O,O,X
LJISTZO,X,X,O,X,X
LJISTOZ,O,X,O,X,X
LJISZTO,X,X,O,X,X
LJISZOT,O,X,O,X,X
LJISOTZ,O,X,O,X,O
LJISOZT,O,X,O,X,O
LJIZTSO,X,X,O,X,X
LJIZTOS,X,X,O,X,X
LJIZSTO,X,X,O,X,X
LJIZSOT,X,X,O,X,X
LJIZOTS,X,X,O,X,X
LJIZOST,X,X,O,X,X
LJIOTSZ,X,X,O,O,O
LJIOTZS,X,X,O,O,X
LJIOSTZ,O,X,O,X,O
LJIOSZT,O,X,O,X,O
LJIOZTS,X,X,O,X,X
LJIOZST,X,X,O,X,O
LJSTIZO,X,X,O,X,X
LJSTIOZ,O,X,O,X,X
LJSTZIO,X,X,O,X,X
LJSTZOI,X,X,O,X,X
LJSTOIZ,O,X,O,X,X
LJSTOZI,X,X,O,X,X
LJSITZO,X,X,O,X,X
LJSITOZ,O,X,O,X,X
LJSIZTO,X,X,O,X,X
LJSIZOT,O,X,O,X,X
LJSIOTZ,O,X,O,X,O
LJSIOZT,O,X,O,X,O
LJSZTIO,X,X,O,X,X
LJSZTOI,X,X,O,X,X
LJSZITO,X,X,O,X,X
LJSZIOT,O,X,O,X,X
LJSZOTI,X,X,O,X,X
LJSZOIT,O,X,O,X,X
LJSOTIZ,O,X,O,X,O
LJSOTZI,X,X,O,X,X
LJSOITZ,O,X,O,X,O
LJSOIZT,O,X,O,X,O
LJSOZTI,X,X,O,X,X
LJSOZIT,O,X,O,X,O
LJZTISO,X,X,O,X,X
LJZTIOS,X,X,O,X,X
LJZTSIO,X,X,O,X,X
LJZTSOI,X,X,O,X,X
LJZTOIS,X,X,O,X,X
LJZTOSI,X,X,O,X,X
LJZITSO,X,X,O,X,X
LJZITOS,X,X,O,X,X
LJZISTO,X,X,O,X,X
LJZISOT,X,X,O,X,X
LJZIOTS,X,X,O,X,X
LJZIOST,X,X,O,X,X
LJZSTIO,X,X,O,X,X
LJZSTOI,X,X,O,X,X
LJZSITO,X,X,O,X,X
LJZSIOT,X,X,O,X,X
LJZSOTI,X,X,O,X,X
LJZSOIT,X,X,O,X,X
LJZOTIS,X,X,O,X,X
LJZOTSI,X,X,O,X,X
LJZOITS,X,X,O,X,X
LJZOIST,X,X,O,X,X
LJZOSTI,X,X,O,X,X
LJZOSIT,X,X,O,X,X
LJOTISZ,X,X,O,O,O
LJOTIZS,X,X,O,O,X
LJOTSIZ,X,X,O,O,O
LJOTSZI,X,X,O,X,X
LJOTZIS,X,X,O,O,X
LJOTZSI,X,X,O,X,X
LJOITSZ,X,X,O,O,O
LJOITZS,X,X,O,O,X
LJOISTZ,O,X,O,X,O
LJOISZT,O,X,O,X,O
LJOIZTS,X,X,O,X,X
LJOIZST,X,X,O,X,O
LJOSTIZ,O,X,O,X,O
LJOSTZI,X,X,O,X,X
LJOSITZ,O,X,O,X,O
LJOSIZT,O,X,O,X,O
LJOSZTI,X,X,O,X,X
LJOSZIT,O,X,O,X,O
LJOZTIS,X,X,O,X,X
LJOZTSI,X,X,O,X,X
LJOZITS,X,X,O,X,X
LJOZIST,X,X,O,X,O
LJOZSTI,X,X,O,X,X
LJOZSIT,X,X,O,X,O
LSTIJZO,O,X,O,X,X
LSTIJOZ,O,X,O,O,X
LSTIZJO,O,X,O,X,X
LSTIZOJ,O,X,O,X,X
LSTIOJZ,O,X,X,O,X
LSTIOZJ,O,X,X,X,X
LSTJIZO,O,X,O,X,X
LSTJIOZ,O,X,O,O,X
LSTJZIO,O,X,O,X,X
LSTJZOI,O,X,O,X,X
LSTJOIZ,O,X,O,O,X
LSTJOZI,O,X,O,X,X
LSTZIJO,O,X,O,X,X
LSTZIOJ,O,X,O,X,X
LSTZJIO,O,X,O,X,X
LSTZJOI,O,X,O,X,X
LSTZOIJ,O,X,O,X,X
LSTZOJI,O,X,O,X,X
LSTOIJZ,O,X,X,O,X
LSTOIZJ,O,X,X,X,X
LSTOJIZ,O,X,X,O,X
LSTOJZI,O,X,X,X,X
LSTOZIJ,O,X,X,X,X
LSTOZJI,O,X,X,X,X
LSITJZO,O,X,O,X,X
LSITJOZ,O,X,O,O,X
LSITZJO,O,X,O,X,X
LSITZOJ,O,X,O,X,X
LSITOJZ,O,X,X,O,X
LSITOZJ,O,X,X,X,X
LSIJTZO,O,X,O,X,X
LSIJTOZ,O,X,O,X,X
LSIJZTO,X,X,O,X,X
LSIJZOT,O,X,O,X,X
LSIJOTZ,O,X,O,X,O
LSIJOZT,O,X,O,X,O
LSIZTJO,O,X,O,X,X
LSIZTOJ,O,X,O,X,X
LSIZJTO,X,X,O,X,X
LSIZJOT,O,X,O,X,X
LSIZOTJ,O,X,O,X,X
LSIZOJT,O,X,O,X,X
LSIOTJZ,O,X,X,O,O
LSIOTZJ,O,X,X,X,X
LSIOJTZ,O,X,O,X,O
LSIOJZT,O,X,O,X,O
LSIOZTJ,O,X,O,X,X
LSIOZJT,O,X,O,X,O
LSJTIZO,O,X,O,X,X
LSJTIOZ,O,X,O,X,X
LSJTZIO,O,X,O,X,X
LSJTZOI,O,X,O,X,X
LSJTOIZ,O,X,O,X,X
LSJTOZI,O,X,O,X,X
LSJITZO,O,X,O,X,X
LSJITOZ,O,X,O,X,X
LSJIZTO,X,X,O,X,X
LSJIZOT,O,X,O,X,X
LSJIOTZ,O,X,O,X,O
LSJIOZT,O,X,O,X,O
LSJZTIO,X,X,O,X,X
LSJZTOI,X,X,O,X,X
LSJZITO,X,X,O,X,X
LSJZIOT,O,X,O,X,X
LSJZOTI,X,X,O,X,X
LSJZOIT,O,X,O,X,X
LSJOTIZ,O,X,O,X,O
LSJOTZI,O,X,O,X,X
LSJOITZ,O,X,O,X,O
LSJOIZT,O,X,O,X,O
LSJOZTI,X,X,O,X,X
LSJOZIT,O,X,O,X,O
LSZTIJO,O,X,O,X,X
LSZTIOJ,O,X,O,X,X
LSZTJIO,O,X,O,X,X
LSZTJOI,O,X,O,X,X
LSZTOIJ,O,X,O,X,X
LSZTOJI,O,X,O,X,X
LSZITJO,O,X,O,X,X
LSZITOJ,O,X,O,X,X
LSZIJTO,X,X,O,X,X
LSZIJOT,O,X,O,X,X
LSZIOTJ,O,X,O,X,X
LSZIOJT,O,X,O,X,X
LSZJTIO,X,X,O,X,X
LSZJTOI,X,X,O,X,X
LSZJITO,X,X,O,X,X
LSZJIOT,O,X,O,X,X
LSZJOTI,X,X,O,X,X
LSZJOIT,O,X,O,X,X
LSZOTIJ,O,X,O,X,X
LSZOTJI,O,X,O,X,X
LSZOITJ,O,X,O,X,X
LSZOIJT,O,X,O,X,X
LSZOJTI,X,X,O,X,X
LSZOJIT,O,X,O,X,X
LSOTIJZ,O,X,X,O,O
LSOTIZJ,O,X,X,X,X
LSOTJIZ,O,X,X,O,O
LSOTJZI,O,X,X,X,X
LSOTZIJ,O,X,X,X,X
LSOTZJI,O,X,X,X,X
LSOITJZ,O,X,X,O,O
LSOITZJ,O,X,X,X,X
LSOIJTZ,O,X,O,X,O
LSOIJZT,O,X,O,X,O
LSOIZTJ,O,X,O,X,X
LSOIZJT,O,X,O,X,O
LSOJTIZ,O,X,O,X,O
LSOJTZI,O,X,O,X,X
LSOJITZ,O,X,O,X,O
LSOJIZT,O,X,O,X,O
LSOJZTI,X,X,O,X,X
LSOJZIT,O,X,O,X,O
LSOZTIJ,O,X,O,X,X
LSOZTJI,O,X,O,X,X
LSOZITJ,O,X,O,X,X
LSOZIJT,O,X,O,X,O
LSOZJTI,X,X,O,X,X
LSOZJIT,O,X,O,X,O
LZTIJSO,X,O,O,X,X
LZTIJOS,X,O,O,O,X
LZTISJO,X,O,O,X,X
LZTISOJ,X,O,O,X,X
LZTIOJS,X,O,X,O,X
LZTIOSJ,X,O,X,X,X
LZTJISO,X,O,O,X,X
LZTJIOS,X,O,O,O,X
LZTJSIO,X,O,O,X,X
LZTJSOI,X,O,O,X,X
LZTJOIS,X,O,O,O,X
LZTJOSI,X,O,O,X,X
LZTSIJO,X,O,O,X,X
LZTSIOJ,X,O,O,X,X
LZTSJIO,X,O,O,X,X
LZTSJOI,X,O,O,X,X
LZTSOIJ,X,O,O,X,X
LZTSOJI,X,O,O,X,X
LZTOIJS,X,O,X,O,X
LZTOISJ,X,O,X,X,X
LZTOJIS,X,O,X,O,X
LZTOJSI,X,O,X,X,X
LZTOSIJ,X,O,X,X,X
LZTOSJI,X,O,X,X,X
LZITJSO,X,O,O,X,X
LZITJOS,X,O,O,O,X
LZITSJO,X,O,O,X,X
LZITSOJ,X,O,O,X,X
LZITOJS,X,O,X,O,X
LZITOSJ,X,O,X,X,X
LZIJTSO,X,O,O,X,X
LZIJTOS,X,O,O,X,X
LZIJSTO,X,X,O,X,X
LZIJSOT,X,X,O,X,X
LZIJOTS,X,O,O,X,X
LZIJOST,X,X,O,X,X
LZISTJO,X,X,O,X,X
LZISTOJ,X,X,O,X,X
LZISJTO,X,X,O,X,X
LZISJOT,X,X,O,X,X
LZISOTJ,X,X,O,X,X
LZISOJT,X,X,O,X,X
LZIOTJS,X,O,X,O,X
LZIOTSJ,X,O,X,X,X
LZIOJTS,X,O,O,X,X
LZIOJST,X,X,O,X,X
LZIOSTJ,X,X,O,X,X
LZIOSJT,X,X,O,X,X
LZJTISO,X,O,O,X,X
LZJTIOS,X,O,O,X,X
LZJTSIO,X,O,O,X,X
LZJTSOI,X,O,O,X,X
LZJTOIS,X,O,O,X,X
LZJTOSI,X,O,O,X,X
LZJITSO,X,O,O,X,X
LZJITOS,X,O,O,X,X
LZJISTO,X,X,O,X,X
LZJISOT,X,X,O,X,X
LZJIOTS,X,O,O,X,X
LZJIOST,X,X,O,X,X
LZJSTIO,X,X,O,X,X
LZJSTOI,X,X,O,X,X
LZJSITO,X,X,O,X,X
LZJSIOT,X,X,O,X,X
LZJSOTI,X,X,O,X,X
LZJSOIT,X,X,O,X,X
LZJOTIS,X,O,O,X,X
LZJOTSI,X,O,O,X,X
LZJOITS,X,O,O,X,X
LZJOIST,X,X,O,X,X
LZJOSTI,X,X,O,X,X
LZJOSIT,X,X,O,X,X
LZSTIJO,X,X,O,X,X
LZSTIOJ,X,X,O,X,X
LZSTJIO,X,X,O,X,X
LZSTJOI,X,X,O,X,X
LZSTOIJ,X,X,O,X,X
LZSTOJI,X,X,O,X,X
LZSITJO,X,X,O,X,X
LZSITOJ,X,X,O,X,X
LZSIJTO,X,X,O,X,X
LZSIJOT,X,X,O,X,X
LZSIOTJ,X,X,O,X,X
LZSIOJT,X,X,O,X,X
LZSJTIO,X,X,O,X,X
LZSJTOI,X,X,O,X,X
LZSJITO,X,X,O,X,X
LZSJIOT,X,X,O,X,X
LZSJOTI,X,X,O,X,X
LZSJOIT,X,X,O,X,X
LZSOTIJ,X,X,O,X,X
LZSOTJI,X,X,O,X,X
LZSOITJ,X,X,O,X,X
LZSOIJT,X,X,O,X,X
LZSOJTI,X,X,O,X,X
LZSOJIT,X,X,O,X,X
LZOTIJS,X,O,X,O,X
LZOTISJ,X,O,X,X,X
LZOTJIS,X,O,X,O,X
LZOTJSI,X,O,X,X,X
LZOTSIJ,X,O,X,X,X
LZOTSJI,X,O,X,X,X
LZOITJS,X,O,X,O,X
LZOITSJ,X,O,X,X,X
LZOIJTS,X,O,O,X,X
LZOIJST,X,X,O,X,X
LZOISTJ,X,X,O,X,X
LZOISJT,X,X,O,X,X
LZOJTIS,X,O,O,X,X
LZOJTSI,X,O,O,X,X
LZOJITS,X,O,O,X,X
LZOJIST,X,X,O,X,X
LZOJSTI,X,X,O,X,X
LZOJSIT,X,X,O,X,X
LZOSTIJ,X,X,O,X,X
LZOSTJI,X,X,O,X,X
LZOSITJ,X,X,O,X,X
LZOSIJT,X,X,O,X,X
LZOSJTI,X,X,O,X,X
LZOSJIT,X,X,O,X,X
LOTIJSZ,O,X,X,O,O
LOTIJZS,X,O,X,O,X
LOTISJZ,O,X,X,O,O
LOTISZJ,O,O,X,X,X
LOTIZJS,X,O,X,O,X
LOTIZSJ,X,O,X,X,X
LOTJISZ,O,X,X,O,O
LOTJIZS,X,O,X,O,X
LOTJSIZ,O,X,X,O,O
LOTJSZI,O,X,X,X,X
LOTJZIS,X,O,X,O,X
LOTJZSI,X,O,X,X,X
LOTSIJZ,O,X,X,O,O
LOTSIZJ,O,O,X,X,X
LOTSJIZ,O,X,X,O,O
LOTSJZI,O,X,X,X,X
LOTSZIJ,O,O,X,X,X
LOTSZJI,O,O,X,X,X
LOTZIJS,X,O,X,O,X
LOTZISJ,X,O,X,X,X
LOTZJIS,X,O,X,O,X
LOTZJSI,X,O,X,X,X
LOTZSIJ,X,O,X,X,X
LOTZSJI,X,O,X,X,X
LOITJSZ,O,X,X,O,O
LOITJZS,X,O,X,O,X
LOITSJZ,O,X,X,O,O
LOITSZJ,O,O,X,X,X
LOITZJS,X,O,X,O,X
LOITZSJ,X,O,X,X,X
LOIJTSZ,X,X,O,O,O
LOIJTZS,X,X,O,O,X
LOIJSTZ,O,X,O,X,O
LOIJSZT,O,X,O,X,O
LOIJZTS,X,X,O,X,X
LOIJZST,X,X,O,X,O
LOISTJZ,O,X,X,O,O
LOISTZJ,O,X,X,X,X
LOISJTZ,O,X,O,X,O
LOISJZT,O,X,O,X,O
LOISZTJ,O,X,O,X,X
LOISZJT,O,X,O,X,O
LOIZTJS,X,O,X,O,X
LOIZTSJ,X,O,X,X,X
LOIZJTS,X,O,O,X,X
LOIZJST,X,X,O,X,O
LOIZSTJ,X,X,O,X,X
LOIZSJT,X,X,O,X,O
LOJTISZ,X,X,O,O,O
LOJTIZS,X,X,O,O,X
LOJTSIZ,X,X,O,O,O
LOJTSZI,X,X,O,X,X
LOJTZIS,X,X,O,O,X
LOJTZSI,X,X,O,X,X
LOJITSZ,X,X,O,O,O
LOJITZS,X,X,O,O,X
LOJISTZ,O,X,O,X,O
LOJISZT,O,X,O,X,O
LOJIZTS,X,X,O,X,X
LOJIZST,X,X,O,X,O
LOJSTIZ,O,X,O,X,O
LOJSTZI,X,X,O,X,X
LOJSITZ,O,X,O,X,O
LOJSIZT,O,X,O,X,O
LOJSZTI,X,X,O,X,X
LOJSZIT,O,X,O,X,O
LOJZTIS,X,X,O,X,X
LOJZTSI,X,X,O,X,X
LOJZITS,X,X,O,X,X
LOJZIST,X,X,O,X,O
LOJZSTI,X,X,O,X,X
LOJZSIT,X,X,O,X,O
LOSTIJZ,O,X,X,O,O
LOSTIZJ,O,X,X,X,X
LOSTJIZ,O,X,X,O,O
LOSTJZI,O,X,X,X,X
LOSTZIJ,O,X,X,X,X
LOSTZJI,O,X,X,X,X
LOSITJZ,O,X,X,O,O
LOSITZJ,O,X,X,X,X
LOSIJTZ,O,X,O,X,O
LOSIJZT,O,X,O,X,O
LOSIZTJ,O,X,O,X,X
LOSIZJT,O,X,O,X,O
LOSJTIZ,O,X,O,X,O
LOSJTZI,O,X,O,X,X
LOSJITZ,O,X,O,X,O
LOSJIZT,O,X,O,X,O
LOSJZTI,X,X,O,X,X
LOSJZIT,O,X,O,X,O
LOSZTIJ,O,X,O,X,X
LOSZTJI,O,X,O,X,X
LOSZITJ,O,X,O,X,X
LOSZIJT,O,X,O,X,O
LOSZJTI,X,X,O,X,X
LOSZJIT,O,X,O,X,O
LOZTIJS,X,O,X,O,X
LOZTISJ,X,O,X,X,X
LOZTJIS,X,O,X,O,X
LOZTJSI,X,O,X,X,X
LOZTSIJ,X,O,X,X,X
LOZTSJI,X,O,X,X,X
LOZITJS,X,O,X,O,X
LOZITSJ,X,O,X,X,X
LOZIJTS,X,O,O,X,X
LOZIJST,X,X,O,X,O
LOZISTJ,X,X,O,X,X
LOZISJT,X,X,O,X,O
LOZJTIS,X,O,O,X,X
LOZJTSI,X,O,O,X,X
LOZJITS,X,O,O,X,X
LOZJIST,X,X,O,X,O
LOZJSTI,X,X,O,X,X
LOZJSIT,X,X,O,X,O
LOZSTIJ,X,X,O,X,X
LOZSTJI,X,X,O,X,X
LOZSITJ,X,X,O,X,X
LOZSIJT,X,X,O,X,O
LOZSJTI,X,X,O,X,X
LOZSJIT,X,X,O,X,O
JTILSZO,O,X,O,X,X
JTILSOZ,O,X,O,O,X
JTILZSO,X,O,O,X,X
JTILZOS,X,O,O,O,X
JTILOSZ,O,X,O,O,X
JTILOZS,X,O,O,O,X
JTISLZO,O,X,X,X,X
JTISLOZ,O,X,X,O,X
JTISZLO,O,X,X,X,X
JTISZOL,O,X,X,X,X
JTISOLZ,O,X,X,O,O
JTISOZL,O,X,X,X,O
JTIZLSO,X,O,O,X,X
JTIZLOS,X,O,O,O,X
JTIZSLO,O,O,X,X,X
JTIZSOL,O,O,X,X,X
JTIZOLS,X,O,O,O,X
JTIZOSL,O,O,X,X,X
JTIOLSZ,O,X,O,O,O
JTIOLZS,X,O,O,O,X
JTIOSLZ,O,X,X,O,O
JTIOSZL,O,X,X,X,O
JTIOZLS,X,O,O,O,X
JTIOZSL,O,O,X,X,X
JTLISZO,O,X,O,X,X
JTLISOZ,O,X,O,O,X
JTLIZSO,X,O,O,X,X
JTLIZOS,X,O,O,O,X
JTLIOSZ,O,X,O,O,X
JTLIOZS,X,O,O,O,X
JTLSIZO,O,X,O,X,X
JTLSIOZ,O,X,O,O,X
JTLSZIO,O,X,O,X,X
JTLSZOI,O,X,O,X,X
JTLSOIZ,O,X,O,O,X
JTLSOZI,O,X,O,X,X
JTLZISO,X,O,O,X,X
JTLZIOS,X,O,O,O,X
JTLZSIO,X,O,O,X,X
JTLZSOI,X,O,O,X,X
JTLZOIS,X,O,O,O,X
JTLZOSI,X,O,O,X,X
JTLOISZ,O,X,O,O,X
JTLOIZS,X,O,O,O,X
JTLOSIZ,O,X,O,O,X
JTLOSZI,O,X,O,X,X
JTLOZIS,X,O,O,O,X
JTLOZSI,X,O,O,X,X
JTSILZO,O,X,X,X,X
JTSILOZ,O,X,X,O,X
JTSIZLO,O,X,X,X,X
JTSIZOL,O,X,X,X,X
JTSIOLZ,O,X,X,O,O
JTSIOZL,O,X,X,X,O
JTSLIZO,O,X,X,X,X
JTSLIOZ,O,X,X,O,X
JTSLZIO,O,X,X,X,X
JTSLZOI,O,X,X,X,X
JTSLOIZ,O,X,X,O,X
JTSLOZI,O,X,X,X,X
JTSZILO,O,X,X,X,X
JTSZIOL,O,X,X,X,X
JTSZLIO,O,X,X,X,X
JTSZLOI,O,X,X,X,X
JTSZOIL,O,X,X,X,X
JTSZOLI,O,X,X,X,X
JTSOILZ,O,X,X,O,O
JTSOIZL,O,X,X,X,O
JTSOLIZ,O,X,X,O,O
JTSOLZI,O,X,X,X,X
JTSOZIL,O,X,X,X,X
JTSOZLI,O,X,X,X,X
JTZILSO,X,O,O,X,X
JTZILOS,X,O,O,O,X
JTZISLO,O,O,X,X,X
JTZISOL,O,O,X,X,X
JTZIOLS,X,O,O,O,X
JTZIOSL,O,O,X,X,X
JTZLISO,X,O,O,X,X
JTZLIOS,X,O,O,O,X
